[00:06] 开了一扇窗户
[26:18] 你就告诉我未来三到五年在某一个领域里边哪些技术会成为热点成为重要的技术
[26:28] 他其实是预测对技术预测对
[26:31] 所以你看
[26:31] 预测这种事情他一定是要基于认知的
[26:34] 像市场上大家也在做市场预测是是一个事
[26:37] 是是一个事
[26:38] 但是这个事情呢
[26:39] 你再往下下转细分呢
[26:41] 其实还有很多种的这个问题
[26:44] 你像科技情报科技科技类的信息
[26:46] 他相对来说比较规范
[26:48] 比较好做论文科技报告专利这些东西他都是比较规范性格式的
[26:53] 也描述相对来说也比较严谨有预料对的
[26:56] 你有数据算法是我们擅长的
[26:59] 那我们加上这些数据
[27:01] 比较规范
[27:01] 数据我们来做这个事情
[27:03] 最后的结论就是说告诉你一些预测的结果
[27:05] 我建立起一个模型
[27:07] 对吧
[27:08] 我们交付的就是这么个东西
[27:09] 那时候给Google预测了点啥
[27:11] 有预测到代言模型的爆发
[27:13] 不太记得细节了
[27:15] 他们是怎么找到你们就是全球来看做这个情报系统的人是不是也不多
[27:19] 那个时候
[27:20] 其实国外还是有的
[27:23] 国内也有一些做
[27:24] 他们为什么不用国外的团队
[27:25] 所以我当时说了我们那个平台叫Amino
[27:28] 那个平台其实本身在国际上影响力还不错
[27:31] 而且我们专门做这一块
[27:33] 其他的可能就是咨询机构在做
[27:35] 包括国内的其他一些厂商做的这个事情
[27:38] 单位也是从图书馆出来
[27:39] 比如说原来的中科院的情报所
[27:42] 他们是图书馆出来的
[27:44] 你们是计算机系出来的
[27:45] 我们是注重算法
[27:47] 我们那时候不是通过人做
[27:48] 传统的做法是通过专家大量的调研问卷
[27:52] 然后研究文献
[27:53] 阅读文献
[27:54] 写报告
[27:55] 统一人工去做这个事情
[27:57] 靠专业的专家的经验去解这个问题
[28:00] 那个时候
[28:01] 我们是用机器
[28:02] 机器学习的算法
[28:04] 用模型来解决这个问题
[28:06] 效率也不一样
[28:07] 处理数据的速度也不一样
[28:09] 可能准确率也可能不一样
[28:12] 高低
[28:13] 反正就是
[28:13] 这个算力需要的大吗
[28:15] 那个时候机器学习算法不像现在还好
[28:18] 也需要
[28:19] 其实是找到了一个场景
[28:21] 所以你当时一出来创业就是有一个确定性的场景的
[28:24] 是刚是出来的时候
[28:25] 其实是在做这个事情
[28:27] 但本质上我们是在做背后的核心的技术
[28:30] 就怎么样
[28:31] 用数据经济学习的算法去构建这个模型
[28:34] 它本身跟大模型现在解决这个问题非常类似的
[28:38] 只不过是用了一些上一代的这种像经济学习的办法
[28:41] 那个时候赚钱吗
[28:42] 那时候也挣钱
[28:43] 但肯定也还是亏着的
[28:45] 也是亏着的
[28:46] 但是那时候开始融资了
[28:47] 对吧
[28:48] 对对我们出来学校办完那个那个可以成功转化之后
[28:55] 第一笔天使投资很快就拿到那时候好拿吗
[28:59] 还好
[28:59] 怎么跟他们讲这个事儿
[29:01] 因为这个事情就是我们跟他讲的其实就刚才说的那个逻辑
[29:05] 首先第一我们是核心
[29:06] 我们是要做认知智能
[29:08] 做下一代人工智能技术
[29:10] 然后呢
[29:10] 其次呢
[29:11] 在这个基础上我们找到一个场景
[29:12] 有这样一个产品和平台
[29:14] 他也有非常不错的用户基础和市场基础
[29:17] 我们已经在学校里面服务了这么多客户
[29:20] 所以这个事情的大家一看就有了都不需要等你去做产品
[29:24] 是个相对确定性的事情
[29:26] 19年到XGPT真正出来
[29:28] 你们中间一直在做着一件事情
[29:31] 啊
[29:31] 倒没有
[29:32] 其实这个中间还是变化很大的
[29:34] 就是19年我们成立公司
[29:37] 其实那个时候我们在做相关一些计计学习算法研究
[29:40] 其实之前大模型的上一代就是那个我们现在叫小模型或者叫早期的预训练模型
[29:47] 比如像Berta什么这类的东西
[29:49] 我们其实也一直在用
[29:50] 一直在研究
[29:50] 我们自己也做一些算法的研究
[29:53] 这个是你用他的东西
[29:54] 自己训练一些模型
[29:55] 所以那个时候就关注到GPT
[29:57] GPT是GPT是18年
[30:00] 19年发的
[30:01] GPT二其实GPT二已经在学术界有些影响了
[30:05] 大家争论其实比较多
[30:06] 讨论比较多
[30:07] 我们一直在关注这个技术到底行还是不行
[30:10] 其实是GPT三二零年发布是个分水岭
[30:14] 是很大的分水岭
[30:16] 正好是公司一周年也是六月对他发布应该是五月底还是六月初
[30:21] 忘了大概那个时间就是公司
[30:23] 大概一周年的时间正好
[30:25] 说那个我们请詹院士
[30:27] 因为我们的这个战略的这个顾问嘛
[30:30] 这请他来
[30:31] 公司一起座谈聊一聊
[30:33] 那时候大家还比较轻松啊
[30:34] 没有现在这么卷
[30:36] 那时候多少人
[30:37] 那个时候大概几十个人吧
[30:40] 五六十人
[30:41] 那样子肯定不到一百人
[30:43] 人不多
[30:43] 然后请詹院士来
[30:45] 我们内部就讨论说哎呀
[30:46] 这个请詹院士来
[30:47] 你不能跟他闲哈辣呀
[30:49] 这个还得问他一些有意思的问题
[30:52] 他能帮我们解答一些问题
[30:54] 我当时就说
[30:54] 我说因为我也我也在关注这个市面上很多的这个一些对新的研究进展吧
[30:59] 我说哎
[30:59] 我说
[31:00] 前段时间有的有个东西很火叫GP3出现了之后很有意思
[31:06] 我就想问一下这个詹院士怎么看GP3
[31:10] 这当时我记得特别清楚
[31:11] 这个这个是我说的
[31:13] 后来来了以后
[31:13] 这个詹院士来了以后还真问了讨论了这个问题
[31:16] 但是其实给出的评价还是非常高的
[31:18] 就对GP3的评价非常高
[31:20] 他说是这个积极学习
[31:22] 这个一个比较里程碑式的一个进步
[31:27] 就一种新的方式
[31:29] 但是他当时还是
[31:30] 除了肯定这个事情以外
[31:32] 他还是也的还是担心一个问题
[31:34] 就是刚才说那个问题
[31:35] 他其实还是不知道自己不知道对
[31:37] 甚至甚至连他知道自己不知道都不行对吧
[31:40] 因为那个时候你看GP3那个时候当然都很开玩笑
[31:44] 说说是一个就怎么说呢
[31:46] 就是你他会一本正经的胡说八道嘛
[31:49] 这就是那个时候开始的说句话
[31:51] 就你问他什么任何问题
[31:53] 他都会给你编一段答案出来
[31:55] 他其实不知道
[31:56] 但他会编一个答案给你对吧
[31:58] 所以他实际上就是不知道自己
[32:00] 不知道对吧
[32:03] 所以他给了很高的一个评价
[32:04] 说这个是个很好的一个进步
[32:06] 但他仍然没有解决那个最本质的问题
[32:09] 其实是这已经是个很高的评价
[32:11] 然后我们那个时候就开始关注这个事
[32:13] 做这个事情
[32:14] 开始用他的这个技术方案了吗
[32:17] 对我们就研究说这个预训练这个事情
[32:19] 就是GPT这个事情
[32:21] 自回归的预训练这个事情
[32:23] 他和我们之前用的类似的这样
[32:26] 到底有什么区别
[32:28] 他能不能干掉这个原来的
[32:30] 方式
[32:31] 我们也开始研究这个算法
[32:32] 相关的这些事情做了很多的东西
[32:34] 所以我当然记得是20年年中间
[32:38] GPT-3发布
[32:40] 然后我们自己的GM这个算法是在21年
[32:43] 大概我们把它相对比较成熟的成型
[32:47] 做了一年研究嘛
[32:48] 对做了一年差不多一年吧
[32:51] 所以那时候还是follow了对吧
[32:52] 就是很快做了决定
[32:54] 对还是跟进了我研究嘛
[32:56] 这个大家很很很喜欢这些新的东西
[32:59] 我们去研究这些新的东西
[33:00] 但是确实不一样的地方就在于那个时候就说
[33:03] 呃
[33:03] 业内其实并没有像现在这么高度统一的认为
[33:08] 那个GPT那个路线就是OK的
[33:11] 嗯
[33:11] 啊
[33:12] 所以那个时候大家还是在想说哎
[33:13] 那有没有什么办法去走出自己心的创新的一些东西
[33:17] 嗯
[33:18] 所以GM是那个时候定下来的
[33:19] 嗯
[33:19] 所以GM是在Bert和GPT之间
[33:23] 我们当时想综合这两种算法的这个优势
[33:26] 哦
[33:27] 是有一个综合性的
[33:28] 对啊
[33:28] 所以他出来这这个算法本身
[33:30] 还是非常典型的一种带自己典型特征的这样一个算法
[33:34] 嗯
[33:34] 所以那个时候是开始在做这个事情
[33:36] GPT和Bert他的差异是什么
[33:39] Bert他是一个双向注意力
[33:40] 嗯
[33:40] 他同样是基于transformer做注意力计算
[33:43] 比如你给给一个句子一个文本
[33:46] 他可以从前算到后
[33:47] 同时他也从后算到前
[33:49] GPT大家知道是单向的嘛
[33:51] 我只看前面预测下一个预测下一个预测下一个预测下一个
[33:54] 他是单向这样主线线性的生成的
[33:56] Bert是把中间扣掉
[33:58] 就我我让他预测中间
[34:00] 那预测中间呢
[34:00] 我既要看前面也要看后面
[34:04] 所以他是双向的
[34:05] 嗯
[34:06] 所以当时当时这个大家很形象的描述说
[34:09] Bert就是个填空机器人
[34:11] GPT呢就是一个蹦瓷器
[34:14] 就一个往外蹦一个往下蹦
[34:16] 预测预测下一个
[34:18] 他其实都是预测
[34:19] 只不过是双向往中间预测和单向往后预测
[34:21] 那你们GM是怎么综合他们两个的
[34:23] GM的话综合的方式其实还挺巧妙的
[34:26] 我们把这个问题做了一个统一
[34:29] 就是你看他
[34:30] 原来不是往中间预测
[34:31] Bert往两向往中间预测吗
[34:33] GPT是从前往后这样预测嘛
[34:35] 然后我们把这个两向往中间预测这件事情
[34:38] 把这个词的顺序调一下
[34:40] 嗯
[34:41] 他实际上也变成了单向往后预测
[34:43] 嗯
[34:44] 啊一样的
[34:45] 嗯
[34:45] 所以把这两个模型就这样统一起来了
[34:48] 所以当时GM出来的时候
[34:49] 在很多效果上
[34:51] 最典型的一个特征就是
[34:52] 或者说最有优势的一个特征是说
[34:55] 他既能做填空体
[34:57] 也能做这个续写预测
[35:00] 就单向预测这个事情
[35:01] 因为当时GPT-3他们做填空体还挺麻烦的
[35:05] 他不能做做了没有办法考试
[35:07] 嗯啊
[35:08] 所以当时GM出来的时候是综合了这两种能力
[35:11] 而且这是第一个就是本身融合了两种方法
[35:14] 第二个呢
[35:15] 呃由于他采用了一部分的双向注意力
[35:19] 嗯
[35:20] 他是不是全部的双向注意力
[35:21] 是一部分的双向注意力
[35:22] 嗯
[35:23] 其实取得了一个意外的一个效果是说
[35:26] 整个在训练的过程当中
[35:27] 他的稳定性更好
[35:29] 嗯
[35:30] 就是体感上工程上得到的一个结果
[35:33] 然后再一个呢
[35:34] 就是说他训练完了以后
[35:36] 这个模型他得到了那个参数矩阵
[35:39] 他的分布相对来说比较集中
[35:42] 就是他不会特别散
[35:44] 所以集中的好处是什么呢
[35:45] 我可以做量化的时候精度的损失少
[35:48] 啊
[35:49] 这个很好理解
[35:50] 比如说你的植域是这么宽的话
[35:52] 你要做量化
[35:52] 比如平均把它分八等分
[35:54] 那每一个域的宽度就很大
[35:56] 你一个量化的时候
[35:57] 你一个量化的时候
[35:58] 你一个量化的时候
[35:59] 你一个量化后的结果代表的这个宽度
[36:01] 它的精度损失就大
[36:02] 嗯
[36:03] 但是我如果我的分布本身就窄
[36:05] 那我量化的时候同样是分八等分
[36:07] 那我每一等分
[36:08] 它精度的这个
[36:10] 阈值就小
[36:11] 嗯
[36:12] 我的精度相位就更准确一些
[36:13] 嗯
[36:14] 对吧
[36:14] 这是很好理解的一件事情
[36:15] 数学上
[36:16] 所以这也是一些额外的一些因素吧
[36:19] 所以那个算法本身还是挺受
[36:21] 呃
[36:22] 学术界和产业界的认可
[36:24] 啊
[36:24] 到现在大家也还是认可
[36:26] GM是读书一致的一个流派
[36:28] 嗯啊
[36:29] 然后后来再接着下来
[36:31] 就是这是21年了
[36:33] 对21年
[36:33] 嗯
[36:34] 然后接下来就是22年
[36:36] 就是我们当时就开始决策
[36:39] 要不要像GBT-3一样去做一个
[36:42] 因为那个时候scanning load还很简单的
[36:45] 你参数量翻一倍
[36:46] 翻十倍上去
[36:47] 你智能水平就啪就上去了
[36:48] 啊
[36:48] 对吧
[36:49] 大家都相信这个
[36:50] 嗯
[36:50] 所以那时候就开始决策说
[36:52] 我们要不要去用GBGM算法
[36:54] 去做一个千亿的模型
[36:56] 千亿的模型
[36:57] 二二年
[36:58] 二年
[36:58] 啊
[36:59] 啊
[36:59] 二年几月份
[37:00] 应该是二一年底
[37:01] 到现在你们怎么认知OpenAI
[37:03] 其实我们就很关注OpenAI
[37:05] 一直在感觉这个公司挺神奇的
[37:07] 15年成立
[37:08] 然后之前一直在做强化学习
[37:10] 突然到18年的时候把强化学习扔了
[37:13] 然后开始搞这个GBT这个事
[37:15] 嗯
[37:16] 然后开始终身预训练
[37:17] 对终身预训练这个事
[37:18] 然后依赖我个人还是挺喜欢这个
[37:22] 我他的基本上他的论文也好
[37:25] 他的很多的这个文章也好
[37:26] 我都看
[37:27] 我觉得他很多的思考还是非常
[37:29] 深入的
[37:30] 而且确实是很到很到点子上
[37:33] 那时候应该觉得他们就是一个研究机构
[37:34] 对吗
[37:35] 对那个时候
[37:36] 因为大家都知道他是当时是很多人投资
[37:39] 包括马斯克在内投进来是一个做非盈利的一个机构
[37:43] 就觉得他就反正就是一个OpenLab
[37:46] 你们当时有没有想也做一个这样的OpenLab
[37:48] 就是你们做一个中国版的这种OpenAI
[37:51] 其实我们的气质就挺像
[37:53] 就那个时候就这么想了
[37:55] 对对对
[37:55] 其实那个时候就就想干这个事情
[37:57] 但你公司已经成立了
[37:58] 你不已经
[37:59] 不能不能退回去
[38:00] 那肯定还是得有公司的
[38:02] 有公司实体就还是更方便
[38:04] 就那个时候就在公司这个实体里面就讨论说
[38:07] 要不要去对齐GPT-3去做这么个模型的训练
[38:11] 就那个投入挺大的
[38:12] 投入需要多少钱
[38:13] 因为GPT-3当时整个火了之后
[38:16] 大家分析他整个的训练成本是两千多万美元
[38:21] OK
[38:22] 对吧
[38:22] 那个时候成本就已经这么高
[38:25] 然后我们自己要去训练的话
[38:27] 估计花费
[38:29] 也得千万级人民币以上
[38:33] 这种水平
[38:33] 哪怕我们再节省
[38:34] 哪怕我们的成本控制的更好
[38:38] 也得也差不多这个水平
[38:40] 比如说我们在外面成立的公司
[38:42] 我们就做成本转化好了
[38:43] 只赚钱
[38:44] 就是把这些项目卖给客户
[38:45] 然后这也是一种做公司的方法
[38:48] 对吧
[38:48] 为什么还要去追求这种更好的技术
[38:50] 你看为什么我们要讲从16年开始那个故事
[38:54] 就是从16年开始那个故事
[38:55] 其实其实就想给大家传递一个信息
[38:57] 是说支付
[38:58] 其实不是单纯的说
[39:00] 我们就是想成立个公司去挣钱
[39:02] 其实本愿还是在于我们要去探索AGI到底是什么
[39:07] 这才是我们的本愿
[39:08] 只不过我们觉得在成立一家公司
[39:11] 在产业里面去做这件事情
[39:13] 它更符合当下的人工智能发展的需求
[39:18] 而不是简单的只是做研究
[39:21] 也不是简单的去挣钱
[39:23] 不是简单的做产业化
[39:24] 对
[39:24] 其实这个事情它是这样
[39:26] 因为你是一个探索的过程
[39:28] 技术的往前的演进这件事情其实是一条主旋律
[39:33] 你的商业化是另外一条主旋律
[39:35] 这两者之间我们认为在人工智能当下的生态里头
[39:39] 没有办法完全分隔开的
[39:41] 就恰好后来OpenAI走出这条路之后
[39:44] 你会发现也事实证明就是这样
[39:47] 所以当时你们是很喜欢OpenAI的
[39:49] 在20年21年22年
[39:53] 然后你们最后是怎么决策的
[39:54] 要不要投入这千万
[39:56] 对当时
[39:56] 当然张海有这么多钱吗
[39:58] 具体因为我不管财务
[40:00] 所以我不太很清楚
[40:01] 开玩笑
[40:02] 但其实确实这个事情的投入对我们来说还是挺大的
[40:06] 风险还是有的
[40:08] 所以当时要不要做这个事情
[40:10] 其实还是很慎重的考虑了一下
[40:12] 最后的决策应该还是就说我们应该做
[40:16] 而且必须我们自己来做
[40:18] 必须自己来做
[40:18] 还有别的选择
[40:19] 别的选择就是等着看其他人
[40:21] 所以我们就很果断的去做
[40:24] 当然这个主要还是科学家团队在里边起了很大的一个作用
[40:28] 之前的GM的研究
[40:30] 算法的研究
[40:31] 包括刚才说的那些特点
[40:33] 都使得我们有信心说能把一样一个模型把它训练出来
[40:39] 并且性能不会差
[40:41] 不会让这个钱打水漂
[40:42] 所以最后决策还是要做这个事情
[40:44] 我们就投了21年12月底到大半年时间
[40:48] 一直到22年的7、8月份
[40:51] 把它弄完
[40:53] 大概9个月时间
[40:54] 我们那个blog还挂在网上
[40:56] 可以看得到整个历程
[40:58] 过了三个月
[40:59] ChangeBT9来了
[41:00] 对
[41:01] 年底正好22年年底的时候
[41:02] 11月30号的时候
[41:03] ChangeBT就上线了
[41:05] 其实这个中间这几个月其实还挺
[41:09] 我印象挺深刻的
[41:10] 我那时候也不在北京
[41:11] 我的外地在深圳回不来
[41:12] 那个时候我们就因为花这么大一笔钱
[41:15] 我们得去接着去融资
[41:17] 那是第几笔钱了
[41:19] 应该是开始融币轮了吧
[41:21] 币轮就是第二轮吗
[41:23] 对对于你们来说
[41:24] 第三轮吧
[41:25] 第三轮
[41:25] 我有点记不太清楚了细节
[41:28] 但是那个时候就开始跟很多投资人聊
[41:31] 聊这个事情
[41:32] 然后跟大家讲
[41:33] 我们训练这样一个模型
[41:35] 有GP3
[41:36] 我们也训练了一个对标的模型
[41:37] 性能很不错
[41:38] 我们也把它开源了
[41:39] 那是我们第一次开源
[41:40] 8月份开源这个东西
[41:42] 为什么要开源
[41:43] 因为我们当时觉得这个东西
[41:45] 捏手里
[41:46] 你自己捏手里
[41:47] 你又没有短时间之内
[41:48] 你也没办法把它变成钱
[41:50] 而且这个事情刚启动
[41:51] 刚开始
[41:53] 让更多的人知道这件事情更重要
[41:56] 对吧
[41:57] 而且我们要打出
[41:58] 自己的这个在国际上的影响力
[42:00] 那时候我们都是看着国外
[42:01] 看着我们应该看着这个国际的这个这个事情
[42:04] 所以开源这种很容易接受的一种文化
[42:08] 中美之间现在还没有现在那么复杂
[42:10] 所以我们就选择把它开源了
[42:12] 开完之后确实影响力非常不错
[42:14] 有多不错
[42:15] 国外还是非常认可的
[42:16] 我们当时开完之后
[42:18] 应该是那个报告
[42:19] 斯坦福利
[42:20] 李飞飞那个报告
[42:21] 我忘了是22年还是23年出来
[42:23] 应该是22年出来
[42:24] 就在我们开完后不久
[42:26] 出来那个报告
[42:26] 应该是10月份
[42:27] 11月份
[42:28] 他那个报告里面
[42:29] 唯一一个参与这个评估
[42:31] 而且拍的比较靠前
[42:33] 来自中国的就是我们
[42:36] 就是这个
[42:36] 就是JM130B
[42:38] 所以影响力也非常不错
[42:39] 而且评估下结果也非常不错
[42:41] 基本上跟GP3互有胜负
[42:45] 我在想那个时候
[42:46] 国内同线还在做这件事情的还有谁
[42:48] 但只有你们在做这个事情
[42:50] 其实之前你看还有一些
[42:52] 百度在做
[42:54] 百度有EARNING
[42:57] 然后
[42:58] 其实那个时候阿里其实也开始做了
[43:00] 阿里好早
[43:01] 阿里红霞
[43:02] 对
[43:03] 还做那个MOE什么那些东西
[43:06] 然后研究机构就当时我们因为
[43:09] 唐老师是那个志愿的
[43:12] 志愿的副院长
[43:13] 志愿
[43:15] 当时也是唐老师带领团队
[43:16] 做了一些事情
[43:18] 对公司是除了阿里和百度以外
[43:21] 就是我们在做
[43:22] 跟投资人当时讲这个事的时候
[43:23] 他们兴奋吗
[43:24] 听不懂
[43:25] 投资人听不懂
[43:26] 他们完全听不懂
[43:28] 这是什么东西
[43:29] 你们怎么挣钱
[43:31] 怎么把这个东西商业化了
[43:33] 投资人问的都是这个
[43:34] 我印象特别深刻
[43:35] 有个投资人
[43:35] 网线上聊的
[43:37] 这东西你们能变成钱吗
[43:39] 现在你看大环境怎么差
[43:41] 经济怎么差
[43:42] 要不你们把估值降一半
[43:44] 怎么样
[43:46] 降了没
[43:47] 我肯定不会
[43:49] 那笔融资其实没那么顺利的
[43:51] 其实挺那个时间其实挺艰难
[43:53] 拉了多久
[43:54] 这也是我们幸运的地方
[43:55] 你看我们把这个事情做完之后到
[43:57] 缺GPT活起来是11月底
[44:00] 真正在国内活起来是在春节前后
[44:03] 在国内
[44:04] 其实就小半年时间
[44:07] 这小半年你们正好是处于融资的期
[44:10] 其实缺GPT活起来就帮了我们一个很大的忙
[44:13] 大家再也不用质疑说你这东西到底是啥
[44:16] 我们就告诉他说
[44:17] 缺GPT你懂吧
[44:18] 你看过吧
[44:19] 知道吧
[44:19] 我们做的这个事情就是往这儿去的
[44:21] 然后后来都是投资人找你们了是吧
[44:23] 对就很让人家问
[44:24] 你们什么时候能把缺GPT的东西做出来
[44:27] 什么之类的
[44:27] 所以你们这笔融资close是在春节之后了
[44:31] 应该是吧
[44:32] 这些细节我还不太记得清楚了
[44:34] 过去也算比较久
[44:37] 所以那个时候确实是有一段时间是正好砍了中间
[44:42] 然后缺GPT帮了我们一个大忙
[44:44] 然后我们自己说实话也算是比较争气
[44:47] 很快的我们把缺GPT对标的缺GEM
[44:51] 我们就把它弄出来
[44:53] 然后也能上线
[44:55] 大家看到效果也非常不错
[44:56] 尤其在中文上效果非常好
[44:57] 而且我们还同时开源了一个缺GEM的开源版本
[45:01] 一个小型化的版本
[45:02] 因为那个时候只有缺GPT
[45:04] 缺GPT也很大
[45:06] 大家三以后它也不开源了
[45:09] 大家拿不到
[45:10] 很多研究人员心里痒痒的说
[45:12] 我只能用不知道里面到底是啥
[45:14] 我自己不能玩
[45:15] 所以我们开了一个小的一个6B的版本
[45:17] 60亿参数的版本
[45:18] 一张家用的GPU就能跑起来
[45:21] 大家就很爽
[45:22] 所以那个时候那是我们第一款爆火的
[45:26] 在开源社区里面爆火的
[45:27] 一个开源项目
[45:29] 下载量非常大
[45:32] 同期好的大模型公司其实刚开始组建
[45:34] 你们就已经有产品了
[45:35] 对 那是23年初
[45:38] 大家看到缺GPT火了
[45:39] 很多人开始做
[45:40] 从GPT3到缺GPT
[45:42] OpenAI的动作有超出你们的预期吗
[45:45] 虽然你们一直都关注它
[45:46] 其实那个时候OpenAI还是比较开放
[45:48] 还真的挺open的
[45:49] 很多东西它发论文
[45:51] 其实后来论文发了少
[45:52] 但是它的比如technical report
[45:55] 还有一些它的blog什么之类的
[45:57] 其实会把这些东西都慢慢的放出来
[46:00] 其实我们就紧跟着它研究
[46:01] 包括那个时候我们私底下的很多交流
[46:04] 因为里有很多清华学生
[46:05] 当时我讲9个人里面有4个是清华的
[46:08] 但是底下的交流还是非常顺畅的
[46:10] 就大家也知道他们在干嘛
[46:12] 包括XGPT也是知道的
[46:13] 就这个产品要发布
[46:14] 对 知道
[46:15] 但是它那个项目本身产品本身保密的很
[46:18] 但是我们知道说他们还在持续的在GP3之上
[46:21] 在做很多事情
[46:22] 在往那个方向去走
[46:24] 然后它的目的是什么
[46:26] 最终的可能的形态是什么
[46:27] 对 其实那个时候根本就不是太意外上了这个东西
[46:32] 所以它上了这个东西之后
[46:34] 至少我个人是觉得就是说还是挺兴奋的
[46:38] 挺兴奋
[46:39] 因为觉得赌对了
[46:40] 对 第一赌对了
[46:41] 第二就是说确实这条路走下去
[46:43] 它还是有很光明的前景
[46:45] 当时内部是什么状态
[46:47] 当XGP火了之后
[46:49] GP当时你们有什么讨论
[46:51] 有什么交流
[46:51] 是一个什么样的公司状态
[46:53] 其实大家我觉得跟我可能状态差不多
[46:55] 都是属于那种比较兴奋的状态
[46:57] 这个时候我们做对了
[46:59] 之前的那个赌注下对了
[47:00] 就是我们走到现在了
[47:02] 我们已经相对来说是比较靠近的
[47:05] 接近全GPT的这个事情
[47:07] 所以我们这个研究团队
[47:09] 还有这个工程团队
[47:10] 春节那个春节是没有休息的
[47:12] 然后就确实就让我们这个版本把它推上线
[47:16] 然后在小范围
[47:17] 当然这个一些原因不能让太大范围的去去制作
[47:21] 就小范围的让大家去使用
[47:22] 大家都很敬严
[47:23] 22年到23年转年
[47:26] 是不是你们生活发生了巨大的变化
[47:27] 是
[47:28] 整个就是有点那种
[47:31] 网上有个话叫
[47:33] 十年干什么什么无人知
[47:35] 一招什么什么天下小
[47:37] 其实类似
[47:38] 就是你之前其实做了很长一段时间
[47:40] 你想想我们从19年开始搞这个算法
[47:43] 20年自己研究这个算法
[47:44] 21年22年把模型训练出来
[47:46] 然后把这个东西想要商业化
[47:48] 想要去跟投资人聊说
[47:49] 这个东西未来的前景多么多么大
[47:50] 这两三年时间
[47:52] 其实是我们一直在努力在做这些事
[47:55] 而且也取得了一定的我们认为的一些成果
[47:57] 但是确实比较艰难
[47:59] 因为大家对这件事情的理解非常
[48:01] 认知非常浅非常少
[48:03] 所以这个时候你就很难
[48:05] 而且大家对于AI 1.0的思想
[48:07] 容易去昧了那个时候
[48:09] 对你说你要做第二代AI又怎么样
[48:11] 没错他就把我们拿着跟AI比
[48:13] 你跟他们有什么差别
[48:15] 然后我们只能回归到技术上来说
[48:17] 这本质上是有很大的差别的
[48:19] 但这种技术上的这种本质的差别
[48:21] 这种东西其实在市场来看
[48:24] 离他们好像很远
[48:26] 他们那个时候还不太相信说
[48:27] 像现在这样
[48:29] 研究和产业和钱和市场用户之间会这么短
[48:34] 他们不相信这个
[48:35] 他们认为说你突破这个东西挺好的
[48:38] 五年以后再找我
[48:39] 没想到这么快
[48:40] 对他没想到那么快
[48:41] 因为大家的认知还是惯性的在往前走
[48:43] 他不是一个革命性的一个看法
[48:45] 他不认为你是个革命
[48:46] 他只是认为你是个线性的一个线性外推
[48:48] 对对对
[48:49] 所以二三年一转年就感觉浪来了
[48:51] 对吧
[48:52] 一瞬间大家就一下子就热血上头
[48:54] 这个多么好的一件事情
[48:56] 怎么怎么着
[48:57] 对吧
[48:57] 这个挺有意思的一件事
[48:59] 所以我们我个人反正在内心里一直很感谢
[49:02] 我们还做了很多事情
[49:03] 让我们觉得能借上这个利益
[49:05] 二三年有什么印象深刻的事情吗
[49:07] 最印象深刻的就那几个字
[49:09] 百摩大战
[49:10] 圈内的圈外的
[49:11] 因为之前你们做这个事情还是很低调的
[49:13] 对吧
[49:13] 就是关注人很少
[49:15] 也无人问津
[49:16] 然后二三年这变成一个市场名牌了
[49:18] 是是是老王也来了
[49:20] 然后一下大模型有六小龙
[49:22] 你看那个时候就熟识的人啊
[49:24] 好多熟识的人
[49:26] 小川我师兄
[49:27] 是吧
[49:28] 知灵从我们学院是出去的
[49:31] 然后对
[49:32] 你看身边的很多人就啪啪啪啪分别分就跳进来
[49:35] 包括那个呃现在的归基呃
[49:38] 后来袁敬辉袁敬辉袁老师
[49:41] 我们也认识他很多年啊
[49:42] 他他之前在光年之外对对对对
[49:44] 联合创始人被会文拉进来的吗
[49:47] 你看这身边很多人都站到了里头
[49:50] 然后那个不认识那就更多了
[49:52] 那就不用讲了
[49:53] 所以二三年呢
[49:55] 特别热闹百摩大战对
[49:57] 纷纷扰扰的
[49:57] 特别热闹
[49:58] 是什么感觉呢
[50:00] 就是我们在这里已经做了好几年
[50:02] 你们现在突然之间一夜之间全来了
[50:05] 我觉得就两个就感觉上感受上就是两个感觉
[50:09] 第一个感觉呢
[50:10] 就特别兴奋
[50:11] 就这个事已经来了一个很大的一个机会
[50:14] 很大的一个浪潮
[50:15] 大家都不用再去教育
[50:17] 投资也好
[50:17] 市场也好什么也好
[50:19] 大家都不用再教育
[50:20] 而你做这个事情
[50:21] 大家也知道我平常干这个事吧
[50:23] 行挺好的
[50:25] 然后第二个呢
[50:26] 其实还是呃
[50:27] 说实话我个人来说还是有点焦虑
[50:30] 嗯有点担心
[50:31] 因为每封大浪过来再往后看一遍
[50:35] 就是可能就是一片狼藉最后留不下银沙
[50:38] 嗯挺害怕这种状况
[50:39] 做最早不一定能留下
[50:41] 这个是焦虑的
[50:42] 我倒不是焦虑这个
[50:43] 我倒是我我我都对我们能留下
[50:45] 或者说我们能做出来这件事情倒不是特别怀疑
[50:49] 我怀疑我怕的是整个这个市场有一个极端走向另外一个极端之后
[50:55] 然后塌掉之后再很难回来
[50:56] 然后塌掉之后再很难回来
[50:56] 然后塌掉之后再很难回来
[50:57] 就烈火烹油之后剩下的是啥
[51:01] 如果这个市场都没有了
[51:02] 你做的再好也没用
[51:03] 为啥市场会没有啊
[51:04] 因为我们看到太多这种事情了
[51:06] 就大量的资本也好
