[00:05] Hello大家好,我是小骏
[30:40] 有最好的效果
[30:41] 我就最高的定价
[30:42] 也有好的margin
[30:44] 所以它是做了一个塔尖的
[30:45] 金字塔塔尖的一个市场
[30:47] 所以就看它未来能不能守得住这个市场了
[30:50] 这个很有趣
[30:52] 所以总结来讲
[30:53] 我觉得AnswerPick更像是战略的一个胜利
[30:57] 或者产品专注的胜利
[30:58] 或者文化呀
[31:00] 我觉得这几个隐形要素是比较重要的
[31:03] 不然它们不可能从落后的一个位置杀出来了
[31:06] 不然早就挂掉了
[31:07] 你讲到AnswerPick它做的是塔尖用户
[31:10] 那OpenAI现在也开始注注coding
[31:13] 它现在没有办法掉头了呀
[31:15] 因为它已经成了一个大DAU的产品
[31:17] 那它应该怎么做它的战略和定位呢
[31:20] 我get到的sense就是
[31:23] OpenAI也要把coding放到最高级
[31:26] 其实GPT5.4的coding能力
[31:29] 最近社区反馈是非常好的
[31:31] 甚至不弱
[31:32] 但
[31:33] Agentic能力还是弱一些
[31:37] 我的感觉是它的coding能力已经上来了
[31:40] 其实Agentic能力上来有可能也是时间问题吧
[31:43] 所以最后就看那个塔尖的市场
[31:46] 是不是能守得住吧
[31:48] 我觉得不好说
[31:50] 如果它做得很强的话
[31:52] 那你还能不能只做那个高端市场
[31:55] 我是感觉OpenAI的人才密度
[31:58] 资源
[31:59] 能力
[32:00] 其实也是不差的
[32:02] 我觉得也不需要去战略不太聚焦
[32:05] 或者没有意识到coding如此重要
[32:07] Dropit在商业晃上现在除了coding还有其他的吗
[32:10] 我觉得就是把Agentic做好吧
[32:12] 也把Agent的产品
[32:14] 一方的Agent产品做好
[32:16] 其实最终的目的就是用Agent
[32:19] 用AI去automate整个GDP对吧
[32:22] 如果从long term来看我觉得
[32:25] OpenAI也好
[32:26] Dropit也好
[32:27] Google也好
[32:28] 最终都是奔向一个事
[32:31] 的AI researcher
[32:32] 或者AI scientist
[32:34] 帮你去做很多
[32:35] 基础科研的一个研究探索
[32:38] 因为我们知道
[32:39] OpenAI有上市计划吗
[32:40] October今年有上市计划吗
[32:42] 有可能十月份
[32:43] 十一月份吧
[32:44] 我估计年底
[32:45] 是不是都会上市
[32:46] 它不都上市了
[32:47] 会对于这些公司
[32:49] 人来说会有什么影响吗
[32:52] 你说内部员工吗
[32:54] 还是什么
[32:55] 内部员工
[32:56] 就都有钱了
[32:58] 我觉得
[32:59] researcher朋友们
[33:01] 都是很担心自己的工作的
[33:03] 我过去一个季度
[33:05] 最大感受是
[33:06] 最牛逼的AI researcher
[33:08] 都担心自己
[33:09] 一到两年后没有工作了
[33:11] 可能自己
[33:12] 未来一到两年
[33:14] 可能是
[33:14] 仅有的一个工作的窗口吧
[33:17] 因为后面
[33:18] AI可以automate
[33:20] 整个AI research了
[33:21] 自动化的
[33:22] 研究的workflow
[33:23] 有可能是
[33:25] 未来一两年
[33:27] 是最关键的
[33:28] 他们工作和
[33:29] 赚一些钱的窗口
[33:31] 就有了
[33:32] 这么悲观吗
[33:33] 那以上是
[33:35] 硅谷育三家的第一家
[33:37] onthopic
[33:38] 接下来我们来聊聊
[33:39] 我们最熟悉的openAI吧
[33:42] 对
[33:42] openAI
[33:43] 我觉得上一期播客
[33:44] 其实聊了很多好的地方
[33:46] 对吧
[33:47] C端遥遥领先
[33:48] 对吧
[33:48] 九个多亿的周活
[33:50] 但最近比较flight
[33:51] 没怎么涨
[33:52] 五六千万的付费用户
[33:54] 过去立了过两次
[33:56] 翻身上新
[33:57] 下一次大概
[33:58] 大概率也是openAI能立的
[34:00] 它的新的模型
[34:01] spark应该很快发了
[34:02] 大概率也是很强的
[34:03] 还是一个待机上的一个提升
[34:05] 反正综合的实力和人才密度
[34:08] 都还是挺强的
[34:09] 也比较重视research
[34:11] researcher
[34:12] 其实在内部
[34:13] 也比较像一等公民
[34:14] 但现在问题是什么呢
[34:16] chatGPT
[34:18] C端看着赢了
[34:19] 但发现
[34:20] coding比chatbot要大很多
[34:22] 可能大十倍到一百倍
[34:24] 所以这是一个最大问题
[34:26] 对
[34:27] 我想问问
[34:28] openAI是什么时候
[34:30] 意识到coding很重要
[34:31] 开始加码的
[34:33] 我猜也就两三个月之前
[34:35] 因为之前还忙着跟google gemini
[34:38] 去抢c端的流量
[34:40] 去抢dao去做增长
[34:43] 其实你看meta来了
[34:44] 那个fiji做商业化
[34:46] 对吧
[34:46] 我感觉他还是像互联网的老人
[34:49] 其实你发现那个并不重要
[34:50] 其实是对coding有严重的战略误判
[34:54] 包括google
[34:55] 我感觉也被带沟里了
[34:57] 其实大家对coding都有战略误判
[34:59] 其实不应该再用
[35:00] 互联网思维
[35:01] 用dao这些思维再去看这些东西了
[35:03] 我看fiji已经被调了
[35:05] 我估计可能是不是背锅去了
[35:07] 这个战略决定跟最近sora被关掉会有关系吗
[35:13] 因为我觉得他可能意识到了coding才是主线
[35:16] 多么他不是
[35:17] 那应该更加的战略聚焦
[35:20] 我觉得肯定有关系吧
[35:21] 因为gpu太有限了
[35:22] 其实多么他还挺好卡的
[35:25] 其实你说sora发出来之后
[35:26] 那么多人
[35:27] 即便你模型做好了
[35:28] 那么多人去创作
[35:30] 这个对欧巴有什么好处呢
[35:31] 好像也没什么好处
[35:33] 所以在ai时代
[35:35] dau不重要
[35:36] 不知道
[35:37] 我觉得这个是开放答案
[35:39] 嗯
[35:40] 有可能重要
[35:41] 有可能
[35:43] 只有塔尖的token usage更重要
[35:47] 因为绝大多数人的智力没有模型高了
[35:51] 那我不知道人类在整个社会中的价值
[35:55] 是不是发生了变化
[35:57] 那人类价值发生了变化
[35:58] 谁给ai买单呢
[36:00] 那塔尖的用户创造了更多东西
[36:03] 你比如说脑科学材料
[36:05] 新的药物治疗人类所有疾病
[36:09] 好像又会有生产力的提升吗
[36:12] 那通过税收来调整
[36:14] 进入福利社会
[36:17] 但是这个对美国肯定是挑战很大的
[36:22] 因为美国是一个中产社会
[36:23] 一个多亿的中产对吧
[36:26] 程序员律师医生中介
[36:30] Banker
[36:31] 其实我是感觉可能
[36:34] 很多人在未来一两年就是没有工作
[36:37] 这个肯定会带来社会的贫富差距拉大
[36:42] 矛盾的激化
[36:44] 你说Sam最近有两次被袭击
[36:47] 我感觉有可能未来这种事情会越来越多
[36:49] 肯定会有这种情况
[36:51] 你有没有觉得有一个现象是
[36:53] 在美国对于AI的情绪更悲观
[36:56] 在中国更乐观
[36:58] 我觉得在硅谷的话啊
[37:00] 是很乐观的吧
[37:01] 但有可能
[37:04] 这里面重要的一个点是
[37:06] 技术变化太快
[37:07] 进步太快
[37:08] 每个人都没有安全感
[37:10] 每个公司都没有安全感
[37:12] 甚至说大家都担心自己未来一两年
[37:14] 两三年以后工作都没了
[37:16] 所以有点那种末日论的感觉
[37:19] 但是我是感觉AI终究会带来繁荣
[37:23] 但是这里面可能会有一个痛苦的窗口
[37:26] 因为人类没做好准备
[37:28] AI过去一个季度的
[37:30] 智商的进步
[37:31] 可能比人类过去两百年智商的进步要快
[37:35] 那我们没做好准备怎么驾驭好这个
[37:38] 因为很多的工作还是过去的范式
[37:42] 所以这个错位有可能是比较痛苦的
[37:45] 刚才我们说了
[37:46] Anthropic和OpenAI
[37:48] 那你觉得目前Cultode和Codex
[37:51] 它的市占率分别是多少
[37:53] 我看Sam在推特上宣布了
[37:56] Codex有个三百万的活跃用户
[37:58] 应该是周活跃对吧?
[38:00] 那Cloud Code我猜可能一千五到两千万
[38:03] 我估计可能是一个七比三的关系
[38:08] 猜测
[38:09] 我没有准确数字
[38:10] 我只是猜测
[38:11] 你看意识到Coding非常重要的
[38:13] 还有一家公司Cursor
[38:14] 但是我们到现在都没有提起来
[38:16] 模型公司现在都把Coding当作主线去卷
[38:19] 那像Cursor这样的应用公司
[38:22] 虽然他们也自己开始训练模型了
[38:24] 那你觉得这个公司后面怎么办
[38:26] 你看好吗
[38:27] 如果最强的模型公司
[38:29] 不把Mesos跟Spar的最强模型API开放出来
[38:35] 而是优先通过产品
[38:37] 通过agent或者cowork的方式提供出来
[38:40] 优先弄好自己的产品和生态
[38:43] 那Cursor用不了最强的模型怎么办呢
[38:46] 因为Cursor的本质还是吃到了模型公司技术溢出的红利
[38:50] 那如果模型公司选择不溢出了
[38:53] 那好像也合理
[38:55] 就像自己接触嘛
[38:56] 除非有一种情况是开源的模型
[38:59] 或者自己trade的模型
[39:01] 也跟frontier差不多了
[39:03] 但今天肯定还是有一个gap
[39:05] 所以我感觉Cursor最好的是卖给微软做开发者
[39:10] 可能还是比较好的
[39:13] 或者卖给马斯克
[39:16] 对
[39:17] 所以Cursor minus opencloud
[39:20] 它的本质可能是一样的
[39:22] 都是吃了模型公司技术溢出的红利
[39:25] 但是它是阶段性的
[39:27] 大家都有窗口
[39:28] 有的人可以借助
[39:29] 窗口变成一个伟大公司
[39:32] 当然有的窗口终归是阶段性窗口吧
[39:37] 就是壳公司好像还是阶段性的窗口
[39:39] 对吧
[39:41] 不一定
[39:41] 有的壳可能是有价值的
[39:44] 如果未来有新的交互了
[39:45] 用户的context都在了
[39:47] 我觉得是存在窗口的机遇的
[39:51] 只是说模型公司作为大哥
[39:54] 他也想吃掉这块肉
[39:55] 就看谁的速度快了
[39:58] 嗯
[39:59] 今天问题是模型公司的速度
[40:00] 好像比创业公司速度更快
[40:02] 他自闭华了吗
[40:04] 对
[40:05] 那说回OpenAI
[40:06] 你对OpenAI的前景
[40:08] 现在是觉得更乐观还是更悲观啊
[40:11] 如果这几家模型公司都交替着往前走
[40:14] 未来比拼的关键是什么呢
[40:16] 我对全球领先的三四家
[40:18] 甚至三五家模型都很乐观
[40:20] 我觉得未来这些模型公司都非常重要
[40:23] 现在市场对OpenAI的叙事是比较悲观的
[40:27] 我是没有那么悲观的
[40:28] 我觉得
[40:29] 有50%的概率
[40:31] 整个AGI最终的winner
[40:33] 可能还是OpenAI
[40:36] 因为在这个时代
[40:37] 今天胜利的秘籍可能就是下个时代的毒药
[40:40] 对吧
[40:41] OpenAI在ChatterGPT过于成功
[40:43] 让他们专注2C
[40:45] 而忽视了coding
[40:47] 因为要重视那个inference的成本
[40:49] 所以模型一直没有做很大
[40:51] 那今天Anthropic的成功呢
[40:53] 更多还是渐进式积累的
[40:54] 把细节做好
[40:55] 我觉得更多是执行的胜利
[40:57] 专注或者组织的一个胜利
[40:58] 但有可能并不一定能抵御住OpenAI下一个范式级的突破
[41:03] 因为OpenAI它有一种文化是自下而上的
[41:06] 就放开你去自由的探索
[41:08] 因为今天coding能力很强了
[41:10] 可能一两个人就能干出来一件惊天动地的大事
[41:14] 有可能未来决定胜局的可能就是一两个人
[41:17] 有可能
[41:17] 就是OpenAI的这种文化下是有可能搞出惊天动地的新范式的
[41:25] 所以今天你看着有的优势
[41:27] 都不见得是优势了
[41:28] 我觉得未来今年一年年内格局是定不下来的
[41:33] 过去三年格局都没稳定过
[41:35] 只是持续的淘汰赛
[41:36] 今天又是巡回赛
[41:38] 可能还得打一年
[41:40] 就是以前所谓的壁垒是防冷兵器的
[41:45] 对吧
[41:46] 但今天是各种现代化武器模型又开始自我迭代
[41:51] 我是感觉以前讨论那些壁垒
[41:53] 不知道
[41:54] 规模效应
[41:55] 数据飞轮
[41:57] 网络效应
[41:57] 可能都不知道
[41:58] 有可能未来有未来的这些东西
[42:01] 你觉得OpenAI有什么做得不好的地方吗
[42:03] 你刚才也说的
[42:04] 你批评一下他
[42:06] 我觉得还是有不少做得不好的地方的
[42:09] 我觉得这个可能也是值得借鉴或引以为戒的
[42:14] 我觉得最大的可能就不够聚焦
[42:16] 因为SAM它还是一个VC出身
[42:18] 容易摊大饼
[42:19] 对吧
[42:19] 就什么都想要
[42:20] 也比较容易FOMO
[42:22] 其实它文化也是自下而上的
[42:25] 反正自下而上这个呢
[42:27] 分硬币的两面
[42:28] 有好有坏
[42:29] 你比如说多摩泰
[42:31] 比如SORRER
[42:32] 其实以前应该是一个支线
[42:34] 但团队都在努力的推
[42:36] 说很重要
[42:37] 对吧
[42:38] 去找SAM要卡
[42:39] 那SAM还是会allocate很多资源给到SORRER团队
[42:42] 其实就很像VC去allocate的Capital嘛
[42:46] 其实没啥拒绝
[42:48] 有可能这是SAM它不是技术出身的原因嘛
[42:50] 可能团队要
[42:52] 那就给了
[42:53] 想做的项目可能也很多
[42:55] 另外一个点
[42:56] 我感觉他们文化也很重要了
[42:57] 另外一个点 我感觉他们文化也很重要了
[42:57] 文化上是特别value这种零到一的突破
[43:01] 但是没有那么value一到一百的突破
[43:03] 那这种文化引导向来就会导致很多人依过很强
[43:07] 就没有人做脏活累活苦活
[43:09] 所有人都想去做突破性的工作
[43:11] 所以就没有人踏踏实实的搞数据
[43:13] 清理数据
[43:14] 做好产品运营
[43:15] 对吧
[43:15] 包括你看ChadGP这个产品很成功
[43:18] 但是感觉又没有灵魂
[43:20] 你都不知道ChadGP这个产品经理是谁
[43:23] 是SAM还是谁
[43:26] 对
[43:27] 所以我是感觉
[43:28] 没有灵魂
[43:29] 对
[43:31] 它更多是一个技术模型很牛逼
[43:33] 比如说ChadGP很成功
[43:36] 规模这么大
[43:38] 但是总感觉产品最好
[43:40] 那你交给字节这种文化下
[43:42] 做ChadGP这种产品
[43:44] 我感觉肯定是做的更成功的
[43:46] 说回来
[43:46] OpenAI可能最大的战略误判还是
[43:49] 整个预训练和coding这两个没做好
[43:52] 这两个还是最根本的
[43:53] 因为之前它是有很强的
[43:56] 领先优势的
[43:57] 可能领先一年两年
[43:58] 因为SAM不是技术出身
[44:01] 可能对技术路线或者做哪些技术决策
[44:04] 可能还是不如
[44:06] Sorpy这种技术出身的人更果断
[44:09] 其实你刚才说ChadGP没有灵魂
[44:12] 我在想会不会今天的产品
[44:13] 其实不需要人赋予他灵魂
[44:15] 因为本质是AI抢
[44:17] 你要一个产品经理去赋予他的灵魂
[44:20] maybe是一种ego
[44:21] 我觉得有可能最后只拼GPU了
[44:24] 因为最后大家都能卖过那个基点
[44:26] 可能全球4.5%的产品经理去卖了GPU了
[44:27] 全球3.5%家5.6%家都能卖过AI的基点
[44:31] 有可能就是拼GPU了
[44:33] 因为AI自己成长的比人快
[44:35] 已经自动化了AI的research整个process
[44:40] 有可能研究员插不上手了
[44:42] 刚才我问你今天的Anthropic被高估了吗
[44:46] Nam今天的OpenAI被低估了吗
[44:49] 我觉得阶段性被低估了吧
[44:51] 因为最本质的还是模型的进步
[44:53] OpenAI这个文化这个组织
[44:55] 我觉得还是能继续推出来
[44:57] 我判断OpenAI的coding和agentic的能力
[45:01] 大概率还是能追上Anthropic
[45:04] 因为最近战略大转向我觉得也是个好事
[45:07] 然后我觉得更多是两个公司的文化
[45:11] OpenAI一直想做爱因斯坦
[45:13] Anthropic就是把整个白领工作给automate
[45:17] OpenAI想跨过coding
[45:19] 以前没那么重视coding
[45:21] 想直接去做爱因斯坦
[45:22] 但是你发现这条路很难
[45:24] 而且没那么实用
[45:25] 因为
[45:27] Anthropic做的很实用
[45:29] 实战特别好
[45:29] 所以revenue爆发也快
[45:31] 有可能让他们获取更多资源
[45:34] 加速整个AGI
[45:35] 有可能是一个特别务实的路线
[45:37] 但OpenAI今天也意识到这条路线很重要
[45:41] 所以也调转墙头
[45:43] 也要把这条路做好吧
[45:45] 所以我的判断是OpenAI也不会掉队
[45:50] 可能跟Anthropic可能还是齐头并进
[45:53] Google肯定也能上来
[45:55] 所以取决于
[45:57] coding的难度系数
[45:58] 所以我是感觉今年的格局肯定还是定不下来
[46:01] 还是你追我赶交替领先链
[46:03] OpenAI马上就要发新模型了
[46:07] 对于即将要发布的模型
[46:08] 你有哪些观察和预测吗
[46:11] 我觉得是真正意义上的GPT-5
[46:13] 之前GPT-5跳票太多了
[46:15] 之前的5.1 5.2 5.4
[46:19] 可能更多还是GPT-4 level的model
[46:22] 我觉得SPAR有可能是真正意义上GPT-5代际上的提升
[46:27] 第二个有可能他们在SWAIT软件开发软件工程
[46:33] 有可能还是没有Anthropic强
[46:36] 但是其他地方可能都会大幅的提升
[46:38] 因为Anthropic在coding在软件工程是优化特别多的
[46:43] 但是长期来看agent的能力
[46:45] 我觉得都是能上来的
[46:47] 第三就是我感觉chat和code
[46:50] 那个all in one的产品可能是对的策略吧
[46:54] 但SPAR的更多是一个新的平台嘛
[46:57] 未来可能每个月都有新的model出来
[47:01] 在这个平台上持续迭代
[47:03] 有可能会迭代很久
[47:04] 我觉得最后可能还是比拼算力了
[47:06] opend算力可能比Anthropic要多很多
[47:09] 那取决于后面的迭代速度了
[47:12] 那接下来我们来聊聊硅谷育三家的最后一家
[47:16] 巨头Google的Gemini
[47:18] 对我感觉Gemini 3.0当时是被高估了
[47:21] 其实benchmark刷的很高
[47:23] 其实你看C端其实没有持续增长
[47:26] 用户也不太买单了
[47:27] 虽然Gemini看起来很好
[47:29] 但实际体验用起来也没那么好
[47:33] 我感觉benchmark有点过度优化了
[47:36] 产品能力不行
[47:38] 其实你看Gemini 3.0连PC的桌面板
[47:41] 今天都还没有
[47:43] 然后他们更多还是一个工程师
[47:45] 或者技术驱动的文化吧
[47:47] 其实PM这个文化好像也没有那么强
[47:51] 或者没那么强势吧
[47:52] 其实你看Gemini 3.0当时热度很高
[47:55] 感觉像
[47:57] Google王者归来
[47:58] 除了让Google的股价翻倍了
[48:00] 证明不是AI的loser了
[48:02] 其他好像也没捞到太多好处吧
[48:05] 那个3.1好像也没有真的大的突破
[48:09] 我觉得反而让他们沉浸于Gemini 3.0的
[48:14] 成功喜悦之下
[48:16] 严重误判了coding的重要性
[48:18] 这个可能还是一个失误吧
[48:21] 然后但我听说最近coding也上到了公司最高月限级
[48:24] 但其实已经晚了三四个月了
[48:27] 还意识到coding的重要性
[48:30] 其实有时候火一个模型其实没啥
[48:34] 还是要持续的deliver牛逼的模型可能更重要吧
[48:37] 其实Gemini之前战略上更重是c端和多摩泰
[48:41] 其实是忽视了coding的
[48:43] 因为25 26年可能是c端格局最关键的两年窗口
[48:47] 因为你错过了c端
[48:48] 有可能未来也搬不回来了
[48:50] 那个所以就忙着跟Chad HP争c端
[48:53] 这个反而给了Anthropic在coding一个非常好的方式
[48:57] 黄金窗口
[48:57] Anthropic过去也抓住了
[48:59] 但其实有可能这个时候Google应该降低在多摩泰的投入
[49:04] 优先把coding这个补回来了
[49:06] 如果你coding落后三个月以后可能就落后一年
[49:10] 因为它会放大
[49:11] 我觉得主要还是组织问题吧
[49:13] Google的组织文化可能也跟Open这两个更像
[49:17] 就是说它是一个自下而上的文化
[49:20] 每个人可能都有自己想做的
[49:22] 有重要的人
[49:23] Senior的人占着位置
[49:24] 有些东西可能也不容易被加上去
[49:27] 然后反正我感觉Gemini的印度人比例越来越多了
[49:33] 我也不知道这是一个好的信号还是一个坏的信号
[49:37] 反正我觉得长期来讲
[49:39] Google还是叫最领先的追随者
[49:42] 资源和布局上没啥短板
[49:45] 战略上只要跟随Anthropic和Openapp就还可以
[49:49] 我觉得掉队的可能性是很低的
[49:51] 但短期好像还是需要调整的
[49:54] 短期我觉得可能也拿不出太多牛逼
[49:57] 的东西
[49:57] 拉长看总是能追上去的
[50:00] 我觉得拉长看Google可能是最稳的
[50:03] 因为算力是最足的
[50:05] 现金流是最足的
[50:07] 其实Google的Worst case就是
[50:09] TPU都可以变成另外一个英伟达
[50:11] 对吧
[50:12] 然后反正虽然他们有Politics各种组织移动缓慢各种问题
[50:19] 但是你看这个公司已经到第三代职业经理人了
[50:23] 这个挺厉害的
[50:24] 其实很少有科技公司能到第三代职业经理人了
[50:27] 而且运行的很好
[50:29] 它更像是一个机器或者体系化的运转了
[50:32] 甚至说你可以任意换掉一两个两三个人
[50:36] 好像对这个机器都没啥太大的影响
[50:39] 而且他们优势有很多
[50:42] 有操作系统
[50:43] 有Google Workspace
[50:44] 对吧
[50:45] 然后你刚才说的一个点很有意思
[50:49] 你说发一代非常厉害的模型没啥用
[50:54] 要持续的deliver模型
[50:55] 那这种持续性
[50:56] 你觉得是有什么带来的
[50:58] 第一你每年要几百亿美金的投入
[51:01] 第二你管理层
[51:03] Founder的魄力
[51:05] 认知
[51:06] 战略的Bat
[51:08] 第三你要有牛逼的团队
[51:11] 其实我感觉持续deliver牛逼的模型是对所有科技公司的一个大考
[51:18] 其实这个考验是巨大的
[51:20] 有没有公司每年能投几百亿美金
[51:23] 连投三到五年
[51:25] 管理层是不是有这个认知
[51:26] 有没有这么多人才的吸引力
[51:29] 号召力
[51:30] 而且要对的团队
[51:32] 而且要有战略的Bat
[51:33] 今天只有一个模型都不够了
[51:34] 而且要跟产品策略结合
[51:36] 所有人去做coding
[51:37] 你也不能全部都只follow
[51:40] 那你肯定也站不到前面
[51:42] 肯定要有自己的Bat
[51:44] 对吧
[51:44] 在callback你之前说的一句话
[51:47] 就是你说你提到Authropic的时候
[51:50] 说当所有人觉得RL强化学习好的时候
[51:53] 他们也没有把强化学习当成神
[51:55] 也没有去做
[51:56] 所谓的reasoning model
[51:58] 而是选择Bat了coding
[52:00] 这成就了Authropic今天的地位
[52:03] 那同样今天当所有人都在追赶coding
[52:05] 我们是不是能够跳过这一幕
[52:08] 去直接Bat下一步
[52:09] 你觉得还成立吗
[52:10] 既然coding都做慢了
[52:12] 那跳过它可不可以呢
[52:13] 我觉得没必要跳过
[52:15] 它可能还是一个基础能力
[52:16] 除非有一种可能就是
[52:19] C端这个个人助理
[52:21] 未来可能真的非常重要
[52:23] C端可能跟这个高价值任务是融合的
[52:25] 也有可能coding和
[52:26] agentech这种高价值任务的能力
[52:29] 最后大家都能追上来
[52:30] 但你掌握了C端的分发可能还是很重要
[52:34] 除非说你说你去做数学
[52:36] 但数学能表达的东西比较有限
[52:38] 或者你去做世界模型
[52:39] 但世界模型今天还没有proven
[52:41] 包括你做下一代范式
[52:44] 但下一代范式呢
[52:45] 这几个frontier lab都投入很大
[52:48] 有可能是在巨人的肩膀上实现的
[52:51] 我不知道跳过去做啥
[52:53] 就是好像今天这个大惊慌
[52:56] 就跳过来了
[52:57] 从chatbot第一幕到coding agent第二幕
[53:01] 到第三幕就是
[53:03] 一个automated AI researcher
[53:05] 好像这三幕
[53:08] 就是主线
[53:09] 你跳出去是不是就偏离主线了
[53:13] 那现在来总结一下上面这些硅谷玉三家吧
[53:18] 对
[53:18] 我觉得硅谷玉三家过去三年
[53:21] 有时候你觉得open爱无敌
[53:24] 三四个月前又觉得gemini王者归来
[53:26] 今天是unsurprick春风得意
[53:29] 我是感觉每个公司都有自己的窗口吧
[53:31] 各领风骚一百天
[53:33] 还是会交替领衔
[53:35] 以这三家的人才资源和组织
[53:38] 我感觉都不太会轻易掉队
[53:41] 短期时被低估了你就买谁的股票就可以
[53:44] 因为这些公司年底都IPO了
[53:46] 有可能未来就是
[53:49] 他们IPO以后
[53:51] 投资者会卖其他的所有科技公司去买模型公司
[53:55] 模型公司可能就
[53:56] 就是未来
[53:58] 科技投资的主线
[53:59] 就刚才提到
[54:00] 能做好的模型或做好的AI产品是
[54:03] 对所有科技公司的一个大考
[54:05] 做不好可能就是要被淘汰的
[54:08] 做得好可能就是受到投资者
[54:11] 喜欢的
[54:13] 好的 again这里不作为投资建议
[54:16] 那除了这个硅谷玉三家我们也点评一下Mita TBD和
[54:20] XAI吧你看一季度Mita在重金挖人之后开始交作业了
[54:25] 你看好
[54:26] XAI和
[54:27] 三大王主导的Mita大模型吗
[54:30] 他们的到底在back什么呀
[54:31] 我觉得Mita是最有机会的挑战者
[54:34] 其实已经取代了XAI
[54:35] 成为了硅谷
[54:37] 4号种子选手
[54:39] 其实Mita TBD这个team人才密度是很高的
[54:43] 也知道各家的know-how因为他们从各个AI lab汇聚过来
[54:46] 其实进步速度是很陡跳的9到10个月
[54:49] 做出了一个还不错的model
[54:51] 我觉得长期
[54:53] 模型能力上是有机会catch up
[54:55] tier1
[54:56] 其实你看他们思路也比较简单就是
[54:59] 七八成就学Google
[55:01] 对标Gemini对吧
[55:02] 也有nono banana
[55:05] 他们也有一个mongo
[55:06] 纹身图的模型多么泰模型
[55:08] 另外可能20%也
[55:10] 也学OpenAI吧就是OpenAI的post-train和R2做的比较好
[55:14] 但是我感觉Mita这边的产品战略还不知道
[55:18] 是不是清楚
[55:19] 即便他未来有一个好的
[55:21] model了
[55:23] 但总是要把这个好的model
[55:25] 最后deliver到产品上的
[55:26] 我感觉以Mita的
[55:29] 特点可能还是做个人助理个人朋友
[55:31] 会好吧
[55:32] 就是更低门槛
[55:33] 或者就是把OpenCloud做一个更低门槛的
[55:37] 包括你看他们收购了Manus
[55:38] 如果真的能用好Manus有可能也是
[55:41] 挺有机会的
[55:42] 我觉得是
[55:44] 后面比较期待Mita到底推出什么样的
[55:47] agent的产品
[55:48] 但说实话我是感觉中国公司的
[55:50] 中国团队的产品创新力都比Mita要强的
[55:53] 其实硅谷公司是擅长
[55:56] 技术
[55:56] 模型这个layer的创新
[55:58] 其实中国
[56:00] 团队是擅长产品的创新的
[56:02] 我是觉得Mita产品创新力
[56:04] 并没有字节那么强
[56:06] 其实
[56:07] 你产品和模型code design一起做好
[56:09] 向下反推模型
[56:10] 可能也是一个思路
[56:12] 但另外就是长期看
[56:14] 我不知道Mita这个团队稳定不稳定吧
[56:16] 因为
[56:17] 砸钱这个文化
[56:18] 也不知道是不是健康的
[56:19] 因为你砸钱很多钱
[56:22] 很多人就是为了赚钱
[56:24] 就在这
[56:26] 先狗着
[56:27] 先deliver成绩单好了
[56:29] 就
[56:30] 可能就不容易
[56:32] take a risk
[56:33] 愿意去冒险
[56:35] 我感觉OpenAI还是愿意冒险的一个文化和组织
[56:38] 创新力是比较强的
[56:39] Mitas被吸收进了Mita
[56:41] 他们现在有什么整合动作吗
[56:44] 对我之前以为会集成到
[56:47] WhatsApp和inst
[56:48] 但好像一直还没做
[56:50] Mitas的
[56:51] 收入涨得挺快的非常快
[56:53] 因为这个产品
[56:54] 因为大家一直在喊
[56:56] Harness这个概念
[56:57] 其实Minas
[56:58] 我感觉是Harness的
[57:00] 鼻祖是一个
[57:01] 独立团队把Harness这些东西做得很好
[57:04] 那今天模型公司
[57:05] 把这个Harness这个概念像宗教一样
[57:08] 喊出去了
[57:09] 其实Minas更像是Harness的这个
[57:11] 这个鼻祖吧
[57:13] 看看后面能不能整合吧
[57:15] 就是主要可能是跟TBD的
[57:17] 这个关系
[57:19] 你觉得Minas进入到Mita会发展得更好吗
[57:22] 不知道
[57:24] 你觉得Minas卖便宜了还是卖贵了
[57:26] 卖便宜了
[57:30] 肯定卖便宜了
[57:31] 但是再过一两个月
[57:33] Opus都出来了
[57:35] Minas还怎么卖呀
[57:36] 我是感觉AI的Beta
[57:38] 更重要
[57:39] 整个大水漫灌
[57:41] 每个人都往上涨
[57:43] 就是
[57:44] 有可能我们今天不需要想终局问题
[57:47] 大水漫灌
[57:48] 每个人都涨得很快
[57:50] 就是Minas当时如果更快是
[57:53] 可能有机会
[57:55] 更快更快
[57:56] 更早的做到一个币链两个币链的
[57:58] AR
[57:59] 有可能他今天就是一个百亿美金估值
[58:01] 其实中间可能
[58:04] 还可以更快
[58:05] 好的
[58:06] 那
[58:06] 马斯克的FCAI他们最近也是刚刚经历了人世的
[58:11] 大震荡
[58:12] 那不到底发生了什么
[58:13] 我感觉跟他们错过整个coding的赛道也有关系对吧
[58:17] 以及我在想为什么马斯克他能够把
[58:20] Tesla FSD做的挺好的
[58:22] 做FCA却不行呢
[58:24] 就是
[58:25] 做FSD和FCA
[58:26] FCA这种大模型
[58:27] 它的本质差异是什么
[58:29] 对我感觉FCA
[58:31] 短期是有点掉队的
[58:33] 因为最核心团队
[58:35] 其实都离开了
[58:36] 其实founding team都挺强的都是世界级的
[58:39] 国动 自航 Tony这些
[58:41] 我觉得短期FCA是挺难的
[58:44] 至少可能现在不在一个正确的
[58:46] 路径上吧
[58:47] 除非说
