[00:03] Hello 大家好,我是小骏
[00:04] 2026年除了嘉宾访谈
[41:16] 对吧
[41:16] 那么他们可能很关注在是否可以把这一些具体的任务
[41:22] 给它执行好
[41:23] 给它落地好
[41:24] 所以这两位客户他们其实从最早的时候
[41:28] 关注点可能比较类似
[41:30] 但是现在其实关注的领域呢
[41:31] 关注的点
[41:32] 其实很分化
[41:35] 包括再举一个例子
[41:36] 比如说大模型团队
[41:38] 他们可能首先关注的是这些
[41:42] 最容易获取到的数据
[41:44] 比如说家居的
[41:46] 比方说这个其他的一些这个商超
[41:49] 等等之类的场景
[41:51] 可能一些工厂
[41:52] 来帮助他们去提升这些泛化性的认知
[41:55] 对吧
[41:56] 而这个机器人的客户呢
[41:59] 可能他们
[42:00] 有具体的就落地的路径
[42:02] 他们可能有的是去酒店
[42:04] 有的去不同的这个工厂的这些车间
[42:07] 比方车辆的工厂的车间
[42:09] 那他们有的可能比方说是去这个沙漠
[42:13] 去给这个太阳能
[42:15] 去换太阳能板
[42:16] 那他们更多关注的是在具体的这个业务场景的这些数据
[42:21] 我稍微有一个认知缺口啊
[42:23] 就是大模型团队这些做VLA的团队
[42:26] 和大模型团队做LLM的团队
[42:28] 应该是两个团队对吧
[42:29] 他们之间是什么样的协作关系啊
[42:31] 其实不同的公司不一样
[42:33] 那往往是两个不同的团队
[42:36] 但是呢其实他们是一个我认为合作极其紧密的团队
[42:41] 其实在这儿我觉得可能会包括大模型的
[42:44] 大圆模型的团队
[42:46] 大模型的世界模型的团队
[42:49] 还有大模型的VLA的团队
[42:52] 那么他们其实是一个我觉得极其共生
[42:56] 协作的一个关系
[42:58] 比如说
[42:59] V其实往往会用到一个基础的模型
[43:02] 那如果说你的这个公司已经是
[43:05] 全世界前五的大模型的这个能力
[43:08] 那么就完全可以用自己的极作模型去做
[43:11] 对吧
[43:12] 如果没有呢
[43:13] 如果没有我觉得就比较困难一些
[43:15] 所以我其实从我们角度来讲的话
[43:18] 我们可能合作的这些公司
[43:23] 数据量最大的往往都是同时具备
[43:26] 大圆模型的团队
[43:29] 还有VLA团队
[43:31] 这样的这个团队来做的这件事
[43:35] 那如果没有的话他肯定就会用其他的
[43:38] 比方说可能会用谦问
[43:39] 或者可能会用其他的这些开源的模型
[43:42] 对那当然这是其一
[43:45] 第二的话呢
[43:46] 就是说他们对于数据的理解
[43:48] 我认为是极其到位的
[43:50] 比如说不只是纯粹正确的数据
[43:54] 也包括纠错的这个数据
[43:56] 就是错误了以后再改正的数据
[43:58] 这个认知这个认知
[43:59] 其实很多都是从大圆模型来的
[44:02] 对其实因为他更加像人
[44:04] 另外呢就是说对于数据量是否可以接受
[44:08] 对于数据的饥渴程度也是远远不一样的
[44:11] 因为如果说你已经见过了很大量的一个需求
[44:15] 你对于这件事的预期
[44:17] 数据量的预期会很高
[44:19] 而如果说这个团队之前他的
[44:23] 所使用的数据量比较小
[44:25] 那他也很难一下子去开一个很高的一个数据量的口子
[44:29] 他的budget是完全不一样的
[44:31] 第三个点呢我其实认为是一个infrastructure
[44:35] 就是他的这些训练的基础设施
[44:38] 那我觉得卡是很相关的一个点
[44:41] 以及就是RL就是强化学习的这套的基础设施
[44:44] 是很相关的一个点
[44:45] 我举一个例子
[44:46] 可能机器人公司几千张卡已经很多了
[44:49] 但是大模型团队可能都是大几万张卡
[44:53] 所以这个是一个至少一个数量级的一个提升
[44:56] 另外呢就是强化学习的基础设施
[44:59] 可是这件事其实很难自言
[45:02] 很难自言很难为了巨深的模型
[45:05] 去做一道这个强化学习的大规模的并行的基础设施
[45:10] 而这些大模型团队
[45:12] 往往自己都已经有最好的这套基础设施
[45:14] 可以拿来即用
[45:16] 它只不过是从大圆模型的这个场景
[45:19] 迁移到了去微调VLA而已
[45:22] 所以LLM大圆模型团队是在做我们所谓的那个通用的大脑
[45:27] 没错
[45:28] VLA团队
[45:29] 是在做这个机器人大脑
[45:31] 但是它大概率不是从头开始迅的
[45:33] 它是基于了那个大圆模型的大脑
[45:36] 没错
[45:37] 那世界模型团队呢
[45:38] 这是新出现的吗
[45:40] 其实我们也看到我们的一些客户
[45:43] 他们可能在用他们的世界模型
[45:47] 或者说他们希望将来用这个世界模型
[45:50] 来作为这个一个基座模型
[45:54] 来做后面的VLA
[45:55] 因为我觉得世界模型其实有了更多的
[45:58] 对于物理世界的预测理解能力
[46:02] 而基于这个再加上相应的Action head
[46:05] 对吧
[46:06] 那么就可以做出来更优质的这个VLA
[46:08] 其实我认为世界模型和VLA是一个
[46:12] 很有意思的一个相互共生的一个关系
[46:15] 那世界模型可以作为基座给到VLA
[46:18] 那VLA呢其实又作为一个落地
[46:21] 给到世界模型相当反馈
[46:23] 这个是相很关键的一件事
[46:25] 那我举一个例子
[46:26] 如果我认为一件事
[46:27] 它的评判标准会越来越接近
[46:31] 可能这两件事将来就会是一件事
[46:33] 那比如说我认为在巨深
[46:37] 可能现在最棒的这个评测集
[46:41] 叫Behaviour
[46:43] Behaviour是李飞飞教授做的这套
[46:46] 基于仿真为巨深打造的一套这个评测集
[46:51] 它都是比较难的长程的这些任务
[46:55] 以及这些很难去解决的任务
[46:57] 去采集的这些数据去做到的
[47:00] 那么我个人也很有幸
[47:03] 就是在这个12月份的这个Nips的一个峰会
[47:08] 来帮助这个今年就是第一次Behaviour Challenge来颁奖
[47:14] 那么我发现一个很有意思的一个情况
[47:17] 就是其实去打这个Behaviour榜的这个团队
[47:22] 也有世界模型的团队
[47:24] 那他们其实就是基于他们底座的世界模型
[47:27] 基于这个Action Head对吧
[47:29] 然后去也就也去上了这个榜
[47:32] 也做的也很好
[47:33] 这个是一个
[47:34] 另外一个呢就是
[47:35] 另外一个我觉得很有意思的一个公司
[47:38] 叫Enact
[47:39] 它其实也是基于Behaviour这套的评价体系
[47:42] 本质上来讲是评价VLA的评价体系
[47:45] 做了一套去评价世界模型的评价体系
[47:49] 这个也是李飞飞团队做的
[47:51] 所以你可以看就是同样的一个benchmark
[47:55] 它又可以去做一个评价体系
[47:57] 又可以去作为评价VLA的标准
[47:59] 又可以去作为评价世界模型的标准
[48:02] 那如果评价系统越来越一致
[48:06] 很有可能将来这两件事会越来越
[48:10] 我觉得会越来越相关
[48:12] 那世界模型替代的不是VLA
[48:14] 世界模型替代的其实是大圆模型吗
[48:17] 我认为世界模型可能更多的会是在云端的一个大脑
[48:21] 而VLA我觉得它会是在端侧的一个大脑
[48:24] 我觉得这个可能是一个在长线
[48:26] 它们也会是一个共生的一个关系
[48:29] 那大圆模型呢
[48:30] 我认为大圆模型本质上来讲
[48:33] 大圆模型在数字世界已经具备了一定的世界模型的能力
[48:36] 但是它其实缺乏对物理世界的理解
[48:39] 我认为世界模型是有物理世界的理解能力以及预测能力的
[48:44] 而我认为巨深的VLA可能更多的是需要在物理世界
[48:48] 有更加精确的有效的以及高效的一个行动力
[48:52] 所以我认为这三者可能还是不太一样
[48:55] 但是呢这三者可能后面的训练的基础设施
[48:59] 它的底层的这个基座会越来越趋同
[49:02] 底层的基座会越来越趋同
[49:05] 它可能会成为一个统一的非常大的大脑
[49:07] 对
[49:08] 所以可能未来世界模型是那个云端的大脑
[49:11] VLA是那个端侧的大脑
[49:13] 然后数字世界可能有个大脑就是大圆模型的大脑
[49:16] 对
[49:17] 听起来现在是有两股势力
[49:18] 一个是做大脑的公司
[49:19] 一个是做本体的公司
[49:21] 对
[49:22] 一类是做大脑公司
[49:23] 一类是做本体的公司
[49:24] 对
[49:25] 那我觉得这两类公司哪个会成为一个
[49:28] 就是在这个游戏版图上更重要的一股势力
[49:31] 我认为可能长线都会比较重要
[49:33] 但是我大概说一下我的一个观察
[49:36] 这个观察就是数据闭环这件事
[49:39] 或者数据引擎这件事
[49:41] 就是特斯拉其实发明了数据引擎
[49:43] Data Engine这个概念
[49:45] 它更多的是因为
[49:47] 它要去落地它的FSD
[49:49] 自动驾驶的这套系统
[49:50] 那它可能当时已经具备了有上百万辆车
[49:54] 在路上可以全天候的
[49:56] 基于司机
[49:57] 基于这些用户去开回来的数据
[50:00] 去训练他们的云端的大脑
[50:02] 又基于它的云端的大脑的不断的提升
[50:05] 去部署到端侧更好的自动驾驶的能力
[50:08] 进而形成了一个数据飞轮
[50:10] 这套数据引擎
[50:11] 就特斯拉的数据引擎
[50:12] 它的底层逻辑
[50:14] 其实本质上来讲
[50:15] 是一个本体相关的底层逻辑
[50:18] 就是自动驾驶商
[50:19] 或者说这个OEM
[50:21] 它因为在全世界部署了
[50:23] 最多的自己的车
[50:25] 它就可以从自己的车上
[50:26] 收回来最多的数据
[50:28] 又基于这些数据
[50:29] 可以训练最好的大脑
[50:31] 所以这些OEM
[50:33] 它们自己就是最大的大脑商
[50:35] 对吧
[50:36] 但是我认为对于巨声来讲
[50:38] 这个逻辑可能会被颠覆
[50:40] 为什么呢
[50:41] 因为从巨声来讲
[50:42] 这个世界上并不具备
[50:44] 比方说上百万台的机器人
[50:47] 部署在端侧
[50:49] 然后在自动化的执行各种各样的任务
[50:52] 或者说
[50:53] 在端侧有人去摇操他们
[50:55] 去执行各种各样的任务
[50:57] 如果有人去摇操的话
[50:59] 带来的成本又过高
[51:00] 这个也不是一个
[51:01] 可规模化的一个路径
[51:02] 在这样一个情况下
[51:04] 我认为它一定整个数据的架构
[51:07] 会去符合数据金塔
[51:10] 那就是最小的数据量
[51:12] 会是基于在端侧
[51:15] 真实部署的机器人
[51:17] 去采集回来的数据
[51:18] 真迹数据
[51:19] 真迹数据
[51:20] 没错
[51:21] 那么中间的这部分的数据量
[51:22] 会是基于仿真去生成的数据
[51:26] 而下面的数据
[51:28] 会是比方说互联网
[51:29] 或者是人的第一类视角的数据
[51:32] 下面这两类数据
[51:34] 仿真和人的第一类人称视角的数据
[51:36] 它们的特点是什么
[51:38] 它们都不需要基于本体
[51:40] 不需要基于一个硬件的本体
[51:42] 就可以回来数据
[51:43] 且它们的规模化能力要远远高于
[51:46] 真实的机器人的部署
[51:48] 这样就会发生一件什么事呢
[51:50] 我觉得这样就会发生
[51:52] 就是说
[51:53] 最多的巨深的数据
[51:55] 一定不是本体上提供的
[51:58] 对吧
[51:59] 在这样一个前提下
[52:00] 我认为特斯拉的数据闭环
[52:02] 在巨深就不成立了
[52:04] 相当于就是说
[52:05] 不会存在一个本体上
[52:07] 它自己是最广泛应用的本体
[52:10] 同时它又可以做全世界最好的大脑
[52:13] 我觉得这件事底层就不太会成立
[52:16] 我再举一个例子来佐证这件事
[52:19] 特斯拉
[52:20] 它们是在做机器人
[52:22] 对吧
[52:23] 就是Optimus
[52:24] 它在做机器人
[52:25] 但是Optimus的大脑
[52:27] 其实是安排给XAI去提供的
[52:30] 对吧
[52:31] 而并不是让特斯拉自己去提供
[52:32] 一样的一个道理
[52:33] 一定会是一个大模型商去做这件大脑
[52:36] 在这样一个情况下
[52:37] 我觉得大模型商
[52:39] 他们会是利用更多的本体无关的数据
[52:43] 去训练这个大脑
[52:45] 而本体商
[52:46] 可能更会是利用大模型商提供的大脑
[52:49] 去做微调
[52:50] 部署以及落地
[52:51] 在这样一个情况下
[52:52] 我觉得可能还会有两类
[52:54] 不同的公司会借助进来
[52:56] 一类就是数据商
[52:58] 我认为数据商
[53:00] 其实它也经历了不同的演变
[53:02] 从最早的可能在
[53:04] 静态数据集的时候
[53:06] 它和客户可能纯粹的是一个
[53:09] 就是
[53:10] 就是甲方乙方的关系
[53:12] 到Scale AI
[53:14] Surge
[53:15] 和客户
[53:16] 可能更多是类似于一个partnership的一个关系
[53:18] 到后面
[53:19] 我觉得
[53:20] 需要基于数据商去提供评测
[53:23] 又基于评测
[53:25] 去提供更多的反馈
[53:26] 又基于这些反馈
[53:28] 去刺激客户的需求
[53:30] 拿到更多的数据
[53:32] 又基于这些数据
[53:33] 训练更好的模型
[53:34] 然后这样
[53:35] 再基于数据商去跑更多的评测
[53:37] 因此
[53:38] 我认为就是数据商
[53:39] 和大模型的厂商
[53:42] 会越来越多的形成一个共生的关系
[53:45] 因为
[53:46] 大模型商需要数据商
[53:48] 给他们
[53:49] 更加有效的评测
[53:51] 更加有效的数据
[53:52] 而数据商又需要基于大模型商
[53:55] 给他们提供基于模型
[53:57] 更好的数据验证
[53:58] 反馈
[53:59] 来帮助他们去迭代自己的数据的生产链路
[54:02] 所以这两边
[54:03] 我觉得会是一个共生的关系
[54:05] 所以我觉得数据商在里头会很关键
[54:07] 还有一个
[54:08] 我认为就是场景商
[54:10] 这个往往是被大家忽视的
[54:12] 场景商
[54:13] 或者就是
[54:14] 就场景公司
[54:16] 场景公司比如说OEM
[54:18] 它就是一个场景公司
[54:19] 它自己
[54:20] 就具备很多的机器人需要去落地的场景
[54:23] 在它的车间
[54:25] 在它的工厂
[54:26] 包括比方说医疗的集团
[54:28] 它有很多的自己的场景
[54:31] 需要去部署到机器人
[54:33] 包括农业的公司
[54:34] 等等
[54:35] 就算是工业
[54:36] 这就是巨大的一个机会
[54:38] 所以我认为
[54:39] 这些不同的场景级的公司
[54:41] 他们都有大规模
[54:43] 部署落地机器人的这个需求
[54:45] 我们其实现在服务的客户
[54:47] 可能有很大的一个比例
[54:48] 已经开始是这些场景级的客户
[54:51] 在这样一个情况下
[54:53] 我觉得会是四者的一个相互的协作
[54:57] 第一个是大模型商
[54:58] 对吧
[54:59] 他们更多的是会基于本体无关的
[55:02] 就是数据商提供的数据
[55:03] 不断的去冲刺
[55:05] 放话
[55:06] 对放话
[55:07] 然后提供大脑
[55:08] 把大脑提供给本体公司
[55:11] 本体公司
[55:12] 可能再基于更多的场景和数据
[55:14] 去落地到场景上
[55:16] 而场景商
[55:17] 他们也有更大的一个自主权
[55:21] 因为其实他们可以选择A硬件公司的硬件
[55:25] 也可以选择B硬件公司的硬件
[55:27] 甚至他们自己有很强的一个自研能力
[55:30] 他们也可以自己开发硬件
[55:32] 比如说我认为可能很多的OEM
[55:35] 都会开发自己的机器人
[55:36] 因为他们对量产
[55:38] 对质量的管控
[55:40] 对硬件的稳定性
[55:43] 对成本的控制
[55:44] 可能有更好的一个理解
[55:46] 他们也可以给予大模型的大脑的能力
[55:51] 去给自己的场景直接去落地
[55:53] 所以我认为后面可能是这四者的一个联系
[55:56] 说回我们刚才讲的李广斌的那个观点
[55:58] 你觉得不能说数据及模型
[56:01] 那从长远来看你觉得什么即模型
[56:03] 我认为还是要回到第一性原理
[56:06] 看看人是如何去学习的
[56:08] 那我觉得可能系统性的学习的能力
[56:12] 我觉得这个底层应该是一个模型
[56:14] 本质上来讲
[56:15] 所以我们不能说是知识级模型
[56:18] 对
[56:19] 相当于说
[56:20] 我觉得不能说是知识级模型
[56:21] 我觉得应该是一个不断提升的系统级能力
[56:24] 因为其实每一次系统级能力的提升
[56:27] 可能也会带来对于数据的新的需求
[56:30] 我举一个例子
[56:32] 小孩的学习可能看一些画本就够了
[56:35] 但是马斯克或者是比方说巴菲特的学习
[56:40] 可能就有更加针对性的高级的这些知识
[56:43] 以及这些信号
[56:44] 相当于私教可能
[56:46] 对当然就是说我认为这个私教
[56:48] 它不应该是以人为中心的
[56:50] 它应该是以系统为中心的
[56:52] 只有这样才可以提供足够规模化的私教
[56:56] 就足够规模化的言传身教
[56:58] 我们播客其实一方面聊过很多大圆模型的嘉宾
[57:01] 一方面也聊过很多robotics领域的嘉宾
[57:04] 你觉得这两个领域面对今天面对的数据问题不同是什么
[57:08] 他们阶段分别到了什么阶段
[57:11] 我认为这个两者还是挺不一样的
[57:14] 我觉得从大圆模型角度来讲的话
[57:17] 他们的预训练的数据是足够的
[57:20] 因为本质上来讲是整个互联网的数据
[57:23] 所以这块是很多的
[57:24] 他们面临的其实更多的是一个后训练以及评测的一个问题
[57:29] 那么后训练和评测本质上来讲
[57:32] 就有点类似于是言传身教
[57:34] 需要找越来越高阶的老师给他们提供这些言传身教
[57:39] 其实这些老师往往在不同的行业里
[57:43] 对吧
[57:44] 比如说可能是最好的工程师
[57:46] 可能是数学的金牌
[57:49] 可能是最好的律师
[57:50] 可能是最好的医生
[57:52] 而且越来越多的言传身教会变为就是说出题
[57:56] 比方说可能普通的老师是在通过自己的示范来教育学生
[58:02] 而越来越好的老师可能是去问越来越难的问题
[58:07] 来激励这个学生自己去寻找答案
[58:09] 所以我认为本质上来讲
[58:11] 这个是大圆模型
[58:13] 他们在面临的数据的问题
[58:15] 是找越来越好的人
[58:16] 又基于他们的可能去出越来越难的题
[58:19] 基于这些题呢
[58:20] 以及这些信号
[58:23] 这些更多的经验的传授
[58:26] 来去不断的去提升模型的能力
[58:28] 而对于这个巨神来讲的话呢
[58:31] 我觉得他现在的问题可能在两端
[58:34] 第一端就是在预训练
[58:35] 其实现在缺乏了足够的预训练的数据
[58:39] 那这个预训练数据我觉得需要有
[58:42] 物理的这个世界
[58:44] 无论是真实的物理的世界
[58:46] 还是仿真的物理世界
[58:48] 以及他所需要去交互的这些的资产
[58:51] 比如说电脑
[58:52] 比如说咱们在这的这个咖啡杯
[58:55] 等等之类
[58:56] 同时呢他需要有这些经验的传授
[58:59] 比如说人或者是一个机器人
[59:01] 在这该如何去操作不同的物体
[59:04] 与这个物理的世界如何去交互
[59:06] 以及在这相应的语言的定义
[59:09] 还有呢就是相应的评价标准
[59:11] 这个知识在哪里是好的
[59:13] 在哪里是不好的
[59:14] 对吧
[59:15] 然后给到相应的这些学习的信号
[59:17] 这个我认为是很关键的一个预训练的一个需求
[59:20] 在这儿呢其实我觉得现在
[59:22] 整个行业还是缺乏最规模化的预训练的数据
[59:27] 来帮助整个巨深
[59:30] 来达到一个经过预训练了以后
[59:33] 一个机座模型的一个基础能力
[59:35] 这个我觉得是极其关键的一个缺失
[59:38] 第二个的话呢
[59:39] 我觉得就是评价能力
[59:41] 这个点其实我觉得很多人可能没有想到
[59:44] 比如说自动驾驶或者大圆模型
[59:47] 为什么它们的模型提升会那么快
[59:50] 自动驾驶本质上来讲
[59:52] 是因为它的评价是免费的
[59:55] 怎么说这件事呢
[59:56] 因为自动驾驶的评价是通过
[59:58] 它在端侧部署的叫shadow mode
[60:01] 就是中文叫影子模式
[60:03] 那其实就是把它的算法部署在车端
[60:07] 在它的仿真世界里头去跑线的算法
[60:11] 它并不去做相应的真正的执行
[60:14] 但是会把它所输出的信号
[60:16] 和开车的司机所操作的信号去做对比
[60:20] 当遇到了一些不同的地方的时候
[60:22] 把这个作为一个反馈拿回来
[60:25] 因为比方说如果说这个人是一个老师的话
[60:28] 那当学生和老师有一定差异的时候
[60:31] 很有可能这个时候是学生做错的时候
[60:34] 所以这个是一个极其便宜廉价
[60:38] 或者免费的一个信号拿回来
[60:40] 来帮助自动驾驶来评价他们相应的情况
[60:45] 以及这个信号也包括相应的示范
[60:48] 也包括相应的经验
[60:49] 告诉他们当你这错了以后
[60:51] 老师是怎么做的
[60:52] 人是怎么做的
[60:53] 来让你去基于更多的模仿的学习
[60:56] 去提升自己
[60:58] 我认为大圆模型其实也有这样一个影子模式
[61:03] 这个影子模式就是
[61:05] 当这些大圆模型已经上线了以后
[61:07] 与用户的交互
[61:09] 对吧
[61:10] 其实比方说咱们在用GPT
[61:12] 用不同的大圆模型的时候
[61:13] 咱们也给他不同的反馈
[61:15] 这些反馈其实也是一个免费的影子模式
[61:18] 来帮助他们去告诉他们哪里好
[61:21] 哪里不好
[61:22] 给他们一些示范
[61:24] 帮助他们去提升
[61:25] 这也是一个免费的一个评价
[61:27] 而对于巨神来讲的话
[61:29] 现在并不具备这样一个大规模的评价的能力
[61:33] 那我认为这个一定要基于仿真去提供
[61:36] 在巨神在机器人
[61:38] 他不具备一个就是在真实世界
[61:42] 去提供影子模式的一个基础
[61:45] 那他唯一可以的这件事
[61:47] 就是基于仿真去规模化
[61:50] 评价
[61:51] 拿到更多的信号
[61:52] 又把这些信号给到巨神的大脑
[61:55] 让他们不断的去提升
[61:57] 所以我认为评价这儿
[61:59] 其实也是就是巨神
[62:01] 就模型他们对于数据的一个核心的缺失
[62:04] 所以机器人的数据收集问题
[62:07] 比大元模型可能是结构性的难
[62:10] 对 我觉得要难很多
[62:12] 可能是几个数量级的难
[62:14] 如果足够多的数据是100分
[62:16] 你觉得大元模型今天的数据能到多少分
[62:19] 你觉得机器人的数据能到多少分
[62:21] 我其实觉得可能很难去定义这个100分
[62:25] 我举一个例子
[62:26] 其实人的学习是无止境的
[62:28] 所以从人的角度来讲
[62:30] 你其实可以看
[62:31] 越有能力的人
[62:32] 他可能学习能力更强
[62:35] 他其实每天涉猎的数据会更强
[62:37] 而不是更少
[62:39] 对 当然就是说
[62:40] 我觉得如果从一个概念上来看的话
[62:43] 我觉得可能大元模型在预训练
[62:46] 可能已经到顶了
[62:48] 我觉得他们可能更多的是在后训练和评测
[62:51] 我其实觉得在后训练和评测
[62:53] 我认为大元模型可能还有很长的一个路要走
[62:56] 我估计可能大元模型现在可能到了60分
[62:59] 但是真正的要往上去提升
[63:01] 我觉得还有很大的一个空间
[63:03] 就是在后训练和评测的阶段
[63:05] 那我认为对于巨神
[63:07] 对于巨神来讲的话
[63:09] 假设100万个机器人
[63:12] 所回来的数据是一个起点
[63:14] 这个起点可能都不是100分
[63:16] 是一个60分
[63:17] 我觉得现在都没有1万台机器人
[63:20] 无论是在真实
[63:22] 或者仿真
[63:23] 或者是人类的数据
[63:25] 能够去提供这类的数据
[63:27] 对吧 所以我认为其实
[63:29] 如果从这个角度来讲
[63:30] 可能0.6分都不到
[63:31] 0.6分都不到
[63:32] 0.6分都不到 对
[63:34] 这个其实给大家一个直观的感受
[63:36] 是的
[63:37] 今天大约模型的数据问题
[63:39] 随着它从chabot
[63:40] 走到了agent的阶段
[63:41] 其实agent方面也会更加的缺乏数据
[63:44] 因为AI是没有见过真实人类工作的
[63:48] 所以它也需要找大量的人类专家
[63:51] 在基于真实的工作环境去收集数据
[63:56] 你觉得agent今天遇到的数据问题
[63:58] 是不是跟robotics还有点像
[64:00] 对 我觉得这个点特别好
[64:03] 我觉得其实机器人就是
[64:05] 在物理世界的agent
[64:07] 而大约模型的agent其实是在数字世界的agent
[64:10] 其实我觉得他们遇到的问题其实很像
[64:13] 首先他们需要一个环境
[64:15] 其次他们需要相应的经验传授
[64:19] 另外他们也需要相应的评价
[64:21] 或者评价的这些信号
[64:23] 来帮助他们去提升
[64:24] 咱们可以去看到
[64:26] 对于大约模型的agent
[64:28] 其实现在有一个很关键的
[64:31] 一个针对他们的数据产品
[64:33] 叫rlinf
[64:34] 就是服务强化学习的环境
[64:37] 这个环境本质上是一个虚拟的环境
[64:40] 但它不是一个比方说物理仿真的环境
[64:43] 它更多的是一个数字世界的环境
[64:45] 比如说可能是一个虚拟的dd网站
[64:49] 虚拟的京东的网站
[64:51] 虚拟的一个购物网站
[64:52] 虚拟的一个编程网站
[64:54] 虚拟的一个编程的环境
[64:56] 来帮助他们能够在这个里头去
[64:59] 不断的基于一些定好的这些的成功的指标
[65:04] 这些定义以及这些考题
[65:06] 不断的基于强化学习
[65:09] 去finding自己
[65:10] 不断的去试错
[65:11] 也不断的去提升自己
[65:13] 这个其实是我觉得agent
[65:16] 在这个数字世界
[65:19] 他们现在所需要的
[65:20] 最主要的这个数据的产品
[65:22] 那对于这个巨神来讲的话
[65:25] 其实刚才如我所说
[65:27] 其实现在还没有到真正的agent阶段
[65:30] 现在其实还是在一个预训练
[65:32] 以及在一个评测阶段
[65:34] 就这两头的问题是最大的
[65:36] 一就是没有足够的预训练
[65:38] 能够让这个模型
[65:40] 达到一个相对基础的能力
[65:42] 一个是没有足够好的
[65:44] 规模化的评价
[65:46] 可以帮助这些大模型商
[65:48] 不断的去衡量他们的基础能力
[65:50] 不断的提升
[65:52] 那在这我再说一个细节
[65:54] 就是为什么behavior challenge
[65:56] 就李飞飞的behavior challenge
[65:58] 这件事这么重要
[65:59] 因为其他的这些学术级的benchmark
[66:02] 其实这些我们的这些客户
[66:04] 最棒的这些大模型商
[66:06] 他们都已经把他们的benchmark给打爆了
[66:09] 就是巨深的benchmark其实比较容易
[66:12] 都被打爆了
[66:13] 那其实足够难的是behavior
[66:15] 那behavior100道题
[66:18] 可能现在最高的分数成功率是26%
[66:23] 所以还有一段路要走
[66:25] 当然就是说这个更多是一个学术级
[66:27] 而对于比方说industry
[66:30] 那么他们需要的是更加大规模的
[66:33] 高质量的behavior
[66:35] 来帮他们去挑战
[66:37] 他们就模型的基础能力
[66:39] 那当然在这个两个点的基础上
[66:41] 其实后训练就会变得很关键
[66:43] 就是当预训练的基础能力
[66:46] 达到一个相对的标准了以后
[66:48] 后训练通过强化学习做后训练
[66:51] 就会变得足够的重要
[66:53] 那么我们也看到我们的一些客户
[66:55] 在跟我们在基于仿真去做后训练的
[66:59] 强化学习的fine tune这件事
[67:01] 那本质上来讲这件事就和
[67:04] 数字世界的大圆模型的agent很像
[67:07] 那数字世界的大圆模型在一个
[67:09] 虚拟的网页端
[67:11] 虚拟的编程端
[67:13] 去不断的试错来做fine tune
[67:16] 而这个物理世界的agent
[67:19] 本质上来讲在仿真的环境里头去
[67:22] 基于定义好的这些的成功的指标
[67:25] 标准以及大规模的场景
[67:28] 他们在不断的去试错
[67:29] 在fine tune自己
[67:30] 那只不过就是说这件事呢
[67:32] 我觉得相对于预训练和
[67:34] 评测来说
[67:35] 现在可能还是一个次优的一个问题
[67:37] 其实刚才我们对于整个数据行业
[67:39] 做了一个myping
[67:40] 那这是横向的
[67:41] 我也想要聊聊纵向
[67:42] 就是数据这个产业
[67:44] 它在人工智能的这个领域里面
[67:46] 它是一个分支吗
[67:48] 它在这个生态里面
[67:49] 大概占据一个什么样的位置啊
[67:51] 我们来聊聊这个数据产业的前世今生
[67:53] 就我觉得数据的产业的发展
[67:55] 其实和每一次模型的学习的范式的发展
[67:58] 其实有很相关的这个关系
[68:01] 比如说我可以把它定义成
[68:04] 定义为最早的时候数据产业
[68:06] 可能起始点是李飞飞的这个ImageNet
[68:10] 那它是既是一个训练级
[68:12] 它也是一个评测级
[68:14] 那它服务的更多的是机器视觉
[68:16] 那它提供的是这些照片
[68:19] 以及相应的这些真值的标注
[68:21] 那它更多的是一个静态的一个数据级
[68:24] 它给到的都是正确的答案
[68:26] 所以在这个时候
[68:27] 我觉得数据产业更多的类似于
[68:29] 一个填鸭式的教育产业
[68:32] 那再往后呢
[68:33] 就是到了
[68:34] 这个自动驾驶
[68:36] 那Scale呢
[68:37] 我觉得可能真正的开创了一个
[68:39] 工业级的数据产业
[68:41] 就是从最早的静态的
[68:43] 这个可能很难去控制时间
[68:46] 比方说ImageNet
[68:47] 确实是有几年的时间去开发出来的
[68:50] 而Scale呢
[68:51] 可能真正的可以去工业化的
[68:53] 工厂级的
[68:54] 对吧
[68:55] 大规模的人力运营
[68:56] 去管控质量
[68:58] 管控效率
[68:59] 管控交付时间线
[69:00] 来去交付这些数据
[69:03] 那这个呢
[69:04] 更多是偏一个量范式的一个教育行业
[69:07] 再往后呢
[69:08] 我觉得到了这个
[69:09] 就是大圆模型的这个数据产业
[69:11] 这个时候我觉得
[69:13] 就是说
[69:14] 它的核心的逻辑发生了变化
[69:16] 从最早的时候
[69:17] 可能是用户提出需求
[69:19] 你来交付
[69:20] 对吧
[69:21] 然后一个偏工厂型的
[69:23] 但还是相对粗放型的一个交付
[69:25] 变成了一个
[69:26] 可能更加的是一个评测驱动型
[69:29] 就是帮助客户发现问题
[69:31] 然后去刺激新的需求
[69:33] 然后针对性的交付
[69:35] 所以这个时候其实
[69:36] 比如说从scale给自己的定义来讲的话
[69:39] 可能从这个时候
[69:41] 它自己就开始叫成了data foundry
[69:43] 那就有点类似于是学习
[69:45] 台积电的晶圆厂
[69:47] 这样一个模式
[69:48] 本质上还是一个工厂
[69:51] 但是呢它有更多的流程
[69:53] 更多的规范
[69:54] 更多的know-how
[69:55] 更多的process
[69:56] 这些是它的secret sauce
