[00:02] 今天其实非常清晰,美股有三条主线,第一条肯定是AI,第二条叫re-industrialization,就是再工业化,第三条叫digitization of finance,就是一个金融产业的创新。
[00:16] 是最早看出来OpenAI是一个产品公司,而不只是模型公司的时候下注的。
[27:38] 说就在等OpenAI上市了,
[27:40] 上市就是泡沫就是顶峰了,
[27:42] 我觉得没有那么恪周求见,
[27:44] 因为就算是你看到上一波互联网,
[27:47] 像网警通信,
[27:49] 就是Netscape它上市的时候,
[27:51] 其实是95年,
[27:53] 那之后确实是泡沫越吹越大,
[27:55] 但是破裂也是5年之后的事情了,
[27:58] 国内在这波AI浪潮里面,
[28:00] 经常会说一个词叫Club Deal,
[28:02] 俱乐部交易,
[28:03] 所以现在像OpenAI,
[28:05] 它不仅是在一级市场Club Deal,
[28:08] 它也要去二级市场Club Deal,
[28:09] 大家一起来存钱投,
[28:11] 对,
[28:12] 不仅是大家一起存钱,
[28:14] 而是大家都非常愿意把钱,
[28:16] 放到这个AI的领军公司,
[28:17] 里面,
[28:18] 因为你离这个整个AI的应用就是最近的,
[28:24] 感觉在AI浪潮里面,
[28:25] 公司更加聚集了,
[28:27] 对,
[28:28] 因为AI本身是很烧钱的这么一个业务,
[28:30] 所以这个钱只会烧在几个大公司上面,
[28:33] 那说了OpenAI,
[28:34] 我们也聊聊Anthropic吧,
[28:36] 这两个公司在你的观察中有什么异同?
[28:38] 首先就是业务不一样,
[28:39] 一个是2C,
[28:40] 一个更偏向2B,
[28:42] Anthropic超过80%的收入都是2B的业务,
[28:46] 从用户粘性上,
[28:47] 来看其实都很好,
[28:50] 这两个公司,
[28:50] 我们都有叫这个微笑曲线,
[28:52] 就是可能一开始用户存留会下去一点,
[28:55] 但是之后发现都会再回来的,
[28:57] 而且新用户也比老用户同期的存留率要更高,
[29:01] 所以这方面是没有任何问题的,
[29:02] 再有就是媒体应该也有报出来,
[29:04] 就是Anthropic的利润率增长非常的快,
[29:07] 也就是在一年之内,
[29:09] 他从大概收入一块钱,
[29:11] 然后能亏两块钱这个水平,
[29:13] 到今年底他能做到跟OpenAI差不多的毛利率,
[29:17] 所以这里面,
[29:17] 他是做了很多功课的,
[29:19] 也是给我挺大的一个震撼,
[29:21] 就是他对自己的毛利率的掌控是很大的,
[29:25] 他从不管是模型架构,
[29:27] 还是他叫Auto Scaling,
[29:28] 包括优化,
[29:29] 都做得非常快,
[29:30] 非常到位,
[29:32] 所以现在整体对模型公司,
[29:34] 我觉得毛利率这块是没有任何必要担心的,
[29:36] 长期都会是百分之七八十,
[29:39] 你从增长的角度来看,
[29:42] 这两个是一个追赶的一个状态,
[29:44] 从一个亿到十个亿收入这个阶段,
[29:46] OpenAI长得非常的快,
[29:48] 用了不到两个季度,
[29:50] 然后unprofit可能用了四五个季度吧,
[29:53] 但是从十个亿往上是反过来的,
[29:55] unprofit年化收入从十到七十个亿,
[29:58] 就用了不到十个月,
[30:00] 那最近这几个月,
[30:01] 两个公司每个月增加的年化收入,
[30:03] 其实数量上是差不多的,
[30:06] unprofit的产品路线也挺清晰的,
[30:09] 一个就是去选择几个比较大,
[30:11] 比较有利润空间的锤类,
[30:13] 包括coding,
[30:14] 包括finance,
[30:15] 像Cloud finance,
[30:16] 就是一个非常好用的这么一个产品,
[30:18] 他也做了一些关于生命科学,
[30:20] 关于法律的一些锤类,
[30:22] 另外一个方面就是,
[30:24] 他试图做出最好用的模型给agent用,
[30:28] 包括他今年的这个叫Cloud skills,
[30:30] 就是一个迷你的agent系统,
[30:33] Anthropic媒体报道出来的现金流是不是要比OpenAI要好呀,
[30:36] 我听说他们花在训练的钱要有效率很多,
[30:40] 我还是回到刚才讲的大模型的商业模式,
[30:43] 就是你抛开商业模式去看公司现金流,
[30:46] 我觉得没有任何意义,
[30:48] 这两家模型的财务预测非常有意思,
[30:51] Anthropic就是假设他自己的总算力在28年之后没有再增长,
[30:57] 所以是靠我们刚才说的第二个点,
[31:00] 就是训练成本不再迅猛增长,
[31:02] 把利润率拉升上去的,
[31:04] 然后Anthropic你去细看的话,
[31:07] 他其实是在假设模型的ROI这个回报率逐年提升,
[31:11] 对应我们说的是第一点,
[31:14] 就是不再是一块钱收回两块钱,
[31:16] 而是一块钱能第二年收回比如五块钱,
[31:19] 是靠这个去拉上去自己的利润率的,
[31:21] 所以并不是Anthropic花的少,
[31:24] 而是他假设了更高的回报率,
[31:26] 当然这个预测本身我觉得就很有意思,
[31:28] 值得去细想,
[31:29] 就是为什么两个公司做出了两个方向的假设,
[31:33] 你觉得另外几家模型公司,
[31:35] 你看他们有什么进展吗?
[31:37] 比如说都是从OpenAI出来的Illia的SSI,
[31:41] 和Mira做的Thinking Machine Lab,
[31:43] 对,首先有一个很重要的事情,
[31:45] 就是现在根本就不止这两三家了,
[31:48] 最近几个月有出来小10家新的模型公司在融资,
[31:53] 我们叫他们Neo Labs,
[31:55] 就像Neo Cloud一样,
[31:56] 很多都是学术背景的人出来做的,
[31:59] 融资金额都很大,
[32:00] 都是10亿以上,
[32:02] 其实我自己也没有特别想清楚,
[32:03] 就我不知道之后会不会有一个时间点,
[32:06] 大家会觉得大模型其实也就会收敛到头部的一两家,
[32:11] 然后剩下的就会放弃自己去做训练,
[32:14] 而是去拥抱开源模型,
[32:15] 回到你刚刚提到这几家也是大家比较熟悉的名字,
[32:20] 像Illia的SSI就是听说是在做Continuous Learning,
[32:24] 就是持续学习,
[32:25] 然后Mira的这一家,
[32:26] 他们刚刚launch了自己第一个产品叫Thinkr,
[32:29] 就是去帮用户定制训练开源模型,
[32:33] 我也在想就是如果投这个的背后,
[32:36] 其实就是在Bad开源市场的规模越来越大,
[32:39] 我看这些模型公司都在融资,
[32:41] 投资人会怎么给这些公司估值?
[32:43] 都会看他的收入预测,
[32:45] 一个倍数,
[32:46] 但是我也说实话,
[32:48] 其实都会去和OpenAI做一个比对,
[32:50] 比如说今天的OpenAI是5000个亿,
[32:53] 那其他模型公司来融资的时候,
[32:56] 投资人都会对标说这个公司值不值多少百分比的OpenAI,
[33:01] 所以说回来今天市场上最重要的公司标杆还是OpenAI,
[33:06] 对肯定的,
[33:07] 我觉得一级二级市场最重要的标杆就是这个公司,
[33:09] 说完了OpenAI和Anthropic,
[33:12] 很多人让我问你们Robinhood的这个票,
[33:15] 这是你们在二级市场的一个很重要的投资,
[33:19] 你们当时是怎么看懂这个股票的?
[33:21] 能不能讲讲你们当时投资Robinhood是看到了什么,
[33:25] 为什么下这个判断?
[33:26] 对,Robinhood这个公司很有意思,
[33:29] 是今年标普500排名第一的个股,
[33:31] 今年也缺了很多粉,
[33:32] 但是你真的看懂这个业务,
[33:34] 本质上Robinhood的商业模式是很差的,
[33:37] 可以说是一手烂牌,
[33:39] 因为证券交易本身有非常强的周期性,
[33:42] 它并不是一个好生意,
[33:43] 很多人炒股都是这样的经验,
[33:45] 就是牛市一通操作猛如虎,
[33:47] 然后熊市趴着不动,
[33:49] 它的交易收入就是交易额乘以佣金率,
[33:53] 然后交易额本身和市场活跃程度是正相关的,
[33:56] 但这里面有几个点是它能去控制能去做的,
[34:00] 那第一点也是最容易想到的就是多元化,
[34:03] 就不再只是有交易收入,
[34:05] 所以你看Robinhood非常积极的去做银行,
[34:08] 去做这个叫prediction market预测市场,
[34:11] 去做财富管理,
[34:12] 去做国际市场,
[34:13] 它现在已经有超过11条线的业务,
[34:16] 有超过一个亿的收入,
[34:18] 而且这个还会继续增加,
[34:19] 那第二它能做的就是去抢占市场份额,
[34:22] 就是市场的强周期性是你没有办法控制的,
[34:26] 但是你可以通过去抢份额去平滑这个周期性,
[34:31] 第三就是定价权,
[34:32] 比如Robinhood在加密这块,
[34:34] 它在三年之内从10个点的佣金已经涨到了60个点,
[34:39] 也就是自己去控制自己的命运,
[34:41] 当然还有很重要的就是成本段,
[34:42] 因为投资人,
[34:43] 最在乎的是利润的增长,
[34:45] 所以如果你收入有波动,
[34:47] 但是你成本端能很好的去配合收入端的波动,
[34:51] 也还可以忍,
[34:52] 那反例就是2022年的Meta,
[34:55] 就是收入下跌,
[34:57] 成本暴涨,
[34:58] 所以现金流被砍了一半,
[34:59] 你看Robinhood的运营成本,
[35:01] 从2022年开始就是零增长,
[35:03] 一条水平线,
[35:04] 控制的非常好,
[35:05] 我就只有理解到这个程度,
[35:07] 才能明白Robinhood的发力的方向,
[35:09] 才算真的看懂了这个公司,
[35:11] 所以它不是牛市,
[35:13] 买券商的那个逻辑,
[35:15] 很多人这么说,
[35:16] 我觉得投资挺重要的就是要对自己诚实,
[35:19] 知道自己赚的是什么钱,
[35:20] 是Beta还是Alpha,
[35:22] 可能最简单的就是你把Coinbase的股价,
[35:24] 和比特币去做一个回归,
[35:26] 你会发现从2022年开始,
[35:28] Coinbase相对于比特币是没有任何Alpha的,
[35:31] 所以如果说你判断有一个加密周期的牛市来了,
[35:34] 那你不如去买比特币,
[35:36] 这就是我们说的市场的Beta,
[35:37] 但是你把Robinhood同样做一个回归,
[35:40] 你会发现不管它是相对于比特币的价格,
[35:42] 还是相对于哪个价格,
[35:43] 大斯达克指数都是有非常强的Alpha的,
[35:46] 所以是走出了不一样的路径。
[35:47] 你怎么看这个公司增长性?
[35:49] 美国很明显,
[35:50] 一代人有一代人的账户,
[35:52] 像60岁以上的婴儿潮这代人,
[35:55] 就是用加现理财,
[35:56] 45岁这个年龄层用的都是eTrade,
[35:59] Robinhood的用户平均年龄是30多岁,
[36:02] 这个就是美国新一代中年人和年轻人的账户,
[36:06] 他公司的模式你可以简单的想象成是一个漏斗,
[36:10] 就是只要钱能进到他这里,
[36:12] 他就能通过,
[36:13] 让你做一系列的交易产生收入,
[36:16] 所以最重要的就是增加每个用户的平均资产,
[36:19] 那今天Robinhood上用户平均有一万块钱的资产,
[36:22] 加现理财或者叫IBKR都是15万以上,
[36:26] 那Robinhood的用户今天的平均年龄是34岁,
[36:29] 这个很重要,
[36:30] 因为在美国35岁是一个财富的重要的分水岭,
[36:34] 35到40岁的人相比之前的5年,
[36:37] 其实会有一个三倍的平均财富的增长,
[36:41] 那这个增长会在55岁达到高峰,
[36:43] 所以今天Robinhood就算什么都不做,
[36:45] 其实他也会有很自然的资产的增长,
[36:49] 交易账户只是他的一个起步,
[36:52] 随着这些用户步入中年开始有积蓄,
[36:55] 那很自然的就会有理财的需求,
[36:57] 所以你看加现理财有超过60%的收入,
[37:01] 都是从财富管理那边来的,
[37:03] 然后也很自然的会有这个存储的这个需求,
[37:05] 在这个漏斗吸收进来这些资产之后,
[37:08] 最重要的就是让这些钱滚动起来,
[37:11] 那这里面Robinhood非常会互联网这一套,
[37:13] 打法就是增加用户的活跃度,
[37:15] 比如说我同时有Robinhood和Coinbase两张信用卡,
[37:18] 很明显就是Coinbase会有很多拉新活动,
[37:21] 奖励机制,
[37:22] 让我不停的去回到他的APP去看,
[37:25] 而Coinbase我可能最多一个月看一次,
[37:27] 所以大方向上来讲Robinhood就是下一个加现理财,
[37:32] 你们是今年初买的吧,
[37:33] 是买了一次还是买了几次,
[37:35] 能不能讲讲你们具体的一些操作,
[37:37] 对,是年初也买了多次,
[37:40] 我印象非常深,
[37:41] 就当时股价跌得也很非常很,
[37:43] 然后市场也很差,
[37:44] 但我觉得这个业务就是被低估了,
[37:47] 当时的Coinbase有超过1000亿的市值,
[37:51] 然后Robinhood是300亿,
[37:53] Coinbase是在跌份额掉价格,
[37:55] 然后Robinhood是执行能力很强,
[37:57] 然后到处抢份额,
[37:58] 这个故事并没有被市场看到,
[38:00] 大家觉得他们两个都差不多,
[38:02] 都是Beta,
[38:03] 所以当时也是顶着很大的压力,
[38:05] 想着今年可能是个熊市了,
[38:07] 但依然买了Robinhood,
[38:08] 这就是大家说的,
[38:09] 别人恐惧的时候你贪婪,
[38:11] 那今年他已经涨了,
[38:13] 接近三倍,
[38:14] 往后你怎么看这个公司呢?
[38:16] 是不是已经不便宜了呀?
[38:18] 对,是不便宜了,
[38:19] 但是这个也是最有机会能成为
[38:22] 叫一站式金融应用的公司,
[38:24] 这个公司挺有意思的,
[38:25] 它一直有一种为普通人平权的使命感,
[38:29] 很多普通人第一次拿到IPO的份额,
[38:32] 都是通过Robinhood,
[38:33] 我还很看好它一个方向,
[38:35] 就是他们的VC基金,
[38:36] 像VC这样的另类资产,
[38:38] 在美国有超过10万亿的规模,
[38:41] 有很多好公司,
[38:42] 比如我们刚才说的,
[38:43] 这个OpenAI,
[38:44] SpaceX,
[38:45] 机构都拿在手上,
[38:46] 但是普通人你是完全接触不到,
[38:48] 买不到的,
[38:49] 所以如果Robinhood能搞出一个VC基金,
[38:51] 里面有所有我们耳熟能详的大公司的股份,
[38:55] 然后收费我去类比ARK,
[38:58] 就是木头姐的公司,
[38:59] 收一个2%,
[39:00] 3%,
[39:01] 任何人都能认购,
[39:02] 那这个需求会是巨大的,
[39:04] 我觉得做到上百亿也不奇怪,
[39:07] 他们主要业务是在美国吗?
[39:09] 对,但其实也不止,
[39:11] 他今年非常巧妙的进入了
[39:12] 欧洲市场,
[39:13] 用的是现在最火的这个概念,
[39:15] 叫Tokenization,
[39:16] 就是代币化,
[39:17] 欧洲有几十个小国家,
[39:19] 每个都有自己的监管,
[39:20] 如果我一个一个去拿牌照,
[39:22] 就需要可能一两年的时间,
[39:24] 但是代币化就一下在整个欧洲能直接铺开,
[39:27] 交易费还会便宜很多,
[39:29] 你怎么看待Robinhood这个团队?
[39:31] 这个团队非常不一样,
[39:33] 他动作非常的快,
[39:34] 就是你看他一年的产品的产出量,
[39:38] 可能能是别人5到10年那么多,
[39:40] 完全不夸张,
[39:41] 然后创业,
[39:42] 创始人的性格也挺有意思的,
[39:44] 比如说Coinbase的创始人,
[39:46] 我们就叫他乖小孩,
[39:48] 他创业的第一天就强调,
[39:50] 我一定要合规,
[39:51] 所以我觉得他到今天,
[39:53] 他的运营成本砍不下来,
[39:55] 合规可能占挺大一块的,
[39:57] Robinhood这个创始人叫Vlat,
[39:59] 他就比较像一个坏小孩似的,
[40:01] 他非常的有冲劲,
[40:02] 非常的敢想敢干,
[40:03] 然后他这种性格,
[40:04] 也让他和公众沟通的时候,
[40:06] 非常的有张力,
[40:07] 散户非常喜欢他,
[40:09] 像我跟他接触比较多,
[40:10] 他会很真诚的问我,
[40:11] 就是,
[40:12] 哪些公司是他需要学习的,
[40:14] 尤其是那些规模比他大,
[40:16] 比他做的时间长的公司,
[40:18] 他会问,
[40:19] 哪些是别人做的比他今天好的,
[40:22] 就这个学习能力以及这个热情,
[40:24] 我觉得是很难得的,
[40:25] 然后他这个人也很神奇,
[40:27] 他也同时非常的aggressive,
[40:29] 很强势,
[40:30] 只要是他想拿下的市场和业务,
[40:32] 他会非常激进的去抢,
[40:34] 所以我自己也和他就是学习了很多,
[40:36] 现在硅谷的资本是更喜欢乖小孩,
[40:39] 还是坏小孩?
[40:40] 硅谷肯定还是会喜欢这种,
[40:42] Founder led,
[40:43] 就是创始人还是一号位,
[40:45] 然后敢于打破常规的这种坏小孩,
[40:47] Robinhood这个产品速度,
[40:48] 它背后是怎么支撑的?
[40:50] 这块还挺少有媒体报道的,
[40:52] 但其实Robinhood在2022年的时候,
[40:54] 几乎是重新做了一遍这个公司,
[40:57] 彻底改变了它的组织架构,
[40:59] 它之前是非常中央化的,
[41:01] 然后它改成了叫Single GM这个结构,
[41:04] 就是每一个业务单元都有自己独立的架构,
[41:07] 包括独立的PM,
[41:09] Developer,
[41:10] CFO,
[41:11] HR,
[41:12] 非常努力的去赋能每一个业务单元,
[41:15] 去疯狂的创新出产品,
[41:17] 这种Single GM的组织结构,
[41:20] 可能更有利于不同的产品同时涌现出来,
[41:23] 说到散户,
[41:24] 这两年我们也越来越多的听到了散户的声音,
[41:27] 那疫情的时候有Wall Street Bets,
[41:29] 到后面很多公司都叫散户票,
[41:31] 你觉得这是一个可持续的现象吗?
[41:34] 散户到今天我觉得已经很大了,
[41:36] 你看一些期权上面,
[41:38] 超过百分之八九十都是散户在操作,
[41:41] 一些基金经理非常厌恶这个现象,
[41:43] 但我觉得散户就是市场上非常重要的组成部分,
[41:46] 在我自己的投资框架里面,
[41:48] 我觉得市场是一个很混沌的一个体系,
[41:50] 每个人都是各玩各的,
[41:52] 做自己觉得能赚钱的事情,
[41:54] 但是你最终这个股价的表现是一个合力的结果,
[41:58] 所以去知道去了解这些重要的市场组成部分怎么运营,
[42:02] 是非常重要的,
[42:04] Twitter上面其实有很多散户,
[42:06] 然后很多股票你最终会发现能追回到一两个这种KOL,
[42:10] 他们就像一个部落一样,
[42:12] 比如说有的人大家叫他的Robinhood guy,
[42:15] 有的人叫的Palantir guy,
[42:17] 我和很多这些KOL线下很熟,
[42:19] 也会去了解比如说散户喜欢什么类型特定的股票,
[42:23] 然后他们的交易体系是什么样的,
[42:25] 我觉得这个本身就挺有意思的,
[42:27] 而且我敢说比如Robinhood和Palantir这两个票,
[42:31] 散户的研究程度是完爆极够的,
[42:34] 在他们身上我看到的是那种非常纯粹的对投资的热爱,
[42:38] 所以一个全股思路就是去
[42:40] 找这种散户喜欢,
[42:42] 但是机构也能喜欢的股票,
[42:44] 这种股票通常动能比较强,
[42:46] 也没有那么多零和博弈,
[42:48] 那说到这个零和博弈的典型,
[42:50] 在美股这几年就是软件股,
[42:52] 里面几乎没有散户,
[42:54] 全都是hedge fund,
[42:55] 没有任何长期的钱,
[42:56] 就是短线的博弈,
[42:57] 所以股价上下30%就充满了痛苦,
[43:01] 你刚刚也提到了几次所谓的新物种,
[43:04] 还有乖小孩,坏小孩,
[43:06] 我看你们公司官网上写你是负责颠覆性科技的合伙人,
[43:10] 这个颠覆性代表了什么?
[43:12] 你们怎么定义它?
[43:13] 这个范围非常广,
[43:14] 就是你网大了说,
[43:16] 其实科技投资就是去寻找这些可持续增长的公司,
[43:21] 然后这些公司通常都具有颠覆性,
[43:23] 比如刚才讲了很多的Robinhood,
[43:25] OpenAI,
[43:26] 包括拼多多,
[43:27] TikTok,
[43:28] 甚至英伟达,
[43:29] Netflix这些公司,
[43:30] 它最初刚出来的时候都会被视为非常的不合常理,
[43:34] 比如说Robinhood是零佣金,
[43:36] 然后OpenAI疯狂烧钱,
[43:38] 然后Netflix是彻底改变,
[43:40] 改变了DVD的租赁模式,
[43:42] 都各有各的奇特,
[43:43] 但最终他们都颠覆了市场,
[43:45] 这种颠覆性的公司在你来看来共性是什么?
[43:49] 总结下来有几点吧,
[43:51] 第一就是巨大的TAM市场规模,
[43:54] 比如说Robinhood,
[43:55] 它是要做整个金融行业的超级应用,
[43:58] 第二就是产品要完美,
[44:00] 不管你是Google,
[44:02] Netflix,
[44:03] GPT,
[44:04] 它最好的产品是不需要销售的,
[44:06] 在很长一段时间之内都能保持极高的增长率,
[44:09] 第三就是,
[44:10] 我们通常回头看的时候都会说天时地利人和,
[44:14] 就是你觉得好像会注定在那个时间点出现这么一个颠覆者,
[44:18] 比如说智能手机带宽到一定程度,
[44:21] 就诞生了短视频,
[44:22] 包括TikTok,
[44:23] 那摩尔定律终结,
[44:24] GPU就推动了AI,
[44:26] 然后下沉市场的空白造就了当年异军突起的拼多多,
[44:31] 其实每一个都有一点宿命感的感觉,
[44:33] 你现在有发现什么新的有趣的物种吗?
[44:36] 新物种,
[44:37] 当然我们这个不作为投资的建议啊,
[44:39] 今年看起来可能最有意思的就是prediction market,
[44:42] 就是预测市场,
[44:43] 大家可能也听过叫Kelshi Polymarket,
[44:46] 我因为本来看Robinhood,
[44:48] 所以最早发现这块量上的非常的猛,
[44:50] 像Kelshi这么一个预测市场,
[44:52] 它最新的交易额已经超过了600亿,
[44:55] 那季度环比都是超过百分之百的,
[44:58] 是非常典型的新物种野蛮增长,
[45:01] 那这个预测市场上面大家可以用一两块钱去压住一切事件,
[45:06] 你可以压住美国大选谁是总统,
[45:08] 你可以去压特斯拉的财报是不是会超预期,
[45:12] 甚至还有人在那预测Taylor Swift会不会怀孕,
[45:15] 是一个很百花齐放的一个状态,
[45:17] 它绝对不是一个小众市场,
[45:20] 你看Bloomberg或者Google Finance都已经接入了它的数据,
[45:24] 那回到刚刚讲的,
[45:25] 我觉得这个行业的出现也充满了天时地利人和,
[45:29] 首先就是今天的美国主流媒体信誉危机非常严重,
[45:33] 然后又因为这两年不管是疫情啊,
[45:35] 关税啊,
[45:36] 时局非常的动荡,
[45:37] 民众都很想知道到底什么是真相,
[45:40] 而且这个世界上似乎总是有人知道一点什么,
[45:44] 比如说谷歌的这个Gemini 3就是哪一天能出来,
[45:48] Polymarket上最早的就有人下注了11月18号,
[45:52] 就精准到天,
[45:53] 然后另外就是预测市场在全美国都是合法的,
[45:57] 而你到今天在加州,
[45:59] 德州很多地方连体育博彩都是不允许的,
[46:02] 那当然还有就是这届政府在监管上比较宽松,
[46:05] 所以Prediction Market正好更新了,
[46:07] 可以趁机把量做上去,
[46:08] 所以可以说是预测市场拿了一手王渣的好牌,
[46:13] 就看之后能做多大了。
[46:14] 我们说了很多AI的应用啊,
[46:16] 还没说到自动驾驶和机器人,
[46:18] 今年对这两个赛道有没有什么新的想法?
[46:21] 今年最大的惊喜是vimo,
[46:23] 它的执行能力和速度都非常的超于其,
[46:27] 它现在在五个区域运营,
[46:30] 然后马上就有十几个城市已经可以上高速了,
[46:33] 我去观察它开城的速度也在明显加速,
[46:37] 三藩用了差不多五年,
[46:40] 然后奥斯汀用了不到两年,
[46:42] 硅谷这边半年就开出来了,
[46:44] 而且成本并不高,
[46:45] 大概就是几千万美金能开一个新城市,
[46:48] 它今天有2500辆车在路上,
[46:51] 年化收入算下来可能有小8个亿,
[46:54] 我觉得明后年它的上量会非常非常快,
[46:57] 因为和它合作的这个韩国现代车企,
[47:00] 在美国的佐治亚州已经有了现成的工厂,
[47:03] 你去看这个工厂是可以十万辆级,
[47:06] 量产的,
[47:07] 等这个量上去,
[47:08] 我觉得对整个交通行业都会有很大的影响,
[47:11] 你今天vimo和uber的价格差不多,
[47:14] 但是等你量产,
[47:16] 然后bomb cost就是物料成本下来之后,
[47:19] 对uber这种业务我觉得会有挺大影响的,
[47:22] 今天vimo在三藩其实已经盈利了,
[47:25] 最大的成本就是折旧,
[47:27] 我如果假设它整车是17万的这个总价格的话,
[47:32] 按照四年的折旧,
[47:34] 其他的主要成本,
[47:35] 包括它的这个远程安全员,
[47:37] 运营,
[47:38] 还有些保险费用,
[47:39] 我把它们都加上,
[47:40] 都算下来,
[47:41] 今天也是盈利的,
[47:43] 我看uber和vimo也是合作的关系,
[47:45] 今天vimo和所有人都是合作的关系,
[47:47] 包括uber,
[47:48] 包括租车公司,
[47:50] 包括车队运营管理公司,
[47:52] 但我也会去思考,
[47:53] 就是本质上vimo到底需要的是什么,
[47:57] 它肯定需要人去做清洁,
[47:59] 做维护,
[48:00] 做充电,
[48:01] 它也需要有现成的地方停车,
[48:03] 但uber并不是,
[48:05] 不是一个劳动密集型的公司,
[48:07] 就是运营这个生意,
[48:09] 其实最适合的就是Avis租车公司,
[48:12] 或者就是专业的车队运营团队,
[48:15] 那当然vimo自己需要解决的就是,
[48:17] 它怎么去平衡这个峰值和低谷的需求,
[48:21] uber做这个很合适,
[48:22] 因为它轻资产,
[48:23] 它可以通过调节一下价格,
[48:25] 去做车队的调配,
[48:27] 但是vimo在需求低谷的时候,
[48:29] 它车队会闲置,
[48:30] 这个就比较会影响利润,
[48:32] 特斯拉和vimo这两个,
[48:34] 你是怎么比较的,
[48:35] 哪个会是长期的赢价,
[48:37] vimo和特斯拉这两个,
[48:38] 一个有硬件问题,
[48:40] 一个有软件问题,
[48:42] vimo现在是硬件问题,
[48:44] 也就是一个商业模式问题,
[48:45] 它硬件成本肯定会下来,
[48:47] 但是问题是能下来多少,
[48:50] 比如我把它拆开来看,
[48:52] 它车子和传感器分别都是七八万块钱,
[48:55] 然后车里面的芯片大概两三万,
[48:58] 成本减下来也需要一个过程,
[49:00] 而且怎么减也应该减不到,
[49:02] 特斯拉就是三万块钱这个价,
[49:04] 所以vimo的长期的命运,
[49:06] 很大程度要看特斯拉能不能成功,
[49:09] 然后特斯拉是没有任何硬件的问题,
[49:12] 可以随便量产,
[49:13] 要多少有多少,
[49:14] 但它的问题在于软件,
[49:16] 就是伊朗十年前吹的牛,
[49:18] 说纯视觉,
[49:19] 不用激光雷达,
[49:21] 到今天这个在robotaxi上面,
[49:23] 还没有真正的证明自己,
[49:25] 美国这边自动驾驶是不是就剩下,
[49:27] vimo和特斯拉两个玩家了,
[49:30] 目前是的,
[49:31] 收敛的非常快,
[49:32] 自动驾驶这个事情,
[49:34] 这个市场其实非常大,
[49:35] 美国人每年开车大概是三万亿英里这样,
[49:39] 你假设每英里一块钱,
[49:41] 那这个就是一个三千亿每年的一个市场,
[49:44] 那一块钱其实对用户会非常有吸引力,
[49:47] 因为你对应Uber,
[49:48] 大概是接近三块钱每英里的价格,
[49:50] 所以只要安全,
[49:52] 自动驾驶这个市场是不存在任何需求问题的,
[49:55] 那这个我也让GPT帮我算过,
[49:57] 就是在美国前十大城市,
[49:59] 如果我想拿到10%的市场份额,
[50:02] 大概需要多少台robotaxi,
[50:04] 那它算出来大概是需要一两万,
[50:07] 是一个其实很小的数字,
[50:09] 因为美国今天这个Uber可能有超过三百万台吧,
[50:13] 自动驾驶真的大规模实现之后,
[50:15] 我觉得很多行业的格局都会变,
[50:18] 比如说交通,
[50:19] 甚至说房地产,
[50:21] 因为大家会住的更加分散,
[50:23] 所以经过了十年,
[50:24] 自动驾驶这是终于要实现了吗?
[50:26] 在美国就会是这两家最后占领整个市场,
[50:29] 今天自动驾驶用的还是模仿学习,
[50:32] 大概是一个十亿量级的,
[50:33] 这么一个小模型,
[50:34] 因为模型你要运营在端侧,
[50:36] 有latency就是延迟的这么一个考量,
[50:38] 比如说这个模型,
[50:39] 它看到stop sign,
[50:41] 它并不是真的理解stop是停车的意思,
[50:44] 它单纯的只是去模仿人类开车,
[50:47] 人类通常在看到长的这样的标志面前会停下来,
[50:51] 所以它也停下来,
[50:52] 但是它并不是一个真正的去理解这个世界,
[50:55] 有一点点死记硬背,
[50:57] 很多的叫overfit,
[50:59] 所以你看网上也有这种视频,
[51:01] 就是如果你把停车,
[51:03] 这个标志穿在人的身上,
[51:05] 有的模型也会在人的面前停下来,
[51:08] 所以我其实最近的思考是,
[51:10] 这种锤类小模型和大模型的路线,
[51:13] 到底会怎么演变,
[51:15] 我们是不是还是需要真正的智能,
[51:17] 一个比较通用的大模型,
[51:19] 去理解驾驶的规则,
[51:21] 而不是说去记住去模仿,
[51:23] 才能真正解决一切的这个corner case,
[51:26] 就边缘案例,
[51:27] 在其他的锤类其实都发生了,
[51:30] 包括图像,
[51:32] 视频,
[51:33] 编程,
[51:34] 那通用模型就是会比锤类的小模型效果更好,
[51:38] 所以我自己会好奇,
[51:40] 会想看一看大模型公司,
[51:42] 怎么去做自动驾驶这件事情,
[51:44] 然后latency能不能被解决,
[51:47] 机器人这一块呢,
[51:48] 这几年美国的发展怎么样?
[51:50] 是非常火的赛道,
[51:52] 很多VC,
[51:53] 我觉得说实话都在闭眼头,
[51:55] 我觉得这个行业,
[51:57] 就是local motion,
[51:58] 或者说下半身,
[51:59] 基本算是解决了,
[52:00] 那机器人能跑,
[52:01] 能跳,
[52:02] 能动作,
[52:03] 但是manipulation,
[52:04] 就是上半身的操作,
[52:05] 目前还差的比较多,
[52:07] 那几年下来,
[52:08] 其实我自己也很发愁,
[52:10] 因为我觉得路径上还是没有一个共识,
[52:13] 比如硬件上,
[52:14] 到底我们是要人形还是四足,
[52:16] 如果是人形,
[52:17] 人形长什么样子,
[52:18] 那数据上,
[52:20] 这边有的人只用真实世界的数据,
[52:23] 有的人只用模拟,
[52:24] 有的人混合起来用,
[52:26] 所以也是没有共识,
[52:28] 但是往好了想也不是毫无进展,
[52:31] 我觉得认知上,
