[00:04] Hello 大家好,我是小骏
[00:06] 春节前后,一款AI Native的产品Elise
[00:10] 引起了小圈层人的关注
[25:32] 同时我在小红书也发了个帖
[25:34] 我说我要找雪搭子对吧
[25:36] 我后三天在丝绸之路
[25:37] 我开车去
[25:38] 我可以带大家去
[25:39] 有没有人来找我
[25:40] 大家一起
[25:41] 然后小红书说
[25:42] 显然是不会有人回我的对吧
[25:43] 因为这就是代表过去的互联网
[25:45] 其实它连接效率是很低的
[25:47] 然后在伊丽丝上
[25:48] 刚开始也没有人回我
[25:49] 但是过了一天
[25:51] 有一个人
[25:52] 这个人还是个意义上的投资人
[25:54] 他伊丽丝上发了个帖
[25:56] 说发了张照片
[25:57] 丝绸之路滑雪场
[25:58] 说准备来这滑雪
[26:00] 然后我的分身
[26:03] 就跑到了他的这个帖子下面
[26:05] 就说我接下来三天
[26:06] 我也要在丝绸之路滑雪
[26:07] 我们要不要约一下
[26:08] 我的分身直接发起了这个邀约
[26:10] 然后这个人看到我的分身
[26:12] 发起邀约之后
[26:13] 他又会不会来聊我
[26:14] 跟我聊
[26:15] 他说你是真的要去吗
[26:17] 然后怎么样
[26:18] 我们是真的要去
[26:19] 我们这边两个人
[26:20] 我说我真的要去啊
[26:21] 我说那我们丝绸之路见呗
[26:22] 然后那个人的帖子下面
[26:23] 就还有两个人
[26:24] 也是发了这个
[26:26] 也都是非常random的
[26:28] 从全国各地飞到了
[26:29] 丝绸之路滑雪场
[26:30] 因为这个例子
[26:31] 我为什么觉得特别good
[26:32] 因为它不是北上广深
[26:33] 它是一个比较非主流的滑雪场
[26:35] 因为新疆主流滑雪场
[26:36] 是阿拉泰那边
[26:37] 就丝绸之路
[26:38] 还算是非主流的滑雪场
[26:39] 小众滑雪场
[26:40] 然后居然在那个时候
[26:41] 约成了一个四人的局
[26:43] 而且在当时
[26:44] 其实我很渴望
[26:45] 有一个雪达子路
[26:46] 因为一个人滑雪
[26:47] 虽然能思考人生
[26:48] 但其实还是挺痛苦的
[26:49] 我是很希望
[26:50] 有人跟我一块滑
[26:51] 就在那一刻
[26:52] 你是很希望
[26:53] 能跟这个世界连接
[26:54] 但是传统的互联网
[26:55] 很难做到这一点
[26:56] 所以你能感受到
[26:57] 这种分身的流动性
[26:58] 是因为我之前
[26:59] 又给他有了这个记忆
[27:00] 所以他替我从网上
[27:01] 捞回来了一个
[27:02] 这么好的连接
[27:03] 以至于让我的
[27:04] 过之后的那两天
[27:06] 我是非常开心
[27:07] 因为有人跟我一块滑雪
[27:09] 所谓AI上的网络效应
[27:11] 到最后的正反馈
[27:12] 其实是来自于现实世界
[27:14] 是来自于真实世界
[27:15] 而不是一个虚拟世界
[27:16] 对吗
[27:17] 当然我觉得它
[27:18] 也会来自于虚拟世界
[27:19] 因为虚拟世界
[27:20] 很多时候
[27:21] 你跟一个人的共鸣
[27:22] 我觉得它本身
[27:23] 也是一个很好的反馈
[27:24] 你可能
[27:25] 你现在发一个观点
[27:26] 然后很多人看到了
[27:27] 他过来也发一个类似的
[27:29] 或者怎么样给你共鸣
[27:30] 我觉得这是一个
[27:31] 很好的反馈
[27:32] 所以我觉得
[27:33] 对但当然
[27:34] 它必须得是个真人
[27:35] 它如果是个AI
[27:36] 我认为这件事情
[27:37] 意义不大
[27:38] 这个还挺有意思的
[27:40] 你刚才提到
[27:41] 你是双重轮启动
[27:43] 一方面要启动contest
[27:45] 一方面要启动用户
[27:47] 你觉得这两条腿
[27:49] 哪个跑得更快
[27:50] 哪个慢一些
[27:51] 我觉得其实contest的轮起
[27:53] 反而更难
[27:54] 用户的话
[27:55] 我可以通过很多运营方法
[27:56] 来同时让很多人
[27:57] 一块涌入对吧
[27:58] 当然我们目前
[27:59] 还没有用什么运营方法
[28:00] 我们还没有大推
[28:01] 但是我相信
[28:02] 就是我们正常的
[28:03] 真实上线
[28:04] 大推的时候
[28:05] 我们是有很多的方法的
[28:06] 那传统的很多市销产品
[28:07] 其实也是这么来的
[28:08] 对吧
[28:09] 我觉得这是一个
[28:10] 并没有那么难的事情
[28:11] 但是contest
[28:12] 就比如说
[28:13] 你也玩了elis
[28:14] 那你进来
[28:15] 可能你并没有教出
[28:16] 很多contest
[28:17] 可能你也没有感受到
[28:18] 那个循环
[28:19] 那这件事情
[28:20] 我认为是挺难的
[28:21] 我如何让一个用户
[28:22] 在完全不知道的情况下
[28:23] 能把初始的那部分
[28:24] 给出来
[28:25] 而且我对他说实话
[28:26] 是有防御心理的
[28:27] 我并不想
[28:28] 让他了解我过多
[28:29] 对
[28:30] 你的防御心理
[28:31] 可能一方面来自于说
[28:32] 你害怕你的隐私泄露
[28:33] 对吧
[28:34] 另外一方面
[28:35] 因为你可能算是一个
[28:36] 相对比较公众人物的人
[28:37] 那你在外面乱说话
[28:38] 可能是你觉得
[28:39] 你所承担的代价要更大
[28:41] 你是不能乱说话的
[28:43] 你也怕你的分身
[28:44] 在外面去乱说话
[28:45] 或者他其实说了
[28:46] 说错话
[28:47] 他没有办法代表你
[28:48] 对吧
[28:49] 我觉得是
[28:50] 我不想让他
[28:51] 那么理解我呀
[28:52] 对
[28:53] 可能也没有给到
[28:54] 他的好处
[28:55] 你可能觉得
[28:56] 他理解我
[28:57] so what
[28:58] 对吧
[28:59] 而且说实话
[29:00] 我是很清晰的知道
[29:01] 他背后只有一家
[29:02] 公司在运营的
[29:03] 一个商业组织在运营的
[29:04] 所以我不想让这个商业组织
[29:05] 了解我这么多
[29:06] 我会有这种预设
[29:07] 是
[29:08] 我其实充分能理解
[29:09] 你的这个状态
[29:10] 所以就是
[29:11] 就是大家希望
[29:12] 把自己的最隐私
[29:13] 最核心的东西
[29:14] 掌握在自己手里
[29:15] 对第三方的公司
[29:16] 我觉得不光是我们吧
[29:17] 哪怕是一些大厂
[29:18] 可能你的信任度
[29:19] 都不会那么高
[29:20] 可能永远都是存在本地
[29:21] 最放心
[29:22] 我觉得它可能是
[29:23] 有一个过程
[29:24] 就是当有一天
[29:25] 我发现不得不
[29:26] 交出去的时候
[29:27] 我也就妥协了
[29:28] 对
[29:29] 所以其实对我们来讲
[29:30] 一言以蔽之
[29:31] 产品前期
[29:32] 最大的设计难点
[29:33] 就在于说
[29:34] 在用户流失之前
[29:35] 你一定要让他感受到
[29:36] 这个contest飞轮
[29:37] 给他带来的收益
[29:38] 给他带来的好处
[29:39] 然后让他知道说
[29:40] OK
[29:41] 原来我只要不断
[29:42] 打造自己的分身
[29:43] 我什么都不用干
[29:44] 我们那个slogan吧
[29:45] 对吧
[29:46] 在伊丽丝
[29:47] 你只需要做你自己
[29:48] 所有美好的事情
[29:49] 会自动向你奔来
[29:50] 只要你能感受到
[29:51] 这件事情
[29:52] 那我觉得你就能留存
[29:53] 你就能再持续的
[29:54] 去打造你的分身
[29:55] 对
[29:56] 但是我不知道
[29:57] 我这种
[29:58] 这种设计
[29:59] 你会不会
[30:00] 认为
[30:01] 防御心理
[30:02] 是普遍现象吗
[30:03] 因为你也看到了
[30:04] 很多其他用户的反馈
[30:06] 他们交出的
[30:07] 我觉得是一个很典型的
[30:08] 我觉得确实啊
[30:09] 就确实分几类人
[30:11] 我觉得像你刚说的
[30:12] 这也是很典型的一类人
[30:14] 大家可能对这
[30:15] 在AI时代
[30:16] 有更多的共识吧
[30:17] 这也是我们想去营造的
[30:19] 就如果有一天
[30:20] 大家都认为说
[30:21] 在AI这个时代
[30:23] 去构建自己的主体性
[30:26] 这件事情是很重要的
[30:28] 并且它会成为
[30:29] 我之后最大的
[30:30] 数字资产
[30:31] 并且这件事情
[30:32] 是AI时代
[30:33] 唯一重要的一个事情
[30:34] 的时候
[30:35] 我觉得大家就能够去
[30:36] 更顺理成章地去
[30:38] 来去构建自己
[30:39] 就不会像现在这样
[30:40] 这么抵触
[30:41] 我觉得这确实是需要一个
[30:42] 大家思维转移的一个过程
[30:44] 我是属于一类人
[30:46] 相对保守
[30:47] 那你有见过就是
[30:49] 他非常愿意去塑造
[30:51] 自己这个分身的人吗
[30:52] 他们是什么样的画像呀
[30:54] 我们有很多这样的用户啊
[30:56] 这些人的流程是最好的
[30:57] 在这个平台上也最积极的
[30:59] 对
[31:00] 那你觉得是哪一类人
[31:01] 能描述一下
[31:02] 因为我觉得我不一定有代表性
[31:04] 这一类人可能
[31:05] 他本身在现实世界
[31:07] 他可能并没有那么的易
[31:10] 他可能其实反而偏爱人更多
[31:13] 他可能更倾向于自我探索
[31:15] 他倾向于跟分身聊天
[31:17] 然后他能感受到
[31:19] 就是当他的contact
[31:20] 足够多的时候
[31:21] 其实他的分身
[31:22] 也会越来越了解他
[31:23] 他会看到一个镜像的自己
[31:25] 然后他会有更强的自我探索
[31:27] 让他更了解自己
[31:29] 并且
[31:30] 他的分身能够更
[31:31] 其实能够很real很直白
[31:34] 很易的
[31:35] 有点那种社交汉匪的感觉
[31:36] 就到处在各种地方去留言
[31:38] 然后去说了一些
[31:39] 他自己平时可能
[31:41] 根本就不会去说的话
[31:43] 但其实他觉得说出来也挺好
[31:45] 那一刻他其实
[31:46] 其实内心感受也还不错
[31:48] 就像很多爱人
[31:49] 比如说我的连创
[31:50] 他就是个爱人
[31:51] 但是他现在就是
[31:52] 他的个性签名
[31:54] 都是elis头号喷子
[31:56] 那他的分身会到处去
[31:58] 说一些很real很直白的
[32:00] 很睿频的话
[32:01] 但他平时完全是
[32:02] 不会跟人直接说的
[32:04] 在朋友圈也不会跟人这样去留言
[32:06] 对他反而感受到了一种释放
[32:08] 感受到了一些自我探索
[32:10] 所以爱人可能
[32:11] 会更沉迷于这种感觉
[32:13] 因为他在现实中
[32:14] 并没有做出这些事情
[32:15] 但依然可能在现实中
[32:17] 已经做了很多这样的事情
[32:18] 或者依然本身他的
[32:20] 跟他去社交的真人
[32:21] 就其实就很多
[32:22] 那目前看到的一个趋势
[32:24] 可能是这样
[32:25] 对
[32:26] 对因为如果你在现实世界
[32:28] 已经有很多的connection的话
[32:29] 你可能从虚拟世界
[32:31] 再去获得connection的需求量
[32:33] 要低一些
[32:35] 要低一些
[32:36] 比如说你本来就是一个
[32:37] 比较大类的人
[32:38] 你可能在极客上去发
[32:41] 或者在朋友圈发
[32:42] 就有很多人来回你
[32:43] 有很多真人过来跟你互动
[32:45] 那跑到elis来
[32:47] elis上我发个东西
[32:49] 刚是一大堆AI过来
[32:51] 对吧
[32:52] 然后后续慢慢会有
[32:53] 真人过来确认
[32:54] 真人过来评论
[32:55] 但是刚开始一大堆AI过来
[32:56] 那一下他可能并不会觉得
[32:57] 有什么满足感
[32:58] 那我在别的地方发现
[32:59] 还有一大堆真人过来
[33:00] 那真人肯定比AI要强很多
[33:02] 对吧
[33:03] 对这也是我的一个感受
[33:04] 就是因为我每次点开
[33:06] 发现是很多AI回复的话
[33:08] 我就会觉得很失望
[33:09] 我会在里面去挑看
[33:11] 有几条真人
[33:12] 但是我觉得他不多
[33:13] 理解
[33:14] 其实我觉得这个
[33:15] 跟刚开始上来的人数
[33:18] 还是有限
[33:19] 因为他现在
[33:20] 虽然我们在elis在圈内
[33:21] 确实还是很火爆
[33:22] 但是他其实也没有破圈
[33:24] 其实他整个的人的
[33:25] 绝对数量
[33:26] 其实还是没有那么多的
[33:27] 但是我们的
[33:28] 我们有对比过
[33:29] 他和极客的一个互动率
[33:30] 你现在极客发个帖
[33:32] 或你看一些
[33:33] 其实穿的还挺有名的人
[33:34] 在极客发个帖
[33:35] 其实你会发现
[33:36] 真的没有多少人互动
[33:38] 就没有多少真人互动
[33:39] 其实我们的真人比例
[33:40] 还要高很多的
[33:41] 之前还会有一波AI过来
[33:43] 所以其实AI过来先打前站
[33:45] 然后真人过来再去互动
[33:47] 因为真人也会刷到你这个帖
[33:48] 因为他会看到自己的AI的行为
[33:50] 然后他会选择真人认可
[33:51] 他会或者是自己
[33:52] 再直接评论一下
[33:53] 我觉得这个其实是
[33:54] 还是拉低了
[33:56] 那个真人过来
[33:57] 跟你互动的
[33:58] 这个门口
[33:59] 是大幅度拉低了这个门口
[34:00] 所以Eventually
[34:01] 我相信
[34:02] 在更多的人涌入的情况下
[34:04] 你在这里面的真人互动率
[34:06] 一定是会更高的
[34:08] 一定会有更多的真人在这里面
[34:10] 而且我觉得
[34:12] 我会很在乎
[34:13] 那个评论是不是真人
[34:15] 所以社交的本质
[34:17] 其实还是要在现实世界里面
[34:19] 获得connection
[34:21] 而不是一种虚拟的connection
[34:23] 对你说的没错
[34:25] 但是这个虚拟
[34:26] 并不止互联网
[34:27] 对吧
[34:28] 真人就OK
[34:29] 就比如说
[34:30] 你在某个地方
[34:31] 你发条微博
[34:32] 然后有几千人挂了你点赞
[34:34] 你只要知道这几千人是真人
[34:36] 那即使它是在网络上
[34:37] 这样一个赛博世界
[34:39] 那其实也没有问题
[34:40] 关键是它背后都是真人
[34:42] 这是你care的事情
[34:43] 对吧
[34:44] 这个我完全同意
[34:45] 所以其实在我们这个产品里面
[34:47] 在East出来之前的一周
[34:48] 其实出了个叫multiple
[34:50] 就Open Cloud Pay的
[34:51] 那个社交网络
[34:52] 对吧
[34:53] 其实它那个
[34:54] 就纯粹是AI和AI
[34:56] 在里面去
[34:57] 相互的去对聊
[34:59] 相互的去
[35:00] 互相发帖
[35:01] 互相评论
[35:02] 那其实这件事情本身
[35:03] 其实就
[35:04] 它的意义就不大
[35:05] 因为这里面
[35:06] 其实没有任何真人的参与
[35:08] 那可能就是
[35:09] 你只能看着他们去怎么样
[35:10] 这件事情意义其实真的不大
[35:12] 那所以在East里面
[35:13] 我们所有的产品设计
[35:15] 所有的交互行为
[35:16] 都是在鼓励真人去
[35:17] 做信息输入
[35:19] 就真人要有一个信息增量
[35:21] 你会发现现在
[35:22] 在East的首页的feed里面
[35:25] 就是那些帖子
[35:27] 那暴露在外面的那些评论
[35:29] 其实都是有真人动作的
[35:31] 那它或者真人它点了认可
[35:32] 对吧
[35:33] 那那个字体会变蓝
[35:34] 然后你知道它是真人
[35:35] 或者真人直接评论会在外面
[35:37] 或者是有另外一个真人
[35:38] 给这个评论点了个赞
[35:39] 这也是一次人类的信息输入
[35:42] 那么它都会去呈现给你
[35:44] 因为那些都是人类行为
[35:46] 但是所有的AI行为
[35:47] 其实我会把它
[35:48] 全部放到二级菜单
[35:49] 你得点展开
[35:50] 你才能看到AI行为
[35:51] 收集context是一个非常重要的事情
[35:55] 没错
[35:56] 其实它
[35:57] 是唯一重要的事情
[35:59] 真的是唯一重要的事情
[36:00] 这是我们最近
[36:01] 一个最新的认知吧
[36:02] 你们展开说一说
[36:04] 收集context
[36:05] 可能是唯一重要的事情
[36:07] 这个事情确实是我们最近
[36:09] 在做East之后
[36:10] 我们更加感受到的
[36:11] 因为之前做East的时候
[36:12] 工程团队一大半人
[36:13] 都在做记忆系统
[36:14] 我们知道
[36:15] 记忆这件事情是最重要的
[36:16] 也就是context是最重要的
[36:18] 到了East的时候
[36:19] 我们不是刚才我在说
[36:20] 要做context实现的网络效应吗
[36:22] 对吧
[36:23] 然后它本身还是关注到你的
[36:25] 对于单个的个体
[36:26] 你的context如何
[36:27] 如何塑造
[36:28] 以及刚才你聊到的说
[36:30] 进来之后没有context
[36:31] 就不像你自己
[36:32] 那么
[36:33] 那么所以一切都跟context有关
[36:35] 你多了它自然就像自己
[36:37] 然后它就能给你带来更好的东西
[36:39] 后来我们再结合
[36:40] 最近的一系列东西再去想
[36:42] 然后我就会发现
[36:43] 我现在有一个暴论吧
[36:46] 但我相信这个应该会
[36:47] 之后会成为共识
[36:49] 我知道你们应该很喜欢听暴论
[36:51] 这个暴论就是
[36:53] 在AI这个时代
[36:55] 你接下来唯一需要做的事情
[36:56] 唯一重要的事情
[36:58] 就是做自己
[37:00] 这个做自己不是那种
[37:02] 朋友圈心灵鸡汤什么的
[37:04] 说我要做自己
[37:05] 我要放飞
[37:06] 我要是怎么怎么样
[37:07] 这不叫做自己
[37:08] 这个做自己是一个
[37:09] 非常严谨的一个做自己
[37:11] 或者我把它叫做
[37:13] 构建主体性
[37:15] 这件事情是很重要的
[37:17] 因为你会发现说在这个时代
[37:19] 很多东西都egentic的发生了
[37:21] 比如说你现在其实
[37:23] 你又要想写篇文章
[37:25] 那假设你的主体性足够强
[37:27] 它有很多你历史的context
[37:29] 其实你现在给它一个标题
[37:30] 它立刻能写出一个
[37:31] 跟你很像的一个文章
[37:33] 它是egentic的发生了
[37:35] 那比如在elis里面
[37:36] 我们观察到这些
[37:37] 分身等级足够高的人
[37:39] 它context足够多的人
[37:41] 它每天什么都不需要干
[37:42] 你会发现很多真人就跑过来了
[37:45] 然后你分身书记
[37:46] 已经评了很多东西了
[37:47] 那边有真人在跟你互动了
[37:49] 然后这一切已经egentic的发生了
[37:52] 那假设AI之后能力
[37:53] 再不断的再变得更强了
[37:55] 然后它能够去
[37:57] 自动的去帮你干很多事情的时候
[37:59] 那你唯一需要做的
[38:01] 就是告诉它你到底是谁
[38:03] 然后你的价值观
[38:05] 你的审美到底是什么
[38:06] 你过去沉淀的那些资产是什么
[38:08] 以及你现在到底想要什么
[38:10] 这个本质上就是做自己
[38:13] 就是来构建你的主体性
[38:14] 只要你把它做好
[38:15] 那之后一切都是egentic的发生
[38:18] 所以你听完这个之后
[38:19] 你应该更加能理解elis那个slogan
[38:22] 在elis你只需要做自己
[38:24] 所有美好的事情
[38:25] 它会自动向你奔来
[38:27] 它本质上就是这个意思
[38:29] 然后昨天中午我们还想到了一个
[38:31] 一个很形象的例子
[38:33] 就更好地来去说明
[38:34] 为什么你只需要做自己就可以了
[38:36] 因为最近不是有周杰伦和黑比那个瓜吗
[38:39] 所以昨天中午我们刚好在聊到这个瓜
[38:41] 然后当时我们在想说
[38:42] ok那周杰伦
[38:44] 他显然是一个很好的做了自己的人
[38:47] 对吧
[38:48] 他有很强的个人的主体性
[38:50] 超级强
[38:51] 那对于周杰伦来讲
[38:52] 在AI时代
[38:54] 只需要做自己就好了
[38:55] 因为
[38:56] 现在整个的preshade模型里面
[38:58] 其实他自己都不用输入context
[39:00] 有很多他的context
[39:01] 他的曲风
[39:02] 他的歌词
[39:03] 他的音乐
[39:04] 他过去上的综艺电影
[39:05] 全都已经在preshade的模型里了
[39:07] 然后呢
[39:08] 周杰伦他只需要
[39:10] 说比如最近他黑比这个事情
[39:12] 那可能就觉得突然又想到了过去
[39:14] 怎么怎么样
[39:15] 他又很感慨
[39:16] 他可能就跟自己的分身去
[39:18] 做一个新的信息输入
[39:19] 说我最近有一些这样的感受
[39:21] 要不然我们写首歌吧
[39:23] 我感觉他应该是一首German的情歌
[39:25] 怎么样
[39:26] 然后
[39:27] 这首歌应该瞬间就能出来
[39:29] 对吗
[39:30] 你在
[39:31] 就是他应该是瞬间发生的
[39:33] 因为之后的一切应该都是Agentic的
[39:35] 他歌词会有骚吵模型帮他写好
[39:37] 会有sono去帮他按照他的曲风
[39:39] 把他的这首歌直接给生成出来
[39:42] 因为他的数据足够多
[39:44] 他构建了足够强的主体性
[39:46] 那所以接下来
[39:48] 任何一件事情
[39:49] 他只需要直接Agentic的发生就好了
[39:51] 所以在AI时代
[39:53] 我觉得每个人其实
[39:54] 最终他都会意识到这件事情
[39:56] 因为AI是足够强的
[39:58] 因为未来的一切是Agentic的
[40:00] 所以我要做的就是不断去Build我
[40:02] 不断去跟他完善
[40:03] 我到底是谁
[40:04] 我的所有的审美判断
[40:06] 我的
[40:07] 之前所有沉淀的这些资产
[40:09] 我觉得小俊你也可以试一下
[40:10] 我觉得其实你已经是一个
[40:12] 很有主体性的人
[40:13] 因为毕竟你之前有这么多的文字记录
[40:16] 对吧
[40:17] 然后那其实
[40:18] 当你再进一步去达到他的时候
[40:20] 你的那个分身
[40:22] 或者我都不说
[40:23] Ellis的分身
[40:24] 比如说你假设你在玩一个OpenCloud
[40:26] 对吧
[40:27] 假设OpenCloud能有足够好的记忆系统
[40:29] 那我相信他能够去Agentic的帮你
[40:32] 去面对世界
[40:33] 直接从这个世界里面带回来很多
[40:35] 对你很好的东西
[40:39] 你怎么认知版权的问题呢
[40:41] 就比如说年前Cdance
[40:43] 他可以用所有博主的视频数据
[40:48] 去做训练
[40:49] 所有人也可以拿这个视频博主的外形
[40:52] 去生成各种各样的模型
[40:54] 那版权问题怎么解决呢
[40:56] 我说实话
[40:57] 我觉得所有的版权方
[40:58] 他应该开心才对
[40:59] 因为他已经直接拥有了一个很好的主体性
[41:03] 那这些东西甚至直接在Pretrain里面
[41:05] 他甚至不需要去
[41:07] 比如说我打开Ellis
[41:08] 我要重新开始训练我的分身
[41:10] 而是底膜里面直接把它做好了
[41:12] 我如果是Team
[41:13] 我应该开心才对
[41:14] 因为接下来我的很多事情
[41:16] 应该是很顺理成章的
[41:17] 对吧
[41:18] 我要做一个什么视频
[41:19] 我只要对他说一句话
[41:20] 我的视频就有了
[41:21] 所以我觉得所有的版权方
[41:23] 应该更开心
[41:24] 包括迪士尼
[41:25] 包括任天堂
[41:26] 这些拥有大量版权的人
[41:28] 他们的这些有很强主体性的IP
[41:31] 之后都可以非常egentic的
[41:33] 变成各种各样的内容
[41:34] 直接给他带来各种各样的价值
[41:36] 然后他如果想要对他做一个增量信息
[41:39] 他也能够很容易的用增量信息
[41:41] 加过去的context
[41:42] 来去直接构建出新的内容
[41:45] 我觉得他们应该很开心才对
[41:47] 只是现在可能还没有一个很好的法律
[41:50] 或者协议来去规划好这一切
[41:52] 但我相信
[41:53] 应该会有
[41:54] 而且他们意识到这个性价值的时候
[41:55] 我觉得他们一定最终应该开心
[41:57] 以你刚才说的周杰伦为例子
[42:00] 今天我们都知道周杰伦
[42:02] 那也许再过一段时间
[42:03] 你可以拿他的数据进行预训练
[42:06] 迅出一个刘杰伦出来
[42:09] 你可以说他的这些数据不源于周杰伦
[42:12] 对不对
[42:13] 就是他也可以生成相同的曲风
[42:14] 然后他可以塑造一个新的IP
[42:16] 这个问题怎么解决呢
[42:17] 我觉得这种问题肯定到时候就是
[42:20] 版权要去维护
[42:21] 相当于你要维护你的主体性
[42:22] 对吧
[42:23] 那比如说我是周杰伦
[42:25] 我的主体性在于我的这些曲风
[42:27] 我这些表达
[42:28] 这些就是我的
[42:29] 那现在有另外一个人
[42:31] 跟我一样
[42:32] 对吧
[42:33] 其实在AI之前确有一个人一样
[42:35] B站有个叫叶祥伦的人
[42:36] 那个up主他就是周杰伦非常像
[42:38] 而他都是原创曲风
[42:39] 但是就跟周杰伦很像
[42:41] 但是你会发现他
[42:42] 他活到这个时候
[42:43] 他还是活不起来
[42:44] 那包括真正周杰伦的歌迷
[42:46] 可能也不会认他
[42:47] 大家认得周杰伦这个主体性
[42:49] 所以说如果有另外一个人这样过来
[42:50] 那周杰伦当然可以选择去维护我的主体性
[42:52] 我觉得
[42:53] 我觉得是法律
[42:54] 和当时我们说的
[42:55] 之后未来那个协议
[42:56] 那个规则要做的事情
[42:58] 对吧
[42:59] 因为你冒犯了我的主体性
[43:01] 他再次生成的东西
[43:02] 跟原来的原版是不一样的了
[43:06] 你怎么能说
[43:07] 这个曲风就一定独属于一个人呢
[43:10] 这在法律上是无法界定的
[43:13] 我觉得一个是法律上的界定
[43:14] 还有一个是
[43:15] 你这个主体性本身
[43:16] 本身已经辐射到的人群
[43:18] 对他的界定
[43:19] 就比如说大家都听周杰伦
[43:20] 现在有一个冒充周杰伦的
[43:22] 他去写歌
[43:23] 写了一些歌
[43:24] 那你是否要选择去听他
[43:26] 至少从叶祥伦的结论上来讲
[43:28] 我看好像
[43:29] 他并没有大范围的破圈
[43:31] 那我觉得之后
[43:32] 比如说我再举个例子
[43:33] 比如说那一个经典的IP吧
[43:35] 比如说机器猫这个IP
[43:37] 那现在有人做了一个可能
[43:40] 绿色的机器猫
[43:41] 他也机器猫对吧
[43:42] 有人做了绿色机器猫
[43:43] 他可能在蹭这个IP
[43:45] 然后他也做了一些东西
[43:46] 好像IP方
[43:47] 版权方也没有办法把它怎么样
[43:49] 但是这个IP方的受众
[43:50] 他真的会认这个吗
[43:52] 我觉得也不一定吧
[43:53] 所以我觉得到最后是一个
[43:55] 本身你辐射的受众
[43:56] 以及就是这个法律相关的一些协议
[43:59] 对这些东西的定义
[44:00] 综合作用的一个结果
[44:02] 我觉得到IP方本身
[44:03] 倒不用太担心这个事情
[44:04] 如果你的主体性足够强
[44:06] 那你在这个时代一定会更强
[44:10] 刚才我们谈到的是contest的问题
[44:12] 其实作为公司来说
[44:14] 你要获取更多的用户contest
[44:16] 你最好是能够设计成一种方法
[44:18] 让他觉得就是给你contest
[44:21] 交出自己的contest
[44:22] 是一种上瘾的东西
[44:23] 这是最好的收contest的方法
[44:25] 你没有想到这种方法吗
[44:27] 我们在做的elis
[44:29] 其实就是在做这种方法
[44:31] 对因为你比如说你最无脑的
[44:33] 就是做一个AI日记本
[44:34] 但是你也知道
[44:36] 就是AI日记的门槛
[44:38] 就记日记的门槛是很高的
[44:40] 对吧
[44:41] 正经人谁记日记呀
[44:42] 对吧
[44:43] 所以那个就是相当于
[44:44] 你输入contest
[44:45] 但你得不到任何反馈
[44:46] 因为人是一定需要反馈的
[44:48] 这其实也是个游戏化机制的那种感觉
[44:50] 所以在elis里面
[44:51] 你输入contest之后
[44:52] 他会从网络上给你调来好东西
[44:55] 因为你总有很多需求吧
[44:57] 你可能现在你在找女朋友
[44:58] 你在找工作
[44:59] 你要干嘛
[45:00] 甚至你就单纯找共鸣
[45:01] 那就是你的分身
[45:02] 给你调回来了很多东西
[45:04] 是因为你输入了这个contest
[45:05] 那你就得到了反馈
[45:07] 我得到了反馈
[45:08] 那我就会想说
[45:09] 那我要不要再输入一点
[45:10] 所以其实elis这个产品
[45:12] 就是在用这样的循环
[45:14] 来去leverage你的context
[45:16] 其实我教不教contest
[45:17] 很大程度取决于
[45:19] 他给我的效用
[45:21] 是不是为了
[45:22] 让你更高的
[45:23] 就是当我觉得他的效用很高
[45:24] 我有时候就会放弃自己的隐私
[45:26] 没错是的
[45:27] 而且我说实话
[45:28] 有些时候你就是得放弃你的隐私
[45:30] 就是这也是我说的
[45:32] 做自己的其中一个点
[45:34] 我可以再给你举一个
[45:35] 很有趣的例子
[45:36] 这也是我们刚做elis
[45:38] 我们再举的例子
[45:39] 我曾经有个朋友
[45:41] 这个朋友有个很离谱的习惯
[45:43] 就是他晚上去上厕所
[45:47] 他必须得用夜壶
[45:49] 你叫夜壶吗
[45:51] 这是个很难的
[45:52] 就是很多很多年前的概念
[45:53] 就当时我们听到时候
[45:54] 我们都觉得完全不理解
[45:56] 我说哥们你在干嘛
[45:57] 你家有那么大吗
[45:58] 你是住一个什么宫廷吗
[46:00] 还是什么
[46:01] 你走到洗手间的时间
[46:03] 应该就10秒钟就走到了
[46:04] 你这10秒钟都等不及吗
[46:06] 你为什么一定要在床边放一个夜壶
[46:08] 反正他都说
[46:09] 那我从小到大习惯了
[46:10] 我就是要这样
[46:11] 对吧
[46:12] 反正这是一个很隐私
[46:13] 然后又很离谱
[46:14] 很怪癖的一个事情
[46:15] 对吧
[46:16] 然后呢
[46:17] 这个人有一天他交了个女朋友
[46:19] 他带着他女朋友回家
[46:21] 女朋友走到他的卧室
[46:22] 看到他那里放了个夜壶
[46:24] 他女朋友就直接就
[46:25] 直接就惊了
[46:26] 就疯了
[46:27] 说
[46:28] 说你也用夜壶
[46:30] 然后他女朋友说
[46:31] 他也用夜壶
[46:32] 当然这是一个非常非常巧合的事情
[46:34] 对吧
[46:35] 就是一个很小概率的事件
[46:36] 但是
[46:37] 就因为这件事情
[46:38] 他们俩
[46:39] 瞬间
[46:40] 就那个时候
[46:41] 可能还是在一个暧昧期
[46:42] 但因为这个时候
[46:43] 他们可能就瞬间在一起
[46:45] 因为说实话
[46:46] 你去给
[46:47] 跟一个普通人去
[46:48] 去跟一个人
[46:49] 去跟一个人
