[00:06] Hello 大家好,欢迎收听张小俊商业访谈录,我是小俊
[00:10] 这是一档由语言级世界工作室出品的深度访谈节目
[39:24] 你从一开始就不认可吗
[39:26] 我认可这件事
[39:27] 但是我认为有一时间先后问题
[39:29] 就是我现在
[39:30] 一个观点其实是
[39:31] 可能都不用太久吧
[39:33] 也许比如说6个月之后
[39:34] 其实你不用再分所谓的
[39:35] 这个模型公司跟应用公司
[39:37] 基本上每一家头部应用公司
[39:39] 都有做模型的能力
[39:40] 其实这个事已经被Cursor给跳出来了
[39:42] 就是我觉得之前大家还有一种
[39:44] 那个秘而不谈
[39:45] 经未分明的这个状态
[39:46] 但你看Cursor已经跳出来
[39:47] 他们搞了那个
[39:48] 他们新那个模型叫什么来着
[39:50] Composer 1嘛对吧
[39:51] 其实我觉得首先就是做模型
[39:54] 或者说做垂直整合这件事
[39:56] 它其实最影响的是你初期的迭代速度
[39:59] 就是我上一次创业的
[40:00] 这个惨痛的一个教训嘛
[40:01] 就你在不确定的时候
[40:02] 你开始做bottom up的这种
[40:04] 就自下而上的迭代的话
[40:06] 你会被你的模型迭代所影响
[40:09] 其实这个不仅是创业公司的问题
[40:10] 就是你哪怕你强乌如OpenAI
[40:12] OpenAI我非常尊敬他们的
[40:13] 也就是他们一直非常尊重
[40:15] 这种自下而上的这种模式
[40:16] 所以他们产生很多新的创新
[40:18] 但是如果你首先
[40:19] 你一个产品引领的思路来看的话
[40:21] 你某种意义上来说
[40:22] 一你在买模型彩票
[40:24] 因为即使你有一个比较好的
[40:25] 一个road map
[40:26] 其实你在最后完成Post 3
[40:27] 那一刻之前
[40:28] 你都不知道这个模型
[40:30] 就达到你想象中的
[40:32] 这样的一个需求
[40:33] 所以很多时候
[40:34] 你是因为有些突破
[40:35] 所以反向在引导产品的走向
[40:37] 这个我觉得我之前
[40:38] 已经吃过这个亏
[40:39] 这是第一点
[40:40] 第二点就是我刚才讲的
[40:41] 就是模型你即使能通过很多的
[40:43] 比如说你优化你的pipeline
[40:45] 你增加你的人手
[40:46] 或者让你整个这个链条
[40:47] 更加的流畅
[40:48] 来增加你的迭代的速度
[40:50] 但其实这个世界上
[40:51] 只要产品经理存在
[40:52] 你一定是追不上产品经理的
[40:54] 脑思维的这个活跃度
[40:56] 所以我觉得比较健康做反应是
[40:59] 当你的产品已经出了
[41:00] 出具PMF
[41:01] 且已经到了一个比较稳定的
[41:02] 一个状态之后
[41:03] 你以一种增加稳定性
[41:05] 或降本或突破天花板的思路
[41:07] 再去做模型
[41:08] 这是一个先后的问题
[41:09] 你当过CEO
[41:10] 然后也当过就是旁观CEO的人
[41:13] 你觉得身心健康
[41:14] 对于现在AI的Founder来说
[41:15] 价值大吗
[41:16] 有意义吗
[41:17] 我觉得非常大
[41:18] 就是因为你很有可能会受挫
[41:20] 或者说你必然受挫
[41:21] 但是身心健康的人是打不死的
[41:23] 就是你能够一次一次的
[41:25] 很谦卑的再重新站起来
[41:26] 再去很冷静的看待外界的变化
[41:29] 来回馈到
[41:30] 你的一个决策的思路上
[41:31] 这其实我觉得在我加入
[41:33] 就是蝴蝶象
[41:34] 就我们这母公司之后
[41:35] 我们看见无数次这样的事
[41:36] 就是大家没有那种
[41:38] 因为我是一个身心不健康
[41:40] 或者说我有过度的一种执念
[41:42] 而选择一种蛮干的思路
[41:44] 我觉得整体就非常理智
[41:45] 你们从几月聊到几月份
[41:47] 然后你加入了Mineus
[41:48] 其实中间隔了很久
[41:49] 我有点记不清了
[41:50] 但我觉得前前后后
[41:51] 应该有四个多月
[41:52] 四个多月
[41:54] 我记得我第一次
[41:55] 跟小宏见面的时候
[41:56] 是在北京环语会下楼的时候
[41:58] 他说他刚跟你在这见了
[41:59] 你是不是
[42:00] 在那里答应了他加入Mineus
[42:02] 有可能
[42:03] 哎呀
[42:04] 这个这一年过得太快了
[42:05] 好多细节都已经想不起来了
[42:07] 我最后正式加入应该是
[42:09] 2024年的3月
[42:13] 哦
[42:14] 年初加入的
[42:16] 所以23年底开始聊的
[42:17] 对 是的
[42:18] 然后同期你也聊了很多
[42:19] 那个时候出来做应用的方式
[42:21] 是的 是的 对
[42:22] 也不仅是应用
[42:23] 就是刚才讲那三层嘛
[42:24] 其实都聊了
[42:26] 大模型公司你有喜欢的公司吗
[42:29] 大模型的话
[42:30] 肯定都聊了
[42:31] 对 反正当时的话
[42:32] 其实可能比现在看起来
[42:33] 我更欣欣向荣一点
[42:35] 对 然后当时其实我比较喜欢两家
[42:38] 我不是马后炮
[42:39] 我觉得确实也是
[42:40] 当时判断比较好
[42:41] 应该三家吧
[42:42] 我比较喜欢千问DeepSeek和Kimi
[42:44] 对 然后DeepSeek当时也是因为很好玩
[42:46] 就是其实很早就跟他们有接触
[42:48] 是因为那时候我之前的一次创业
[42:50] 是在做那个制图谱构建嘛
[42:52] 且同时我们自己丛林搭建整个
[42:54] 这个搜索引擎的infra
[42:55] 所以其实我们有很大的预训练数据集
[42:58] 所以当时很早就跟DeepSeek的朋友认识了
[43:00] 然后但后来我没有把数据单独卖给他们
[43:02] 我直接把那个我们当时做数据集开源了
[43:04] 对 也算是给大家留下一点遗产
[43:07] 然后那个千问的话也是
[43:08] 就是因为跟他们那个团队的很多人都比较熟
[43:12] 然后当时就觉得千问是做的非常的扎实
[43:14] 而且他是真正第一个上非常宽松的开源的模型
[43:17] 我这个尊敬的程度就是非常的高
[43:19] 而且另外一点就是
[43:20] 他让我看到了大厂里头
[43:22] 一群年轻人能干出来的事情的一个表现
[43:26] 对 我觉得非常非常难得
[43:28] 然后Kimi的话一方面也是真格投资的嘛
[43:30] 对 然后甚至当时投Kimi的时候
[43:32] 因为我是在真格
[43:33] 所以当时交流会比较多
[43:35] 对 然后我觉得首先这个公司是比较有品位的
[43:37] 品位 是的
[43:38] Taste这个还是很重要
[43:39] 技术品位吗
[43:40] 我觉得品位这个词现在大家经常说
[43:42] 我可能会关注一个非常具体的一个指标
[43:45] 对不起 不该叫指标
[43:46] 不能这样去乍着
[43:47] 就是说大家常说品位
[43:49] 我觉得该怎么体现出来呢
[43:51] 品位可能体现在你的evaluation
[43:53] 或者你内部的benchmark上
[43:55] 甚至我觉得这可能是创业公司
[43:57] 对不起 不是创业公司
[43:58] 就是所有AI公司唯一的护城河
[44:00] 就是因为你自己内部的衡量指标
[44:03] 无论是对于模型的benchmark
[44:04] 还是对于你人的激励
[44:06] 其实决定你这家公司和产品该走的这个方向
[44:08] 对 所以我觉得这个还是很不错的
[44:11] 那个点觉得我不应该去大模型公司
[44:13] 而应该去应用公司的人非常少见
[44:15] 是 我觉得这就是我刚才说
[44:17] 我特别幸运的一个点
[44:18] 就是我提前吃了很多
[44:19] 大家后来才吃了亏
[44:22] 对
[44:23] 他们今天开始吃了没
[44:25] 我觉得很多人已经在吃了
[44:27] 且付出了更惨痛的教训
[44:29] 对 我说
[44:30] 我觉得现在其实很多
[44:31] 之前讲的一些国内大模型公司
[44:34] 可能从最开始不是什么百摩大战吗
[44:36] 其实当然那个99个都已经先死掉了
[44:38] 最被大家提起的几家
[44:39] 其实也有一些已经渐渐退出了这一个赛道
[44:42] 我觉得这是挺正常的
[44:44] 而且自从其实DeepSeek出来之后
[44:45] 我觉得还是对大家产生很大的客观的冲击
[44:48] 就是它让一个模型的保质期变短了特别多
[44:52] 就是迅大模型我觉得最痛苦的是什么
[44:54] 就如果说我以前的痛苦是来自于
[44:56] 我要做垂直整合
[44:57] 我要快速迭代的话
[44:58] 现在变成了一种
[44:59] 如果你只做模型
[45:00] 你不是搜它就没有意义
[45:02] 但一个搜它模型
[45:03] 你的保质期其实只有一到一个半月
[45:06] 就是一种非常激烈的不进则退的一个状态
[45:09] 而且大模型就我刚才讲的
[45:11] 就是以前我们做NLP的时候
[45:13] 其实你能有很多不同的
[45:14] 你可以叫赛道吧
[45:15] 就是我做信息授权
[45:16] 你做什么东西
[45:17] 你的所谓好的这个指标是多元的
[45:19] 而LM或者说你这种next token prediction范式的模型
[45:23] 它其实统一了各种任务的建模
[45:26] 虽然大家也说我要做coding
[45:28] 我要做东东太怎么样
[45:29] 但是世界上的能够衡量的指标的维度
[45:31] 其实非常非常清晰的
[45:32] 你几乎没有多少腾挪的空间
[45:34] 但做产品的稍微美妙的一点就是
[45:36] 你起码能够自己定义什么是好
[45:38] 所以你起码能在一个错位的赛道上
[45:41] 去跟别人竞争
[45:42] 你有更多的发挥的空间
[45:44] 今天追求搜它还有价值吗
[45:46] 我觉得一定是有价值的
[45:47] 这个我觉得是
[45:48] 无论是模型公司还是
[45:50] 甚至是做agent公司
[45:51] 我觉得都要追求搜它
[45:52] 这是一定的
[45:53] 因为还是刚才讲的一句话
[45:54] 就是你的evaluation
[45:55] 或者说你关注的那些你选择的benchmark
[45:58] 决定了你的taste能否落地
[46:00] 你从第一天就pass到这些大模型公司
[46:02] 你觉得他们的未来会怎么样
[46:04] 我觉得其实是这样
[46:05] 就是大模型公司一定最后都会变成
[46:07] 同时做模型和同时做应用的公司
[46:09] 其实你看美国现在这个版图
[46:11] 基本已经是这个方向了
[46:13] 我认为它现在更是像两家公司
[46:15] 一个模型公司
[46:16] 和一个跟它有强关联
[46:18] 但并不绑定的research lab
[46:19] 而google的话
[46:20] 始终它就是一个双向都很强的公司
[46:22] 而anthropic
[46:23] 它可能之前还一直会比较关注说
[46:25] 它作为一个b2b market
[46:26] 比如它做它的这个cloud的API
[46:28] 但其实cloud code的巨大的成功
[46:30] 也给了他们很多正向的一个激励
[46:32] 像他们自从那个mikroger
[46:34] 就之前的
[46:35] 就他们现在的cpu加入之后
[46:36] 其实他们对产品的打磨也做得非常好
[46:38] 而且mikroger它也不仅是在做
[46:40] 就是大家广义上来说的
[46:42] 面向用户的产品
[46:43] 它对很多面向开发者的产品的把控也非常好
[46:46] 像比如大家对于像cloud scale
[46:47] 都给出很高的评价
[46:48] 这也是一种产品能力
[46:49] 对但是
[46:50] 我觉得这可能就是大家都会走向那条路
[46:53] 反过来说我觉得
[46:54] 如果最后
[46:55] 不再分大模型公司跟应用公司的话
[46:57] 那我认为其实做出一款好的应用
[47:00] 且被大家喜欢的应用
[47:01] 其实比做出一款够好的模型难得多
[47:04] 因为迅模型这个东西
[47:05] 它的知识的流通在业内是非常非常快速的
[47:08] 尤其在硅谷
[47:09] 没有经验
[47:10] 你可能一个老公在openai
[47:11] 他的老婆在google
[47:13] 没有什么秘密你知道吗
[47:14] 就是
[47:15] 对所以这个东西一定会流通的
[47:17] 所以我觉得到最后其实会变成一个应用之争
[47:21] 然后每个应用背后会绑一些模型
[47:24] 嗯
[47:25] 因为未来模型公司和应用公司是没有那么敬畏分明的
[47:28] 对我觉得不会那么敬畏分明
[47:29] 你刚才说你当时还聊了一些海外的公司
[47:32] 包括google
[47:33] 你还聊哪些公司
[47:34] 当时对他们怎么看
[47:35] 在23年对吧
[47:36] 23年对其实当时的话
[47:37] 几乎所有在做模型的公司我都聊了
[47:39] 然后当时其实23年初我也录了一个podcast
[47:42] 当时还是在以真格的那个ER的一个身份去录的
[47:45] 就说一些暴论
[47:46] 那现在看了好都对太幸运了
[47:48] 对然后当时的话我就其实比较看重几点
[47:51] 然后这个都是有史可查
[47:52] 不是事后诸葛亮
[47:53] 第一个是23年初
[47:54] 我说我关注long context
[47:56] 哎当然这个待会可能聊了
[47:57] 我觉得这个错了
[47:58] 对然后第二点当时比较关注的就是
[48:00] 在自然语言和系统的边界
[48:03] 你可以说是function calling
[48:04] 或者就是说跟environment的这个互动
[48:06] 其实就现在agent这些东西
[48:07] 对这个是我当时比较关注的一点
[48:09] 然后第三点就是
[48:10] 这个其实当时那个分享我都没提
[48:12] 但我觉得还一直还挺信scale up这个事的
[48:14] 因为这也是大家常说的那个就是better lesson
[48:16] 就是苦涩的教训这件事
[48:17] 嗯
[48:18] 就是人类历史上AI的进步
[48:19] 基本全是用通用方法加投入更大的算力
[48:21] 而不是增加这个人为的这个专家知识的注入
[48:24] 嗯
[48:25] 对所以就是当时对于scaling这个事
[48:27] 一方面是很看好
[48:28] 然后很早买了NVIDIA的股票
[48:30] 对然后这是
[48:31] 谁的股票
[48:32] NVIDIA
[48:33] 对
[48:34] 然后当时我就心里会觉得
[48:35] 就是google最后一定会很厉害
[48:37] 对但是他确实用了很久才很厉害
[48:39] 哈哈哈
[48:40] 你加入minus是24年的3月份
[48:42] 然后到24年10月份你在做什么
[48:44] 对这个其实也是
[48:46] 我忘了萧红之前有没有跟大家分享过一事
[48:48] 就是他为什么叫我加入
[48:50] 且用那句话说服我
[48:51] 就是说要想不想做浏览器
[48:53] 搜索人口
[48:54] 搜引擎和大圆模型再做一次
[48:56] 因为当时我觉得我们大家整体做了一个错误判断
[49:00] 就是因为当时monica已经有了一定量的用户量
[49:03] 我们会觉得
[49:04] 也许我们可能是当前世界上最懂用户
[49:06] 怎么在浏览器里用AI的团队
[49:08] 那么我们的一个直觉的惯性的外推就说
[49:11] 我们要不要做一款浏览器
[49:13] 嗯
[49:14] 这个其实想法是比较比较有数据支撑的
[49:16] 就刚才讲的就是你要理性的去看这个事
[49:18] 因为monica当时已经是资金流是正向的
[49:21] 且增长还不错
[49:22] 但其实有一点很好玩
[49:23] 就是如果你去看chrome的那个插件商店的话
[49:26] 你能看见所有别的产品的一个活跃和下载量
[49:29] 因为它这个是一个很透明的一个生态
[49:31] 然后当时你看整个插件生态里头的头两名
[49:33] 分别是adblock就是去广告的
[49:35] 和grammarly就是帮大家改那个语法的
[49:38] 其实他们做了很多年对吧
[49:39] 他们产品绝对没有问题
[49:41] 非常polish的产品
[49:42] 但他们最后都停留在大概5000万左右这个量级
[49:44] 5000万其实确实是很大的
[49:46] 对于一家创业公司来说
[49:47] 但如果你跟整体chrome这个浏览器的日活的话
[49:50] 它应该chrome的日活我记得能有20亿吧
[49:53] 我也没有记错
[49:54] 对因为我也没有准备可能数据有错
[49:56] 但我们当时觉得好像我们做到底也只能渗透到
[49:58] 比如不到1%的chrome用户
[50:00] 因为插件真的是一个就是形态比较高阶的一个模式
[50:04] 因为好多普通的用户其实甚至不知道chrome能装浏览器插件
[50:07] 所以我们当时第一直觉是
[50:09] 也许我们被插件这个东西给约束住了
[50:12] 而我们当时想的比较天真
[50:14] 那我们想的是我们能不能跳出插件
[50:16] 而变成一款独立的就是一个原生的浏览器
[50:19] 在用户的电脑上
[50:20] 同时这样的话能做一些别的事情
[50:22] 就比如说我们可以做端层
[50:23] 我们可以做测的模型
[50:24] 当然这个其实就是一个坑待会讲到
[50:27] 然后我们当时就开始做浏览器
[50:29] 大家都很兴奋
[50:30] 然后从我加入之后
[50:31] 马上就快马加鞭去开始搞
[50:33] 一直其实从4月份我们搞到了大概9月份
[50:36] 我们大家就做事还挺快的
[50:38] 我们其实内部已经早就有一个能用的一个浏览器产品
[50:41] 然后这个我们其实内部摸了一圈之后
[50:43] 意识到这事有问题
[50:46] 怎么有问题
[50:47] 这个有问题点非常好玩
[50:48] 就是我们当时做了的
[50:49] 当时张涛加入了吗
[50:51] 加入了
[50:52] 还是几月份
[50:53] 我是4月份加入
[50:54] 涛哥应该在一两个月之后就加入了
[50:56] 你给大家来介绍一下你们这几个co-founder吧
[50:59] 因为大家都分不清楚你们这几个人
[51:00] 对
[51:01] 我觉得这是一个特别棒的一件事
[51:02] 就是为什么我这些先开个玩笑
[51:05] 就是为什么我觉得不当CEO很好
[51:07] 因为虽然manus的宣传片基本是我出镜
[51:10] 为什么是你出镜
[51:11] 因为要说英语
[51:13] 对
[51:14] 然后这时候自然有人支持有人骂
[51:17] 对吧
[51:18] 他们看着宣传片骂都是这小红太坏了
[51:22] 对
[51:23] 所以就是感谢小红包我挡了很多枪
[51:26] 然后是这样的
[51:27] 就是整个这个manus这个团队
[51:29] 或者蝴蝶下面这家公司
[51:30] 其实我们有6位合伙人
[51:32] 我都不知道
[51:33] 对其实主要就是平时在外面可能
[51:35] 露脸稍微多一些的是张涛
[51:37] 我们的CPU
[51:38] 他会负责很多的无论是产品
[51:40] 以及其实更多比如说与外部的对接
[51:43] 包括一些对外的宣讲这些事
[51:44] 这是张涛
[51:45] 张涛之前也是一个非常非常senior的连续创业者
[51:49] 他经历了什么豌豆家神策
[51:51] 后来光临之外都做过
[51:52] 然后这是张涛
[51:54] 他负责产品
[51:55] 对他负责产品以及对外的这些合作
[51:58] 然后是肖鸿Red
[52:01] 他是我们的CEO
[52:02] 然后还有我们的CTO潘潘
[52:04] 以及我们的一个负责我们的CMO惠杰
[52:07] 他们三个其实是之前就一直在一起创业
[52:10] 做过两三家公司了
[52:11] 他们其实是Monica的原始的创始人
[52:13] 这三位
[52:14] 然后再之后就是我还有我们的CEOCZ
[52:17] 他是一直负责就是比如说这个公司运营
[52:19] 财务相关的同事
[52:20] 所以其实我们是有6位同事
[52:21] 是
[52:22] 就是合伙人
[52:23] 对
[52:24] 现在创业公司团队会变得更大是吗
[52:26] 对
[52:27] 因为他需要能力更负荷
[52:28] 我觉得其实是这样
[52:29] 就是说首先现在可能有一个
[52:32] 就是外界的一个观点
[52:34] 好像说在AI时代团队会变得更小
[52:36] 我们觉得这个东西
[52:37] 首先你不应该作为一个指标
[52:39] 或者说它应该是个被动的指标
[52:41] 就是我们绝对不会为了团队规模
[52:43] 而进行任何的特殊的优化
[52:45] 我们只会自然而然的去观察团队规模的变化
[52:48] 但我觉得确实如你所说有一点就是
[52:50] 现在你很难去分清
[52:51] 各个能力项
[52:52] 因为你很难做到完全正交
[52:53] 像比如说我们做agent这个行业的话
[52:55] 其实你的research跟engineering
[52:57] 是很深的偶合的
[52:58] 而产品你又在同时引导
[53:00] 你到底这个系统架构该怎么做
[53:02] 所以确实就是我们这6个人
[53:04] 基本全都是联系创业者
[53:06] 而且之间大家可能都扮演过不止一个岗位
[53:09] 所以我觉得这也是大家合作比较好的一个点
[53:11] 但与此同时你又很难得能找到一些
[53:13] 就大家在自己领域做得很深
[53:15] 却又能听得进去别人话的人
[53:17] 就是我说
[53:18] 我们是一个非常难得的团队
[53:19] 因为我们6个人的
[53:20] 都是
[53:21] 身心健康
[53:22] 然后无不良嗜好
[53:23] 且这个观念不极端
[53:26] 你像的不良嗜好都是什么样的不良嗜好
[53:29] 我开玩笑吧
[53:30] 至少我们
[53:31] 对 烟酒我们都不太沾的
[53:33] 你们的决策机制是什么样的
[53:35] 我觉得这是我们一直在持续改进的一个事
[53:37] 就是我觉得创业公司其实在不同阶段
[53:39] 或者说你在解决不同的事的时候
[53:41] 你需要不同的决策模式
[53:42] 我们认为就虽然我们是连续创业者
[53:44] 但其实我们也都不成熟
[53:45] 最近在逐渐走向一个更理智的一个方式
[53:48] 我们可能这样总结
[53:49] 就是说
[53:50] 你要把你的管理分成几种不同的类型
[53:52] 一种是专制的
[53:55] 或者有英文有词叫BDFL
[53:57] 就是 benevolent dictator for life
[53:59] 就是仁慈的终身独裁者
[54:01] 这我们叫极权式的
[54:02] 还有一种就是民主式的
[54:03] 我们觉得
[54:04] 如果你把你整个决策分为三个阶段
[54:06] 就是可能叫GPA
[54:08] G就是goal
[54:09] 你在定目标
[54:10] 然后P就是你要定优先级priority
[54:13] A就是alternative
[54:15] alternative就是有不同的选项
[54:17] 在决定这三个事的时候
[54:18] 你要用不同的模式
[54:20] 你在定这个goal的时候
[54:22] 你应该是一个比较专制的模式
[54:24] 就相当于是
[54:25] 也许是比如Rab作为CEO
[54:27] 他应该就把大家的目标给定死
[54:30] 而在决定priority的时候
[54:32] 应该是一个专制加民主的决策形式
[54:35] 比如可以
[54:36] 首先有一个人能拍板
[54:37] 但是大家能充分发挥自己的意见
[54:40] 因为这块会涉及更多不同的专业expertise
[54:42] 这些东西
[54:43] 而在大家提供方案就是alternative的时候
[54:46] 是一个充分民主的
[54:47] 因为在这个阶段也许我们觉得
[54:48] 就是可选方案的数量
[54:49] 甚至比质量更重要
[54:51] 因为很多时候
[54:52] 如果你没有足够多的数量的话
[54:53] 你的决策的空间其实一直是非最优的
[54:56] 就好比你训练了一个模型
[54:57] 但你的action space本身就有问题
[54:59] 那你挑什么呢
[55:00] 所以我觉得这是一个混合的一个模式
[55:02] 当然我觉得我们还都非常的业余
[55:03] 最近也在不太学习这些事
[55:05] 有什么样的是小红会拍的吗
[55:08] 有什么事情是她个人会拍的吗
[55:10] 会的
[55:11] 我觉得就是小红还是作为产品方面的
[55:13] 最终的决策者
[55:14] 我们觉得这是非常重要的一点
[55:16] 就是我们包括我自己都比较相信的一件事
[55:18] 就是
[55:19] 与其悬而未决不如赶紧试试
[55:21] 因为就是好多时候
[55:22] 我们在做一个新的领域的时候
[55:24] 其实第一你过往经验不一定有用
[55:26] 第二点就是你现在想更多
[55:28] 其实你没有额外的信息的输入对吧
[55:30] 你仍然是基于你模型内部的参数化知识
[55:33] 没有做rag对吧
[55:34] 你也没有一个检验的结果
[55:35] 那你在想太多
[55:36] 你不如先把这事干了
[55:37] 拿到你的reward再去做
[55:39] 所以这个一直是我们核心的一个指导的一个思想
[55:41] 所以他做CEO和你做CEO的区别
[55:43] 可能是你可能是技术驱动
[55:44] 他可能是产品驱动的
[55:45] 对
[55:46] 或者说你们公司的基因是一个产品驱动的基因
[55:48] 是的 是的
[55:49] 但是我觉得小宏
[55:50] 我非常尊敬他的也就是
[55:51] 他也充分尊重我
[55:52] 就比如说对于一些技术方面的角色
[55:54] 我也是可以做技术领域的BDFL
[55:56] 就是我是可以当技术方面的独裁者
[55:59] 这也是可以的
[56:00] 所以整体是自上而下还是自下而上
[56:03] 我觉得我们在逐渐从一个自上而下的体系
[56:05] 尽量去变成自下而上
[56:07] 因为随着团队的扩张
[56:08] 和这个团队成员的质量的不断提升
[56:10] 我们觉得自下而上会有更大的一个动力
[56:12] 像之前的话
[56:13] 比如说我们在一个纯粹的快节奏的过程中
[56:15] 你可能自上而下是一个更稳健的一个做法
[56:17] 但现在我们也在逐渐的变得更成熟
[56:19] 我们刚才在聊4月到10月份你在做什么
[56:22] 对 对不起
[56:23] 我都已经聊远了
[56:24] 当时我们做了其实很多事情
[56:26] 但是其实围绕的一个目的
[56:27] 就是如何做一款AI native的浏览器
[56:30] 就是所谓的AI原生浏览器
[56:31] 对
[56:32] 当时做出来产品的形态
[56:33] 其实跟现在的这个ChatGP Atlas
[56:34] 还有像那个D已经很像了
[56:36] 当时我们想的这个切入点有几个
[56:38] 一就是说我们要训练一个端册的一个模型
[56:41] 来让一些操作
[56:42] 能够在用户的电脑上去完成
[56:44] 既不产生API消耗
[56:45] 同时也是充分尊重用户的隐私
[56:48] 这里就埋了第一个很傻的坑
[56:49] 就是拜托你做的是一款浏览器
[56:51] 浏览器本身就是联网的
[56:53] 你为什么要追求一个离线端册运行
[56:56] 现在想起来可能有点傻
[56:57] 第二点就是用户其实大部分时候
[56:59] 不会关注你到底是离线的还是怎样的
[57:01] 他们要求最好的效果
[57:02] 而当时的话你其实在电脑上
[57:04] 比如说即使你只做苹果对Apple silicon芯片
[57:07] 你其实也就跑一个3B轴的模型
[57:09] 就已经差不多是极限了
[57:10] 用户会拿你跟云端的旗舰模型去对比
[57:13] 你的效果一定会差一些
[57:14] 这我们想的第一点
[57:15] 现在觉得很可笑
[57:16] 第二点其实至今有很多人在做的事情
[57:18] 就是想让AI接管用户的浏览器
[57:21] 来完成一些自动化的工作流
[57:23] 这个事我们当时也做了
[57:25] 但是这就是我刚才讲的为什么不对劲
[57:27] 我可以展开讲一下
[57:28] 我们觉得有几点
[57:29] 可以细数一下
[57:30] 第一点就是说
[57:31] 如果你让AI接管用户的电脑的话
[57:33] 你会发现一种很奇怪的使用体验
[57:35] 比如说我让AI去帮我在一个网页上完成填表
[57:39] 这个时候
[57:40] 比如AI当他填了一个字段之后
[57:42] 我一滚屏幕
[57:43] 比如我想看看下面
[57:44] 我其实打破了AI的observation
[57:47] 这可能待会再解释吧
[57:48] 就是agent工作的一个流程
[57:50] 这时候agent可能会
[57:51] 他把这网页又拉了回来
[57:53] 这个体验很奇怪
[57:54] 就好比你有一个特别聪明的实习生
[57:56] 但你好像非要把你跟这个实习生
[57:58] 一起共用一个电脑
[58:00] 这个体验就很怪
[58:01] 就是两个人在一起抢一个系统
[58:03] 而实际上我们现在用的
[58:04] 所有的操作系统和软件
[58:05] 本质上来说
[58:06] 还是为一个人同时使用设计的
[58:08] 所以这个体验就不好
[58:09] 第二点就是
[58:10] 我们发现什么样的任务
[58:11] 真正是有价值的
[58:12] 因为包括现在也有很多人
[58:14] 在做所谓这个GUI agent
[58:15] 就是用户界面自动控制的agent
[58:17] 你会发现
[58:18] 如果你让他去完成一些
[58:19] 你通过简单几次点击
[58:21] 就能完成的任务的话
[58:22] 你觉得是很亏的
[58:23] 因为你的迅速的决策
[58:25] 其实比AI还要快
[58:26] 而你即使让他
[58:27] 比如很简单的帮我点一个外卖
[58:29] 他可能每两步之间
[58:31] 每两步之间的推理
[58:32] 可能也会5秒10秒这样的一个时间
[58:34] 当然现在会更快
[58:35] 但你会觉得
[58:36] 这好像没有产生多大的价值
[58:37] 我干更快
[58:38] 这是我们常见的一个想法
[58:39] 那AI真正有价值的
[58:41] 应该是那种长任务
[58:43] 就是long horizon task
[58:45] 就是它的范围很广
[58:47] 它也许超过了我的能力
[58:48] 或者说它要运行很长时间
[58:50] 且运行很长时间
[58:51] 或者多步几乎是一个必然的事
[58:53] 因为这种任务我才不愿意做
[58:55] 我才想交给AI去做
[58:56] 但这时候又会有一个问题
[58:57] 因为你做的是一款原生的AI浏览器
[59:00] 那这时候AI其实是在你的电脑上运行
[59:02] 虽然我不说模型在你电脑
[59:04] 但是它的持续操纵你的电脑
[59:05] 那就很尴尬
[59:06] 我不能把我的电脑盖上
[59:08] 我电脑盖上
[59:09] 之后我的电脑就休眠了
[59:10] 就卡死了
[59:11] 那怎么样
[59:12] AI在持续进行长程任务的时候
[59:13] 我还要一直盯着它们
[59:14] 保证我电脑不睡眠吗
[59:16] 我自己又不好干别的
[59:17] 所以我觉得这两种体验
[59:18] 我们用下都觉得非常的奇怪
[59:20] 当然这只是一个模模糊糊
[59:21] 觉得奇怪的一个点
[59:22] 其实更大的一个问题
[59:23] 是我们觉得团队
[59:24] 没能回答一个核心考问
[59:26] 就是到底做了这样一款
[59:28] 原生的AI浏览器之后
[59:29] 有什么是我们本来的Chrome
[59:31] 加Monica做不到的吗
[59:33] 后来想想好像没有
[59:35] 然后我们就开始逐渐变得理智
[59:37] 我觉得这个过程也很重要
[59:39] 就是当你做完一产品的时候
[59:40] 你会站在一个想说服自己的立场上
[59:42] 即使我们都是中登连续创业者
[59:45] 大家还是会有这样惯性
[59:46] 就是我刚做完一个东西
[59:48] 我起码自己还是偏心于自己一点的
[59:51] 但当你逐渐发现
[59:52] 更多这些问题暴露出来之后
[59:54] 你会更趋向于一个冷静的判断
[59:56] 然后我们越想就觉得这事不对
[59:58] 就是人类历史上
[59:59] 浏览器的迁移其实有几次
[60:01] 好像也就两次吧
[60:02] 一次是从网警就Netscape到IE
[60:05] 还有一次是从IE到Chrome
[60:07] 这两次变革的根本原因
[60:08] 其实还是Distributed
[60:09] 就你的渠道分发能力所决定的
[60:11] IE是通过预装
[60:13] 而Chrome它可能稍微复杂一点
[60:15] 就一方面当时谷歌
[60:16] 已经成为事实上大家的首页
[60:18] 且同时IE遇见了一些
[60:19] 非常严重的技术问题
[60:20] 包括安全问题
[60:21] 这是一个历史机遇
[60:22] 但是如果我们现在在一个
[60:24] Chrome运行已经很好
[60:25] 且有Monica这样优秀的插件
[60:27] 在了一个生态里头
[60:28] 用户有多大的动力
[60:29] 会愿意因为AI
[60:30] 而把自己的浏览器换成一个新的呢
[60:32] 所以当时我们就开始思考这个问题
[60:34] 但是心里还是没有最终下决定
[60:36] 要怎么办
[60:37] 直到又是后来
[60:38] 这个老天帮忙
