[00:01] 为什么你做这件事情比大部分人都早
[30:35] 比如锤子
[30:36] 比如说笔
[30:39] 比如说筷子
[30:41] 对吧
[30:42] 但是对于
[30:44] AI或者Digital的agent来说
[30:46] 可能最重要的affordance就是code
[30:49] 对
[30:50] 因为其他的affordance其实都是给人定义的
[30:53] 比如说你的网页或者你的小说
[30:57] 或者别的东西
[30:58] 其实都是给人定义的
[30:59] 只有code是一个很自然的
[31:01] 是给机器定义的东西
[31:03] 对
[31:03] 然后我其实是可能22年
[31:10] 当时我就很拉笨一件事情
[31:12] 就是说很显然
[31:14] 就是做coding的agent是最重要的事情
[31:17] 那为什么没有人做
[31:18] 然后我们当时做了一个做的work叫intercode
[31:22] 就是当时所有的人都在做
[31:24] 比如说我有一个任务
[31:26] 我有个coding task
[31:27] 然后我产生一段code
[31:28] 然后我去evaluate
[31:30] 但我们就是说那你为什么不把执行的结果返回给模型
[31:36] 你去做多轮的这种agent的task
[31:39] 然后把它变成一个环境
[31:40] 而不是一个单纯的任务
[31:43] 然后基于这个我们后来发现了一段时间之内
[31:44] 我们又做了sweebench
[31:46] 然后sweeagent
[31:48] 但有的时候我觉得很有意思的一点
[31:50] 就是说很显然一个东西非常重要
[31:53] 但是有的时候就是没有人做
[31:55] 所以说比如说你是一个研究员
[31:57] 你觉得你做的事情很重要
[31:59] 但是没有任何人觉得重要
[32:01] 或者在做
[32:02] 那可能并不实现坏事
[32:04] 可能就是很重要
[32:06] 但是没有人做
[32:08] 这里有个很强的非共识
[32:10] 有的人觉得code可能是这一轮技术革命
[32:13] 最大的
[32:14] 一个价值体现
[32:15] 但也有人觉得可以泛化到更多的任务里面
[32:18] 在整个电脑手机数字世界中
[32:21] 都可以实现agent操作人能做的95%
[32:25] 99%的任务
[32:27] 你觉得从code到整个数字世界
[32:30] 这一步的跨越或者它的泛化
[32:32] 你是有信心的吗
[32:34] 我觉得从更广义的角度来说
[32:38] 你可以认为比如API也是code的一部分
[32:40] 对吧
[32:41] 就是任何基于code的这种接口
[32:43] 都是code的环境的一部分
[32:47] 对吧
[32:47] 然后我觉得有个非常经典的debate
[32:51] 一个辩论
[32:52] 就是说最终的AGI它是一个基于API的
[32:58] 或者基于code的这样一个
[33:00] 还是基于GUI
[33:02] 或者基于对人定义的这些环境的一个东西
[33:05] 还是说它是一个mix
[33:07] 我觉得这个事情就有点像
[33:11] 当然首先一点就是说很多事情
[33:13] 它可能并没有一个API
[33:13] 对吧
[33:14] 现在它只有一个frontend
[33:17] 它只有一个前端
[33:17] 然后你可以去为它造API
[33:20] 那就有点像是说你想要改造你的车
[33:23] 能够适应所有路
[33:24] 还是说你想要改造你的路
[33:26] 去适应现在这些车
[33:28] 对吧
[33:28] 然后当然我觉得可能最终的结果是
[33:33] meet in the middle
[33:36] 就是两边都会做
[33:37] 而且可能这个事情没有那么难
[33:40] 就是说现在来看
[33:42] 让一个agent的技能
[33:43] 能够使用code
[33:44] 又可以去使用人的这些就是screenshot
[33:49] 或者frontend
[33:51] 可能两者都做也没有那么难
[33:53] 从这个角度来说
[33:55] 去让agent或者让这辆车能够开在所有的路上的难度
[34:01] 是低于人力去改造所有的路
[34:03] 让它能变成API接口的难度
[34:07] 从这个角度来说
[34:09] 我觉得coding肯定是很重要
[34:10] 但是如果去做技术的话
[34:13] 做GUI或者做其他东西也没有那么难
[34:15] 可能最终的agent就什么都做
[34:17] 我还想再问一个泛化的问题
[34:19] 因为我读你最新的文章
[34:21] 我印象最深的是你提到终于泛化了
[34:26] 是真的泛化吗
[34:28] 因为你刚才也提到有很多鲜艳的知识
[34:31] 已经trade到model里头了
[34:32] 对吧
[34:33] 有什么迹象能让你感觉到是真的泛化了
[34:39] 而不是他那个train data里面
[34:41] 就既有包含这些
[34:43] 对我觉得是有可能
[34:46] 就是说如果你的presuring
[34:49] 已经包含了所有事情
[34:51] 那RL只是激发出来这些所有的skill
[34:55] 使我想起可能是Illya还是谁说的一句话
[34:57] 就是说maybe the ultimate generalization
[35:00] 就是说你去overfit the reality
[35:02] 如果你能把剩下所有事情都干了
[35:05] 那你在讨论它是overfit还是generalize
[35:10] 就不重要了
[35:11] 但我觉得again
[35:13] 是generalize的
[35:14] 而且我觉得原因就是他能够reason
[35:16] 就是说当你可以在一个环境学到一些
[35:22] 如何去思考的技能
[35:24] 并且思考的技能能够迁移到新的环境
[35:28] 我觉得这个是我说他泛化的本质原因
[35:31] 对从之前可能你学到更多是
[35:35] 比如我下围棋
[35:36] 我对这个环境或者对这个游戏有了很强的理解
[35:40] 但是我怎么去用一个像语言的方式去解释这个环境
[35:41] 但是我怎么去用一个像语言的方式去解释这个环境
[35:43] 但是我怎么去用一个像语言的方式去解释这个环境
[35:43] 像语言一样通用的方式去思考
[35:46] 在这个方面并没有泛化
[35:48] 我觉得这个是可能本质原因
[35:51] 而不是说我学会了上网
[35:52] 我学会了写代码
[35:54] 然后能够做世界上很多事情了
[35:57] 我还想再插一个小问题
[35:59] 有可能我们很快就看到了最强的软件工程师
[36:03] 甚至到2027年
[36:05] 我们看到了能操作人类电脑手机上几乎所有的任务和指令的通用的agent
[36:11] 那
[36:13] 你对这一天的幻想是一个什么样的
[36:16] 过于乐观吗
[36:17] 还是比较合理的
[36:19] 我觉得这个事情现在还没有well defined
[36:22] 就还没有被很好的定义
[36:24] 就是说从某种程度来说
[36:27] 现在的这些模型
[36:29] 它写代码的能力已经比世界上几乎所有人要强
[36:33] 或者说它的数学推理或者逻辑推理能力
[36:37] 从某种程度来说已经比世界上大多数人要强了
[36:41] 但是当你要
[36:43] 说它能不能很好的使用这些环境的时候
[36:47] 还是要基于就是说你要让他去做什么任务
[36:50] 然后这个任务是不是一个能够被合理定义的任务
[36:56] 我觉得很多时候
[36:58] 人或者说人类最难的问题不是说去推理
[37:03] 而是去获得context或者说获得背景
[37:09] 或者说我不知道怎么翻译
[37:10] 就是说很多时候我觉得现在
[37:13] 模型的bottleneck不是说我缺少推理能力
[37:15] 或者说我缺少写代码或者使用潜端的能力
[37:19] 而是说它缺少一个完整的context
[37:22] 然后这个事情我觉得我不知道是不是intelligence的问题
[37:28] 还是一个产品问题
[37:30] 还是一个别的什么问题
[37:31] 但是如果你要让AI实现价值
[37:35] 那你需要去解决这个问题
[37:38] 你在4月的博文the second half
[37:40] 这篇博文在4月份引起了很大的反响
[37:42] 你是怎么想到的
[37:43] the second half这个关键的idea的
[37:45] 当时受到什么启发吗
[37:48] 好问题
[37:50] 是这样的
[37:51] 就是说我首先是被邀请去staff
[37:54] 就是那门课去给一个talk
[37:58] 然后我就去思考我能讲什么
[38:02] 然后很显然我也不能讲很多很技术性的东西
[38:05] 我就只能讲一些比较哲学的东西
[38:09] 能讲什么
[38:10] 然后就想到这个事情
[38:12] 对
[38:13] 然后我觉得是我在open的工作半年
[38:17] 包括之前research的一个感悟
[38:19] 就是说大家往往看重的是比如虚模型
[38:23] 或者方法或者别的东西
[38:26] 但是现在我觉得bottleneck已经转移到了
[38:30] 就是怎么去定义好的任务
[38:32] 怎么去定义好的环境
[38:34] 你觉得现在是转折点吗
[38:36] 从上半场到下半场
[38:38] 从某种角度来说
[38:40] 我觉得主线在从上半场变成下半场
[38:43] 我说的主线就是说基于语言的智能体
[38:47] 当然你可以说比如audio或者multimodal或者robot
[38:51] 还有很多没有解决的方法的问题
[38:53] 对吧
[38:53] 但是我觉得从语言开始
[38:57] 然后定义推理
[38:58] 定义agent
[38:59] 这条线上面我觉得我们已经有了一个
[39:02] 终于有了一个很general的方法
[39:05] 并且这个方法是可以泛化的
[39:07] 这个事情就带来一个很本质的区别
[39:09] 就是说我们之前是
[39:13] 就有点像我有很多怪兽
[39:14] 我需要去为了不同怪兽
[39:16] 去造各种各样的武器
[39:18] 去来打这些怪兽
[39:19] 现在我有一个通用的武器
[39:20] 就我有一把机关枪
[39:23] 现在我要思考的问题是
[39:24] 我要朝哪里去开枪
[39:27] 对吧
[39:27] 我现在其实不用再去考虑
[39:31] 那么多方法的问题了
[39:31] 因为已经有一个非常通用的方法
[39:34] 我可能需要更多考虑的问题是
[39:36] 我要用这个方法去解决什么问题
[39:38] 所以怎么设定任务
[39:41] 怎么定义问题
[39:43] 这个你在探索过程中有什么思考吗
[39:45] 可以分享
[39:47] 对我觉得
[39:51] 不同的人有不同的flavor
[39:53] 有不同的偏好
[39:54] 对
[39:54] 然后我是从很早开始
[39:58] 就是有这样一个偏好
[40:00] 就是说
[40:02] 我想定义一个reward
[40:04] 这个reward是基于结果
[40:08] 而不是过程的
[40:10] 而且它是一个
[40:13] 基于规则或者说能够很清晰的算出来
[40:16] 而不是基于人的偏好
[40:18] 或者模型的这个偏好
[40:20] 或者一些非常黑盒的东西的
[40:23] 然后我们做webshop这个工作的时候
[40:27] 其实当时最困难的一点
[40:29] 就是说我怎么去定义reward
[40:31] 实际上我认为做任何的rl task
[40:34] 最难的部分其实是怎么定义reward
[40:36] 对吧
[40:37] 因为你永远可以把亚马逊或者把facebook
[40:41] 就你可以做各种各样的环节
[40:42] 就这个事情工程上非常难
[40:44] 但是这个东西总是可以做的
[40:45] 最难的部分是我怎么去设计任务
[40:49] 然后让这个任务既有难度
[40:51] 又有真实的价值
[40:54] 又有一个很好的reward
[40:57] 而且这个reward又不是很noisy
[40:59] 它是一个基于规则或者是白盒的reward
[41:02] 而不是一个黑盒的reward
[41:04] 对
[41:04] 然后我觉得事实后来证明
[41:07] 就是说这个是现在的rl就是成功的关键
[41:11] 对吧
[41:11] 就是说
[41:12] 像麦克风
[41:12] mess和coding这样的任务
[41:14] 它最重要的一点
[41:16] 就是说首先它是基于结果
[41:17] 而不是基于过程的
[41:18] 第二是说我有一个非常清晰的
[41:21] 基于规则的reward
[41:23] 而不是基于奇怪的人
[41:25] 或者模型偏好的reward
[41:27] 对吧
[41:28] 就是说答案是三
[41:29] 那它就是三
[41:29] 你只要最终这个答案
[41:31] 它的它是三
[41:32] 那它就是对的
[41:33] 它不是三它就是错的
[41:34] 如果你去做任何其他的设计
[41:38] 好像都会出现hacking
[41:40] 如果你基于过程去定义reward
[41:42] 那你可能会出现hacking
[41:44] 如果你去优化人的偏好
[41:46] 或者说机器的偏好
[41:48] 那你也会出现hacking
[41:50] 那你可能会产生一个非常优美的代码
[41:52] 但是它可能不解决问题
[41:54] 对吧
[41:54] 然后我做的其他的这些task
[41:57] 我觉得也是这样的failover
[41:58] 就比如sweepbench
[41:59] 包括一些其他的像callly
[42:02] 或者其他各种各样的任务
[42:05] 对
[42:05] 我觉得就是一点是基于结果
[42:08] 而不是过程
[42:08] 第二点是百合的基于规则
[42:11] 而不是基于人物的规则
[42:12] 就是人或者模型偏好的
[42:13] 因为OpenAI它对产品有五个分级
[42:16] 如果是基于agent
[42:17] 就是基于任务的定义
[42:19] 来给有可能的产品做一些分级
[42:23] 随着模型能力的溢出
[42:24] 当我们要用模型能力的时候
[42:26] 那agent可以怎么做一个分级呢
[42:29] 在你脑海中有这样的一个框架没有
[42:32] 我现在感觉倾向于会有不同的类型的应用
[42:37] 会有不同的挑战
[42:39] 然后这些挑战可能是正交的
[42:42] 或者说没有很难说谁比谁更难
[42:47] 或者谁比谁更简单
[42:48] 就是从某种角度来说
[42:53] 人类也有这样的问题
[42:55] 对吧
[42:55] 就比如说洛克菲勒和爱因斯坦谁更厉害
[42:59] 这个事情是很难去定义
[43:01] 对吧
[43:01] 就成为一个大公司的CEO
[43:03] 和成为一个数学家
[43:05] 谁哪件事情更难
[43:07] 我觉得这个事情是他可能是不同的男人
[43:11] 或者不同的
[43:12] 挑战
[43:13] 但是对于agent来说还有另外一点
[43:14] 就是说可能对于人来说一个很简单
[43:17] 或者很难的事情
[43:18] 对于agent他可能并没有这样的简单
[43:22] 很难的区分
[43:23] 就比如说可能对于人来说
[43:26] 做一个客服比作为一个软件工程师要简单很多
[43:31] 对吧
[43:31] 他工资也少很多
[43:32] 然后需要的文凭
[43:34] 或者需要的各种各样的资历也少很多
[43:37] 那现在反而做软件工程是比做客服
[43:42] 我觉得更简单的事情
[43:43] 因为做软件工程
[43:44] 你有一个更好的环境
[43:47] 有一个更清晰的reward
[43:48] 然后你有更多数据或者各种各样原因
[43:53] 你想要去做一个非常robust的
[43:55] 或者reliable的客服
[43:57] 实际上是有reliability的challenge
[44:00] 对
[44:01] 所以我觉得我们可以把人类的各种各样工作
[44:05] 分成很多各种各样的category
[44:07] 但是人本身就有很多不同aspect的challenge
[44:12] 然后对于机器来说
[44:14] 或者对于AI来说
[44:15] 人的这些challenge的相对难易
[44:19] 可能也不完全反映到AI上
[44:23] 对
[44:24] 那什么样的任务整体来说更适合agent做
[44:27] 什么样的任务
[44:27] 比如说适合人和agent一起做
[44:29] 然后什么样的任务适合人做
[44:31] 我觉得从非常high level说
[44:36] 我觉得有不同的划分任务的方法
[44:39] 我觉得从一个划分方法来说
[44:42] 有一些任务更注重reliability
[44:45] 或者有些任务更注重creativity
[44:49] 就是说做客服
[44:52] 你重要的是比如说100次里面
[44:54] 你需要99次或者以上不要出错
[44:56] 对吧
[44:56] 如果你比如你只有85次让用户开心了
[44:59] 你有15次没有让用户开心
[45:00] 那你可能就被炒鱿鱼了
[45:02] 就是说我觉得一个任务
[45:04] 就是说你做简单的事情
[45:05] 但是把它做的非常的reliable
[45:08] 另一个任务可能是比如说我要去证明离班猜想
[45:11] 或者我要去写一个很难的代码
[45:13] 或者我要去创作文学剧本
[45:16] 对吧
[45:16] 就是说我可以试100次
[45:18] 我只要有一次做的特别好
[45:19] 那我就成功
[45:22] 然后这两类任务
[45:23] 我觉得需要的挑战是不一样
[45:26] 我觉得还有另一个划分
[45:28] 就是说你是去做
[45:33] 我觉得任务的深度和广度
[45:35] 就是说你可以去做一个
[45:37] 比如说我curse其实是一个非常短的路
[45:41] 比如我把这个文件改一下
[45:43] 可能我三秒钟做好了
[45:45] 有些事情我可能需要30分钟
[45:47] 或者三个小时或者三天
[45:49] 从这个维度来说
[45:51] 就是说我需要的是长期记忆
[45:54] 或者later memory的这个能力
[45:56] 然后从任务的广度来说
[45:58] 比如说我要去解决这一个bug
[46:01] VS我要从头搭建
[46:02] 比如Windows这样的一个repo
[46:05] 我会有就是说广度的区别
[46:10] 对吧
[46:10] 就一个人能做的事情
[46:11] 和一个公司能做的事情
[46:12] 和一个team能做的事情
[46:14] 从这个角度来说
[46:15] 我觉得我们需要multi agent research
[46:18] 从reliability到creativity
[46:21] 哪个任务是agent目前更好定义的
[46:25] 它的顺序和步骤应该是什么样的
[46:28] 我觉得其实说我们是可以
[46:31] 平行的做很多不同的事情的
[46:33] 而且其实有一个非常简单的
[46:36] 就是设计
[46:38] 设计没设计的方法
[46:39] 就比如说
[46:41] 做coding
[46:42] 我们有个非常传统上有一个metric
[46:44] 叫做pass at k
[46:47] 意思是说你做了
[46:50] 比如说你同样一个代码写了k次
[46:54] 你起码成功一次的概率是多少
[46:57] 你可以想象就是说
[46:58] 当你这个k越来越大的时候
[46:59] 你的成功概率会越来越大
[47:02] 然后你会发现很多时候
[47:04] 这个coding reset
[47:05] 它会report pass at 100
[47:07] 就是说我同样一个任务
[47:08] 我跑100次
[47:09] 我起码成功一次的概率是多少
[47:12] 对
[47:12] 但是我们去年发了一个research
[47:15] 叫做topinch
[47:17] 他的想法就是说
[47:18] 实际上对于另一类任务
[47:20] 比如说客服
[47:22] 你需要是和他正好镜面相反的metric
[47:24] 叫做我们把它定义为叫做pass at k
[47:28] 就是一个密次的那样一个符号
[47:32] 就是说你做k次
[47:35] 永远成功的概率是多少
[47:37] 或者说起码失败一次的概率是多少
[47:41] 就是说我觉得从某种程度来说
[47:47] 我有些任务我们需要去optimize pass at k
[47:50] 有些任务我们需要去optimize pass at k
[47:53] 但是往往我们现在更重视的是success rate
[47:58] which is pass at 1
[48:00] 或者是我们重视pass at 100
[48:03] 对于coding
[48:04] 我们对于简单任务的robustness
[48:06] 并不是特别重视
[48:07] 而这个事情的原因
[48:08] 我觉得是因为
[48:10] 大家做
[48:11] AI还是没有
[48:13] 还是在做一些benchmark
[48:16] 对吧
[48:16] 大家还是在做我做一些任务
[48:17] 而没有说我要去做一些实际的应用
[48:21] 但如果你要接受message转变之后
[48:25] 我觉得很自然
[48:26] 有些应用它就是需要robustness
[48:27] 我就是需要去optimizerobustness
[48:29] 现在我觉得还没有意识到这件事情
[48:33] 但我觉得如果大家意识到这个事情
[48:35] 这个事情是会有很大进步的
[48:37] 其实创业公司很担心模型能力的溢出
[48:39] 会把创业公司做的agent
[48:41] 是吞掉
[48:42] 长期看像chris这样的公司
[48:44] 你觉得它的壁垒是什么
[48:46] 你觉得哪些agent是模型公司必然一定会做的
[48:49] 哪些事情是有创业公司机会的
[48:52] 它这个边界你觉得可能在哪里
[48:55] 我觉得创业公司应该担心的事情是
[48:57] 模型没有溢出能力
[49:00] 这样的话你就真的什么都做不了了
[49:02] 我觉得有溢出能力是个非常好的事情
[49:04] 这基本意味着你有机会
[49:06] 然后我觉得创业公司最大的机会就是说
[49:09] 我能够设计不同的interface
[49:11] 或者说人和数字世界交互的方式
[49:17] 就是说chatgbt或者这些所有的做模型的公司
[49:23] 其实都在做类似chatgbt的产品
[49:26] 然后chatgbt的本质就是说
[49:28] 你是在像和人交互一样去进行和这个数字世界的交互
[49:33] 对吧
[49:33] 就是说你的chatbot有一个对面有个像人一样的东西
[49:36] 然后你和他聊天
[49:37] 或者你给他布置任务
[49:38] 或者你让他
[49:39] 去帮你做deep research
[49:41] 或者让你帮他做所有写代码
[49:44] 但他的交互方式是一个像人一样的交互方式
[49:48] 或者是像助手一样交互方式
[49:50] 如果你能够用模型通用能力
[49:53] 但是创造不同的交互方式
[49:55] 那你就能创造巨大的机会
[49:57] 我觉得本质上来说
[49:58] Cursor就是说我创造了一种新的交互方式
[50:01] 对吧
[50:01] 就是说它不是一个像人一样交互的方式
[50:04] 而是一个像copilot
[50:06] 或者说是一个新的交互方式
[50:09] 我写这个代码之后
[50:10] 他能给你提示一些东西
[50:11] 或者我能帮你edit的一些东西
[50:14] 但是没有人和人是这样交互的
[50:17] 对吧
[50:17] 这也是它的价值所在
[50:19] 我觉得最终可能模型的能力
[50:22] 是会产生beyond chatgpt这种交互方式的
[50:28] superapp的
[50:29] 这种情况下
[50:31] 创业公司最大的机会就是说
[50:32] 我能探索新的交互方式
[50:34] 并且我能够有模型溢出的能力
[50:37] 这两者缺一不可
[50:38] 如果你做了一种交互方式之后
[50:39] 这两者缺一不可
[50:39] 或者是旧的interface
[50:42] 然后你利用这些新的模型
[50:46] 你很容易被chatgpt取代
[50:47] 对吧
[50:47] 如果你的交互方式很像chatgpt
[50:50] 你有什么理由不被chatgpt取代
[50:52] 如果你做新的交互方式
[50:54] 但模型没有继续变好
[50:56] 没有新的溢出能力
[50:57] 你也很难做
[50:58] 所以对于创业公司来说
[51:00] 最好的机会就是说
[51:01] 你做新的交互方式
[51:02] 但是模型不停地有新的溢出能力
[51:04] 让你能够赋能这些新的交互方式
[51:08] chatgpt也可以有跟进
[51:09] 这个新的交互方式
[51:10] 对
[51:11] 但是我觉得拥有一个super app
[51:13] 其实对于公司是双刃剑
[51:15] 对吧
[51:16] 因为当你已经有了一个交互方式的时候
[51:19] 你会必然的形成路径依赖
[51:22] 就像2020年
[51:24] Google它有无限多的资源和钱
[51:26] 有transformer
[51:26] 有最好的research
[51:28] 但它肯定最自然的想法是
[51:31] 我怎么用这些东西
[51:33] 提升我的搜索引擎
[51:35] 当你有像chatgpt这样一个super app的时候
[51:38] 那
[51:38] 很自然你的research
[51:40] 就会center around这个super app
[51:41] 会center around这个交互方式
[51:44] 你会去探索新的产品
[51:45] 但是
[51:47] 即使是大厂或者即使是谷歌
[51:50] 即使是openapp
[51:51] 你大部分资源还是会围绕你的super app的
[51:53] 这样的交互方式
[51:56] 我觉得这是创业公司的机会
[51:58] 有趣
[52:00] 你刚才提到交互方式
[52:01] 今天还是人跟code交互
[52:03] 人跟tax交互
[52:05] 人跟agent未来是怎么交互的
[52:08] 你感觉超级助理那种
[52:10] HER那种属于一个正确的交互方式吗
[52:14] 如果这种交互方式
[52:15] 我可觉得有没有机会
[52:17] beach chatgpt今天的形态
[52:20] HER其实是不是类似于一个
[52:23] 还是一个assistant的形态
[52:24] 但是只不过它有语音
[52:26] 而不是文字对吧
[52:29] 我觉得这是一个很显然很有价值的形态
[52:31] 对吧
[52:31] 因为人和人交互已经几千年
[52:33] 几万年几百万年
[52:35] 这是一个对人来说最自然的形态
[52:37] 对吧
[52:37] 对吧
[52:37] 对吧
[52:37] 对吧
[52:37] 对吧
[52:37] 对吧
[52:37] 对吧
[52:37] 对吧
[52:37] 对吧
[52:37] 对吧
[52:38] 对吧
[52:38] 对吧
[52:38] 对吧
[52:38] 对吧
[52:39] 对吧
[52:39] 对吧
[52:39] 对吧
[52:40] 对吧
[52:40] 对吧
[52:40] 对吧
[52:40] 对吧
[52:40] 对吧
[52:40] 对吧
[52:40] 对吧
[52:40] 对吧
[52:41] 对吧
[52:41] 对吧
[52:41] 对吧
[52:41] 对吧
[52:41] 对吧
[52:41] 但是然后这个生态位
[52:43] 我觉得chatgpt是占主的
[52:45] 或者说很显然之前模型公司
[52:47] 一开始做的事情就是这个
[52:50] 我觉得不显然的事情
[52:51] 是我能不能基于不像人的交互方式
[52:56] 对吧
[52:56] 我觉得christie是个很好的例子
[52:58] 然后从某种程度上说
[53:00] Google是个很好的例子
[53:01] 对吧
[53:01] 就是它当时这是个很新的方法
[53:04] 就没有人见过
[53:05] 很奇怪
[53:06] 对
[53:06] 然后Yahoo
[53:07] 从某种程度来说是一个更像
[53:09] 黄页的
[53:09] 对吧
[53:10] 是一个更让人熟悉的交互方式
[53:11] 但是谷歌是一个更让人不熟悉的
[53:13] 交互方式
[53:14] 我觉得assistant或者her
[53:17] 或者
[53:18] 就和人一样的交互方式
[53:20] 是一个很显然的
[53:22] 最重要的交互方式之一
[53:23] 但是我觉得肯定还是会有
[53:26] 足够多的机会
[53:27] 有新的交互方式产生
[53:30] 你脑海里面有没有一些新的交互方式
[53:32] 就是非chatgpt现在在探索的心态
[53:35] 也非传统的互联网的
[53:37] 交互方式
[53:38] 在你脑海里有吗
[53:40] 我觉得canvas是一个好的尝试
[53:43] 就是说
[53:44] 你可以基于现在的一个任务
[53:47] 去在线生成一个
[53:50] 最符合这个情境
[53:53] 和你的个性
[53:54] 和这个任务的一个前端
[53:58] 然后你可以让这个东西
[54:00] 对不同的事情做的很不一样
[54:02] 我觉得这是一个
[54:04] 很显然值得探索的方向
[54:06] 对
[54:06] 但这个事情
[54:07] 显然也很难
[54:08] 对
[54:09] 你感觉应用公司的数据飞轮
[54:12] 对他们非常重要吗
[54:13] 或者说在什么环境下才能形成
[54:16] 我感觉chatbot
[54:17] 就是偏好数据
[54:18] 好像没什么数据飞轮
[54:20] 那code可能有思考过程的数据
[54:23] 思考过程的数据
[54:23] 是代表一类能力的数据
[54:26] 这个可能是有用的
[54:27] 像canvas也好
[54:29] artifacts
[54:30] 可能是有思考过程的数据的
[54:32] 这里能有机会形成很强的
[54:34] 数据飞轮效应
[54:36] 我觉得
[54:37] 大多数公司还没有形成数据飞轮
[54:41] 对吧
[54:41] 大多数公司还是依赖于模型在变好
[54:44] 然后使用模型变好了
[54:46] 这个溢出的能力
[54:47] 然后如果你要有数据飞轮
[54:51] 首先你要能够自己去模型
[54:53] 并且你能够通过交互
[54:56] 有一个很好的reward
[54:58] 我觉得就是你要有一个好的reward
[55:00] 使得你能够把好的数据和不好的数据分开
[55:04] 对吧
[55:05] 我觉得现在可能比较成功的案例
[55:07] 就是meet the journey
[55:09] 对吧
[55:09] 就是说我有个非常清晰的reward
[55:12] 就是说人更喜欢哪张图
[55:14] 然后这个reward和我的应用是aligned
[55:17] 就是说我这个reward做得更好
[55:19] 那我这个公司就是更成功
[55:21] 然后这个模型就是更好
[55:22] 一切东西都是对齐的
[55:25] 然后有了这样的一个情况下
[55:26] 我又能自己去模型
[55:28] 我可以去做数据飞轮
[55:30] 然后你做的这个事情又必须比较不主线
[55:35] 因为如果很主线的话
[55:37] 我可以通过pre-training
[55:38] 或者rl或者一些别的方式
[55:40] 去把这个能力给提上去
[55:42] 对吧
[55:43] 然后我可以通过泛化
[55:44] 我可以通过别的方式
[55:47] 所以现在我觉得对大多数公司
[55:49] 好像并没有形成费用
[55:51] 如果你是Curse的CEO
[55:53] 你会去做pre-training的事情吗
[55:55] 是个好问题
[55:56] 对
[55:57] 我觉得我肯定会去训练模型
[55:59] 或者去尝试训练模型
[56:01] 但是做不做pre-training
[56:03] 我觉得得看情况
[56:05] 对
[56:05] 我觉得coding是一个非常主线的任务
[56:07] 就是所有的现在大厂
[56:09] 他都会把自己的模型的coding做好
[56:13] 对吧
[56:14] 所以所有的pre-training
[56:15] 还有post-training
[56:16] 还有rl各种各样的事情
[56:17] 他都会考虑到这一点
[56:19] 在这个情况下来说
[56:23] 你要不要做它
[56:24] 可能取决于首先这些币源的这些模型做的有多好
[56:29] 其次是开源模型做的有多好
[56:30] 然后这中间有多少gap
[56:32] 然后你能够填补多少这样的gap
[56:35] 对吧
[56:35] 那可能
[56:37] 当然比如如果你有很多钱
[56:39] 你有很多资源
[56:42] 你想把这个事情做了
[56:43] 我觉得也是合理的
[56:44] 对
[56:46] 围绕agent
[56:47] 你脑海里的一个树的结构是什么样子的
[56:49] 如果是基于foundation model
[56:51] 然后基于resonate
[56:53] 然后往上涨
[56:54] agent的整个的生态树
[56:56] 你在脑海里是一个什么样的结构
[56:59] 我觉得有两个方向
[57:04] 一个方向是就是fundamental的research
[57:07] 会怎么演变
[57:08] 或者说这个方法会怎么演变
[57:10] 我觉得另一个是应用或者说它的交互方式会有什么样的演变
[57:15] 然后从盲读程度上来说
[57:19] 他们之间肯定是有观点
[57:20] 但是我觉得会需要不同的人探索不同的方面
[57:24] 对吧
[57:25] 然后比如cursor它就是我并没有在产品或者fundamental research上做创新
[57:31] 但是我做了交互方式的创新
[57:34] 对
[57:35] 然后我觉得在fundamental research上
[57:37] 我自己觉得比较重要的就是一个是一个是memory
[57:41] 一个是intrinsic reward
[57:43] 还有一个事情是multi agent
[57:45] 就是说我怎么我怎么能够让一个agent
[57:50] 就这个事情我觉得也和openAI就是接下来说的这个innovator和organization很像
[57:55] 对吧
[57:56] 其实就是你作为一个innovator
[57:58] 那首先你需要一个long time memory
[58:00] 对吧
[58:01] 比如说我华尔斯我研究费尔曼定理研究比如说20年
[58:07] 那我需要一个long time memory
[58:09] 我需要一个长期记忆
[58:11] 但是基于这长期记忆还不够
[58:13] 你需要有一个内在的reward
[58:15] 对吧
[58:15] 因为直到你证明的那一刻
[58:17] 你是没有任何外在reward
[58:19] 对吧
[58:20] 你也没有获奖
[58:20] 你也没有做任何事情
[58:21] 没有人给你任何feedback
[58:24] 你需要自己给自己一个feedback
[58:27] 这个事情是所有innovator最重要的事情
[58:29] 无论你是艺术家还是科学家
[58:31] 还是文学家
[58:33] 还是任何创作者
[58:36] 对吧
[58:37] 另一方面我觉得作为组织
[58:39] 你需要解决的就是说
[58:41] agent和agent之间怎么协作
[58:43] 怎么让multiagent skill
[58:44] 然后我觉得从某种程度来说
[58:47] 现在agent可能就像一个普通大学生
[58:50] 做一个数字化的实习生
[58:54] 对吧
[58:55] 就是说可能这是第三阶或者我们说AGI
[58:58] 可能就是一个普通比如一本大学生
[59:02] 能够在电脑上能做的事情的一个能力
[59:06] 但是人类社会的边界
[59:08] 就是说
[59:10] 这当然是80%或者90%的人
[59:12] 那人的社会边界或者说我们最崇拜什么样的人呢
[59:16] 一方面就是这些创新的人
[59:18] 对吧
[59:18] 爱因斯坦
[59:19] 或者高根或者梵高或者贝多芬
[59:23] 能创造新的东西的人
[59:26] 另一部分就是我能创造新的组织
