[00:01] Hello 大家好 我是小骏
[00:15] 今天我们来到了美国硅谷
[65:42] 研究的是比较specification这一块而不是
[65:45] 比如说让你去拿AI去判一个
[65:49] 这个人到底有没有杀了另外一个人一个普通的trial court一个case而是去看这个
[65:54] constitutional law
[65:55] 比较
[65:56] 就是precisely define比较严谨的去
[65:59] 去定义的
[66:00] 这个那我需要数学不是英语而是一个更
[66:04] 结构性的
[66:06] 一种一种呈现
[66:08] 而这个令这个形式化语言他就把数学变成了一个代码
[66:12] 所以他就可能能够去我当然就有一些这样的一个想法然后
[66:16] 当时同时和叔宝我们在这个
[66:18] 一个叫做Verve的一个咖啡店我们一开始认识的然后接下来
[66:22] 我就是在Palo Alto对就是
[66:25] Verve咖啡现在墙上还有我们两个当时就是照了一张帕利德相片他当时说你买了一共买了
[66:32] 一千杯咖啡你就可以照一张
[66:34] 帕利德我和叔宝在那一定买过一千杯咖啡
[66:37] 对我们我们给这个咖啡店就是带来了非常多的这个营收
[66:41] 我们现在整个办公室的每一个人他们每一天都在这个咖啡店
[66:45] 然后叔宝对对然后我们当时也一直在聊这件事情就是乔哲鑫老师有
[66:51] 很多的不管是
[66:54] 博客还是就是写的博客
[66:57] 讲这个形式化证明
[66:59] 然后我身边的就是Kenny他我知道他有多对这个令进行狂说
[67:04] 他现在也在AXIOM前职
[67:06] 所以就是
[67:07] 好多好朋友们大家现在就慢慢的聚到了一起就是希望能做能做这件事情
[67:12] 我当时看到的一个事情就是
[67:15] 一切我们认为的不可能
[67:18] 都有可能
[67:20] 然后如果是这样的话
[67:22] 对我个人意义最大的就是
[67:24] 让AI能够帮助我
[67:26] 进行一些数学证明尤其
[67:29] 我不是天赋型选手我有些时候真的是花
[67:33] 某种程度上
[67:34] 你说AI能够帮助最大的是谁是那些蛮力型数学家
[67:38] 就我
[67:38] 就我可能
[67:39] 真的就是我要枚举多少个
[67:41] 可能性我要经历
[67:43] 多少天去验证一个非常
[67:46] 可能是一个standard argument
[67:48] 一个标准的一种
[67:50] 一种一种一种一种证明方式我按照那个
[67:54] 比对我记得当时
[67:56] 就有一个一个事情就是Ben Green老师有一篇文章叫Sharcozy theorem for shifted primes
[68:01] 他讲的就是说
[68:03] 我有一个
[68:04] 集合我要保证这个里面的集合的A和B两个元素中间
[68:08] 的这个差值就是A-B
[68:10] 它不是
[68:11] P加1或P减1P是一个素数
[68:13] 然后我能够就是从1到N中数出多少个这样的一个
[68:18] 多大的一个集合
[68:21] 我当时就
[68:22] 我看到那篇文章我想
[68:24] 这个东西能够被证明多少的数学问题
[68:27] 就同样的这一套Machinery
[68:29] 就是Ben Green老师的这一套发明或者是发现
[68:33] 你可以把它去做方向计算
[68:34] 你可以把它去做
[68:36] 当然说做shifted sum of two squares没有特别大的意义可以做X方加Y方加减1这个没有特别大的
[68:43] 不知道有没有特别大的意义反正就是
[68:45] 这一套的东西是工具是可以用来做很多的事情的
[68:49] AI应该把它完全解决
[68:52] AI应该能够达到一个
[68:54] 一个很熟练运用所有davenport里面数论的
[68:58] 工具技巧的一个博士生的程度
[69:01] 我当时觉得这一件这个事情一定能做
[69:04] 然后我就开始想怎么能做这件事情
[69:06] 就要算力
[69:08] 我要想我有多少的
[69:10] 这是哪一年
[69:12] 2024
[69:13] 2024年就是你跟Shubo平凡的进入咖啡出入咖啡馆那一年
[69:19] 2023年9月份到
[69:25] 2025年的12月份
[69:29] 去年12月份
[69:30] 2024年的12月份
[69:32] OK
[69:34] 因为我当时还在我第一年其实
[69:36] 我大部分的时间就是
[69:38] 我在作为一个法学生的时候
[69:41] 就是我每一天就是感觉特别的特别的神奇我
[69:45] 我从来没有任何的
[69:47] 就是作业是让我去阅读的阅读这30页这就是你的作业我的我的本科是一个
[69:53] 工程学校一个MIT是一个理工科学校
[69:56] 我不是一个文理我没有接受过一个liberal arts的education
[69:59] 所以我就非常非常希望能够多读点书然后我可以我还想练练一练
[70:04] 英文写作我当时觉得我都可以去
[70:06] 我那一年就是
[70:07] 但是
[70:08] 就是
[70:08] 第一次吧可能科学数学他不在你的生活之中就有点想念
[70:13] 然后就是
[70:13] 我想念的时候我就跑到那个咖啡馆去我做那个笑吧当时
[70:18] 没有钱当时是是特别
[70:20] 就是
[70:20] 一穷二白打不起Uber然后
[70:22] 从这个
[70:24] 这个这个斯坦福就是做八分钟的一个做你要走20分钟
[70:28] 你走20分钟到这个大草坪
[70:30] 你到了大草坪就可以做一个就是笑吧做笑吧吧了
[70:34] 你就到了这个
[70:35] 火车站这火车站穿越一个隧道里面有一些流浪汉住在这个隧道里面
[70:39] 你就可以到这一个Verve的咖啡馆
[70:42] 舒否就在那里你就可以去跟他聊这个科技与科学
[70:45] 他当时已经在META上班了
[70:47] 他一直都在他是在META是
[70:49] 89年的一个META的一个元老他是
[70:53] META的Facebook AI Research的director
[70:57] 就是他当时跟
[70:58] 他当时跟田元栋老师差不多时候进去的就是可能还比田元栋老师早一些
[71:03] 你们怎么成为朋友的呀
[71:05] 我也不知道他是谁他也不知道我是谁
[71:07] 那你怎么认识的呢我们就在这个咖啡馆的这个
[71:10] 桌子就是我一开始当那写作业
[71:12] 我一开始当那就是我有30页的
[71:14] 每堂课有30页的阅读
[71:16] 我就抱着这个这么大的这个法律书我就抱着这三个法律书我就
[71:20] 我就我就去其实其实挺
[71:23] 就是非常不不不不明智的一个选择你有那么厚的书你
[71:27] 抱着他们去做笑吧
[71:28] 但当时就是你为什么一定要去那里去做作业
[71:31] 在Palo Alto downtown
[71:33] 就是我可能我们这个法学院的图书馆就是一般周一到周五呆得有点闷
[71:39] 我说实话就是
[71:40] 他有地毯然后有点密不透风
[71:43] 环境你周末你就是想放松一下心情对然后
[71:47] 我记得这个Verve咖啡馆的一个点他那个庭院有很多狗
[71:50] 然后他只有周末有狗
[71:52] 就是他周中的时候那些狗的主人可能没有时间带他们遛狗
[71:57] 我当时一开始去那里的motivation就我可以读书我可以喝这个
[72:01] 我会点一杯抹茶
[72:03] 然后我就可以看狗
[72:04] 这是我的一个我的我的快乐就是就是读读法律案例
[72:08] 做笔记看狗喝抹茶
[72:10] 然后然后
[72:11] 时间一多就总是我和发现我然后然后就有这么一个
[72:16] 每一次看的感觉非常面熟的一个人然后我们一开始聊起来了
[72:19] 哦
[72:20] 是在里面还是外面因为他有一个区域外面一个区域
[72:23] 在里面啊你们可能共同坐在一个长桌上对一个一个六个人的桌子
[72:27] 然后唯一的一个六人桌子这个六个人桌子里面其他人也永远都在那里
[72:32] 哦
[72:33] 对成了一个常客
[72:35] 对
[72:36] 谁开始先聊天的
[72:39] 应该是一个就是
[72:40] 没人打算聊天好像是他坐在窗边然后那个太阳特别晒然后我需要那个窗帘拉起来
[72:46] 这么说上话
[72:47] 然后呢
[72:48] 然后接着就怎么我就说我就我就我就来非常谢谢你就是拉这个窗帘然后
[72:55] 他就说我经常看到你然后我就说是我也经常看到你然后一个谈话就开始了
[73:00] 然后那怎么聊的数学的呢
[73:02] 发现他有他学过数学他的本科是数学他的硕士也是数学
[73:06] 然后他后面
[73:07] 他好像还读了两个数学的硕士
[73:09] 我印象记得不是特别清
[73:11] 反正就是然后我的那个就是他就很好奇我就是他
[73:16] 觉得我应该是
[73:17] 个法律学生因为我有这个书然后我们就
[73:19] 聊这个我当时可能我不知道我在看
[73:23] 哪一块呢我反正就讲这个这个案例是非常的离奇然后就
[73:27] 反正两个人就开始做朋友吧就是我觉得
[73:29] 还是感觉这个21世纪就是有很多事情
[73:32] 在互联网上大家不太到一个咖啡厅
[73:34] 咖啡馆去聊天
[73:38] 我们聊了多久我们聊了就是我们一两年我们是
[73:41] 朋友我们不知道对方在哪
[73:44] 他不知道你是他知道我是三分学生但他不知道
[73:49] 他可能知道我是
[73:51] 法学院数学但他不知道我
[73:53] 他可能不知道我有
[73:55] 一个数学研究背景
[73:56] 就是他可能
[73:58] 他好像听说过摩根奖他听说摩根奖可能是因为
[74:01] 有很多摩根奖的同学转入了AI比如说Lavon Alpert在
[74:05] Anthropic
[74:06] Greg Young XAI的co-founder
[74:08] 就是Morgan Price is like a thing in AI
[74:11] 然后
[74:12] 他不知道
[74:13] 我也不是个什么人物他不知道也没关系但是我我是真不知道他是一个
[74:18] 这么厉害的一个一个AI人
[74:19] 你知道他在买它吗
[74:21] 他现在就是你知道他在买它吗
[74:23] 我当时不知道我一直不知道他在买它
[74:25] 后来你们是怎么开始
[74:26] 决定要创业的呢就是在你们这种漫无目的的
[74:29] 认识漫无目的的认识和
[74:31] 聊天对对我有一天
[74:34] 你们这种谈话持续了多久
[74:37] 持续了
[74:39] 一年半
[74:40] 聊什么呢这一年半
[74:42] 聊科学历史
[74:46] 然后就
[74:47] 有一天我印象是
[74:49] 秋天2024年的秋天那个时候我刚开始那个数学的PhD
[74:53] 但我当时很多的时间其实在给xtx去做一些
[74:57] 工作就是xtx是一个
[75:00] 一个
[75:01] 量化金融的一个我暑假就是后半段在那里
[75:06] 然后我
[75:06] 我当时就觉得
[75:08] 我在那里就是
[75:09] 觉得
[75:10] 天哪这个AI更有意思就是你
[75:13] xtx有卡呀
[75:14] 对吧他
[75:15] 他有卡所以
[75:16] 你能做的事情就比你在盖茨比做的事情多很多
[75:20] 所以就当时觉得
[75:21] AI很有意思
[75:22] 然后回来然后就我有一天我就跟
[75:25] 我是去跑步
[75:26] 我就是晨跑然后
[75:28] 跑完之后我不知道为什么我就觉得
[75:30] 好像这个事情
[75:31] 真的要真的要发生然后我就去找叔伯我说
[75:35] 这个事情大概
[75:36] 如果我想融资
[75:37] 要融多少钱呢
[75:39] 我们两个人在那算我们算多少张卡然后
[75:42] 就拿了张那个餐巾纸在那算
[75:46] 然后我们就说好像这个事情还是得做一个创业公司
[75:49] 就是没有可能在学界去做
[75:52] 我那个学期在做xtx我疯狂的往cs的那里跑
[75:55] 有一个CS
[75:56] 斯坦福CS我觉得最好的一门课是一个叫做
[75:59] 就是first year phd seminar
[76:01] 每一个教授为了就是招新的学生
[76:04] 他们就会去
[76:04] 讲他的这个research highlight
[76:06] 你每一周去就一个学分
[76:08] 你每周每周三下午去下午五点然后你可以认识你所有其他的一些
[76:13] 计算机系的同学们我就坐在后排厅我是个数学系的
[76:16] 然后然后
[76:17] 完了之后你就可以知道我的天哪就是有这么多就是做机器人的他们在做什么做这个
[76:22] computer vision的在做什么你
[76:24] 就反正就是非常
[76:30] 你是在哪一刻决定初学要创业的
[76:33] 其实我大概知道就我开始融资的时候我就知道我总有一天要初学就是
[76:37] 你先开始融资才初学的
[76:38] 你是先开始融资再初学我先开始融资再初学因为这个
[76:42] 我不能初学因为我初学了我没有身份我要拿到我的这个身份工作签证我才能够初学
[76:48] 所以我拿到我的工作签证我就初学了
[76:51] 因为就是一般来说投资人也期待你初学
[76:53] 就是你很难说是同时
[76:55] 就是
[76:56] 硅谷这个一般拿到融资就是开始要
[76:58] 甚至有些时候初学是融资的closing condition
[77:02] ok
[77:03] 为什么不是Shubo当CEO是你当CEO
[77:07] Shubo当时其实还在一开始
[77:09] 大部分的事情他还在卖了
[77:11] 他没有
[77:12] 他到后刻决定要加入你的ok
[77:16] 因为我们当时谁都不知道这个事情能否
[77:19] 得到这个投资人的支持
[77:21] 这个事情是想不明白的
[77:23] 所以从哪个月份决定的
[77:25] 我从
[77:26] 我从九月份就决定了但我不到11月我没有融资
[77:29] 因为我一直在劝自己不要做这件事情
[77:32] 为什么
[77:32] 我
[77:33] 不太喜欢
[77:36] 就是
[77:36] 当然我觉得中国语境下的创业者是一种就是气质但美国语境下现在就整个Valley都是Founder
[77:43] 就创业者某种程度上辍学创业他就是浮躁我其实觉得
[77:47] 如果我是一个本科生我绝对不会去辍学然后去Y Combinator
[77:50] 就我某种程度上我觉得我是最不可能创业的一个创业者
[77:54] 我非常的喜欢向往学界
[77:57] 我非常的
[77:58] 希望能够
[77:59] 去做更多的
[78:00] 数学的一些探索
[78:02] 我非常喜欢在
[78:03] 在大学的一个环境
[78:05] 所以我
[78:06] 就两个月是在劝退自己然后但是每天早上还在跑步然后
[78:10] 跑步的时候想事情想得非常清楚
[78:13] 到后面确定是非常非常确定
[78:15] 然后当我非常非常确定的时候马上就感恩节了
[78:18] 从感恩节到圣诞节的时候没有VC上班
[78:21] 所以你要么就是那个时候到感恩节融完
[78:25] 只有10天要么你就来年再融所以我当时就来年再融
[78:30] 那两个月最后你是怎么经过了怎么样的COT
[78:33] 然后决定一定要做
[78:36] 我当时
[78:37] 去读了这个科学史
[78:40] 然后读了科学史真的读了科学史
[78:43] 全创业读科学史
[78:45] 就是多少个先是从维基百科开始读科学史
[78:48] 后面要找书读科学史
[78:50] 有一个叫AI for math
[78:52] 一个GitHub REPL
[78:53] 这个GitHub REPL里面大概有几百篇文章
[78:56] 每篇文章的after我都读过
[78:57] 然后有意思的after我就会把整篇文章看完
[79:00] 然后我就做了多少次费曼的过程在就是纸上去想了
[79:04] 如果说我这个东西要搭起来应该技术上怎么做
[79:07] 我不可能说我自己觉得这个事情不会成功然后去骗别人的钱
[79:12] 这个事情我觉得做不到
[79:13] 所以我当时就到了一个程度我发现我觉得
[79:17] 他不一定是一个研究问题他是一个工程问题
[79:20] 他这个东西的科技的风险
[79:23] 就没有我一开始看上去的那么高
[79:27] 然后在这样的一个情况下我觉得是
[79:30] 负责任的
[79:31] 去做去做这个创业
[79:34] 要开始融资
[79:37] 所以你是在
[79:38] 自我验证这个过程是在
[79:40] 对我我觉得就是某种程度上你如果去
[79:43] 就吸引一些风险投资你需要自己一定要对这件事情比较确定比较了解
[79:50] 不然我觉得不太负责任
[79:52] 但你质疑自己的点
[79:54] 可能是说会不会我
[79:58] 这是一种浮躁
[79:59] 这是一种跟风
[80:01] 一个是是不是浮躁跟风
[80:04] 这个我倒知道我
[80:05] 我特别
[80:07] 我特别
[80:08] 反对做一个AI founder
[80:09] 所以我知道我绝对不是浮躁跟风
[80:11] 反对做一个AI founder是为什么
[80:13] 就是我
[80:13] 我从
[80:14] 因为我在MIT然后在MIT就是有创业社然后我的好朋友们一起去打那个
[80:19] Jane Street的那个
[80:21] 就是量化金融比赛Hackathon的这些
[80:25] 同学们他们是创业社的社长我当然就两个队友他们两个就是这个创业社的社长
[80:30] 叫我去活动说有这个free sushi免费的寿司我也不去
[80:33] 我觉得
[80:34] 我觉得创业不好他不是一件好事情我觉得还是要做教授这个
[80:38] 有点孤注正业是不是
[80:39] 对然后我觉得就是
[80:41] 我总觉得比如说一个以非常产品为导向的这样的一个
[80:45] 创业项目感觉像是昙花一现我当时也有这样的一个感受
[80:49] 然后我希望做的事情是非常长时间的非常难的
[80:52] 所以我觉得一般和一个
[80:55] 创业的一个这种风险投资的一个周期可能不一定吻合
[80:59] 所以我知道我不是浮躁跟风的那一批
[81:02] 然后
[81:04] 我当时还有在想就是我又没有什么别的办法能够做这个
[81:08] AI for数学然后我当时还尝试去
[81:10] 我要不加入一下别的做AI for数学的公司
[81:13] 然后就在这个Verve的咖啡馆这个
[81:15] 我们现在的主要的竞争者这个公司的
[81:18] CEO Tudor
[81:19] 他也是常客
[81:20] 你说我有一天还就见到了Tudor然后我就说
[81:22] 你们你们你们招人吗
[81:24] 然后我当时真的是想就是我是想做这件事情要是我能跟别人一块做我也不用自己去
[81:30] 从0到1就感觉
[81:33] 太复杂了
[81:34] 然后
[81:35] 这是主要的质疑点其实不是一个感性的我是不是浮躁我是不是跟风就是
[81:41] 我到底会不会这个东西
[81:43] 然后我就
[81:43] 我就去研究这个AI for math
[81:45] 真的当时就是看paper然后这个过程也非常的快乐
[81:48] 就是非常非常的快乐非常快速的去学习一些主要的一些idea
[81:52] 从比如说
[81:53] 2018年一篇文章叫ATP boost
[81:56] 在没有
[81:58] AI的情况下去
[81:59] 去去去
[82:00] 去去做这个形式化的这个定理证明
[82:03] 然后我看
[82:04] 我看到Bartos
[82:05] 一个波兰人是这个
[82:07] 作者我们现在Bartos也就在Action
[82:09] 然后我当时有另外的一篇文章叫
[82:12] Pattern boost
[82:14] 就是是
[82:15] 从很多的
[82:17] 数据中去找里面的这个pattern找这个规律的
[82:21] 一个去从
[82:22] 很多的图中去构造新的图去为数学家去找例子和反例的
[82:28] Pattern boost我当时看Francois Chardin
[82:29] 是这个作者
[82:30] 现在Francois Chardin也在Action
[82:32] 然后我当时看另外一篇
[82:33] AI for math的文章叫IntoInt
[82:36] 然后这个是拿这个
[82:37] 一种translative的
[82:39] 翻译的一种方法从
[82:41] 问题能够翻译到解法问题能够翻译到解法如果看到了很多这样的例子
[82:45] 下一次来到一个问题的时候是否能够直接翻译成解法
[82:48] 也是
[82:49] 做数学发现而不是数学证明这一个
[82:52] 这一个文献里面的Alberto Alfarino
[82:55] 他现在也在Action
[82:56] 所有这个美丽的过程就是我所有这当时我作为一个学徒去
[83:01] 看这些巨人的肩膀这些
[83:03] 这些文章
[83:04] 他们现在都聚起来了
[83:06] 都在Action这是一个非常
[83:07] 非常我觉得神奇做创业者我觉得其实这是最
[83:10] 最高兴的一个过程
[83:11] 你又形成了你那个小团体
[83:13] 对对对
[83:15] 你去问那个竞争对手
[83:17] 能不能加入你们公司有没有机会他怎么说
[83:20] 他说你是你是你是什么的PhD
[83:22] 我说我是数学的PhD
[83:23] 他说我们只招计算机的PhD
[83:25] 哦为什么
[83:27] AI for math
[83:28] 对
[83:29] 为什么呢我不知道他当时就是这么说的
[83:31] 但是你们团队很多都是Math的
[83:33] 我们团队
[83:34] 这么说去我们团队有三块
[83:37] 我们团队有非常多AI的人
[83:40] 就是
[83:40] 强化学习
[83:42] agent就是apply的AI的这些人
[83:46] 我们有很多的
[83:48] 做代码生成的人
[83:49] 就是programming language然后
[83:51] 很多是compiler编译器的人
[83:54] 比如说LM compiler那个主要团队在我们这
[83:57] 然后他们很多其他的工作compiler arena就是所有的这些
[84:01] compiler就是深度学习去
[84:03] 帮助compiler就是代码生成的
[84:06] 这样的一群人然后他们当时也是
[84:09] Young LeCun那个code world model 32个
[84:12] billion的那个模型的后面的里面的一部分团队
[84:15] 然后都在我们这
[84:16] 然后
[84:17] 有一群是数学这数学里面比较tricky
[84:20] 数学里面有纯数学家像
[84:22] Kano小野肯教授
[84:25] 像Evan Chen我说的这个IMO的这一个教练
[84:29] 然后也有
[84:30] 做lean的做lean这个语言的里面其实就是
[84:33] 像Python里有Pytorch它是一个
[84:35] 图书馆
[84:36] 和Python
[84:37] 它是下面的真正的那个编程
[84:39] lean里面也有Mathlib是一个数学图书馆
[84:42] 和lean
[84:43] 这个作为一个编程语言两波人
[84:46] 所以我们也都有我们又有这个做Mathlib的像Kenny Luo还有他的朋友居建章
[84:50] 章居建就这样的一些非常好的
[84:52] 好的同学们
[84:53] 然后我们又有就是做
[84:55] metaprogrammingmetaprogramming叫原编程就是
[84:58] 去把lean当作一个编程语言来使用去创造出里面
[85:03] lean更多的工具更多的
[85:05] 抽象
[85:05] 层
[85:07] 这样的就是相当于你可以拿Python去写一个
[85:10] autograd
[85:11] 一个一个一个著名的一个
[85:14] 一个一个coding的这个这个编程的一个面试题啊你可以拿Python写一个autograd
[85:20] 我们来了一个同学他他他拿链写了一个autograd
[85:24] 对所以就在这里面也有很多块所以并不全是数学的人我们
[85:28] 很多的就是招ML的同学
[85:30] 他们很多背景我们我们队伍里面就是
[85:33] 虽然说算上实习生五个ML
[85:35] 所以说五个ML然后
[85:38] 就是他们会有很多数学的prior就是context就是他们理解这个数学
[85:44] 过程是怎么样的
[85:45] 但我们要求非常强的again这是一个工程问题
[85:49] 有趣
[85:50] 24年
[85:52] 9月
[85:52] 你刚刚萌生想法但是在努力劝退自己
[85:56] 11月决定要创业了
[85:58] 然后要等那个是圣诞假才能融资
[86:02] 等了圣诞假才能融资
[86:03] 圣诞假你干什么了吗
[86:04] 圣诞假干了很多事和叔伯一起在读文章
[86:08] 为什么是你们两个一起
[86:09] 他已经说我要
[86:11] 我要加入了吗
[86:12] 他当时没有他当时就是在meta
[86:14] 就是他当时
[86:15] 他圣诞假闲着也是闲着我们两个人就是
[86:19] 找了像是一个reading group
[86:23] 他当时在旅游他圣诞假感恩节他都在就是在不在一个地方我们在zoom
[86:29] 哦你们还
[86:30] 定期要开会我们发现我们就是
[86:33] 讨论我们阅读的心得
[86:36] 我们发现我们能够是很好的
[86:39] 连创团队的时刻是我们发现
[86:42] 我们两个都非常讨厌做我我没有办法跟人开这么的会超过一个小时
[86:46] 他没有办法跟人靠开开这么的会超过45分钟
[86:51] 我们做了四个
[86:52] 四五个小时每次的
[86:54] 这是我们发现一件事情我们思考的方式特别的
[86:58] 又相似又互补
[86:59] 所以我们就非常享受每一次我们的一些技术技术的才能
[87:03] 探索
[87:04] 他现在是他是一个
[87:06] 他当然你看他20年的gpu经历
[87:09] 10年的ai经历他是当时哭打第一批就是
[87:13] 开发者然后当时20152016年20141516年和温达他们这个
[87:19] 百度这个硅谷ai研究室
[87:22] 他加入百度他当时是201516这是他进入ai的
[87:26] 他的第一步的ai
[87:27] 是温达说你懂gpu你懂点数学反正这就是ai来吧
[87:32] 然后
[87:33] 当时有darell就是anthropic的founder他们当时有那么一群
[87:36] 小团队都在百度都在百度是美国就在美国就在硅谷
[87:40] 当时百度是他们后来叫百度mafia像paypalmafia一样
[87:44] 这些人后面是
[87:46] 做了多少就是重要的工作多少个
[87:49] 早期的openai多少个
[87:52] 比如说darell就直接是anthropic的这个founder
[87:56] 然后非常好的一个一个他们当时就是scaling works
[88:02] 我们就是做
[88:03] 这个deep speechdeep voice
[88:05] 就是把大量的这些speech voice的data去扔进去
[88:09] scaling works
[88:10] 他们当时办公室有一个
[88:12] 就是一个一个一个理念叫我们绝对不招一个语言学家
[88:16] 他们当时是做的deep speech和deep voice他们需要语言学家吧按道理
[88:21] 他们不招一个语言学家
[88:22] 有一点像我们当时我们现在公司这个
[88:25] 做编译器的这个团队他们当时1617年拿就是机器学习要去革命这个compiler code generation
[88:32] 代码生成
[88:33] 他们就说
[88:35] 刚时就很多就是编译器的这些专家
[88:38] 说你不可能做到的
[88:39] 他们就说我们不需要你们我们照样能做到
[88:42] 就拿AI进入一个领域去革命这个领域某种程度上是我们这整一个
[88:47] 现在30个人了但当时就是早期这个创始团队的一个DNA
[88:51] 我们希望我希望能够拿AI去
[88:53] 去去给数学
[88:55] 去做一些一些一些
[88:57] 革命性的一些改变
[88:58] 你看他们说
[89:00] 他们不招一个语言学家
[89:02] 要用AI去革
[89:04] 语言学的命
[89:05] 对
[89:05] 那你们是不是也不应该招一个数学家我们以为是这样的
[89:09] 我们
[89:10] 我们以为是这样的我们
[89:12] 当时定了一个事情就我们不招到第15个人的时候不要招一个数学家为什么是15个
[89:17] 就随便说了一个我们当时觉得我们钱也不是
[89:21] 我们的种子轮大家可能看起来数额很多对于我们要做的事情来说大家的普遍的
[89:26] 想法是我们under race了我们是race的不够
[89:29] 我们的种子轮
[89:30] 所以我们当时就
[89:32] 觉得人的这个人头是限制的
[89:34] 到20个人我们可能就没有办法再招人了
[89:36] 所以当时觉得那只能说那就那就以每15比1这样的一个数学家的一个比例去走
[89:42] 但是他那句话的逻辑是
[89:44] 我不需要语言学家语言学家背景可能对这个团队是复分
[89:50] 我们现在的想法就是我们招数学家需要他非常的
[89:55] 思想开放
[89:57] 早期的时候其实有一个叫做frontier math的一个benchmark与这个benchmark相关的一些
[90:04] 同学当时有希望就是我们有互相都希望能够
[90:08] 一起合作
[90:09] 让他们加入action
[90:11] 但当时就发现一件事情就是一些
[90:13] 数学家背景的同学他对scaling这件事情他有一定的
[90:17] 的一定的犹豫他对或者说不是犹豫
[90:22] 他就不愿意他不他不喜欢scaling这个这种这种哲学
[90:26] 他觉得说我数学是一个公益我是个手艺像日本师傅捏寿司你怎么能就是
[90:33] 给我一个但是我们说我们要做internet scale data set
[90:37] 有同学就是接了我们的offer之后就是就是不来了
[90:40] 就说我不要我不要做internet scale data set
[90:43] 我们觉得又是要scaling又是要更好的
[90:46] sample efficiency就是
[90:48] 当然说sample efficiency
[90:49] 这个效率是一个非常
[90:51] 样本效率是一个非常也是一个非常满的非常非常多意思的一个词了但是我就拿
[90:57] Percy良教授的这个话就是他是做惩罚
[91:00] 我们觉得
[91:02] 来的数学
[91:03] 学家
[91:04] 我们现在希望他是跟我们对着干就是是
[91:06] 他们做ever serial
[91:08] 的就是就是与我们
[91:10] 与我们相对抗的去做
[91:13] benchmark基准级的
[91:15] 的创造
[91:17] 就我希望你能够
[91:19] 感觉我们的系统哪弱然后去
[91:22] 就是当然是越做越来越难的这一些
[91:26] 这些这些基准级
[91:27] 所以某种程度上
[91:29] 就是can就是
[91:31] 小野肯他加入之后
[91:33] 我们的这个基准级的这个季节是我们的第1号任务
[91:37] 我们继续把那个时间线来捋一下
[91:41] 刚刚说走了就是
[91:43] 当时是已经说到圣诞假期然后你们有一个reading group
[91:46] 音乐开始融合
[91:48] OK
[91:49] 你们读了多少文章你
[91:50] 读了好多
[91:52] 而且当时我记得圣诞节我们有一个叫圣诞大礼包
[91:56] 杨凯玉老师他们写的一篇文章Gabriel Proessa他们
[91:59] 一篇文章叫做
[92:01] 形式化
[92:03] formal theorem proving
[92:04] 形式化定理证明
[92:06] AI的下一个前言
[92:07] 是一个survey paper survey paper就是他不是一个
[92:11] 研究论文他是一篇
[92:12] 介绍其他所有研究论文的研究论文
[92:16] 他就是把这里面领域的捋了一遍然后我当时我记得我那篇文章还
[92:21] 我记得他第5部分是有这个目标
[92:24] 就是说
[92:25] 我应该一个好的AI数学家能够做到什么样的事情在这几个
[92:31] 线线上
[92:32] 他能够有
[92:33] 有什么样的就是
[92:34] 能力
[92:35] 这是一个我们我们就把它做成我们自己的表格然后
[92:38] 这个之前就是从
[92:40] 从第1行到最后一行我们
[92:42] 我记得我当时就是就是每一个提到的就是直接和间接提到的这个文章
[92:48] 不管是引用里还是就是只是提到的一种逻辑
[92:51] 我就是比我已经有的阅读笔记我想我
[92:54] 还有哪些没读到的然后还真有一半没读到的
[92:58] 所以那个AI for math那个github整理的也不是很全
[93:01] 然后就是所有的
[93:03] 这些
[93:04] 当时就感觉就是我原来知道
[93:06] 的像是
[93:09] 12345个很好的做法
[93:11] 现在这篇文章给我连成了一个面了就是他他让我理解这个
[93:17] 这个big picture了我就是更更我觉得我的理解反应是当时有
[93:21] 很很显著的深刻所以这个谢谢谢谢杨凯月老师这篇文章
[93:25] 对对对
[93:27] 然后到
[93:28] 这个假期结束
[93:29] 说不我决定加入你吗
[93:31] 还没决定加入我们
[93:33] 他到了就是后面再决定加入了
[93:35] 他是觉得跟你一起讨论很有乐趣
[93:37] 对
[93:37] 他当时因为他是一个
[93:39] 元老他是一个AI的一个元老我们
[93:41] 我当时都没有敢问他要不要加入我们
[93:44] 我我想这就是
[93:46] 为什么开始你们怎么开始这个
[93:49] 阅读的呢就是硅谷这个文化就是很多就是AI的这个元老他可以做你的天使投资人或者他可以去
[93:55] 做你的advisor
[93:56] 就是他会他会
[93:58] 事情特别流通就是
[94:00] 硅谷是一个非常有魅力的一个地方就是
[94:02] 学界工业界老师同学
[94:05] 就是年长的研究者经历丰富的研究者和就是
[94:10] 刚进入这个这个这个工业界的研究者
[94:14] 他们就是
[94:16] 汇集非常的流通非常的
[94:19] 就是非常非常多的互动就是
[94:22] 大家是谁不重要做什么事比较重要比如说
[94:25] 比如说硅谷他
[94:27] 另外的跟他他指导过的创业公司也有很多比如说皮卡对吧这个
[94:32] 对
[94:33] 文景就德密
[94:34] 他们也是
[94:35] 其实德密他是当时进
[94:38] 进入这个就是
[94:40] Facebook的时候硅谷还是面试
[94:42] 面试官ok
[94:43] 他也跟Mistral那整个funding team本来在拉嘛
[94:48] 就是是硅谷他们同一个org下面另外的隔壁的那一个team
[94:52] 就是
[94:53] 大家都包括其实Mistral这个队和我们队伍的这个Francois另外一个
