[00:03] Kimi和DeepSick
[35:26] 像Kimi和这个Quest
[35:29] 它都是有一个
[35:31] 就是每一个hide
[35:33] 每一个注意力头
[35:35] 它都能去选不同的这个kv subset
[35:40] 但是呢
[35:41] 像native sparse attention
[35:43] 它为了去减少这个
[35:46] 在GQA下面去
[35:48] 就每一个头去assess不同的kvblock
[35:51] 它带来的开销
[35:53] 所以就是在这个里面
[35:56] 它会去强行限制
[35:59] 不同的注意力头
[36:02] 它去注意到
[36:04] 同样的这个kvblock
[36:07] 这就是为什么这个native sparse attention
[36:10] 它在de-coding的时候
[36:12] 带来额外的加速
[36:14] 这就是因为这个原因
[36:16] 然后我们来看到就是说
[36:19] 为了保证它这个不同的头
[36:22] 它选择的是同样的kvcache
[36:26] 然后我们这里会发现
[36:28] 它这个就是来做这个block selection的时候
[36:31] 它会有一个求和的一个操作
[36:35] 它会把这个group里面
[36:37] 它所有的这个attention
[36:39] 它的那个school
[36:42] 之前我们提到了嘛
[36:43] 就是说
[36:44] 它会对不同的block来做一个score
[36:48] 然后这个部分的话
[36:50] 我就不细讲了
[36:51] 因为这个地方是处理一些color case
[36:55] 就比方说
[36:56] 它的这个selection的block size
[36:58] 和这个另外的一个
[37:01] 还有一个叫什么block size
[37:04] 它有一个叫做selection的block size
[37:06] 另外还有一个block size
[37:08] 它应该就是那个compression的一个block size
[37:12] 对它这两个block size
[37:13] 其实是可以灵活的
[37:15] 不一定要相同
[37:17] 然后这个地方呢
[37:18] 就比较如果当它们相同的时候
[37:21] 这个比较好来做
[37:23] 然后我们就直接就是通过
[37:25] 之前我们说的那个
[37:26] 对块之间的注意力
[37:28] 我们就可以选出来了
[37:29] 但是它当它不相同的时候呢
[37:31] 就可能比较麻烦
[37:33] 然后这个地方就是有一些处理的机制
[37:36] 这个地方就稍微有一点复杂
[37:38] 但是这个地方完全不影响
[37:41] 核心内容的这个high level idea
[37:43] 所以我就把这个地方先略去了
[37:47] 然后它这里
[37:51] 就是我们就是这个东西
[37:54] 就是query对于不同的block
[37:58] 它的那个注意力分数
[38:00] 然后这里我们是
[38:02] 我们做这个block selection的时候呢
[38:05] 我们是对所有的head都会做一个求和
[38:10] 这样的话呢
[38:11] 然后我们每一个这个group
[38:15] 我们就会得到一个
[38:17] 就是得到一个唯一的
[38:19] 这个selection的一个score
[38:21] 然后我们来做top k
[38:23] 来保证这个group下面
[38:25] 它所有的这个head
[38:27] 它的这个行为的一致性
[38:29] 因为前面提到这个GQA的话
[38:32] 它如果不同的head
[38:34] 它的独到的kvcache的subset
[38:37] 是相同的话呢
[38:38] 它是有额外的这个
[38:40] 好处的
[38:42] 然后latives bus attention
[38:46] 它就是为了
[38:47] 在GQA的下面有这个好处
[38:50] 它就强迫这个group下面
[38:53] 所有的这个head
[38:55] 去选相同的
[38:57] 之前的这种kvcache的block
[39:00] 然后这里是求和来保证
[39:02] 不同head要选一样的东西
[39:04] 后面呢我们就可以来看到
[39:06] 就是前面我们讲到了
[39:08] 这个东西是对inference time
[39:10] 是有好处的
[39:11] 然后后面我们这里来说
[39:13] 这个东西它是对训练的时候
[39:15] 它同样是有好处的
[39:17] 我觉得我们可以先来简单的
[39:20] 之后我会带大家来简单的回归一下
[39:23] flashattention2的一个kernel
[39:25] 它这里它说
[39:27] 就是说这个地方它是
[39:29] 我们把这里去掉
[39:31] 它这里说
[39:32] 就是说如果我们用
[39:33] flashattention2的那种strategy
[39:36] 就是把一个连续的core block
[39:40] 把它load到srun里面
[39:42] 那的话呢我们就是非常的
[39:44] 这个memory access是不是很高效的
[39:47] 因为呢这个core
[39:49] 它在同一个block里面
[39:52] 它可能会去
[39:54] 注意到不同的这个kvblock
[39:58] 然后最后
[40:00] 这个对于这个core block来说呢
[40:03] 它需要去从
[40:06] 全局内存里面
[40:08] 读进来的这个kvblock
[40:10] 就是所有token
[40:12] 它的那个并集
[40:14] 然后我们可以想象
[40:16] 在最坏的条件下
[40:18] 这个core block里面
[40:20] 它所有的这个token
[40:22] 它想要去
[40:24] 注意到这个kvblock
[40:26] 它都不相同
[40:28] 那这样的话呢
[40:29] 我们就是要把它整体的这个union
[40:31] 就是它所有的那个并集
[40:33] 都把它读进来
[40:35] 这样的话呢就是会造成这个
[40:38] inefficient
[40:39] 然后我们可以简单再来回顾一下
[40:42] flashattention2
[40:44] 或者说flashattention
[40:47] 它这里有一个类似的图
[40:49] 对就是这个图
[40:51] 然后后面我们可以看到
[40:53] deepseek也画了一个类似的图
[40:56] 像这里的话呢
[40:58] 它就是每一个query
[41:00] 它都是把它
[41:02] 它是以块状的形式把它
[41:05] 读进来的
[41:07] query我会读一个block
[41:09] 然后key的话呢
[41:11] 它会从头开始
[41:13] 然后会有一个loop
[41:15] 就是说对于每一个query
[41:17] 就比方说这里是第4个
[41:19] 我这里是这个block
[41:20] 第4个的话我会把这个第1个block
[41:22] 第2个block
[41:23] 第3个block
[41:24] 第4个block
[41:25] 就是按顺序把它load进来
[41:27] 然后
[41:29] 然后这样的话呢
[41:30] 然后我每次的话呢
[41:31] 我是有一个
[41:33] 假设这个block size是b的话
[41:37] 我会load一个b
[41:39] b乘以d的一个sub矩阵
[41:42] 就是一个小矩阵进来
[41:44] 然后这里的话
[41:45] 我假设这里我的block size
[41:47] 就是方便起见
[41:48] 我说这个kv的block size
[41:51] 和q的block size是相同的
[41:53] 都为b
[41:55] 这样的话我们都是b乘d
[41:57] 然后这里的话也是b乘d进来
[41:59] 这样的话呢
[42:00] 我们可以做一个矩阵乘法
[42:02] 是一个b乘以d
[42:04] 和一个d乘以b的一个矩阵乘法
[42:07] 然后我们这里会得到一个b乘以b的一个
[42:09] 一个注意力的一个注意力矩阵
[42:13] subattention matrix里面的一个subblock
[42:15] 它是一个b乘以b的大小
[42:18] 然后我们再把对应的这个value
[42:21] 这个b乘以d把它load进来
[42:25] 然后这里先做一个online surmise
[42:27] 然后我们再
[42:29] 再做一个矩阵乘法
[42:30] 我们就可以得到一个output
[42:32] 这就是flash attention
[42:33] 它这个blocking
[42:34] 它的一个核心思想
[42:36] 为什么要blocking来做呢
[42:38] 因为就是这样的话
[42:39] 我们可以去利用一些tensorcore的一个加速
[42:45] 同时我们又可以去避免把这个attention score
[42:49] 写回那个hbm
[42:52] hbm的话呢
[42:53] 就是那个
[42:55] 可以理解成那个全局的那个显存
[42:59] 然后srun的话呢
[43:00] 就是就是就是有一些
[43:04] 非常高效的一个部分
[43:07] 有点像那种
[43:09] cache
[43:12] 它可以在这个里面
[43:14] 做一些更加高效的一些运算
[43:18] 不对
[43:19] 也不能叫更加高效的运算
[43:21] 它它那个memory的那个
[43:23] 可能可以简单的讲一下memory hierarchy
[43:28] 嗯
[43:29] 或者直接来到flash attention的paper
[43:32] 它这里有个memory hierarchy
[43:34] 就是srun的话
[43:36] 嗯
[43:37] 它是那种共享内存
[43:39] 嗯
[43:40] 这种数量比较小
[43:41] 但是它的这个bandwidth
[43:43] 这个带宽就比较大
[43:45] 然后这个hbm的话
[43:47] 就是普通的gpu的显存
[43:49] 就比方说你有a100的话
[43:51] 你有80gb的显存
[43:53] 也就是这个hbm的这个大小
[43:56] 这个只有可能是a140gb的版本
[44:00] 然后它的带宽就是显著要比这个
[44:03] srun要低很多的
[44:06] 然后嗯
[44:07] 这些硬件高效的算法尽可能的想把这个
[44:10] 这个计算保留在s run里面
[44:12] 然后减少这个gpu和嗯
[44:16] s这个s run和hbm
[44:19] 它们之间的这种啊通信
[44:27] 然后我们前面大概介绍完了这个
[44:30] flash attention
[44:31] 然后我们又回到这里
[44:33] 我们再record一下
[44:35] 嗯
[44:36] 如果我们用flash attention的那种style的话
[44:38] 然后因为我们
[44:39] 因为之前
[44:40] 嗯
[44:41] flash attention
[44:42] 它是full attention
[44:44] 所以对于每一个query block来说呢
[44:47] 它之前的key和value block
[44:49] 它反正都要扫一遍
[44:50] 这样的话呢
[44:51] 它不会有什么浪费
[44:53] 但是对于这个space attention
[44:55] 不同的query
[44:57] 它所需要的这个kv block它是不相同的
[45:00] 啊
[45:01] 然后这就导致如果我们还是这么连续的来嗯
[45:05] 读这个query block的话呢
[45:07] 那我就需要去load它那些
[45:09] 呃
[45:10] 每一个query
[45:11] 它对应的那个嗯
[45:13] kv block的那个并记
[45:15] 嗯
[45:16] 这样的话呢它会带来一些
[45:18] memory access的一些
[45:20] inefficiency
[45:26] 然后这一篇的话呢它就是
[45:29] 利用到了gqa的一个特性
[45:32] 像gqa的话呢它在
[45:35] 嗯
[45:36] 做inference的时候
[45:37] 啊
[45:38] 像mqa或者gqa
[45:39] 在inference的时候它有一个技巧
[45:41] 就是说
[45:42] 呃
[45:43] 它可以靠这个
[45:45] number of head
[45:47] 靠注意力头的数量这一个维度
[45:50] 来凑一个举证惩罚的形式
[45:53] 在退的时候
[45:55] 这就有点像batchify了
[45:57] 只不过啊
[45:58] 因为它有一个共享的
[46:00] key和value嘛
[46:01] 所以就存在一个可以batchify的一个空间
[46:07] 这句话可能有点比较难理解
[46:10] 嗯
[46:11] 但我我们下面就来讲这个东西是怎么batchify的
[46:15] 嗯
[46:16] 然后这里的话呢就是我们之前是
[46:19] 嗯
[46:20] 回到这个flashattention
[46:22] flashattention呢它是
[46:23] 嗯
[46:24] 有一个block
[46:25] 就是一个
[46:27] b by d的一个block
[46:29] 然后算出来的也是一个block的一个output
[46:31] 就是我们会算出这个n乘d里面的一个
[46:35] 嗯
[46:36] b by d的一个subset
[46:38] 它每次它会一般b的话呢它是
[46:41] 嗯
[46:42] 一般会来到128
[46:43] 所以它会并行的来算100
[46:45] 128个位置的一个output的
[46:50] 但是回到这个deepseek的这个模型来说呢
[46:53] 嗯
[46:54] 它这里的话呢
[46:55] 它就是为了避免之前query block
[46:59] 嗯
[47:00] 它存在的问题就是说
[47:02] 我们不想让每一个token它
[47:05] 嗯
[47:06] 不想要一些读取的浪费
[47:08] 然后在这里的话呢
[47:09] 我们就
[47:10] 嗯
[47:11] 不以那个
[47:13] 就是干脆让每一个token
[47:15] 它来独立的
[47:17] 来算自己的output
[47:19] 我们不把它们把它捆绑在一起来
[47:22] 一起来算
[47:23] 那个output了
[47:25] 像flash和tension它之所以要捆绑
[47:28] 嗯
[47:29] 是因为
[47:30] 嗯
[47:31] 它这个地方要凑一个矩阵乘法
[47:33] 所以它需要这个query
[47:35] 它的这个block size
[47:37] 这个维度
[47:38] 来凑一个矩阵乘法的维度
[47:41] 要不然它就没法
[47:42] 矩阵乘法来算了
[47:44] 然后在gpu里面呢
[47:46] 我们就非常喜欢这个矩阵乘法
[47:49] 因为呢
[47:50] 矩阵乘法它可以调用
[47:52] 就是半精度的矩阵乘法
[47:54] 它能调用tensor core
[47:57] tensor core它非常的高效
[47:59] 它能非常
[48:00] 它是一种gpu上面的一种特定的计算单元
[48:05] 它能够很高效的来计算
[48:07] 这个半精度的矩阵乘法
[48:10] 打一个比方
[48:11] 在a100上面
[48:13] 如果是给定相同
[48:15] 数量的一个flops
[48:17] 然后我们用半精度的这种矩阵乘法
[48:20] 来算这个相同的flop
[48:22] 要比其他的那些计算单元
[48:25] 比方说alu
[48:27] 来算这个output的话来说呢
[48:30] 它是要快大概16倍的
[48:33] 然后在h100这些硬件上面呢
[48:36] 它这个tensor core就是越来越快
[48:39] 就以至于就是矩阵乘法太快了
[48:42] 然后这个memory的这个loading
[48:45] 反而成为瓶颈了
[48:47] 这就是大家常提的一种线线
[48:49] 叫做内存墙
[48:51] memory wall
[48:53] 好像扯的有点远了
[48:55] 那我们回到这里
[48:57] 就是我们之前讲的
[48:59] 我们这里不想在这个block上面
[49:02] 把它来凑到一起
[49:03] 一起来读
[49:04] 因为这样会引入很多不必要的这种读取
[49:07] 然后我们又想把它凑成一个矩阵乘法
[49:11] 那怎么办呢
[49:13] 那前面
[49:14] 我们又想到
[49:15] 因为这里
[49:16] 我们前面提到
[49:17] GQA存在一个方式
[49:18] 让它batchify嘛
[49:19] 那这就来了
[49:21] 因为我们这个
[49:23] 对于我们不同的
[49:26] 我们这里有不同的hide
[49:28] 因为对于query来说
[49:30] 它是一个multiquery
[49:32] 就是说对于相同的key和value来说
[49:34] key和value开始来说
[49:36] 它这个query
[49:38] 它是有多份的
[49:41] 然后这也是h份
[49:44] 然后我们又回想到
[49:46] 我们之前强迫这h个hide
[49:52] 它们去共享
[49:54] 它们想要选择的那个key value
[49:59] 那个kvcache的那个subset
[50:02] 也就是这些block的话呢
[50:04] 它们都是共享的
[50:05] 所以我们就是把这个东西
[50:07] 就干脆把它打包成一起
[50:10] 然后因为它们是共享
[50:12] 它们那个
[50:14] 选择出来的kvblock嘛
[50:17] 所以我们就可以同时来计算它们
[50:20] 这里就存在一个batchify的一个操作
[50:22] 我们这个h可以想象成是一个batch的一个维度
[50:27] 这样的话
[50:28] 我们就又可以用矩阵乘法了
[50:31] 只不过我们这个地方
[50:33] 我们另外一个矩阵乘法的维度
[50:36] 它不是query的这个block size
[50:39] 它是这个query
[50:42] number of hide的这个维度上面的
[50:44] 这样我们就可以凑一个矩阵乘法
[50:48] 然后另外值得一提的话呢
[50:50] 就是说在tensorcore
[50:53] 它不是所有矩阵乘法
[50:55] 它都能优化的
[50:57] 它有一些限值
[50:59] 比方说它那个最小的那个尺寸是有要求的
[51:04] 在这个case呢
[51:06] 比方说在tryton里面
[51:08] 它要求h dk和bk
[51:12] 它们都是至少要有16
[51:15] 然后像native sparse attention
[51:19] 它是由tryton写出来的
[51:21] 所以我们就会要求这个h它至少是16
[51:32] 但是呢
[51:33] 它其实这个要求它是非常非常强的
[51:39] 因为我们又要保
[51:41] 因为我们平常我们这个每个query group
[51:46] 它这个下面
[51:48] 它这个number of hide
[51:50] 它是不会有16个的
[51:53] 然后同时我们又想满足它
[51:56] 最后它有4个group
[51:58] 因为我们想要
[52:00] 因为我们现在我们这个就是每一个token
[52:04] 它想选择的这个kvcash的subset
[52:08] 它其实是靠这个number of group来决定的嘛
[52:12] 因为我们每一个group它的这个行为
[52:14] 我们已经绑定了
[52:16] 它跟这个group下面不同的hide
[52:18] 它们会选相同的kvblock
[52:21] 但我们又想保证一点这种
[52:25] 每一个token我想让它
[52:28] 不同hide之间还是有一些差异度的
[52:31] 这个差异度呢
[52:32] 就只能靠这个number of group来凑了
[52:35] 然后一般的话呢
[52:39] GQA它一般都会用到4个query block
[52:42] 比方说像nama
[52:44] 我记得是用了4个query group的
[52:46] 然后这个话呢
[52:47] 它也强行把它拉到4个
[52:50] 但是我们前面有提到
[52:51] 它这里就是有一个限值嘛
[52:53] 它这个h它要有一定大
[52:56] 它能用探测扩
[52:58] 所以这两个它都想保证
[53:00] 它就干脆就是把整体的hide的数量增大了
[53:05] 然后我们可以看到它这里
[53:07] DQ它其实是192嘛
[53:09] 然后我们这里它有64
[53:12] 那我们相乘的话
[53:13] 我们会发现它这个东西
[53:14] 它其实乘起来
[53:16] 已经将近应该有12000左右
[53:21] 然后我们这个hidden dimension
[53:25] 我们其实只有2560
[53:27] 那就说明我们这里
[53:28] 其实这个有一个非常非常
[53:31] 就是向上投影的一个过程
[53:34] 一般是不会这么干的
[53:36] 一般可能就是2560投影到2560
[53:39] 然后用来分这个hide
[53:41] 然后像这里的话
[53:42] 就是完全是因为我们想强行把这个hide
[53:46] 这个hide的数量打上去
[53:49] 然后同时我们想要有更多的group数量
[53:53] 来保证有一些
[53:55] 就是每一个token它不同hide之间的
[53:57] 那个选择kvblock的一些diversity
[54:04] 像这个的话呢
[54:05] 我觉得这个做法呢
[54:06] 就非常有deep seek的一个特色的
[54:09] 像deep seek v3里面
[54:11] mla它也是一个类似的做法
[54:14] 它就是搞很多很多的这种attention hide
[54:17] 然后也会有一个非常大的一个
[54:20] 向上的一个投影的一个过程
[54:23] 然后deep seek可能它的考虑是说
[54:28] 我反正我只要
[54:31] 我反正是从头开始训练嘛
[54:34] 所以我只要最后它的inference time
[54:38] 和我训练的时候
[54:40] 这个训练的time
[54:41] 它都是硬件
[54:44] 就是这两个阶段它都是硬件高效的话
[54:47] 都是足够efficient的话呢
[54:48] 那其实这个upprojection也无所谓嘛
[54:51] 因为反正moe的这个阶段
[54:54] 它反正有很多很多那种参数嘛
[54:56] 所以也不会造成
[54:58] 比方说attention的参数和mip的参数
[55:03] 就是那个不成比例的一个问题
[55:07] 所以感觉在这个moe的这个框架下面的话呢
[55:10] deep seek这么选择也还是挺合理的
[55:14] 然后deep seek这里它用到的moe是
[55:20] 它们之前的那个moe
[55:23] 就它们这个地方的话就
[55:25] 我就跟这篇文章基本上没什么关系
[55:28] 所以我就不讲了
[55:30] 接下来我们看到这个训练的损失
[55:36] lose
[55:37] 我们可以看到它跟这个fullattention相比呢
[55:41] 基本上就是全程都比fullattention要好一点
[55:47] 它俩挨着
[55:49] 对
[55:50] 但还是
[55:52] 一直在它下面的
[55:54] 然后对于表1的话
[55:57] 我们有一些benchmark的一些结果
[56:00] 然后在这些结果
[56:04] NSA它都甚至会比fullattention要好
[56:09] 然后这就证明这个预训练的重要性
[56:13] 因为如果你只是在
[56:16] 就是在influence的时候
[56:19] 做一些那个
[56:21] 我们后面它会有一个ablation study
[56:24] 就是如果在fullattention的基础上面
[56:27] 然后你做一下sparseattention
[56:29] 比方说做quest的话呢
[56:31] 它其实是会掉点的
[56:33] 但是你把这种dynamic sparsity的这种机制
[56:38] 直接用来做预训练
[56:40] 然后你可能就是会
[56:42] 甚至能得到比fullattention更好的一个结果
[56:48] 嗯
[56:49] 这就是我们刚刚提到的
[56:52] 像这些的话呢
[56:53] 就是它们用一些
[56:55] 就是在influence阶段来
[56:58] 就是它们先train一个fullattention
[57:01] 然后再再用influence阶段
[57:04] 来用不同的这种
[57:06] sparseattention的一些technique
[57:09] 来尽可能的
[57:11] 增加这个效率
[57:13] 然后我们可以发现
[57:15] 这些模型
[57:16] 因为它不是从头开始训练的
[57:19] 所以
[57:20] 它们是需要去
[57:22] 去贴近这个fullattention
[57:25] 它原本学出的那个attention的分布的
[57:29] 因为它是一个逼近的一个过程嘛
[57:32] 所以它肯定是会有损失的
[57:36] 比方说像quest它跟这个fullattention相比
[57:40] 它就是
[57:42] 它就是会更差
[57:45] 然后所以它甚至还有一个
[57:47] 就是它做了一个exact top k
[57:50] 它就是直接把
[57:52] attention score那个矩阵算出来
[57:55] 然后它就直接求了一个top k
[57:57] 这个的话呢
[57:58] 就是所有top k的它一个上限嘛
[58:01] 我们发现这个上限其实没有多高嘛
[58:04] 因为它始终是对这个fullattention的一个逼近
[58:08] 所以再怎么逼近
[58:10] 它还是有个大上限的
[58:12] 大上限就是这个fullattention的这个效率
[58:14] 然后quest的话呢
[58:16] 它跟这个exact top k相比
[58:19] 它肯定还是更局限的嘛
[58:21] 因为我们前面就提到了quest它还是用一个
[58:25] 它还是要保证这个kv的这个选择呢
[58:31] 它是以block为单位的
[58:33] 这样的话呢
[58:34] 在decolating的时候就可以
[58:36] 一个block一个block来load
[58:38] 来尽可能的加快一些效率
[58:42] 但就是说你得到效率
[58:46] 然后你失去了一些灵活度
[58:48] 然后这个quest它比这个exact top k
[58:52] 它要来的效果更差
[58:54] 这个也是非常make sense的
[58:58] 对
[59:00] 然后如果我们想让我们的spasattention
[59:03] 甚至比fullattention要好呢
[59:06] 那我们只有一个出路
[59:08] 那就是train from scratch
[59:10] 我们可以看到
[59:11] 就这个地方非常的惊喜
[59:13] 我觉得这是DeepSeek这一篇
[59:15] 就是给我们指的道路
[59:17] 就是DeepSeek可能就是想告诉大家
[59:20] 哎呀
[59:21] 你们不要在这个fullattention的基础上
[59:23] 在做spasattention了
[59:25] 你们不如干脆来设计一些spasattention
[59:29] 这个机制
[59:30] 它在训练的时候呢
[59:32] 它又能表现的很好
[59:34] 这样的话呢
[59:35] 你就有可能就是
[59:37] 就是直接跳过这个fullattention的
[59:42] 这个performance的一个上限
[59:44] 然后解锁一些新的一些能力
[59:49] 或者就是比fullattention要好
[59:52] 嗯
[59:54] 然后这一个这一个benchmark呢
[59:56] 可能是longbench
[59:57] 就在常温本能力上面
[60:01] 这个spasattention
[60:03] 比fullattention都要来的要好
[60:05] 然后对于这个来说呢
[60:07] 就是有一些解释
[60:08] 嗯
[60:09] 首先呢
[60:10] 像quest
[60:11] 或者说这种NSA
[60:13] 他们是对这个
[60:15] 他们这个是不丢kvcache的
[60:19] 有一些模型呢
[60:20] 像H2O
[60:22] 它其实是会有一个
[60:24] 丢kvcache的一个操作的
[60:26] 然后我觉得
[60:27] 嗯
[60:28] 近一年啊
[60:29] 有一些工作就说明了
[60:31] 只要这个机制它会丢kvcache
[60:34] 那么它对performance的影响是会很大的
[60:37] 因为你指不定这个kvcache
[60:39] 在之后的query又会被用到呢
[60:42] 嗯
[60:43] 这大概是一个intuition
[60:45] 就是为什么
[60:46] 嗯
[60:47] 不丢kvcache
[60:48] 它的这个效果
[60:49] 就比方说quest
[60:50] 它会比这种丢kvcache的这个效果
[60:52] 会好一点
[60:53] 然后其次呢
[60:54] 然后它不丢kvcache之后
[60:56] 然后它还有一个spas attention的一个作用
[60:59] 这个作用的话呢
[61:00] 它可能会
[61:01] 嗯
[61:02] 更加帮助这个attention去集中它的注意力
[61:06] 就是其实负attention
[61:08] 它其实是一个非常冗余的一个机制嘛
[61:11] 因为肯定
[61:12] 嗯
[61:13] 因为attention它自己学出来
[61:15] 它就是一个highly spas的
[61:17] 就它有一个很强的spas的一个pattern
[61:20] 它就是一个很强的spas的一个pattern
[61:22] 的一个pattern
[61:23] 在里面的
[61:24] 就是大家可以把讯好的attention模型
[61:27] 取出他们的那个attention map
[61:29] 就很容易发现
[61:30] 嗯
[61:31] 它是有很多很多冗余的
[61:32] 然后直接用一个spasattention来讯的话呢
[61:38] 我一个直觉理解就是说
[61:40] 它就是在训练的时候
[61:42] 它就已经去去除了一些冗余
[61:45] 就是能够帮助这个attention
[61:48] 能够更加的focus on那个
[61:51] 嗯
[61:52] 就是能够让这些啊
[61:53] attention
[61:54] 能够更加能够集中注意力
[61:56] 这样的话
[61:57] 就有可能效果会更好
[61:59] 它就不会被一些
[62:01] 无关紧要的那些token
[62:03] 被它呃呃distract到了
[62:09] 最后呢
[62:10] 呃这里
[62:11] 呃
[62:12] 这里有一个little in haystack
[62:13] 我们可以看到这个就是
[62:15] 绿油油一片
[62:16] 说明它
[62:17] 呃
[62:18] retriever能力还是在线的
[62:20] 呃
[62:21] 这个也很好理解
[62:22] 因为它kv开始它没有丢嘛
[62:24] 然后它模型靠模型
[62:26] 呃动态的来选就行了
[62:28] 最后这一点也很神奇
[62:32] 就是说
[62:33] 嗯
[62:34] 它不仅能增强长文本的能力
[62:36] 它甚至还能在这种
[62:39] 嗯
[62:40] 嗯
[62:41] trend thought reasoning的
[62:42] 呃上面
[62:43] 嗯
[62:44] 就是它提高
[62:45] 嗯
[62:46] 提高这一点也是非常有意思的
[62:48] 然后deep seek他们就是
[62:50] 用他们deep seek的这个recipe
[62:52] 然后来做一些sft
[62:54] 嗯
[62:55] 在这些嗯
[62:57] 嗯
[62:58] sft data上面
[62:59] 然后这个结果呢
[63:01] 我们发现
[63:02] 嗯
[63:03] 这个nsa
[63:04] 嗯
[63:05] 它的这个阿旺我人
[63:06] 它甚至要比这个富尔探测的这个阿旺我人要好一些的
[63:11] 就说明这个嗯
[63:12] dynamic sparsity
[63:14] 它确实非常的有潜力
[63:17] 这里的嗯
[63:20] 这个图6呢
[63:21] 他们就是把这个嗯
[63:24] tretton based的这个嗯
[63:26] little sparsit tension的kernel
[63:28] 跟tretton based flash attention kernel
[63:31] 因为他们想公平比较嘛
[63:33] 所以大家就tretton对tretton
[63:35] 他们可能也没有时间来写这个扩大的kernel
[63:40] 然后一般扩大kernel它还是比tretton可能要快一点的
[63:44] 然后我们在这里就是
[63:46] 嗯
[63:47] 公平较量之后呢
[63:48] 我们发现
[63:49] 那个native sparsit tension
[63:51] 它
[63:52] 就是
[63:53] 嗯
[63:54] 它在比较短的一种嗯
[63:55] 长度上面
[63:56] 它就已经要了
[63:57] 就已经要比嗯
[63:59] 这个嗯
[64:00] global attention也就是负attention要好了
[64:04] 然后当序列长度越长呢
[64:06] 它这个加速比就越多
[64:09] 就比方说在64k上面呢
[64:11] 它就来到了快10倍的一个加速
[64:14] 嗯
[64:18] 这最后这里的话呢
[64:19] 就是它这个decoding的这个expected speedup
[64:23] 它为什么测一个就是这个嗯
[64:26] 期望值呢
[64:27] 是因为这个decoding的一个process
[64:30] 它是一个memory bound的一个过程
[64:34] 那么呢
[64:35] 嗯
[64:36] 它整体的这个效率基本上就跟你所需要读取的那个k
[64:42] kvcache的那个量是相关的
[64:46] 然后前面我们提到了就是nsa
[64:49] 它对这个mqa它是更有好处的
[64:53] 因为它限制了每一个group下面它的hide
[64:57] 它都要去attent到同样的那个mqa
[65:00] 这个那个kvcache
[65:02] 就减少了很多的这个读取
[65:05] 嗯
[65:06] 所以
[65:07] 嗯
[65:08] 它不但相较于负attention来比它会快
[65:11] 它其实它相较于quest
[65:13] 或者相较于
[65:15] kimi的moba来说
[65:17] 它都是在decoding上面会有天然的优势的
[65:22] 这也是我非常喜欢
[65:24] native sparse attention的一点
[65:26] 就是说
[65:28] 就是说它发现
[65:30] 嗯
[65:31] 每一个group它这个query
[65:34] 嗯
[65:35] 它需要之后
[65:36] 它能带来的提升
[65:38] 嗯
[65:39] 很多
[65:40] 嗯
[65:41] 虽然它会有一些局限性
[65:42] 但是就是
[65:43] 嗯
[65:44] 他们就是进行了一些
[65:46] 比较激进的修改
[65:47] 比方说增强很多那个hide的数量
[65:51] 来保证
[65:52] 嗯
[65:53] 这个模型它的performance也是在线的
[65:55] 这样呢
[65:56] 就我们可以击打到performance不掉
[65:59] 甚至更好
[66:00] 我们又同时在inference time
[66:02] 就是非常非常高效
[66:04] 这一点
[66:05] 我觉得这一点是非常非常难能可贵的
[66:08] deep seek他们就是真的就是
[66:10] 嗯
[66:11] 嗯
[66:12] 就是很很很敢去改架构
[66:14] 就跟别的地方相比
[66:16] 最后
[66:23] 我们可以看一下
[66:25] 这个地方它是做了一个operation study
[66:29] 然后它来看
[66:31] 嗯
[66:32] 就是说
[66:33] 它的这个
[66:34] 选block它的机制
[66:37] 嗯
[66:38] 的一个operation study
[66:39] 然后像之前我们提到
[66:42] 就是之前那个block selection的话呢
[66:45] 它有一个compact
[66:47] 嗯
[66:48] 一个压缩的一个分支
[66:50] 它是那个压缩的分支
[66:52] 它会嗯
[66:53] 算出一个output的
[66:54] 就是基于每一个创可压缩过的那个key和value来算的
[67:00] 那个分支呢
[67:01] 它其实是有嗯
[67:03] 就在训练的时候呢
[67:04] 它是有梯度传回去的
[67:06] 然后嗯
[67:07] 这个模型就能通过这个
[67:09] 嗯
[67:10] 这种按2按的这种train
[67:12] 来嗯
[67:13] 要知道哪一些block它的啊
[67:16] 比较重要
[67:17] 这个其实就是还是嗯
[67:19] 蛮巧妙的
[67:21] 如果没有这一个
[67:22] 嗯
[67:23] 压缩的这一个分支的话呢
[67:25] 那其实的话呢
[67:26] 它其实是有一个不可导的过程的
[67:30] 因为
[67:31] 嗯
[67:32] 就是说那个
[67:33] 我们再回到那个图
[67:35] 方便看一点
[67:36] 回到这个图的话
[67:38] 如果我们只有
[67:40] 我们只只有这一步
[67:42] 我们没有这一个compress的attention的话呢
[67:46] 哦
[67:47] 我们没有这一步的话
[67:49] 那我们就是没有这种嗯
[67:51] 这种训练的信号传回来吗
[67:54] 然后我们这里做一个top under这个selection
[67:57] 它又是一个不可导的过程
[68:00] 嗯
[68:01] 所以嗯
[68:02] 如果这里有梯度传回去的话
[68:06] 它整个的这个blockselection
[68:09] 它的这个过程是更加的informative的
[68:14] 回到前面
[68:19] 然后它做的ablation study呢
[68:21] 它是跟嗯
[68:24] 另外一些机制来做的
[68:26] 嗯
[68:27] 比方说嗯
