[00:06] 然后我们这里可以看一下DeepSeek R1的paper
[00:09] 它的标题叫做
[42:09] 就是冷启动数据是一些就是
[42:11] 研发人员通过各种方式精心
[42:13] 挑选出来的一些长的思维链数据
[42:15] 这样子这模型一开始就
[42:17] 大概知道往哪个方向去了
[42:18] 而且知道说就是
[42:19] 他可能在冷启动数据里面已经告诉了
[42:21] 模型你可以做这样子就是搜索
[42:24] 你也可以做这样子的就是
[42:26] 自我纠错这个这样子的一些事情
[42:28] 这样子模型学会了这个
[42:30] 这些
[42:31] 就是这样子的一些模式之后
[42:32] 后面在探索的时候可能也就能够
[42:35] 事半功倍
[42:36] 然后接下来他就进行了一个跟R1-0
[42:38] 一样的强化学习模式
[42:40] 然后这样子的强化学习模式之后
[42:42] 你其实就得到了一个推理的专家模型
[42:44] 因为这样子推理任务
[42:46] 你需要有
[42:47] 你依赖于有就是问题以及标准答案
[42:51] 或者说一个能验证答案的
[42:53] 这样的一个
[42:55] 问题答案组吧
[42:56] 我们这么说
[42:57] 这种答案组其实我们可以看
[42:58] 其实在像理工科比较常见
[43:00] 数学
[43:01] 可能很多题你就有个标准答案
[43:02] 看见最后答案对不对就行
[43:03] 代码的话你会有一些这样的unit test
[43:06] 你跑下知道对不对
[43:07] 但是可能比如你说在文学创作呀
[43:09] 或者说一些别的地方就没有那么简单
[43:12] 所以说在这里面R1-0
[43:13] 以及是这这里第一步模型中
[43:15] 他的强化学习是在这样子
[43:17] 就是理工科以及数学
[43:18] 这方面的领域进行
[43:19] 他其实是一个
[43:20] 专攻这方面的推理
[43:22] 非常漂亮的专家模型
[43:23] 但是我们的目标是什么
[43:24] 我们目标是想做一个通用的模型
[43:27] 这样子他可能也会需要在别的一些
[43:29] 就是正常的就是聊天呀
[43:30] 或者一些
[43:31] 就是我一些
[43:33] 更软的领域上有一些就是训练
[43:36] 那这里他采用的方法
[43:37] 其实也是大家行业比较通用的
[43:39] 就是我们先用这专家模型
[43:40] 用他来生成一些数据
[43:43] 然后进行蒸馏也就是SFT
[43:45] 然后在这里蒸馏的时候
[43:47] 我们除了用这专家模型
[43:48] 他的这种数学以及就是各种理工科
[43:52] 的就是这种能力之外
[43:53] 我们还会他们同时还
[43:55] 从DeepSeek V3中抽取了一些
[43:57] 就是这样子的蒸馏数据
[43:59] 他们可能这些可能会是在
[44:00] 一些
[44:01] 一些更更加通用的
[44:02] 通用的斗媒
[44:03] 比如像是聊天呀
[44:04] 以及就是角色扮演式的斗媒
[44:06] 然后把这些数据混到一起
[44:08] 然后重新微调一下V3
[44:09] 这样走这V3他又见过
[44:11] 他从类似于说从多个专家这里学
[44:14] 学到知识之后
[44:15] 他自己就会在各
[44:16] 各个方面表现得更加均衡
[44:18] 同时什么都能做
[44:19] 然后在这个模型之后
[44:20] 他们最后再进行了一轮
[44:21] 在所有领域上通用的强化学习
[44:24] 得到最后的R1
[44:25] 然后这个R1
[44:26] 这个就是他们最后得到R1的步骤
[44:28] 然后最后R1他的性能表现
[44:30] 跟O1比较相似
[44:32] 所以R1更重要还是R1Zero更重要
[44:37] 对我觉得这个可能看你就是关注什么
[44:40] 如果你说从这个技术的
[44:42] 干净性上来讲的话
[44:43] R1Zero显然就是
[44:44] 就是大家都会觉得更加干净
[44:45] 因为就是你不需要
[44:47] 就是做像就是R1
[44:49] 像R1一样就是说自己手工先
[44:51] 就是缝缝缝缝补补出这样子的
[44:53] 强思维链数据
[44:54] 你发现这是模型会自己
[44:56] 就是自发涌现出来的性质
[44:58] 这性非常漂亮
[44:59] 而且你可以想象
[45:00] 如果后面模型就是
[45:02] 性能更更快提升的话
[45:03] 说不定就是说R1Zero
[45:05] 因为他更少的依赖于人类的鲜艳知识
[45:08] 当然他
[45:08] 这种模型本身是在
[45:10] 人类知识上是预先练过
[45:11] 所以他还是有些鲜艳知识
[45:12] 但肯定会比R1这种就能启动数据更少
[45:15] 因为有更长鲜艳知识
[45:16] 说不定他能达到更大的高度
[45:18] 或者说在各种领域里面
[45:20] 会更加的灵活自由
[45:21] 但是R1Zero他就是
[45:23] 目前反正他性能也没那么好
[45:25] 其次是说他的通用性不强
[45:27] 而且就是用户友好度不强
[45:29] 所以说就是
[45:30] 作为商业化
[45:31] 或者说一个就是实际的部署的话
[45:33] 显然现在R1会是更好的选择
[45:35] 所以我们现在用的Deep-Seek都是R1
[45:38] 对对都是R1
[45:40] 然后最后深度求索
[45:41] 就是在这篇文章中
[45:42] 就也是intro的最后一段
[45:43] 他说我们
[45:45] 有R1之后我们也尝试了说
[45:47] 怎么能不能做这种蒸馏
[45:49] 其实我们这样看到O1
[45:50] mini是个非常有意思的模型
[45:51] 就是他
[45:53] OpenEye在各种场合都显得非常小
[45:54] 而且价格确实也还行
[45:56] 但是同时他在各种就是榜单上的能力
[45:58] 非常非常
[45:59] 相对于
[45:59] 其实
[46:00] 前一代的这种就是聊天机制模型来说
[46:02] 非常非常夸张
[46:03] 然后甚至这里面也在探索就是说
[46:05] 就是能不能用知识的蒸馏的方法
[46:07] 用R1蒸馏到小模型上
[46:09] 然后在这里他们用了千万1.2
[46:11] 2.5 32B模型做了两个实验
[46:14] 一个是说我们用R1的这些
[46:16] 就是我们已经用R1之后
[46:18] 用它生成各种
[46:19] 数据
[46:19] 然后直接SFT蒸馏到
[46:22] 千万的千万32B上
[46:24] 这是方案一
[46:25] 方案二是我们在千万32B上
[46:27] 直接用R1Zero的方式进行就是
[46:29] 大规模强化学习
[46:31] 他们最后发现甚至说你这样子
[46:33] 从大模型蒸馏到小模型上的效果
[46:36] 比直接用小模型进行后训练效果更好
[46:39] 这是个非常有意思的发现
[46:40] 对我们后面具体看了这段时候可以
[46:43] 细致的聊
[46:44] 然后同时就是他后面也不管
[46:47] 不论是32B还是更小
[46:48] 他们最低做到1.5B
[46:50] 他们发现说都有非常非常好的
[46:52] 正向的结果
[46:53] 这表示说就是这样子的推理能力
[46:55] 能力由大模型发展发现出来的推理能力
[46:59] 能力由大模型发展发现出来的推理能力
[46:59] 能力
[47:00] 是可以被非常有效的蒸馏到小模型上的
[47:04] 好的
[47:04] 这大概就是这篇文章就是
[47:07] 从就是Halo上讲了什么
[47:10] 我们这样可以就是稍微过一下
[47:11] 看看他就是
[47:12] 每一段就是有没有什么有意思的东西
[47:15] 那我们就从approach这里开始
[47:17] 就是
[47:18] 他的R1Zero的技术路线
[47:21] 然后R1Zero这个技术路线
[47:22] 其实他说的意思
[47:24] 他的意思是我们在这里
[47:26] 其实也跟欧凡海当时的出发点一样
[47:28] 就是我们想看一下这种能力
[47:29] 我们就是自发的涌现出各种这样子的推理的模式
[47:33] 然后在这里DeepSeek从2.2开始说
[47:36] 我们在这里探索说就是
[47:39] 不给定任何的监督数据语言模型
[47:41] 是否也能够自己的发展出各种推理能力
[47:45] 然后在这里他们的方法其实非常简单
[47:47] 就是说给一个base
[47:50] 就是这样子的基础语言
[47:51] 就是基座的语言模型
[47:52] 直接在上面运行强化学习算法
[47:56] 然后其实当你整个设定做对了之后
[47:59] 你就能看到这样的能力
[48:00] 然后我们可以从这里的强化学习算法看一下
[48:03] 他这里的算法其实是跟DeepSeek之前的算法
[48:06] 沿用了叫做GRPO
[48:09] 这是GRPO
[48:10] 这个没有个特别好中文翻译
[48:12] 我就直接这么说了
[48:13] 我们可以聊一下这GRPO大概在做什么
[48:16] GRPO是一个非常出名的PPO算法的
[48:19] 一个DeepSeek自己研发出来的迭代版本
[48:23] 它最大的区别是说
[48:25] 我们可以这么说
[48:26] 我们可以先聊一下
[48:27] 在此之间
[48:27] 我们可以先聊一下PPO做了什么
[48:29] 在PPO里面
[48:31] 模型
[48:32] 我们有需要训练两个模型
[48:34] 一个叫做价值模型
[48:36] 一个叫做就是actor模型
[48:39] 也就是策略模型policy model
[48:42] 然后这里然后是这样子的
[48:43] 我们的目标目标其实是得到一个非常好的策略
[48:46] 也是一个非常好的
[48:47] 一个就是能够用来做事情的模型
[48:50] 这就是我们的目标
[48:51] 然后在这里面为什么PPO要训练一个价值模型呢
[48:54] 价值模型的意思其实是说
[48:56] 我们之前我们在强化学习中
[48:58] 很多时候可能就是我们的奖励也好
[49:01] 或者就是每一步
[49:02] 就是我们强化学习中
[49:03] 可能更多是说我们只有最后一步也好
[49:06] 或者中间某些步骤也好
[49:07] 会得到一个奖励
[49:09] 而不是每一步我们都知道它有多好
[49:11] 但是实际上你知道
[49:12] 比如我们要生成一个句子
[49:13] 它里面是有非常非常多的字
[49:15] 也是有非常非常多的token组成的
[49:17] 那么这个情况下的话
[49:19] 我们其实会更希望说
[49:21] 我们能够微调每一个字
[49:23] 它的就是权重有多高
[49:25] 就比如这个句子里面
[49:26] 可能它其实
[49:27] 我们举个例子
[49:28] 比如说问题是1加1等于2
[49:30] 然后这个模型说1加1等于3
[49:33] 不对
[49:34] 我觉得1加1好像等于2
[49:36] 答案1加1等于2
[49:37] 那在这个例子上的话
[49:39] 如果我们就是只用reward的话
[49:41] 那我们可能就会会把整个句子都
[49:43] 因为它最后答案是
[49:44] 我们就会把整个句子的就是奖励提高
[49:47] 这样子的话就是所有东西都学了
[49:49] 包括你中间错误的那1加1等于3部分
[49:52] 你也学到了
[49:53] 还是后面那个非常有意思的
[49:54] 就是自己改错
[49:56] 让自己纠错
[49:57] 然后最后得出
[49:58] 正确答案的步骤也学到了
[50:00] 然后PPO的意思是说
[50:01] 我们可以通过学一个价值函数
[50:04] 来细致的描绘说
[50:06] 某一每一步是对是错
[50:08] 如果你能够学出一个很好价值函数
[50:10] 他会告诉你说好的
[50:12] 他会告诉你说
[50:13] 某个字是对是错
[50:15] 它是好是坏
[50:16] 这样子你就可以说这个字我要学它
[50:18] 那个字我不要学了
[50:19] 甚至是个更加细致的监督信号
[50:22] 比如说在我们刚刚这里子呢
[50:23] 他可能就1加1等于3
[50:24] 这个3因为错了
[50:25] 那可能如果说这个价值函数
[50:27] 他学的足够好
[50:28] 那他可能就会把等于3的这个3
[50:30] 就说我们不要学了
[50:32] 这个是错的
[50:32] 然后后面东西继续学
[50:33] 这样子可能会让整个收敛更快
[50:35] 也可能让这个策略学的更好
[50:37] 这是PPO的出发点
[50:39] 但是实际上包括这个
[50:41] 然后这个我们可以结合K1.5谈一下
[50:43] 这个事情他假设是说
[50:46] 我们能够学到一个非常好的价值函数
[50:49] 但这个事情其实在现实生活中
[50:51] 也就是其实在原模型
[50:53] 特别是这种长思维链下
[50:55] 我们发现他可能并不成立
[50:58] 原因因为是首先我们
[51:00] 就这个任务非常非常难
[51:01] 你想就是你只有一个
[51:03] 特别是在就是原模型这样任务中
[51:05] 我们只有我们知道一个事情
[51:06] 就是最后这东西是对是错
[51:08] 0过1
[51:09] 这样一个非常非常稀疏的一个监督信号
[51:11] 我们要学会每个token对还是错
[51:14] 这事情本来就难
[51:15] 而且同时就是监督信号只有最后一步有
[51:17] 然后同时特别是在长思维链下
[51:20] 整个这个就是一步一步走
[51:22] 你可能要走几千个token
[51:23] 整个就是序列非常非常长
[51:26] 以及特别是K1.5
[51:28] 这种有提到一件事情是说
[51:29] 在这个情况下
[51:31] 原模型他自己学会了纠错
[51:33] 那么这个情况下
[51:34] 这个1加1等于3
[51:35] 这个3是对是错
[51:36] 其实就不好说了
[51:37] 这完全取决于你最后能不能纠正
[51:39] 我们可以看这个例子
[51:40] 如果这个模型说1加1等于3好的
[51:43] 那答案就是1加1等于3
[51:44] 那这个东西1加1等于3
[51:45] 我们肯定不想要对吧
[51:46] 因为他引向了错误的答案
[51:49] 但是如果像我们刚刚例子说1加1等于3
[51:51] 哦不对1加1其实等于2
[51:53] 那我的答案是1加1等于2
[51:54] 这个情况下
[51:55] 因为这个策略他自己本身就能够纠错
[51:58] 那么可能他就
[51:59] 那么这个情况下
[52:00] 1加1等于3
[52:00] 这个3真的就是一个错的行为吗
[52:03] 他可能也不尽然是吧
[52:04] 因为他后面能纠错
[52:05] 那可能只是说我试了一下改错了
[52:07] 就是我只是我中间一个
[52:09] 没有那么优的尝试而已
[52:12] 在任何情况下
[52:13] 其实在这样子能无限纠错的场景下
[52:15] 其实你想学会一个
[52:17] 精确的价值函数是非常困难的事情
[52:20] 然后所以我们可以看到的事情是
[52:22] 不管是K1.5也好
[52:24] 还是R1也好
[52:25] 大家都异曲同工的
[52:26] 取消了这个价值
[52:28] 函数
[52:28] 我们因为这个价值函数不可能精确
[52:31] 他不可能得到这样的细致反馈
[52:34] 同时他还会占量占用巨大的算力
[52:36] 而且就是让整个训练过程变得更复杂
[52:39] 那我们不如把它丢掉
[52:41] 就用最简单的办法
[52:42] 给所有的每一步骤一样的奖励
[52:45] 其实这就是就是GRPO
[52:47] 就是DeepSeek R1以及就是K1.5里面
[52:50] 他们用的另一个算法的出发点
[52:52] 就是说当价值函数不准的时候
[52:54] 我们就直接舍弃他
[52:55] 只进行Policy Gradient
[52:57] 也就是
[52:57] 就是策略梯度的训练
[52:59] 然后在这里我们可以看下他整个就是
[53:02] 训练的函数大概在讲什么事情
[53:04] 他有两项
[53:05] 第一项是就是PPO一个非常标准的项
[53:07] 他的意思是说好的
[53:09] 就是我们这我们先从这个Advantage开始说起
[53:13] 或者说就是每一就是每一步他就是每一个
[53:17] 就是每一个尝试是对是错还是说起
[53:20] 他的他的意思是说就是说
[53:22] 这个模型他会是很多次有些对有些错
[53:24] 然后呢
[53:25] 我们在这里我们把相对比较好的
[53:27] 作为好的把相对比较差的作为错的
[53:30] 然后把它进行归一化
[53:31] 他的命会是0
[53:32] 然后同时他的Standard Deviation会是1
[53:35] 这样子的话就一般来说
[53:36] 这样技巧会有助于稳定训练
[53:39] 这样子的话
[53:39] 我们就对于每每一个就是Batch
[53:42] 也就是每次模型尝试
[53:43] 比如一千一千次
[53:45] 然后对于一千次中
[53:46] 我们就可以分出来哪些好哪些坏
[53:48] 嗯
[53:48] 这个是Advantage这里的一项
[53:50] 他的意思就是说
[53:51] 让我们看一下这一组里面
[53:53] 就是相对的哪些好哪些坏
[53:55] 然后向好的学习
[53:56] 向坏的我们就舍弃
[53:57] 然后另一项就是不管是K1.5也好
[54:01] 还是DeepSeq R1也好
[54:02] 还有个事情是说
[54:03] 我们希望就是因为语言模型训练很贵
[54:06] 而且因为就是每次生成数据
[54:08] 你其实就要生成一个这么长的常温的
[54:10] 他的价格也很贵
[54:11] 所以我们希望他除了能用就是
[54:14] 策略梯度里面
[54:16] 所谓的Unpolicy Data之外
[54:18] 也能用一些所谓的Off Policy Data
[54:20] Unpolicy Data意思就是说
[54:21] 我们现在模型即时生成的数据
[54:25] 而Off Policy Data意思其实说
[54:26] 就是这个模型
[54:27] 可能几代
[54:27] 之前生成的数据
[54:29] 他可能跟现在这个模型已经有一些
[54:32] 就是他在就是各种就是他的角色上面
[54:35] 已经有一些细小不一样了
[54:36] 但是我们仍然能希望这个老一些的一个
[54:39] 就是稍微有些不一致的策略
[54:42] 他生成的数据能够帮助我们学习
[54:44] 然后他这里相对是有一些就是RL技巧
[54:46] 包括就是重要性重采样之类的技巧
[54:51] 帮助我们说好的
[54:52] 我们让这个模型
[54:53] 他除了能够就是接受Unpolicy数据之外
[54:56] 也能够稍微的容忍
[54:57] 一些就是站在过去的稍微过时的数据
[55:00] 这样子能够让我们就是重复的利用之前的
[55:03] 就是之前已经采样过的数据
[55:05] 提高这个数据的利用率
[55:08] 这是他的一个他的一个技巧
[55:10] 然后另一个技巧是其实也是非常标准的
[55:12] 就是说他有一项loss
[55:14] 叫做KL divergence
[55:15] 他的意思是说
[55:17] 我们现在有一个我们正在训练的模型
[55:19] 同时我们有一个
[55:21] 就是我们刚开始的一个reference model
[55:24] 就是一个作为样板或者一个参考的模型
[55:27] 这个参考模型
[55:28] 他可能能力没有我们想要的那样
[55:30] 但我们知道就是他的输出大概是相回事的
[55:32] 我们希望他知道输出不要偏离之前的这个样板
[55:37] 样板参考模型太多
[55:38] 这个叫做KL divergence
[55:40] 他就是说如果你跟之前的这个输出偏离太多了
[55:43] 那么你就会知道惩罚
[55:44] 那这样就不好
[55:45] 这大概其实就是整个就是强化学习算法的就是含义
[55:49] 然后这里面其实一个比较
[55:51] 其实我跟就是我我身边也有一些就是
[55:54] 包括做理论强化学习
[55:55] 或者世界的一些同学
[55:57] 师兄师姐
[55:58] 跟他们来聊天
[55:59] 就其实主要感慨是说
[56:01] 就是像这样的
[56:02] 其实就是像这样子的算法
[56:05] 其实是在强化学习那里算是极其简单
[56:08] 以及也直接的
[56:10] 并没有一些很深的一些就是各种就是技巧呀
[56:14] 之类之类的
[56:14] 就是用非常简单直接的方法
[56:16] 然后解决了一些一定要解决的问题
[56:18] 比如我们刚刚说到就是这种离线数据
[56:21] of policy data
[56:22] 以及就是不要偏离原策略太远
[56:25] 这样一些非常简单的一些问题之后
[56:27] 就得到一个非常简单明了的一个训练损失函数
[56:32] 这个算法是deep-seq的创新点对吧
[56:35] GRPO算法是deep-seq大概一年之前
[56:38] 在deep-seq math paper中第一次提出来的
[56:40] 然后他是deep-seq的创新点
[56:43] 而且现在我觉得可能后续大家都会用的更多
[56:46] 因为就是其实我觉得他这里的就是论点
[56:49] 就其实主要是K1.5讲的这个论点是就是非常明确
[56:53] 就是说
[56:54] 当你这样子价值函数估计不准时
[56:57] 那你不如丢掉它
[56:58] 那么大家可能后面发现这个事情之后
[57:00] 可能也会从就是PPO这样带价值函数的东西
[57:03] 转到了不带价值函数的东西
[57:05] GRPO是这样子一个例子
[57:07] 然后K1.5中他们自己写了一个相似的
[57:11] 但是就是损失函数细节上有一些不同的算法
[57:14] 也是这样的例子
[57:17] 那我们继续看
[57:19] 好的
[57:19] 然后我们看下一部分
[57:21] 其实就是他说的就是对于一个强化学习
[57:23] 我们其实需要几部分
[57:25] 我们有一个我们就是希望训练出来的
[57:27] 一个策略对吧
[57:27] 就是他能干就是他能够拿到最高的奖励
[57:30] 然后同时这样子我们还会需要一个环境
[57:33] 这环境其实在R1以及就是K1.5的例子里面
[57:37] 其实就是你有一个问题
[57:38] 以及你有一个这样的奖励函数
[57:41] 这奖励这个对奖励函数
[57:43] 他会告诉你说你到底是对做对了还是做错了
[57:47] 然后我们可以看一下R1Zero里面是怎么构造的
[57:50] R1Zero里面他的意思就是我们
[57:52] 构造一个这样的Rubase reward system
[57:54] 他像他可能就是一个用Python写出来的一些
[57:57] 一些东西
[57:58] 比如比如说你这个答案要跟某一个我们的就是标准答案是一致的
[58:02] 或者说他们在进行化解或者这个操作之后是一致的
[58:06] 或者说就是说你这样的标准的一段代码要能通过
[58:09] 要跟我这样的就是样板答案一样
[58:11] 都能通过一个test case
[58:12] 同时可能比如说性能占用要达到一定的
[58:16] 这就是量级大概就是这样子的东西
[58:18] 然后他这里说R1Zero他有两部分的奖励
[58:22] 一部分叫做accuracy reward
[58:24] 一部分叫做format reward
[58:26] accuracy reward
[58:27] 的意思是说他这accuracy reward
[58:31] 他具体是说就是这个问题做对了没有
[58:35] 然后format reward的意思是说就是他的格式对没对
[58:39] 这个格式包括是说就是因为在这里我们我们刚刚提到了
[58:42] 我们希望他先进行一个慢思考
[58:44] 然后回答
[58:45] 然后再进行回答
[58:46] 然后在DeepSync R1这个例子里面的话
[58:49] 他们会让整个格式更更清晰
[58:51] 他们会是说让模型先出出一个think
[58:55] 思考这样的一个tag
[58:56] 然后在这个tag里面
[58:57] 把就是把自己的就是这种慢思考的一个非常长的思维链过程写在里面
[59:02] 然后后面再转向
[59:04] 然后后面再用一个answer就是答案这个tag
[59:08] 然后把自己的就是最后的答案写在里面
[59:12] 然后DeepSync R1Zero的意思是说就是我们就我们的整个奖励会是这两部分
[59:19] 如果你答对了
[59:20] 那当然给你奖励
[59:20] 如果你格式对了
[59:21] 我们也会给你一点奖励
[59:22] 然后在这里吧
[59:23] 我们其实在tinyZero附件里面
[59:25] 我们当时设了一下format reward
[59:27] 我们给的0.1
[59:28] 然后efficacy reward给的1
[59:30] 这些就已经就是能够跑起来了
[59:33] 对就是这个地方应该就是事实应该都还好
[59:37] 然后这里他还说的事情是说我们在就开发DeepSync R1Zero的时候
[59:41] 没有用到针对过程或者结果的神经网络奖励模型
[59:46] 这里的意思其实这里主要是跟我们之前的在ROHF中
[59:50] 以及最近就是这种就是PRM也就是过程过程奖励模型相对比
[59:57] ROHF中其实我们就是说我们也是在强化学习
[60:00] 但是我们强化学习的目标是针对一个就是这样的奖励模型
[60:04] 奖励模型他的训练过程也是其实是从原模型开始
[60:08] 然后他会收到很多文本队告诉你说
[60:11] 这个是问题
[60:12] 这是答案一
[60:13] 这是答案二
[60:14] 我告诉你答案一比答案二好
[60:15] 或者答案二比答案一好
[60:17] 那你就学会了
[60:18] 然后最后你在训练过程中
[60:20] 你问这个模型答案一怎么样
[60:22] 他会告诉你个分数
[60:23] 你问他答案二怎么样
[60:24] 他告诉你个分数
[60:25] 这样子了
[60:25] 然后
[60:27] 在这样的聊天机器人之间
[60:28] ROHF场景下
[60:29] 模型就会用这样的用这样子的
[60:33] 那奖励模型作为就是自己的奖励函数进行学习
[60:38] 然后同时我们可以看到他说了另一个叫做
[60:40] PROCESS NEURAL REVOLVEMENT
[60:42] 也就是过程奖励函数
[60:43] 这东西其实是现在复盘来
[60:45] 大家可能有些被就是OpenAI去年或者前年的一个
[60:50] 叫做let's verify step by step的研究有点带偏
[60:53] 因为那个其实是OpenAI出的最后一篇的关于
[60:56] 就是
[60:57] 就是语言模型推理的公开论文
[61:00] 之后就出了欧网
[61:01] 可能让大家觉得这个之间有些神秘联系
[61:03] 然后其实很多团队在上面投了相当多时间
[61:06] 这个东西他其实跟我们刚刚说就是
[61:09] 刚刚说的就是结果奖励函数
[61:12] 以及就是标准ROHF REW MODEL有些类似
[61:14] 也是说你有一个问题
[61:16] 有一个答案
[61:16] 然后打分
[61:17] 但过程奖励函数意思是
[61:20] 他是他不是给结果打分
[61:22] 不是说就是你整个回答
[61:24] 我给你打个分数
[61:24] 他会更加细致
[61:25] 同时他也会从这些
[61:27] 他会更加细致
[61:28] 他在学的时候你会告诉他说
[61:30] 第一步是对的
[61:31] 第二步是对的
[61:32] 第三步是错的
[61:33] 这样子就是他会细致的学到说是哪一步是对
[61:37] 哪一步是错
[61:38] 同时就是你在训练的时候
[61:39] 他也会这会细致的告诉你第一步对
[61:43] 第二步对
[61:43] 第三步错
[61:44] 这样的
[61:44] 其实这个东西就跟我们之前说的价值函数非常非常相关
[61:47] 他会告诉我们非常细致的
[61:49] 不是整次Rollout的
[61:50] 也就是不是整个回复是好是坏
[61:53] 他会告诉更加细致的哪一步好
[61:54] 哪一步坏
[61:55] 这个东西确实听起来是个
[61:57] 非常非常诱人的事情
[61:58] 对吧
[61:58] 因为有这样子的细致的就是回复
[62:01] 包括在强化学习中已经被长期证明于非常有效
[62:05] 但是目前至少在R1这样的时间点上的话
[62:08] 我们发现就是你没办法做出非常精确的这种奖励的
[62:12] 就是神经网络模型
[62:13] 同时因为这些模型
[62:14] 他只是就是其实这是个模型啊
[62:17] 就会有错对吧
[62:18] 然后你现在的模型
[62:19] 然后我们现在训练的这个策略模型
[62:21] 他太厉害了
[62:22] 他非常有可能就会直接就是叫做进行所谓的reward hacking
[62:26] 对于
[62:27] 这样子的就是神经网络构造的奖励
[62:29] 奖励函数模型
[62:31] DeepSick R1中他们提到说
[62:33] 这样子的模型在足够大的就是这种强化学习下
[62:38] 以及是这模型做好的情况下会发生所谓的reward hacking现象
[62:42] 也就是说对他这个奖励进行了一些破解
[62:45] 这具体的表现是说
[62:46] 我们因为这样的reward model
[62:48] 他其实只是对我们心中的一个就是实际想要的奖励的一个非常一个不完美的模仿
[62:57] 那
[62:57] 那么模型可能会通过就是破解这些不模仿中的破绽
[63:01] 然后导致你的奖励函数告诉你这个模型做的事情非常好
[63:06] 非常正确
[63:06] 但其实我们人拿到发现他去做一些非常奇怪的事情
[63:10] 一些RHF中的例子
[63:11] 比如说如果你的就是reward model
[63:14] 就是如果就是你的训练没有调好的话
[63:17] 有可能性是说奖励
[63:19] 奖励函数自己奖励模型会觉得就是如果这个用户
[63:23] 如果就是这个回复中有很多emoji
[63:25] 那么这可能是一个非常好的事情
[63:27] 他自己学会了emoji很好就越好
[63:29] 但是可能人类并不想这样子
[63:30] 然后你发现如果你用那奖励函数作为奖励
[63:33] 奖励函数模型作为就是奖励
[63:37] 然后这样迅出来的模型
[63:38] 他可能就会输出非常非常多的emoji
[63:41] 但是就是人看起来就会非常的一言难尽
[63:43] 其实并不希望这么做
[63:44] 这就是这样的reward hacking奖励破解的一个具体体现
[63:48] 然后在这里的话
[63:50] DPCR1的意思就是说为了防止这样现象
[63:53] 我们就直接用ground truth reward
[63:55] 也就是真实的奖励
[63:57] 我们在这样子的数学或者说代码这些地方
[64:00] 我们能确定他最后答案是对是错
[64:03] 这样子我们就避免了一切的这种就是奖励破解的可能性
[64:07] 你刚才提到OpenAI有一个
[64:09] 之前有一个最后那份报告
[64:10] 他是故意把别人往天里带吗
[64:12] 那时候
[64:13] 我觉得可能不一定
[64:15] 可能当时他们自己也还没找到北吧
[64:17] 然后就设了各种各种技术路线
[64:19] 其实你也可以看就是说像DeepSeek或者之类的
[64:22] 就是DeepSeek他们自己其实也做了很多
[64:24] 就是process reward mode的这种过程监督
[64:27] 或者奖励模型的一些工作
[64:29] 我觉得可能是当时大家都还没有找对方向
[64:31] 所以说就那样子了
[64:33] 因为当时那个Let's Verify Step by Step那篇paper
[64:36] 距离最后O1的公布
[64:38] 应该有大概一年时间左右
[64:40] 只是这一年内他们没有公布更多的进展
[64:43] 对我觉得
[64:43] 我觉得他们不一定是有意的
[64:45] 对但是虽然这个结果看起来
[64:47] 确实是给大家带拐了一些
[64:50] 这是approach里面的第二点
[64:52] 第一点是算法
[64:53] 第二点是奖励函数
[64:55] 对对
[64:56] 然后我们现在可以快速看一下
[64:57] 他的就是这样子的一个他们用的模板
[65:00] 他这里的模板意思其实就是说我们告
[65:03] 就是相当于是给你模型的一个就是前缀
[65:06] 就是告诉给他一些文本
[65:08] 告诉你该怎么做
[65:09] 规定然后规定他的训练会训练的模式
[65:13] 而且他模板其实是没有什么意外的
[65:15] 一个非常简洁的一个模板
[65:17] 他的模板说的事情说好的
[65:19] 下面是一个人
[65:21] 跟这样的一个助理的一个对话
[65:23] 然后用户会问一个问题
[65:26] 助理会解答他
[65:27] 然后这个助理他会首先就是一步步的思考
[65:32] 然后自己的推理过程
[65:34] 然后在最后给用户一个答案
[65:37] 然后比较重要的是说他这里会
[65:39] 因为我们刚刚说了说dpc
[65:41] 他希望能够就是
[65:43] 他有他的奖励函数构建中
[65:45] 有一部分是格式
[65:46] 这也是因为我们希望能够比较简单读出答案
[65:48] 这也是为了
[65:50] 我们能够在比如reward的时候
[65:51] 我们能够非常好就是提出来答案是哪部分
[65:54] 他跟我们的就是标准答案比较好
[65:56] 比起来到底怎么样对吧
[65:57] 所以他这里面会在这样子的一个模板中
[66:00] 他提到说
[66:01] 他提到就是这样格式回答的
[66:05] 聊天机器人的回答格式该是怎么样的
[66:07] 他提到的就是说
[66:08] 你应该先把你的就是推理过程
[66:11] 思考过程
[66:12] 放在这样的think的tag里面
[66:14] 然后最后再把你的答案放到answer tag里面
[66:18] 然后这就是整个就是这个模板有什么
[66:21] 然后现在用户会问个问题
[66:22] 然后就换上语言模型开始
[66:25] 进行一步步的生成解答这个问题
[66:29] 对整体来讲整个就是模板是非常清晰简洁的
[66:32] 就只是告诉他格式该怎么做
[66:34] 然后你该先思考
[66:35] 然后再回答问题
[66:36] 这些都是非常干净的事情
[66:38] 然后我们现在看一下他接下来的二点四
[66:41] 他应该是开始讲了一些就是实验的结果之类的
[66:44] 然后我们可以从他的
[66:47] 我们可以从他的二点
[66:49] fig2跟fig3开始看
[66:51] 这其实是他就是最漂亮
[66:52] 也就是也就是所谓的附件O1
