[00:03] Hello 大家好,我是小骏
[00:04] 2026年,大模型战争全面升级,揭开了第二幕
[46:37] 因为这很多业务逻辑它是企业内部的东西
[46:41] 或者说真实环境里面沉淀下来的东西
[46:45] 这个你必须要跟它很多轮交互
[46:47] 才会沉淀下来的东西
[46:48] 所以我认为之前那些AGM框架
[46:51] 就不能叫AGM框架吧
[46:52] 就没有任何可用度
[46:53] 然后在那些Benchmark上表现非常高的模型
[46:57] 也不代表它的AGM能力是真的强
[47:01] 所以我们在优化这一版模型的时候
[47:03] 是完全放弃这些Benchmark的
[47:06] 我们基本上就糊
[47:07] 就不关注这些Benchmark的模型
[47:07] 就不关注这些Benchmark的模型
[47:08] 就我们当你面临一个很大的范式的变化的时候
[47:14] 其实只要你路径走对了
[47:18] 其实你可以短暂
[47:20] 非常短暂的一个窗口
[47:22] 请你去忽略评估
[47:23] 因为你靠体感
[47:25] 你就能立马测出来一个非常大的质的差异
[47:29] 对
[47:29] 但是当你慢慢迈入深水区的时候
[47:32] 还是需要一些非常精细的评估的
[47:35] 所以Skill是不是改变了模型的生态
[47:37] 改变了模型在这种高复杂度
[47:44] 就是流程复杂度的任务上的执行的准确率
[47:48] 因为它其实是定义了一套执行的规范
[47:52] 这套执行的规范是很难在预训链的数据本具备的
[47:57] 因为预训链数据本没有这种interload的信息
[48:01] 这些信息通常是大量企业内部自己去沉淀和积累的这种
[48:07] 这种由人和人之间产生的一些组织上遗留下来的一些规范
[48:17] 我觉得更多是组织上遗留下来的规范
[48:19] 然后但是就这不可能在预训链数据本出现
[48:25] 但是可以由人教agent跟他多轮交互
[48:29] 通过完成几个任务
[48:31] 把这套规范让agent学会
[48:34] 所以agent就会
[48:35] 所以现在大量skills其实是agent自己写的
[48:37] 但是skills也是在cloud里面诞生的对不对
[48:41] 对 但是这就是出现一个问题就是
[48:43] 确实是opencloud把skills这个事给带火的
[48:48] 我说带火就是它让更多人去贡献skills这个社区
[48:52] 这个是非常关键的
[48:54] 因为这就是属于我觉得人跟agent需要共创的地方
[49:00] 如果你没有那么多人高阶
[49:02] 就是你没有那么多这种另类
[49:07] 信息我觉得它确实另外一种alpha
[49:10] 它是那种另类信息
[49:12] 跟当前的agent共创的话
[49:17] 那么agent或说最顶尖模型的能力也很难发挥出来
[49:22] 这也是你说的那个群体智能
[49:24] 可以这么说
[49:26] 人的经验变成skills
[49:29] 如果更重要了它是不是预训链的一种补充
[49:33] 对 因为预训链其实它大部分依赖的知识还是
[49:37] 你在互联网上可访问到的知识
[49:40] 但很多知识或说很多智能
[49:43] 应该说很多智能我们是在互联网上访问不到的
[49:47] 那么这个时候它就以另外一种形态出现
[49:51] 我觉得现在skills算是一种吧
[49:54] 它其实提供了一种交互的方式
[49:56] 让人去主动贡献数据
[49:58] 对 贡献更让模型执行任务的成功率更高的方式
[50:06] 如果重新来定义一下所谓的
[50:10] 因为我以前有Deep Seek Moment
[50:12] 然后有OpenEye
[50:13] 有ChargeBT Moment
[50:14] 如果重新定义一下这个所谓的Open Cloud Moment
[50:17] 你会怎么定义它
[50:19] 这个moment它会时间线更长
[50:23] 因为它前序的章节也太久了
[50:27] 人家不会觉得它是个新东西
[50:29] 然后它后续的章节
[50:31] 但是我觉得对我们已经信这个事情的人而言
[50:36] 比较believe这个事情而言
[50:37] 我们反应是不是足够快的
[50:39] 但我不知道其他人有没有follow up上
[50:43] 对 所以就是从我的个人的感官上
[50:47] 就是这个moment它会延续的时间更长更深远
[50:51] 它不是 这个更深远是说
[50:56] 它可能能力更外放到更多人能感受到的场景里边去
[51:06] 所以它更深远
[51:07] 但是它这个流动是需要时间的
[51:11] 就是它能溢出的能量能力更强
[51:15] 强很多
[51:16] 对 它没有一个非常清晰的
[51:18] 那么清晰的定义
[51:20] 像OE21它会有一个数学代码
[51:24] 这种有光choose的一个东西在这
[51:28] OK 你服而上去了
[51:30] 模型就具备这个能力的
[51:32] 这样一个非常清晰的标准的界定
[51:35] 当然我觉得有
[51:36] Azure其实确实有很多场景
[51:38] 你是有需要有清晰标准系列的
[51:40] 但大部分的场景是没有的
[51:42] 比较混沌
[51:43] 对对对
[51:44] 然后它产生的价值也是慢慢的到一个临界点
[51:47] 突然进一大步
[51:49] 其实靠4.0ops确实是实际上一个进一大步的
[51:52] 突然的一个时间点
[51:54] 但是Othropia做这个事情
[51:56] 这个路径也是持续了两年的
[51:58] 至少有两年的我们能看到
[52:00] 那根本为什么这个事情不是Othropia自己做出来
[52:04] 我觉得还是就一个开源一个必源的问题
[52:07] 就是必源的框架
[52:10] 你是没有办法去洞察内部的设计的
[52:15] 所以你没有办法利用大部分更多人的智慧去改进它
[52:19] 但开源就是你就可以用更多人的智慧去改进它
[52:24] 可能也不符合Othropia对安全性的追求
[52:31] 其实我现在觉得安全性
[52:34] 绝大部分还是模型本身应该去追求的
[52:38] 应该去追求的事情
[52:40] 我们不能太过于去要求一个框架本身是过于安全的
[52:46] 但是框架本身可以做非常多的事情
[52:48] 但是我觉得开源跟安全性并不冲突
[52:54] 因为我们会把很多数据授权给OpenCloud
[52:57] 如果我们把大量的个人隐私数据授权给它的话
[53:00] 怎么缓解更多普通人对于安全性的这种焦虑
[53:05] 所以其实
[53:07] 这是我为什么说要做开源的原因
[53:10] 我觉得还是会有一天
[53:14] 而且应该很快也会到来
[53:16] 人的大部分简单的任务
[53:19] 除了那些非常难的任务
[53:22] 其实跟隐私相关的任务有很多还是没有那么高难度的任务
[53:26] 其实你完全是可以放在本地化去做的
[53:29] 你自己会有自己随身携带的
[53:32] 有可能随身携带也有可能是在家或某个场景里边
[53:36] 有一块芯片
[53:39] 对
[53:40] 然后你所有的数据都在本地
[53:42] 然后所有的涉及到隐私数据的这些场景都在本地推理
[53:49] 这是很关键
[53:50] 就在本地推理
[53:51] 然后涉及到一些非隐私
[53:53] 然后高难度高创造力高复杂的人
[53:55] 我再去一段推理
[53:57] 其实这样是能够解偶的
[53:59] 然后这也是为什么我说一个好的一进度框架
[54:01] 借助一个我自己觉得很小的3B的模型
[54:05] 它发挥的
[54:06] 它自己能做的任务的复杂度都已经超乎我的想象了
[54:10] 然后就这个事激发了我自己对于
[54:12] 比如说所以端云混合也好
[54:16] 所以隐私的本地化也好
[54:18] 有一些思考
[54:19] 但是我觉得还很初步
[54:21] 因为这些思考不仅是需要模型
[54:25] 这一侧做非常多东西
[54:27] 还需要本身架构这一层
[54:29] 然后一块往前走
[54:31] 所以这也是我为什么觉得开源是如此重要的一个事情的原因就是
[54:35] 我觉得这需要更多人一块来做
[54:37] 而不是某一个公司就把它能做好的
[54:40] 接下来你觉得我们会看到什么
[54:42] 在Open Cloud已经火了这么几个月之后
[54:44] 就2026年大家会基于它做什么
[54:46] 国内已经有很多动作了
[54:48] 出现了各种的Cloud
[54:49] 包括你们Memo Cloud
[54:51] 其实所谓现在很多很多Cloud
[54:54] 只是让大家以一种不同的交互形态
[55:01] 然后去访问到不同的模型和不同的一些的框架
[55:05] 但是我觉得真正那种去让这个框架自迭代
[55:15] 或说更强调自进化和自迭代的框架
[55:18] 我觉得还没有大规模的诞生和出现
[55:22] 然后以及你怎么去利用绝大部分人的智慧
[55:28] 去创造一个更强的框架
[55:31] 也还没有出现
[55:33] 这两层
[55:34] 一层是
[55:35] 框架本身的自进化
[55:37] 一层是Azure本身的自进化
[55:40] 一层是Azure跟人之间的自进化
[55:43] 我还没有看到
[55:45] 就我们现在做的其实是
[55:47] 怎么train更好的model for Azure
[55:49] 以及怎么让Azure去适应这个model
[55:52] 对
[55:53] 其实是在做Azure跟model之间的双向流动
[55:56] 但还没有
[55:58] 在框架层我觉得未来需要做的事情
[56:01] 其实是怎么让框架自己进化
[56:04] 以及框架跟人不相进化
[56:06] 这是你们现在的着重大致的方向
[56:09] 对
[56:10] 我会去深入研究的事情
[56:12] 你觉得现在没有做到的核心的缺陷在哪里
[56:16] 就可能补足了某一个短板
[56:19] 它也许就能成了
[56:21] 缺陷是我们刚做到这里
[56:24] 我也不知道Sophia做不做
[56:27] 反正我觉得
[56:28] 只是因为时间远
[56:30] 因为我们刚做到这里而已
[56:32] 然后未来的这个
[56:34] 加速度是会很快的
[56:36] 不仅是我们
[56:37] 我觉得应该是这么去定义
[56:40] 现在只要拥有一个
[56:43] non-convex非常efficient的模型架构的厂商
[56:48] 并且它在做预训练习阶段
[56:50] 把code的能力也做得非常好的
[56:54] 它有这样一个model
[56:56] 这个model的参数量可能至少
[56:58] 我希望我觉得至少一T以上吧
[57:00] 对
[57:01] 只要有这样的一个入场券的人
[57:04] 基本上都处于同一水平线去做这个事情
[57:08] 当然我说不定肯定是走到前面了
[57:10] 我只是说
[57:11] 目前上一个时代的成功
[57:13] 并不意味着下一个时代的领先
[57:16] 现在基本上大家在同一水平线
[57:18] 这是一个什么样的时代
[57:19] agent的时代怎么定义它
[57:21] 就是
[57:22] 我觉得就是生产力加速变革的时代
[57:25] 今年生产力会爆发对吧
[57:28] 对
[57:29] 从最
[57:30] 就是
[57:31] 大家会觉得很多工作
[57:33] 不需要自己做了
[57:34] 这是最直接的感受
[57:36] 从只要你接触到这个事情过后
[57:38] 你就发现你的好多工作都会被替代掉
[57:40] 那么这个时候人应该去思考
[57:43] 就是说到底自己的意义和价值是什么
[57:46] 所以agent能做什么样的高价值任务
[57:49] 是不是变得更重要了
[57:50] 你要从提升顶尖模型的能力的角度上来说
[57:54] 肯定是让agent去替代更高价值的任务是重要的
[57:57] 因为更高价值的任务
[57:59] 它意味着更长的context
[58:01] 然后
[58:02] 意味着更多的token消耗量
[58:06] 它肯定是更多的token消耗量
[58:08] 然后
[58:09] 意味着
[58:13] 它替代人的
[58:15] 它最终这个
[58:17] 能替代到最顶尖那一群人的智能
[58:20] 就够了
[58:21] 其实因为
[58:22] 下边那一群人的智能是可以慢慢的
[58:25] 以另外一种方式来替代掉的
[58:27] 比如说webodies
[58:28] 对
[58:29] 总之就是
[58:30] 如果说要为了for
[58:32] 追求更强的模型能力的角度上来说
[58:34] 肯定是完全for更高价值的场景做是更有价值的
[58:38] 但另外一个演变角度是说
[58:40] 你是要做一个对全社会更有益的
[58:44] 对所有人都有帮助的一个模型
[58:46] 那么就不应该for更高价值的场景去做
[58:49] 而是让所有人都能感受到
[58:52] 这个模型的智能水平
[58:54] 那么它可能是另外一种做法了
[58:56] 有可能是另外一种做法
[58:57] 是一个普世度更高的任务可能会更好一些
[59:00] 就比如说在这种场景里边
[59:01] 你就更需要在乎多么太
[59:05] 因为在更广泛的场景里边多么太
[59:09] 尤其是对于视频的理解
[59:11] 对于一些更细微的环境的理解
[59:17] 然后它是更关键的
[59:20] 然后以及就是要注重成本
[59:23] 成本是产生革命非常重要的因素
[59:26] 就你不能说你完成一个任务要花一千刀
[59:29] 对吧
[59:30] 那我觉得很多任务场景
[59:32] 就除了很多任务场景
[59:34] 觉得它必须要达到一个很高的一个替换系数比
[59:38] 你能帮我节省十倍的成本
[59:40] 我可能才会考虑去试吧
[59:42] 对所以这个时候你怎么去做一个更低成本
[59:46] 更高效率速度更高速度的
[59:49] 这样的一套一件的框架
[59:52] 以及对应结合的模型
[59:54] 那就很关键
[59:55] 所以这是两种发展思路
[59:58] 你会怎么定义2026年
[60:00] 我觉得我很难去定义它
[60:05] 因为我觉得两个月都已经
[60:08] 现在对我来说是发展巨变的
[60:12] 我们做两周的事情
[60:16] 我觉得基本上就让我们很难相信
[60:19] 这是两周内做的事情
[60:20] 就在过去两周发生的事情
[60:22] 所以我都不知道这一年接下来会发生什么
[60:25] 基本上是处于在这种高度幸福的状态
[60:29] 我很好奇
[60:30] 就是从2022年底XHP诞生
[60:32] 然后当时大家就觉得AI一定是生产力革命
[60:35] 到今天就发展三年
[60:37] 你觉得它带来了哪些先决条件
[60:39] 让今天的生产力爆发
[60:41] 可能成为一个更可能的时间点
[60:43] 就是它的是哪些条件变得成熟了
[60:46] 就我觉得第一个关键点是
[60:48] 不再是算法工程师在做这个事情了
[60:51] 我自己会把这个事儿
[60:53] 觉得是一个非常有标志性的节点
[60:55] 就之前是你会觉得只有
[60:59] 研究者或说算法的人
[61:02] 再去考虑怎么去提升智能水平
[61:05] 但你现在会发现
[61:07] 还会有就是所有懂写代码人
[61:15] 都在一块去考虑去提升模型
[61:18] 去提升这整个东西的智能水平
[61:21] 我觉得这是最主要的差异
[61:23] 就不管是它是在写skills也好
[61:26] 去盖Agent框架也好
[61:28] 还是去设计更好的研究范式也好
[61:33] 这是三个层面其实
[61:35] 我觉得是所有人都在
[61:38] 让自己的智能去加速这个事情
[61:42] 这是我认为最大的一个变化
[61:45] 我突然想到Pick
[61:47] 去年底的那一期博客里的最后一句话
[61:50] 他就说Agent的进化需要所有人参与
[61:54] 对
[61:55] 实际上是让我有点这种感觉
[61:57] 而且现在其实现在已经是了
[61:59] 只是现在唯一没发生的就是我刚刚说的
[62:02] Agent跟着人怎么更好的更加速
[62:06] 因为Agent也要自迭代人也要自迭代
[62:09] 通过聊天吧
[62:10] 对聊天是一种
[62:11] 然后那会不会有一些更自然的方式
[62:14] 你有一些思考
[62:16] 就比如说我要是真的能带一个非常好的设备
[62:19] 一整天跟着我
[62:20] 然后我所有说的话
[62:21] 我见过人他都知道
[62:23] 我觉得他进化速度应该比我快
[62:25] 我自己认为他应该比我快
[62:27] 因为他会不会依赖的算力会更多
[62:31] 然后他会很快替代我
[62:34] 对而且他不会今天记得明天不记得
[62:38] 他是非常稳定的
[62:39] 而且他是只有进化的一条曲线
[62:41] 而且他乐此不疲
[62:43] 他不需要休息
[62:44] 你刚提到那个说国内的人有更热情
[62:50] 那完全人现在是怎么评价的
[62:53] 模型公司的人不是很care这个东西
[62:55] 我感觉模型公司的人不是很care的事情
[62:57] OK那真的跟我们蛮不一样
[63:01] 他可能觉得这个事情不难
[63:04] 我一开始也觉得这个事情不难
[63:07] 然后到后面我就觉得他整个A型的设计是非常巧妙的
[63:12] 我说这个巧妙是指
[63:14] 我觉得他弥补了很多模型短板
[63:17] 他是怎么精巧巧妙的去构建的这个编排
[63:20] 我怀疑这个原因是
[63:22] 他最开始是基于Cloud上一代模型去做的
[63:25] 嗯
[63:26] 就Cloud上一代模型4.5
[63:28] 哪怕是ops
[63:29] Sunnet其实是不够那么强的
[63:31] 所以你就要必须在系统的设计上
[63:34] 一种的框架的设计上
[63:36] 你要设计得更精细一点
[63:39] 去把他这个短板给补起来
[63:42] 对
[63:43] 然后这就导致了ops进步了
[63:47] 但是国内的大部分的模型
[63:50] 可能刚靠近Cloud的4.5
[63:52] Sunnet和ops的水平
[63:54] 然后反而
[63:55] 这两个在这儿握手了
[63:58] 嗯
[63:59] 我觉得是这样一个原因
[64:00] 那如果模型能提高的话
[64:01] 他这些精巧的编排还需要吗
[64:04] 还是需要的
[64:05] 就是出于对成本的考量是需要的
[64:07] 就是我们永远会去追求一个
[64:10] 成本和效率最低的一个一套方案
[64:13] 这个是生产力革命的非常前置的要求
[64:18] 所以不可能说我们所有的场景
[64:20] 都用最顶尖的模型
[64:22] 因为它太贵了
[64:24] 所以更有可能是agent在进化
[64:27] 模型在进化
[64:28] 然后模型进化的方式有可能是
[64:30] 同一个水平的模型在越变越小
[64:33] 它也是一种进化
[64:34] 哦
[64:35] 虽然我们没有在做这样的事情
[64:37] 但它确实是一种方式
[64:39] 也就是说现在可能激活10币的一个模型
[64:42] 可能过一年它就能做到Cloud的4.6ops的水平
[64:47] 这个是极大概率会发生
[64:49] 那激活10币的模型是很便宜的
[64:52] 然后可能
[64:53] 一两块钱就能有百万的上下文
[64:56] 所以那你为什么不用一个更小的模型
[65:00] 它反应速度更快
[65:01] 更厘米
[65:02] 基于这套agent框架很好用力
[65:04] 还可以改这套框架
[65:05] 那为什么不用抱它了
[65:07] 对
[65:08] 所以它其实让不那么好的模型
[65:11] 有了更好发挥的空间
[65:13] 对它上限更高
[65:14] 对
[65:15] 哦
[65:16] 所以其实更符合国内的叙事对吧
[65:19] 不知道国内叙事是什么
[65:21] 但是会让人很想用它
[65:23] 想用它替代自己的工作
[65:25] 所以需要小尺寸的端册模型爆发吗
[65:30] 这个趋势肯定会发生
[65:31] 但是我觉得它不是26年的一个主要的旋律
[65:34] 它是一个支线
[65:36] 而且是会持续发生的事情
[65:38] 26年的主要旋律就是生产力的变化
[65:41] 高生产力场景的持续突破
[65:44] 所以我们要做更长程的任务
[65:46] 然后更强调多一阶层之间的协作
[65:51] 因为更复杂的任务
[65:52] 它不可能是单一agent去做的
[65:54] 但多agent的协作
[65:55] 某种程度上也是为了成本的考量
[65:57] 对
[65:58] 成本和时间的考量
[65:59] 对
[66:00] 然后
[66:02] 以及怎么去激发agent这个群体的智慧
[66:06] 我现在觉得现在市场上的
[66:08] 现在已经看到的multi agent的工作都有点伪
[66:13] 我说这个伪是说
[66:14] 真的依赖于multi agent能够实现更好的
[66:18] 最终的任务的完成率
[66:20] 在这个纬度上
[66:21] 我觉得是有点伪的
[66:22] 但是它能提升效率
[66:27] 就是速度
[66:28] 就是这个任务完成最终的速度
[66:30] 以及它最终能够节省成本
[66:32] 这个是确定的multi agent
[66:34] 但我没有看到说multi agent一定最终能够实现一个更高上限的一个东西
[66:40] 但它会发展
[66:41] 只是我目前还没有看到
[66:43] 所以今年的叙事其实跟前三年已经发生了很大的变化了
[66:46] 我自己是怎么感知到的
[66:50] KIMI的人跟我说
[66:52] 他们觉得他们跟豆包已经开始玩不一样的游戏了
[66:55] 豆包 元宝 阿里都在玩互联网产品的游戏
[66:59] 因为他们在打DAU
[67:01] 然后KIMI的人他们是觉得他们在就是走了anthropic那条路
[67:06] 你们在玩一场什么样的游戏
[67:09] 就可能我们追求的事情是
[67:12] 我自己觉得什么时候能够超越自己吧
[67:16] 我是这么去定义的
[67:18] 因为我觉得我对AGI的一个定义会
[67:20] 非常的模糊的一个原因就是因为
[67:23] 我觉得没有必要去追求一个非常清晰的一个AGI的定义
[67:28] 当AGI发生的时候所有人都会感知到的
[67:31] 就是因为你发现每个人的生活
[67:33] 你的生活方式你的工作方式
[67:36] 已经未知长达很长的时间已经慢慢的被它改变了
[67:41] 所以在这个过程中追求DAU追求这些东西
[67:47] 它并不会改变我
[67:48] 它并不会促成我
[67:50] 这个目标就是让这个模型代替我
[67:52] 它并不会促成我这个目标
[67:54] 所以我就完全没有在想这些事情
[67:58] 而如果说我们去追求一些中间的目标
[68:02] 比如说你去追求token消耗量
[68:05] 你去追求它完成更高价值的任务
[68:08] 它是在往这个目标去靠近的
[68:11] 因为要完成可能替代我自己的任务
[68:14] 它确实是需要更多token消耗量
[68:17] 它需要具备更复杂的context
[68:20] 它需要去调动其他的智能水平
[68:23] 团队管理其实就是要去调动其他的智能水平
[68:27] 所以技术创新也是你需要具备更多的数据访问的权限
[68:34] 你需要具备给你一个集群你会用
[68:39] 一个GPU集群你会用它
[68:41] 并且你要自己去定义一套评估标准
[68:44] 当你在这个集群上训练个模型过后你怎么去验证
[68:48] 这些事情就是我想象的是
[68:51] 我们应该让这个模型结合一套框架本身
[68:54] 应该去完成这些事情和任务
[68:57] 而不是去追求另外一个叙事上的事情
[69:00] 所以我就没有太理解他们那个叙事
[69:04] 你说DAU的叙事是吧
[69:05] 对
[69:06] 我自己觉得这个叙事就不太符合我自己的
[69:10] 我们做研究的一个路径
[69:13] 过去两个月你觉得你的生活发生了什么样的变化
[69:16] 生活就是
[69:18] 亢奋
[69:19] 还有亢奋
[69:20] 就是你感觉每天都会发现Azure的框架本身或模型本身又进步了
[69:28] 所以今年带着给你很强的Aha moment
[69:31] 这可能比过去Tripod更强
[69:33] 对而且它是持续的
[69:35] 它持续的
[69:36] 你感觉它停不下来
[69:38] 这是比较大的变化
[69:39] 我觉得RE可能就是那一阵
[69:41] 你去体验它的那一刻
[69:43] 你用到它了
[69:44] 然后你发现它具备很好的思考能力了
[69:47] 然后这个思考能力从克鲁根巴斯外放到其他领域
[69:50] 也就是那一刻
[69:51] 然后那一刻完过后你没有感觉它有持续性
[69:54] 但Azure这个事上你会觉得它一直在持续
[69:57] 我觉得这种持续性是完全不一样的感受
[70:02] 因为有这样的持续性
[70:03] 所以你会更坚信这个事它在全面加速
[70:07] 有什么样的一个任务是你过去觉得它绝对不可能做到
[70:10] 但是今天可以做到的
[70:11] 就去模型这个事
[70:12] 我自己觉得以前我认为是很难的
[70:15] 因为
[70:17] 你要涉及到跟一个更复杂的
[70:21] 比如深度学习平台的融合
[70:24] 听起来就不太靠谱
[70:27] 然后以及你怎么去让模型具备你有的context
[70:32] 因为一个研究员他要有的context是很长的
[70:35] 你要经过很长的科研的培养
[70:39] 比如说一个博士他有五年的科研的培养
[70:41] 你怎么让一个大模型跟你有一样的context
[70:45] 这个事是很难的
[70:46] 我之前认为是不太可能的
[70:48] 但是我最近发现原来他很聪明
[70:50] 聪明到你只要把你进行的context告诉他
[70:52] 他甚至能帮你复原出来你自己的科研的成长路径
[70:56] 这个时候你再去跟他讨论同样的topic的时候
[71:00] 你发现他跟你一样聪明
[71:02] 这个事是很残酷的
[71:04] 我之前认为我们自己做的工作已经是足够有创造力
[71:08] 足够不会被skill化不会被block flow化的
[71:11] 但我现在发现他竟然也能
[71:14] 可能过一段时间他真的能运一个
[71:17] 我们能运出来的模型他也能运出来了
[71:20] 那他可不可以运出更强的模型呢
[71:23] 然后他就自己左脚踩右脚就提升了
[71:27] 我觉得这个事情是很有可能发生的
[71:29] 这个可能是一个非常大的转变
[71:32] 所以他可能真的能依靠于他自己产生更强的智能
[71:39] 他先吸收所有人的智能
[71:41] 然后再靠自己产生更强的智能
[71:43] 我觉得这个事肯定是就在这一两年发生的事情
[71:46] 我刚才听你的整个描述
[71:48] 我会有一种感觉
[71:49] 我觉得你shim模型的方式
[71:50] 好像和你管团队的方式有某种相似性
[71:53] 主要的原因是他确实需要群体智能
[71:59] 不是个人英雄主义
[72:01] 当然不是
[72:02] 就是他需要每个环节上都是足够believe和极致的人
[72:10] 什么叫群体智能
[72:12] 群体智能在模型训练上
[72:15] 可能不同的agent他需要有自己的context
[72:19] 有自己的context的原因是
[72:22] 当模型能力没有那么强的时候
[72:24] 有自己的独立的context他会更专注
[72:28] 专注还是蛮重要的
[72:30] 你的context不被混乱
[72:32] 然后他能完成的更准
[72:34] 所以就是你可以以为
[72:36] 我们现在去模型可能需要非常懂英法人
[72:40] 然后去
[72:42] 写一套非常好的训练或推理的架构
[72:45] 然后需要他从推理的视野去倒推
[72:49] 跟做能懂模型评估
[72:53] 以及模型训练人一块去定一个非常好的模型结构
[72:57] 有这样一个中间的collection的合作
[73:00] 然后这个非常懂模型训练和懂模型评估的人
[73:03] 又要学会去跟做数据的同学去
[73:06] 进一步的去沟通
[73:07] 说ok我们要赋予模型什么样的能力
[73:09] 我们需要去构造什么样的数据
[73:11] 然后同时呢
[73:13] 做数据这一群人
[73:14] 他又同时需要参与预训练跟后训练
[73:17] 因为预训练跟后训练他的数据的sense是通的
[73:21] 对
[73:22] 然后这里边其实你要真分的话
[73:25] 还是有很多sub-agent的
[73:27] 但这些sub-agent之间
[73:28] 他们的context有独立的地方
[73:31] 也有关联的地方
[73:33] 然后我觉得这样一套复杂的框架
[73:35] 现在目前看起来是能够被模拟出来的
[73:40] 确实能够被模拟出来的
[73:42] 然后这也是我为什么
[73:44] 我自己玩OpenCode的第二天
[73:46] 我就开始让他去
[73:48] 当时我在家嘛
[73:50] 然后我就让我家里边的每个人
[73:52] 就我爸爸我妈妈
[73:53] 然后我老公
[73:54] 然后每个人都有一个自己的sub-agent
[73:58] 我们打到一个分数群
[73:59] 每个人也可以自己跟自己的独立的sub-agent去聊天
[74:02] 让他自己进化
[74:04] 然后我就会在那个群里面委派一个任务
[74:07] 给他们的sub-agent
[74:09] 让他们赶
[74:10] 然后因为我们的context是不一样的
[74:12] 然后让他干确实的
[74:13] 因为他有更好的context
[74:16] 所以他会干得更好
[74:18] 也就是这样一个很粗浅的尝试
[74:21] 我相信就是这个事应该
[74:23] 就同样很简单的事情
[74:25] 它换到一个更高复杂度
[74:27] 更有创造力的场景
[74:29] 只要模型的能力跟硬件框架本身在进化
[74:31] 应该也是可能做到
[74:33] 我想到刚才有一个点
[74:35] 就是关于框架
[74:36] 你要不要有一个完整的标说
[74:38] 就是智能体育框架
[74:39] 智能体育框架
[74:41] 其实智能体育框架我认为是一个
[74:43] 现在就有很多形容词去形容它
[74:46] 比如说Harris, Scaffold
[74:49] 然后还有一些其他形容词
[74:51] 就我没有特别去专注说
[74:54] 哪个形容词是更准确的
[74:56] 然后我更关注的是
[74:58] 这个框架本身它带来的一些差异化的优势是什么
[75:03] 然后就比如说
[75:06] 我认为一个非常好的框架
[75:08] 它其实应该是去
[75:13] 尽量去弥补在行动上的缺陷的
[75:17] 很多东西都是在弥补行动上的缺陷
[75:20] 就比如说很好Memory系统是弥补行动上的缺陷
[75:23] 然后接入到了更多的广泛的message的channel
[75:27] 是弥补行动上的缺陷
[75:29] 然后以及它更主动
[75:32] 不管是定时任务的主动
[75:34] 还是它有些其他方式
[75:36] 一些主动的设计
[75:37] 以及它自我去更新迭代
[75:39] 其实这些都是在弥补行动上的缺陷
[75:42] 因为大模型是你给它
[75:45] 不管是你给它越好的context
[75:49] 它肯定执行的效果越高
[75:52] 所以你要是能把这些它获取不到的context
[75:55] 这些行动上的context都给它
[75:58] 那么它肯定会完成的更好
[76:00] 所以这是我看一个好的框架的时候
[76:04] 我会看它有没有这些要素
[76:06] 当然这里边还有一个很关键的一环是
[76:12] 是评估
[76:13] 就是一个好的框架本身
[76:15] 它确实是需要有一个很好的
[76:17] 可泛化的一套评估体系的
[76:19] 这样它才可能自迭代
[76:22] 这里边是
[76:23] 现在也有的评估体系其实都非常的简单
[76:26] 它只是为了防止它
[76:28] 不出致命性的错误
[76:31] 那么怎么有一个更有泛化力的一套评估体系
[76:36] 然后来促进这一套框架自迭代
[76:39] 其实现在是把最高阶段那一群人当评估
[76:43] 就是你交给它一个更难的任务
[76:47] 更高价值场景的任务
[76:49] 然后它完成不了
[76:50] 你会给它提供补充信息嘛
[76:53] 然后你也会给它指出来哪错了
[76:56] 然后push它
[76:58] 经过更多人的教会能把这个任务给完成
[77:01] 所以其实本身上现在是这群人在当评估
[77:04] 但是这个评估会慢慢的
[77:06] 被框架吸收
[77:08] 框架会设计很多东西来确保
[77:12] 在某些确定的场景我们能凭准
[77:15] 同时也会被模型能力吸收
[77:17] 就模型会学会像人一样
[77:19] 当我采用这个方法或思路做到这儿瓶颈的
[77:23] 或者说怎么怎么样
[77:24] 它会自己采取另外一种思路
[77:26] 或者说自己去反思
[77:28] 就像人一样去反思
[77:30] 当然了它是不是接触它自己
[77:32] 还是它是去接触一个更super的agent
[77:35] 还是一个其它领域的agent
[77:38] 那都是有可能的
[77:40] 但这个是目前这些框架还没有太去
[77:43] 其实最近一个月已经有一些框架
[77:46] 在去关注这些事情了
[77:48] 因为在opencloud发了之后
[77:50] 就国内的很多团队都推出了类似的产品
[77:53] 你觉得他们有不同吗
[77:54] 比如说QQ团队有
[77:55] 你们团队有
[77:57] Kimi有
[77:58] minimax有
[77:59] 他们有什么不一样
[78:00] 我大概只试了一半
[78:02] 我觉得大同小异
[78:03] 就是让
[78:04] 就是让
[78:05] 这个大同小异真的就是让
[78:07] 让opencloud
[78:09] 变成一个lay chart的形态
[78:11] 让你去感受到
[78:13] 我还没有看到一个
[78:14] 我自己觉得
[78:17] 至少在改进的框架本身
[78:19] 我觉得你这种产品
[78:20] 你至少要去迭代框架本身吧
[78:22] 还没有看到一个
[78:23] 比opencloud开源社区进步更快的
[78:27] 因为opencloud开源社区进步太快了
[78:29] 然后我还没有看到
[78:30] 比这个开源社区进步的更快的
[78:33] 这样一个agent的框架
[78:35] 或者说产品出现
[78:36] 我还没看到
[78:37] 所以我宁愿用最新的opencloud
