[00:00] 就是蒋曾国藩从20多岁是一个儒家清流
[43:00] 好像想做那个技术大脑的公司另一类是有肢体的公司就有车有很多的车能开在路上
[43:06] 那金银东和特斯拉如此的不一样他在那一刻能做什么样调整呢
[43:10] 他又不能马上说我要变成一个车企
[43:12] 我觉得倒不是说调整到一个车企的状态而是就是在做自动驾驶软件
[43:18] 自动驾驶系统的这件事上面
[43:20] 我们以什么样的方法论
[43:21] 什么样的底层逻辑去指导我们的系统设计
[43:24] 是Robotics的
[43:27] 去设计
[43:28] 还是AI native的去设计
[43:30] 就这个跟我们是不是一个
[43:33] 车企
[43:33] 还是是不是一个自动驾驶企业没关系
[43:36] 就事实上你看
[43:38] 很多国内的这个
[43:39] 自动驾驶的这个制作大脑的企业他也可以很
[43:43] 就是用特斯拉那种方式我就是AI native
[43:45] 然后就是Data Driven
[43:46] 坚定的走Data Driven
[43:48] 然后不断的去把Ubase的东西
[43:50] 越搞越少
[43:51] 然后去完成这个过程
[43:53] 他现在完成了没有
[43:54] 为什么
[43:55] 现在肯定比之前好
[43:57] 好的多的多
[43:58] 但是具体的我也不是很清楚了
[44:00] 但他这个转换过程是很慢的
[44:02] 转换过程是比较慢的
[44:03] 所以其实我觉得vmall是可以做的更快
[44:05] 但今天vmall的这个结果又很好
[44:09] 所以我又很佩服
[44:11] 为什么呢这是
[44:12] 我觉得还是就是说
[44:14] 这个这个
[44:15] 他对于长期的这个战略的这个
[44:18] 一旦选择了之后
[44:19] 他的执行是很坚定的
[44:21] 然后同时里边还是有对的人
[44:23] 只是调整的速度慢了一些
[44:25] 但是他是在调整
[44:27] 你怎么看vmall的商业模式
[44:31] 其实我觉得自动驾驶这里边有这么几种商业模式
[44:34] 就是我们说自动驾驶的这个概念下有这么几种商业模式
[44:40] 第一种商业模式呢其实就是vmall这种代表的robotaxi
[44:44] 那他们相当于是我自己运营车队
[44:47] 以自动驾驶技术
[44:49] 然后我运营车队
[44:50] 然后呢这个
[44:52] 这个通过提供服务的形式
[44:54] 然后呢去赚每单的这个费用
[44:57] 然后呢
[44:58] 第二种模式呢是像
[45:00] 车企
[45:01] 这样的他卖车然后把自动驾驶作为一个
[45:05] 软件
[45:07] 订阅
[45:07] 的形式
[45:08] 向你向你收费
[45:10] 然后第三种模式呢是像比如说像momenta
[45:14] 这样的供应商
[45:15] 那么他其实是NRE加license
[45:18] 向这个车企
[45:20] 提供自动驾驶的解决方案
[45:22] 其实还有第四种我觉得我觉得可能华为算是第四种
[45:25] 他是介于车企和那个
[45:28] 供应商之间
[45:29] 供应商之间的
[45:30] 我觉得他本质上其实还是在这个车企这个层面就赚的整车的利润
[45:36] 他通过
[45:37] 这个
[45:38] 更好的自动驾驶体验
[45:39] 顶级的自动驾驶体验
[45:40] 和顶级的座舱体验
[45:42] 重新定义了车
[45:43] 然后再加上他自己的品牌和渠道影响力
[45:45] 我觉得他的
[45:46] 整个的
[45:47] 营收和利润是建立在整车这个层面
[45:50] 所以你觉得vmall的商业模式能走通吗
[45:54] 我觉得我觉得他是商业模式本身是没问题的
[45:56] 只不过在走空的过程中
[45:58] 他
[45:59] 就是
[46:00] 需要克服的这个这个这个困难和阻力
[46:03] 然后这个周期
[46:04] 是非常长的
[46:05] 直到今天为止我觉得已经算是看到那个走通的曙光了
[46:09] 我觉得vmall和特斯拉他这两条路线现在有
[46:12] 胜负手
[46:13] 一个是走的是这种我觉得科学驱动
[46:16] 然后另外一个走的是更工程驱动
[46:18] 一天就有很多的车在路上跑然后搜集很多的数据
[46:22] 这两条路线
[46:23] 今天
[46:24] 能说哪条路线是正确哪条路线是错误的吗
[46:26] 明白
[46:28] 首先我
[46:28] 我觉得vmall
[46:29] 不算是科学驱动
[46:31] vmall的工程基因非常非常的强
[46:34] 就是vmall的工程化基因和特斯拉的工程基因
[46:37] 我觉得是一样强的
[46:37] 因为vmall的工程基因来自于Google
[46:39] 我自己的
[46:41] 工程师这方面的训练
[46:43] 我觉得就是在Google vmall这个体系里面完成的
[46:45] 所以我倒不觉得
[46:46] vmall是个科学的公司
[46:48] vmall非常的工程
[46:49] 只是呢就是说
[46:52] 我觉得他们俩的区别还是在于就是
[46:54] 对待AI的态度上
[46:56] 以及
[46:57] 面向
[46:57] AI的
[46:58] AI驱动的整体的系统设计的调整速度和力度上面
[47:02] 它都不一样
[47:03] 我觉得主要还是来源在这
[47:05] 你能不能一盘一下vmall的未来
[47:08] 我觉得vmall
[47:10] 我那个去年的
[47:12] 11月份
[47:14] 我就是回到美国嘛
[47:15] 然后我特地去LA
[47:17] 因为我没去三番
[47:19] 没在
[47:20] 没在LA做过因为我看那个
[47:22] vmall在LA开通服务了
[47:24] 我去做了一下我觉得体验特别好
[47:26] 然后呢确实是已经做到了
[47:28] 比大部分Uber要好得多的体验了
[47:30] 所以我觉得它的商业模式已经算是
[47:33] 就是接近走通的这个边缘了
[47:35] 它是一个AI时代的Uber
[47:38] 应该是
[47:39] 它运营的范围很广
[47:40] 它是从
[47:41] 这个
[47:42] 洛杉矶Downtown
[47:43] 然后到好莱坞
[47:45] 然后一直到Santa Monica这一大片全都在运营
[47:48] 所以你在vmall期间做了哪些工作以及你学到了什么
[47:51] 有哪些重要的learning
[47:52] 我当时在vmall我主要做的还是就是预测感知
[47:57] 这块
[47:58] 我先去做的其实是预测
[48:00] 因为当时正好有一个机会就是
[48:02] 传统的自动驾驶的预测,预测是干什么,预测就是说
[48:06] 我要预测
[48:07] 我周围的行人和车辆
[48:09] 他下一步会干什么
[48:10] 我得大概预判出他要干什么,我才能决定我自己要干什么
[48:14] 而且本质上这也是一个交互
[48:16] 和博弈的一个过程
[48:18] 然后呢
[48:19] 所以我当时就
[48:21] 刚进vmall
[48:21] 然后呢这个领导说有这么一个机会
[48:24] 那我就
[48:25] 我就觉得挺好的我就开始去做
[48:27] 然后当时呢
[48:28] 我们去尝试用
[48:29] 这个
[48:30] 肯定是用AI的方式
[48:32] 去做这个预测
[48:34] 之前呢其实也有人尝试
[48:36] 之前用AI的方式做预测
[48:38] 这个方法呢不太对
[48:40] 方法是什么呢就是说他先把地图渲染成一张图片
[48:44] 然后用卷积神经网络
[48:46] 去处理这张图片
[48:48] 带来的问题是什么
[48:49] 带来的问题就是
[48:51] 卷积神经网络它是
[48:52] 它是一个局部视野
[48:54] 但是地图这个东西它是很长的
[48:57] 所以它就会导致
[48:58] 它的信息的这个处理不够好
[49:00] 在当时我们做的一个创新吧
[49:03] 就是说我们用图神经网络的方式
[49:05] 那去
[49:06] 把
[49:07] 地图
[49:08] 变成用向量去表达
[49:10] 而不是把地图渲染成一张图片
[49:12] 就把地图变成向量
[49:14] 然后把向量放到图神经网络里面
[49:17] 去做处理
[49:18] 这个图神经网络当时我们用的最基础的算子就是这个self-attention
[49:22] 其实当时也是参考了Transformer里面这个self-attention的设计
[49:25] 但是没有搞它那么重的架构
[49:28] 但是还很轻的一个因为给我们算力也很小
[49:30] 做了很轻的架构
[49:31] 做self-attention
[49:33] 然后后来就发现这个效果很好
[49:34] 然后这个工作就当时我跟
[49:37] 赵航我们俩一块做的
[49:38] 你们第一次合作
[49:40] 对第一次就是联合创始人
[49:42] 对对对第一次合作
[49:43] 然后我们一起把这个东西发了
[49:45] 我觉得这个
[49:46] 对于我来说也挺好的因为
[49:48] 我觉得它确实是我觉得做的这个工作
[49:52] 这份工作我觉得还不错
[49:53] 然后呢确实解决了一个之前没有解决的问题
[49:57] 而且
[49:57] 事实上后来也有很多的这个公司
[50:00] 使用我们这个方法
[50:02] 所以我觉得这个还是比较满意的工作
[50:04] VectorNet
[50:05] VectorNet
[50:07] 赵航回忆这个事情的时候他说
[50:09] 你让他印象很深的一个点
[50:11] 就是
[50:12] 当时你们在想这个怎么设计就是规划怎么做
[50:15] 然后
[50:16] 他的传统的思考方式是他可能去把paper读一遍
[50:19] 但是你说周末我去看一看我们代码库
[50:22] 就是我把我们的代码全部看一遍就知道了
[50:24] 他的这个印象很深
[50:26] 对我是
[50:27] 我确实喜欢看代码
[50:29] 然后呢
[50:30] 而且我不仅喜欢看
[50:32] 就是说现在的代码
[50:33] 我喜欢看过去的代码
[50:35] 然后我就看从过去看到
[50:37] 看到
[50:37] 那个这个最近然后再看到现在
[50:39] 就这个过程你能看到一个人的
[50:42] 就是一个一个工程体系的迭代的
[50:44] 这里面是有逻辑
[50:45] 很多号的
[50:46] 我是比较喜欢看这个事
[50:48] 你当时有意识到你跟赵航有什么不同吗
[50:51] 在那个合作过程中
[50:54] 我觉得
[50:56] 我们就说
[50:57] 就是在技术上面
[50:58] 比如赵航的思考的问题的方式呢就是他
[51:03] 更愿意从原理层面
[51:05] 去想清楚
[51:06] 这个事应该是怎么回事
[51:07] 我呢更从问题的角度
[51:09] 去看
[51:10] 这个
[51:11] 解决这个问题的方法
[51:12] 最有效的
[51:13] 应该是啥
[51:14] 就是一个是我觉得从如果我们从现在
[51:18] 创业就是一个是可能更多的是供给侧思考
[51:20] 一个是需求侧思考
[51:22] 我觉得这个是一个
[51:24] 不一样的
[51:25] 我觉得这也是一个互补
[51:27] 他是一个什么样的人
[51:29] 他很nice
[51:30] 很nice是一个很好的评价吗
[51:32] 我觉得是很好的评价
[51:35] 我有的时候脾气还会招急呀
[51:39] 他永远
[51:40] 超稳定
[51:41] 情绪超稳定
[51:43] 有的时候我
[51:45] 就是会
[51:47] 比如说一些事不及预期的时候我会强力的去push
[51:50] 然后去推动
[51:52] 然后赵航会就是他内心也着急的
[51:55] 但他我觉得他
[51:56] 在外在上面他会
[51:58] 比我做这点做得更好
[52:00] 你在vimeo的时候会这样吗
[52:01] 非常push
[52:02] vimeo的时候轮不到我push
[52:04] 我就是一个小公司然后
[52:06] 那我就push我自己吧
[52:08] 然后后来我开始逐渐带团队
[52:11] tech lead
[52:11] 但是vimeo那个环境下
[52:13] 他就是
[52:14] 他不鼓励应该
[52:15] 不鼓励
[52:16] 所以我也只能在那个框架下去做事
[52:20] 所以你对你在vimeo的工作满不满意
[52:23] 我满意的
[52:24] 对我挺满意的而且
[52:25] 我觉得我是特别感谢vimeo给我这个环境去学习
[52:30] 我觉得
[52:31] vimeo让我学到的应该比我对vimeo的贡献要多
[52:34] 我觉得我最重要的学到的东西
[52:38] 第一个就是从知识层面的
[52:40] 就是自动驾驶
[52:42] 整套系统是怎么work的
[52:44] 不仅仅是端测
[52:45] 还有云测
[52:46] 是怎么work
[52:47] 然后以及它的历史沿革是什么
[52:50] 整个这个系统我都老有个概念了
[52:53] 然后呢
[52:54] 从技能层面
[52:55] 我觉得让我得到了很好的训练
[52:57] 就是说这个工程
[52:59] 工程师应该怎么做
[53:00] 什么叫工程师的思维
[53:02] 我觉得是在那个时候我逐渐就定型了
[53:04] 什么叫工程师思维
[53:05] 工程师思维就是拆解加测量
[53:08] 就是把一个复杂的问题
[53:10] 拆解成做干个
[53:12] 这个这个稍微不那么复杂的子问题
[53:14] 然后再拆解再拆解
[53:16] 你写代码
[53:17] 或者解决工程师的这个做软件工程这样的一个领域的话
[53:23] 拆到最后就是一行一行的代码
[53:25] 测量到最后是什么是一个单元测试
[53:28] 然后再一层一层回去
[53:29] 然后你看你顶层的这个指标
[53:31] 看你
[53:32] 中间层的指标
[53:33] 看你最底层的指标
[53:34] 然后整个系统是怎么运转起来的
[53:36] 这跟你物理竞赛一样吗
[53:40] 有一点不一样
[53:42] 我觉得有一点不一样
[53:43] 物理竞赛嘛其实我觉得更多的还就是一个解题的
[53:46] 游戏
[53:47] 然后呢
[53:49] 它不是一个系统化的一个工程
[53:51] 更多的还是就是这个题映射到这个指示点
[53:55] 这个题映射到这个考点
[53:56] 然后一套一套
[53:57] 方法过去
[53:58] 但我觉得就是说
[54:01] 物理竞赛也好读博士也好还是做公平试也好我觉得逻辑思维能力都特别强
[54:05] 要求都特别高
[54:07] 所以我也是
[54:08] 通过这几件事训练逻辑思考的这个能力
[54:12] 你是ENTJ对吧
[54:14] 应该是做过一些测试
[54:17] 你是在什么情况下决定要从威某离开的
[54:23] 当时是
[54:24] 20年的
[54:26] 下半年了
[54:27] 18到20在威某
[54:29] 19年年初
[54:30] 19年1月份
[54:31] 加入的
[54:32] 然后到20年下半年那个时候我就觉得
[54:35] 就是
[54:36] 刚才我说的这几件事
[54:37] 自动驾驶这个系统
[54:38] 感觉也学得差不多了
[54:40] 然后呢
[54:41] 我想做的一些
[54:42] 我自己还比较满意的工作我就也做了
[54:44] 然后呢工程师的这些训练
[54:47] 我觉得
[54:48] 那个时候我写代码写得也很多
[54:50] 我觉得我也差不多了包括
[54:52] 写代码包括怎么review代码
[54:53] 然后怎么去做整个design
[54:55] 包括当时也
[54:56] 开始带一个小团队然后去做
[54:59] 一些这个这个系统的设计带团队拿结果
[55:02] 所以我就开始想
[55:05] 我觉得在这边的这个
[55:08] 成长的这个效率
[55:09] 就逐渐就是收敛了
[55:11] 所以我得
[55:14] 想我下一步
[55:15] 然后同时呢我也意识到了几个问题
[55:18] 就是
[55:19] 我在威某做
[55:21] 我更多的还是做一个技术做工程师
[55:23] 我离产品太远了
[55:25] 然后我离
[55:27] 公司是怎么经营的这件事太远了
[55:29] 所以我就觉得我得
[55:31] 同时
[55:32] 我不是之前就说嘛我就想创业啊一直
[55:34] 心里面就琢磨着什么创业啊
[55:37] 拆解创业先学了一个自动驾驶系统
[55:40] 这是第一课对吧
[55:41] 这个东西
[55:43] 应该被归纳为叫物理世界AI系统
[55:45] 应该怎么去打
[55:46] 物理世界AI系统
[55:48] 然后
[55:49] 然后怎么做工程师然后怎么带一个小团队
[55:52] 拿到一个系统结果
[55:53] 这些事我觉得都
[55:55] 都训练的差不多了
[55:57] 嗯
[55:58] 然后呢我就该想我的我的下一步是什么了
[56:01] 当时我就想我第一个想做产品
[56:03] 对
[56:04] 然后第二个呢
[56:05] 我觉得我要进一步的被创业过准备
[56:08] 然后呢我创业我估计是在国内
[56:10] 我得回国
[56:11] 大概就盘了盘这几个事
[56:13] 然后呢所以我就想
[56:15] 第一我要做我继续做自动驾驶
[56:17] 但是我不坐车我得做量产
[56:20] 然后呢当时我确实看好量产的这条轨迹能够更快的产生产品价值
[56:25] 给用户创造价值
[56:27] RoboTaxi这个还是太慢
[56:30] 然后第一个做量产
[56:32] 第二个服务
[56:33] 然后
[56:34] 当时符合这个条件的国内就是华为
[56:37] 蒙曼塔
[56:39] 你也可以去车企啊
[56:40] 魏小李
[56:41] 没错没错但是呢那个时候我觉得
[56:45] 我又想去一个就是说
[56:48] 自动驾驶能力更强的一个或者是AI能力更强的公司吧那个时候我觉得
[56:53] 包括未来啊包括
[56:55] 理想啊
[56:57] 好像没有那么强吧
[57:00] 在那个时间点
[57:01] 然后
[57:02] 然后所以小鹏在做
[57:04] 对小鹏在做
[57:05] 是的小鹏在做
[57:06] 那我就觉得小鹏已经做的还行了
[57:08] 我应该也没啥机会了
[57:11] 我是喜欢去
[57:12] 不行的地方
[57:13] 然后然后把一个东西
[57:14] 做好的
[57:15] 如果你特别想做产品的话我觉得大部分人还是非常渴望做一个2C的产品的
[57:21] 去蒙曼塔意味着你做的其实是个2B的产品
[57:23] 对我觉得在这里边我对产品的定义不是说
[57:27] 2C的这个才叫产品
[57:29] 而是说我想做一个直接能够
[57:31] 能够给某一些用户创造价值的
[57:34] 他让他用起来
[57:35] 这个在我定义里边就是
[57:36] 2B也行
[57:37] 2B也行
[57:38] 就是产品了
[57:39] 这个有的人不一样有的人非得是2C才能叫产品
[57:43] 是的我就是反正我就是想想创造
[57:46] 现实
[57:47] 世界的实际价值
[57:49] 然后
[57:50] 是这样的一个想法
[57:52] 当时就是华为和蒙曼塔
[57:54] 然后都聊了是吧
[57:56] 对对
[57:57] 华为当时就是跟这个陈一伦一伦师兄
[58:00] 也是我
[58:01] 这个电子系的师兄嘛
[58:03] 然后
[58:04] 我当时跟这个
[58:06] 苏老板苏青
[58:07] 都聊过
[58:08] 然后蒙曼塔就是跟
[58:10] 孙刚啊旭东啊聊
[58:11] 对
[58:12] 然后来我还是觉得
[58:13] 去蒙曼塔比较好
[58:14] 为什么
[58:16] 我觉得首先就是说
[58:18] 蒙曼塔我比较确认这应该没大公司病
[58:22] 然后呢
[58:23] 旭东够强
[58:24] 够强势
[58:25] 你喜欢强势的人
[58:27] 我觉得是这样
[58:29] 我觉得一个组织要成功
[58:31] 必须要
[58:33] 他可以犯错
[58:34] 但是得有一个人说我们错了
[58:36] 然后我们改
[58:37] 对但是不能
[58:38] 说没有人站出来说我们错了
[58:40] 对
[58:41] 所以得有一个人能纠错
[58:43] 我觉得这个东西在我们要做的这件事里面足够重要
[58:47] 然后呢
[58:49] 那我觉得我觉得旭东他
[58:51] 懂技术
[58:52] 非常懂技术
[58:53] 然后AI的这个
[58:54] 信仰者
[58:55] 然后呢这个这个
[58:57] 他的长期的这个这个目标
[58:59] 也非常坚定
[59:00] 然后整个团队其实
[59:02] 我觉得因为之前也有一些
[59:04] 在上汤的时候也认识一些
[59:05] 包括思博呀
[59:06] 晋美呀就上汤的时候也都认识
[59:08] 所以就就聊的比较好
[59:10] 然后我们老师就去蒙曼塔去了
[59:13] 我问他是一个什么样的文化
[59:16] 绝对的我觉得是
[59:17] 我是很适应的我也很喜欢那个那个那个那个
[59:20] 感觉跟你非常对味
[59:22] 是吧就是结果导向
[59:24] 然后那个结果导向
[59:26] 然后的话呢占卜文化
[59:28] 有做什么比较极致的事情吗
[59:31] 你说蒙曼塔还是我
[59:33] 蒙曼塔
[59:34] 我觉得M一直是比较
[59:36] 我就从结果来看
[59:39] M从
[59:40] 18年开始
[59:41] 对吧那个时候就明确的提出要做量产自动驾驶
[59:45] 然后通过量产自动驾驶
[59:46] 然后这个飞轮
[59:48] 对吧然后走向robotaxi
[59:49] 这我觉得很有为神的
[59:51] 一个一个判断
[59:52] 在18年那会啊
[59:54] 18年那会大家还是
[59:55] 说过我直接搞
[59:56] robotaxi
[59:57] 那个时候包括vimeo都是这么说的
[59:58] 类似的公司在国内可能就是pony ai对吧
[60:01] 对pony ai和文远都是都是
[60:03] 就是vimeo的这个
[60:04] 故事路径嘛
[60:06] 包括百度
[60:07] 然后那虚通感
[60:09] 就是说我通过量产去
[60:11] 走这条路
[60:11] 我觉得本身
[60:12] 在那样呢就我们要有那个时间的
[60:15] 站在那个时间点去思考这些问题
[60:17] 我觉得很有为神
[60:19] 也很有魄力
[60:20] 对然后而且很坚定你一直一直
[60:23] 这么去说一直这么去搞
[60:25] 啊
[60:26] 那
[60:27] 那我觉得他一直能去做这件事本身就极致了
[60:30] 然后在这个过程当中
[60:31] MOMENTA也有很多次的组织的迭代
[60:34] 从一个偏
[60:36] 科研的偏research
[60:38] 转向一个偏
[60:39] 面向
[60:40] 产品的
[60:41] 然后在面向产品交付的过程当中把自己的工程的这个体系
[60:46] 又逐渐打磨出来
[60:47] 然后呢
[60:48] 又把
[60:49] 一次成功的交付复制到
[60:51] 几十次今天可能都有一两百次
[60:55] 车型的这个交付了
[60:56] 这就是他每一步
[60:57] 其实都是在
[60:58] 不停的迭代自己
[60:59] 我觉得只要
[61:01] 是一个能够不停的迭代
[61:03] 永不满足的
[61:05] 其实都是追求极致的一种表现
[61:06] 他为什么想追求量产
[61:08] 这条路走到robotex
[61:10] 这个背后的逻辑是什么
[61:11] 我觉得还是就是说大家都是AI的
[61:15] 这个believer嘛
[61:16] 那AI是什么
[61:17] 怎么走过去
[61:18] 对就是data driven
[61:19] 因为AI它一定是需要数据的
[61:21] 那我们要解决第一个问题就是数据从哪来
[61:23] 如果我们简单去算的话
[61:25] 说
[61:26] 我自己养一个车队
[61:28] 100台车
[61:29] 1000台车
[61:30] 1000台车已经很多了
[61:32] 那1000台车
[61:34] 我要去把一个城市覆盖掉
[61:36] 其实都很困难
[61:37] 更不要说全国这么多的城市
[61:40] 可是我们最终要解决的这个自动驾驶问题就是哪都能开哪都能跑嘛
[61:45] 那你首先要解决的就是
[61:46] 去怎么样才能获得
[61:48] 所有地方的数据
[61:50] 那就很自然的推导就是说
[61:52] 县城呢
[61:53] 就是2台车嘛
[61:54] 有这么多辆产车
[61:56] 那我要
[61:57] 去把这个
[61:58] 我的自动驾驶的这套软件
[62:00] 先装到我的
[62:01] 这个辆产车上面
[62:03] 然后通过这样的方式
[62:04] 给客户提供了价值可能这个价值开始不是端到端的完全的自动驾驶
[62:09] 那可能是一部分辅助驾驶也好
[62:12] 泊车也好
[62:13] 至少大家用起来了
[62:14] 有了这个价值
[62:15] 这样形成了数据和商业价值的循环
[62:18] 这样这个数据的获取就变成了一个商业驱动的行为
[62:21] 那我数据有了
[62:22] 我AI的算法和能力
[62:24] 自然而然
[62:24] 会有
[62:25] 你当时加入的时候还处于哪个阶段
[62:28] 我想想
[62:30] 刚开始要做第一个辆产交付
[62:32] 对20年
[62:34] 年底他们
[62:35] M10拿下了就是上汽
[62:37] 的制挤那个项目
[62:39] 然后21年这一年就是要做
[62:41] 就是做交付
[62:43] 所以我我觉得这时间点也特别好那我就是
[62:47] 一来就是做我想做的事
[62:49] 就是做辆产
[62:50] 就是做交付
[62:51] 然后这个过程里面呢
[62:52] 我觉得我也挺幸运的
[62:54] 就是拿到机会很多
[62:56] 就是把各种各样的事都做了一遍
[62:59] 当时的困难会是什么呢
[63:01] 在那个时间点
[63:02] 你说是对于我的困难还是对于MOMENTA的困难
[63:07] 我觉得
[63:08] 第一次做
[63:09] 量产
[63:11] 自动驾驶
[63:12] 且向弊端客户交付
[63:14] 这是两个第一次
[63:16] 第一次是说
[63:18] 第一个第一次是
[63:19] 第一次要把一个demo级的东西
[63:22] 变成一个产品级的东西
[63:25] 第二个第一次是
[63:26] 要把一个
[63:28] 这个产品
[63:29] 像一个
[63:31] 大客户
[63:32] 弊端客户
[63:32] 交付
[63:33] 完成服务
[63:35] 这是两个层面
[63:36] 我觉得两个第一次都凑在一起
[63:38] 我觉得这个
[63:40] 过程确实是
[63:42] 我也是学到很多的
[63:43] 挑战是什么呀当时内部实际是
[63:45] 真实的挑战
[63:46] 这个文化是不是会变得非常大
[63:48] 如果从一个research文化变成一个交付量产的文化
[63:52] 其实我觉得
[63:53] MOMENTA的文化
[63:54] 在可能更早的一个因为之前也有过
[63:58] 就是说
[63:59] 绍兴离开
[64:00] MOMENTA的那个事情
[64:02] 其实那个事
[64:03] 就是驱动在
[64:05] 改变公司文化
[64:06] 的一个
[64:07] 动作在我的理解里面
[64:10] 然后
[64:11] 等于我不能
[64:13] 替他说
[64:14] 这是我的理解
[64:15] 他就是逐渐的要从一个research lab
[64:19] 变向一个真正做产品的公司
[64:22] 那么在这个过程当中
[64:23] 组织是一定要发生变化的
[64:25] 所以我觉得组织的变化是
[64:27] 在那个交付之前就已经发生了
[64:29] 如果没发生的话可能连那个定点项目都拿不到
[64:33] 那么正式开始去做这个定点交付的这个过程
[64:36] 是一个
[64:37] 就是真正的一个考验的开始
[64:41] 那么我觉得挑战就是说
[64:43] 这个
[64:44] 组织上
[64:45] 肯定是不ready的
[64:47] 你的整个的组织的这个
[64:50] 首先是说这个组织架构
[64:52] 可能
[64:52] 就不是面向量产的
[64:54] 这种设计的
[64:54] 然后
[64:55] 团队里边的这些
[64:57] 同学的能力
[64:59] 能力战
[64:59] 也没有匹配到
[65:01] 那种强度
[65:02] 所以呢在这个过程里面就是有
[65:05] 比较
[65:07] 频繁的
[65:08] 组织上的调整
[65:10] 然后呢
[65:11] 这个有的是主动的淘汰
[65:13] 有的是被动的淘汰
[65:14] 反正当时也是
[65:15] 人流动也很大
[65:17] 然后在这个过程当中我觉得这都是好事
[65:20] 这都是好事
[65:20] 因为你不通过
[65:22] 打仗
[65:23] 这样的形式你是没法洗礼
[65:25] 锻炼这个团队的
[65:27] 然后通过这样的一个方式其实把这个组织变得
[65:31] 变得变得变得变强了
[65:33] 然后
[65:34] 包括我然后
[65:36] 包括还有另外
[65:37] 几个都很不错的leader
[65:39] 在那个阶段里面我觉得都是成长特别大
[65:42] 然后逐渐的把这个事里做起来
[65:44] 你是当时引入的一条鲶鱼吗
[65:48] 我应该算是吧
[65:49] 我应该算是吧
[65:50] 徐东包括孙刚那个
[65:53] 对我的
[65:54] 使用呢
[65:55] 应该还是说就是说比较灵活的
[65:57] 我也接受这种
[65:59] 这种灵活的使用
[66:00] 开始是做感知
[66:02] 后来做
[66:04] 后来是做定位和
[66:06] 搏射系统
[66:07] 然后呢做
[66:08] 这个
[66:09] infra
[66:10] 然后infra应该同时做的
[66:12] 然后做那个
[66:14] 那个规控
[66:15] 然后做做做但是为什么我去做规控和定位啊都是因为
[66:21] 我们想把
[66:22] 规控和定位
[66:23] 从传统的rubes
[66:24] 变成deep learning的
[66:26] 那变成神经网络的
[66:27] 所以让我去搞
[66:29] 然后呢后来
[66:30] 我在M做最后一件事就是NVA
[66:32] 这个的量产
[66:33] 就是高速
[66:34] 高价
[66:35] 这个NVA系统的这个量产
[66:37] 然后呢把这个产品做完
[66:40] 然后交付给上汽
[66:41] 大概这就是我在M的这个过程
[66:43] 你能做到多极致
[66:45] 作为一条鲶鱼
[66:47] 首先我面对挑战
[66:48] 我是
[66:49] 比较那个
[66:52] 兴奋
[66:53] 兴奋
[66:54] 不会说
[66:55] 但是你说
[66:56] 我觉得任何人面对未知
[66:58] 都还是会多多少少有一点
[67:00] 那个那个
[67:01] 忐忑
[67:02] 忐忑
[67:02] 胆怯恐惧
[67:03] 这我觉得也都很正常
[67:04] 我也有
[67:05] 我也有
[67:05] 但我觉得压倒性的还是那个
[67:07] 这是
[67:08] 这是我想做的事我得去干
[67:11] 然后呢
[67:12] 在这个干的过程当中呢我觉得是我收获了一个很大的能力
[67:16] 不是我能解决规控的问题我能解决什么产品的问题
[67:20] 而是我收获能力是说
[67:22] 我可以很快
[67:23] 快速的
[67:24] 进入到一个我不熟悉的
[67:25] 领域
[67:26] 然后呢用一套固定的方法论
[67:28] 去理解
[67:30] 这里边这个事儿都是怎么回事
[67:31] 然后
[67:33] 把它做拆解
[67:35] 然后当时就因为
[67:38] 有团队嘛所以拆解的同时还有就是说把事拆开了
[67:42] 然后人事匹配
[67:44] 什么人跟什么事能配到一块
[67:45] 然后呢当然人事匹配也不是第一天就匹配好的
[67:49] 你要过程当中去监控这就测量了
[67:51] 然后看
[67:52] 反馈好
[67:53] 扩大
[67:54] 反馈的不好收缩再调整
[67:55] 就是这样的一套东西我觉得是
[67:58] 当时在转战多个模块和产品线的过程当中逐渐
[68:03] 就练出来了
[68:05] 你的那个面对挑战的兴奋的来源就压倒性的兴奋的来源你觉得来自于哪里
[68:11] 我觉得是我觉得
[68:13] 如果我能把这个事做成
[68:14] 我离我想去做的事最终我想达到那个目标我就进那一步
[68:20] 站在那一刻还是创业
[68:22] 创业
[68:22] 对
[68:23] 我觉得创业就是说如果连这事都做不好
[68:26] 我创业不能做的好
[68:28] 然后呢那我觉得这就是一个
[68:30] 我想到就是说创业肯定
[68:32] 公司方方面面的事
[68:33] 能不只研发了
[68:34] 哎呀就是
[68:35] 各种事我可能都得去去解决
[68:37] 那其实就是核心要锻炼出来的是
[68:41] 解决问题的能力
[68:43] 对然后当然解决问题的能力背后肯定还是有一些这个底层的思考方式和方法论
[68:49] 做支撑的那我得打磨这些东西
[68:51] 对所以当时我觉得
[68:53] 我兴奋的就是说
[68:54] 就是这个事
[68:55] 本身我很感兴趣
[68:57] 然后我也觉得很有价值
[68:58] 然后同时我觉得我可以去离我真正想去做的事并进一步
[69:02] 你觉得蒙本泰的不足是什么
[69:05] 我觉得在这个
[69:06] 其实M
[69:08] 历史上还是有很多特别好的人才的
[69:12] 然后那比如说为什么
[69:13] 没有把我留住
[69:15] 然后我出来创业了
[69:17] 而且在那个时间点
[69:19] 而且我从M出来创业我放弃了所有的期权
[69:22] 全都放弃了
[69:23] 有多少
