[00:02] 我觉得是可能是有史以来
[24:05] 不管是因为对这件事的相信
[24:07] 还是因为对这件事的焦虑
[24:09] 其实大家在这里面
[24:10] 其实所的竞争强度
[24:13] 其实都更大
[24:14] 甚至这个竞争强度更大
[24:16] 也会带来很多的泡沫
[24:17] 就是所以这个泡沫比例
[24:20] 比想象的要高一些
[24:22] 对然后第三点
[24:23] 我自己感觉整体大模型
[24:27] 其实它的对资源的消耗
[24:30] 其实还是比想象要更大的
[24:32] 就是总体我觉得都是更大吧
[24:34] 就是更快更大
[24:36] 对速度也更快
[24:38] 对就是这些更大
[24:40] 都是其实都是一件事情
[24:42] 不可能说它的强度更大
[24:43] 泡沫更小
[24:44] 这也不可能
[24:45] 在你看来泡沫体现是什么
[24:47] 在我看来泡沫体现是
[24:50] 是核心
[24:51] 可能很多方面
[24:52] 但一个是可能是一些公司的股价
[24:55] 还有一个其实是
[24:56] 核心一些研发人员的薪酬
[24:58] 就这两个至少是两个指标
[25:00] 因为你经历过AI的1.0
[25:03] 到现在他们的薪酬发展多少倍
[25:05] 对A1.0其实当时我们看
[25:08] 当时最比如我们就从硬件毕生角度
[25:11] 当时可能最贵的薪酬硬件毕生
[25:13] 一个是在我们这儿
[25:15] 一个是就AI行业
[25:16] 要不然可能就是去类似像
[25:19] 当时的金融或量化这些行业
[25:21] 所以就本账其实就是最热的
[25:23] 两个大的方向
[25:24] 现在我总体感觉可能
[25:26] 大概也是这两两类方向
[25:28] 一个还是AI大模型这些方向
[25:30] 还有类其实就是可能跟量化
[25:32] 甚至跟一些跟金融创新相关的一些领域
[25:36] 所以具体薪资我就不说了
[25:39] 大家在网上其实也看到很多美国那边
[25:41] 这总体我大概感觉就是人才上
[25:44] 基本上中国如果一个优秀的华人的同学
[25:46] 在中国和在美国基本就是人民币和美金
[25:48] 这样的一个同等packaging的水平吧
[25:51] 然后我觉得可能很多薪资
[25:53] 其实总体我就涨了5到10倍是有的
[25:55] XGB刚来的时候你的第一反应是什么呀
[25:58] 你是觉得我一定要all in了
[26:00] 还是说我要更旺
[26:02] 第一感觉跟我没什么关系
[26:04] 跟你没什么关系
[26:05] 对
[26:06] 为什么跟你没什么关系
[26:07] 你做AI这么久
[26:09] 对因为我觉得我们当时还是想做vision
[26:13] 就想做视觉相关
[26:15] 所以我们是沿着我们的机器人硬件相关的
[26:18] 所以当时我会认为会有基模
[26:20] 这些基模未来设计的人机交互的部分
[26:23] 最终可能会成为我们的一个组件
[26:25] 这个组件我们未来谁好我们用谁就行
[26:28] 这是最早的想法
[26:30] 后来会发现其实最近我觉得也验证这个点
[26:34] 其实我觉得其实很少有垂类模型
[26:36] 最后在AI的里面
[26:39] 可能都会被大的机座模型吸进去
[26:42] 所以就也不会分说我的视觉模型是一个独立的模型
[26:45] 我的语言是
[26:46] 其实所以多模态也是接约的一个核心的优势
[26:49] 所以最后是大一统的
[26:51] 所以就没有边界
[26:53] 所以你不可能单独去做视觉或做物理AI
[26:56] 所以你这些模型最后我认为要跟最核心的那个模型合在一体
[27:00] 所以大脑只有一个
[27:02] 你只能选择做还是不做
[27:04] 你当时会想大语言模型来了
[27:06] 把上一代AI也就是CV给颠覆了吗
[27:10] 我倒觉得没有
[27:11] 因为我们其实
[27:13] 在一点点的时候
[27:15] 我们这家公司知道我们是一个非常deep learning native的
[27:18] 所以我们第一天就是在做deep learning
[27:20] 所以这个技术我们包括看到
[27:22] 其实最早的一些大语言
[27:24] 国内的大语言模型的一些项目
[27:26] 我们都有深度参与
[27:27] 所以我觉得我们其实一直是这个推动者
[27:30] 所以我倒没觉得这个技术对我们来讲
[27:32] 就我一直相信的一个观点是连续性
[27:35] 没有什么颠覆性的东西
[27:36] 就如果颠覆
[27:37] 只是说你可能缺少了一些前序的信息
[27:41] 所以没有什么说这种颠覆感
[27:44] 但是它确实会量变到质别
[27:46] 所以就像节约函数一样
[27:48] 就是你在这个领域持续的累积之后
[27:51] 可能很多时候确实跟原来的认知是不一样
[27:53] 你觉得你来了以后会主导哪些新的不一样的地方
[27:56] 刚刚我们可能说了终端
[27:58] 我觉得第一个可能还是在
[28:01] 本身研发本身吧
[28:03] 对研发本身
[28:04] 我觉得其实还是需要有更强更快的组织战斗力
[28:09] 这还是蛮重要的
[28:10] 组织战斗力怎么提高
[28:12] 组织战斗力
[28:13] 我觉得可能跟组织形式还是比较相关吧
[28:15] 就比如说我讲一个算法工程这个单点
[28:17] 就算法工程这里面
[28:18] 其实原来我们其实算法工程
[28:20] 其实既有一些平台化的工程体系
[28:23] 同时我们的每个小组其实有一些小的算法工程体系
[28:29] 但是其实这两个会发现
[28:31] 其实都不足以支撑大模型这样一个工程体系
[28:33] 因为在每个研究小组里面的工程体系
[28:36] 其实它会发现它可能只能打打杂
[28:38] 就是它会去实现算法需要的一些小的工程点
[28:41] 而那些大工程平台
[28:43] 其实它因为要把有些软件产品
[28:46] 对外2B等等各这些工程都放在一起
[28:48] 其实它也比较难去非常好去支撑
[28:50] 所以我们其实比如上来就是设立了整合成了一个算法工程组
[28:54] 就这里面其实还是要能够更贴近算法的体系
[28:57] 但是要把系统工程和算法这些同学要融合在一起
[29:01] 这是工程角度
[29:03] 第二个其实比如讲数据
[29:05] 数据的话原来我们的数据是一个独立的体系
[29:07] 那现在这个数据的直接汇报
[29:09] 先汇报给了算法的相关的负责人
[29:11] 就因为其实
[29:13] 未来的数据其实是决定这个模型的最本质的
[29:16] 其实可能占了百分之七十到八十的
[29:18] 那要什么样的数据
[29:20] 怎么样去收集这些数据
[29:22] 怎么去清洗这些数据
[29:23] 其实是一定是算法的同学要能够非常深度去参与的
[29:27] 那第三点比如说
[29:28] 如果我们最终相信是一个one model
[29:31] 就是一个模型去覆盖所有的场景和领域
[29:34] 那其实它会要去拆解成可能很多很多的应用场景
[29:38] 比如说这可能是偏文本创作类的
[29:40] 这个可能是偏动态生存的
[29:42] 这个是偏
[29:43] 或者是偏
[29:44] 比如说陪伴类的
[29:45] 这些体系到底这些1加n的这些n
[29:48] 跟这个1之间怎么能够有个好的协同关系等等吧
[29:51] 这些我觉得都需要有好的组织来去协同
[29:54] 但最最关键
[29:55] 我觉得需要有更多优秀的人才
[29:57] 所以我觉得也希望街越能够吸纳更多更好的人才进来
[30:01] 因为我觉得街越其实不管是对AGI的坚定程度
[30:05] 还是对于商业化的
[30:07] 我觉得至少这个想得清楚的程度吧
[30:10] 我们都在大模型公司里我觉得还是很出众的
[30:12] 所以我觉得也相信它能够吸引到更多最顶级的人才
[30:16] 那如果是硬件开始要牵引模型
[30:19] 那硬件这个range就很广了
[30:21] 你们会第一款硬件选什么呢
[30:23] 前几款硬件选什么呢
[30:25] 我们第一个场景现在肯定还是在用车来牵引
[30:28] 所以就我们不管是我们质架里面
[30:31] 其实刚刚讲到用真正的质架里面的
[30:34] 不管是VLA的模型
[30:35] 多模态的模型
[30:36] 还是世界模型
[30:37] 这些的基模都源于其实千里跟街越的合作
[30:41] 所以这个其实是我们的第一个场景
[30:43] 而车的第二个场景是座舱
[30:45] 座舱其实是一个非常好的空间的人机交互场景
[30:48] 其实大家可能也看到像特斯拉里面
[30:50] 像Grok也上了车
[30:52] 所以这些大模型在车里面
[30:54] 作为一个超级助手
[30:55] 其实甚至我觉得比手机更顺
[30:57] 那这两个车的场景我觉得现在已经在落地
[31:00] 可落地的比较近的
[31:02] 对
[31:03] 那后面我们其实还是希望能够在一些
[31:05] 譬如说手持和穿戴式的设备上
[31:07] 来做这个创新
[31:09] 这个品类一定
[31:11] 不会是直接是一个手机
[31:13] 而是一些创新品类
[31:15] 我听说你们有一个联合项目
[31:17] 就是会把很多不同的数据都迅到大脑里去
[31:20] 就包括支架的数据
[31:22] 机器人的数据
[31:23] 和互联网这种软件上的数据
[31:26] 一起迅到一个大脑
[31:28] 这是你们最后的那个大脑的构想吗
[31:30] 对这个大脑是怎么想的
[31:31] 我觉得我们认为一定是数字空间的数据
[31:34] 和物理空间的数据都融合在一个模型里
[31:36] 其实这里面
[31:38] 其实Google的相关的像Demis这些人
[31:40] 也都有讲过
[31:41] 就是这里面我们是
[31:43] 也是有共同的一些belief吧
[31:46] 就是你会发现一个语言模型
[31:48] 看似它能解非常
[31:49] 比如能解数学国际竞赛的题
[31:51] 但你会发现它看来
[31:52] 一些基础的物理逻辑上都会出错
[31:54] 所以代表就是在真正对物理世界感知
[31:57] 和逻辑认知角度
[31:58] 这些是缺很大的内容的
[32:00] 所以这是为什么物理数据很重要
[32:02] 但是物理数据它能讲是缺乏的
[32:04] 不像互联网发展30年
[32:06] 尤其是机器人数据
[32:08] 对就是
[32:09] 我自己
[32:10] 我自己的一个大的感觉就是说
[32:12] 如果我们把物理空间的数据
[32:14] 因为人眼的数据
[32:15] 其实你可以以为是一个连续的视频流
[32:18] 那比如说像
[32:19] 其实支架这个大的场景
[32:21] 其实已经解决了很多偏大尺度的
[32:24] 就是室外空间的这样的一个物理数据
[32:26] 那现在其实可能很缺的
[32:28] 其实是更室内的
[32:29] 更精细化人家交互的这些数据
[32:31] 那原则上讲
[32:32] 这个数据可能会来自两个部分
[32:34] 要不然是来自以后来的
[32:36] 真正能够规模化商量的一些巨声的
[32:38] 一些平台收集的数据
[32:39] 还有一种
[32:40] 是可能来自于人的穿戴式
[32:42] 比如说你的眼睛和你的穿戴式
[32:44] 这里面如果能够感知你周围的数据
[32:46] 这些数据也是连续的
[32:48] 多传感情网络这样的数据
[32:50] 这些数据其实最终
[32:51] 它会跟这个产品本身形成一个迭代
[32:54] 就是你的产品得体验越来越好
[32:56] 量越来越大
[32:57] 它收集的数据会越来越多
[32:58] 所以整个物理空间的数据的收集和注入
[33:01] 还是需要有一个比较中长的途径
[33:03] 我觉得5到7年的时间
[33:05] 5到7年
[33:06] 这里面最难的应该就是机器人数据
[33:08] 对
[33:09] 最难的点是机器人本质
[33:10] 从它的构型的定义
[33:12] 传感器的定义
[33:13] 这些都还非常开放
[33:15] 包括它的模型
[33:16] 都没有到这个
[33:17] 我们如果按GPT3.5
[33:19] 作为一个临界点的话
[33:20] 现在可能是在GPT1 GPT2的水平
[33:23] 所以我觉得取生还是有点
[33:26] 有点early hit
[33:28] 就是说过早的热起来
[33:30] 但是我觉得当然这也会推动它
[33:32] 更快速的发展吧
[33:34] 我觉得同时呢
[33:35] 拥有这几类数据的公司非常少
[33:37] 但小米
[33:38] 对
[33:39] 肯定是一家
[33:40] 你怎么看小米这个竞争对手呀
[33:42] 为什么就是你们作为一个创业公司
[33:44] 能够去做这件事情呢
[33:45] 我觉得小米这些都不是我们军队
[33:47] 这些都是
[33:48] 跟我们提南完全不在一个量体
[33:50] 我其实刚才讲的
[33:51] 做硬件的核心是因为
[33:52] 做新的硬件是因为
[33:53] 它是一个比较分散的市场
[33:55] 就它不能够垄断
[33:57] 它有很多品类
[33:58] 所以我觉得我们
[33:59] 其实不管是跟小米
[34:01] 字节
[34:02] 包括华为
[34:03] 这些都是中国最优秀的科技公司
[34:06] 我觉得我们现在
[34:07] 完全谈不上竞争
[34:08] 我觉得我们更多还是认为
[34:09] 自己能在一些领域里
[34:10] 能够把自己的技术做好
[34:12] 商业能闭环
[34:13] 所以我觉得小米当然是
[34:15] 这个AI跟终端
[34:16] 可能最重要的
[34:18] 一个核心的一个玩家吧
[34:21] 我觉得从软的背景角度
[34:23] 最强的就是字节嘛
[34:24] 从硬件出发的话
[34:26] 我觉得可能最强的是小米和华为
[34:28] 所以你们是模型及硬件产品
[34:30] 对
[34:31] 算是这样吧
[34:32] 但有没有可能硬件产品
[34:33] 不需要那么大的模型呢
[34:34] 不会的
[34:35] 就是当你跟一个聪明人
[34:36] 打交道多的话
[34:37] 你是不想跟一个
[34:38] 这个笨的模型打交道的
[34:40] 所以我觉得模型一定是
[34:42] one takes all的
[34:43] 就是你的模型的智能性
[34:44] 往上之后
[34:45] 我觉得几乎所有的应用
[34:46] 都会用那个最强的模型
[34:47] 你现在投入到
[34:48] 监阅一周有多少时间
[34:49] 投入到千里一周有多少时间
[34:51] 我觉得很多设施融合的
[34:53] 所以不用特别强调
[34:55] 两边怎么划分
[34:56] 但我觉得就是
[34:57] 我刚才讲的
[34:58] 比如说其实整个这个大战略
[35:00] 是AI跟终端的结合
[35:02] 所以其实在模型上
[35:04] 我们刚讲的
[35:05] 比如说我们的模型
[35:06] 应用到车这个场景
[35:07] 我们的模型
[35:08] 我觉得就是
[35:09] 节约跟千里两边
[35:10] 最重要的结合的这些点
[35:12] 你和大新他们是怎么分工的
[35:15] 就是节约新城的CEO
[35:17] 大新就是CEO
[35:18] 董事长和CEO是怎么分工的
[35:20] 我自己感觉可能这个
[35:23] 可能我更多是会抓一些专项吧
[35:25] 就是比如说我们刚才讲的
[35:27] 其实大新还是综合来管节约的
[35:30] 所以日常的这些运营
[35:32] 还是被大新来管
[35:33] 但是我觉得比如说
[35:34] 刚才讲的这个计谋这件事情
[35:36] 的一些组织变革
[35:37] 和一些技术上
[35:38] 的一些攻坚
[35:39] 可能就我会跟大新一起来管
[35:40] 然后一些中端商业化角度
[35:42] 可能我会管得更多一点
[35:44] 你2026年核心要攻坚的专项是什么
[35:47] 我觉得第一点就是我们的
[35:49] 我们接下来大家会看到
[35:50] 我们一系列的模型
[35:51] 从3.5到4
[35:53] 我觉得首先我们还是把计谋
[35:55] 因为原来我们做动模态比较多
[35:57] 我们其实是希望
[35:58] 我们从语言模型角度
[36:00] 我觉得大家还是能看到
[36:01] 我们的语言模型
[36:02] 要做到世界一流水平
[36:04] 为什么现在要提语言模型的水平
[36:07] 因为我们其实认为几个判断
[36:10] 我们自己在模型测
[36:11] 我觉得我们有三个关键词
[36:13] 第一个我觉得从计谋角度的话
[36:16] 计谋means everything
[36:18] 就是基本上你不管是
[36:20] 什么样的模态的模型
[36:21] 其实都需要计谋的
[36:22] 核心智力的水平
[36:24] 所以计谋我觉得还是最重要的
[36:26] 所以展示计谋也
[36:28] 模量也是一个
[36:29] 我们展示技术能力的一个点
[36:32] 第二个叫全模态
[36:34] 就是我们认为动模态
[36:35] 一直是我们差异化
[36:36] 全模态其实包含文字
[36:38] 语音图像
[36:39] 这三个模态
[36:40] 其实我们认为在基本上
[36:41] 未来所有的模型上
[36:42] 一定是全模态的
[36:43] 因为你要做人机交互
[36:44] 要做很综合的感知
[36:46] 不管是数字空间
[36:47] 还是物理空间
[36:48] 都需要全模态
[36:49] 第三个关键我们叫VLA
[36:51] 其实你刚才也讲到
[36:52] 我们其实想把车的机器人的
[36:55] 甚至未来手机的
[36:56] 很多的这些终端的数据
[36:58] 这终端里面
[36:59] 就会有很多运动型部件
[37:01] 或者有很多要执行器件
[37:04] 那就是所谓的A
[37:05] Action的一部分
[37:06] 所以VLA我们也会成为
[37:08] 我们基于模型的
[37:09] 一个很重要的差异化
[37:10] 所以这三个我觉得
[37:12] 可能是我们认为
[37:14] 我们的模型
[37:15] 未来的一个核心定位吧
[37:16] 你觉得这个方向
[37:17] 和现在的大模型公司
[37:18] 或者大厂做模型的
[37:20] 不同是什么
[37:23] 现在大家是不是都趋同了
[37:25] 对于模型未来的方向
[37:26] 现在大家没什么差别
[37:28] 中国的大模型
[37:30] 基本上都在
[37:31] 大厂当然各自
[37:32] 比如字节是有一些
[37:33] 自己的判断
[37:34] 其他公司基本都在
[37:35] 卷编程的
[37:36] 这件事情
[37:37] 编程我觉得从两个角度看
[37:39] 编程首先从提升它的智能上
[37:42] 是有价值的
[37:43] 因为我们现在刚讲到
[37:44] 学习范式角度
[37:45] 我们现在是从
[37:46] 模仿学习到强化学习
[37:47] 而编程这个环境
[37:49] 是一个最好的强化学习环境
[37:51] 因为你想编程是一个有结果的
[37:53] 它能够判断对错
[37:54] 而且又很复杂的
[37:55] 这样一个场景
[37:56] 所以如果把编程
[37:58] 当成最好的强化学习的
[37:59] 这样一个垂类
[38:01] 我觉得是很好的
[38:02] 但编程本身
[38:03] 我自己感觉在商业化角度
[38:05] 价值非常有限
[38:06] 有限的意思是说
[38:07] 它本身价值非常高
[38:09] 但跟这些新公司
[38:11] 没什么关系
[38:12] 为什么呀
[38:13] 你觉得谁能收钱
[38:14] 我觉得中国可能都收不了钱
[38:16] 就是因为大厂首先
[38:17] 这块做的也不错
[38:18] 然后这边
[38:19] 从开源角度有DeepSeq
[38:21] 相当于它是一个
[38:22] 水位很高的一个开源体系
[38:24] 大厂本身又会把
[38:26] 中国的大厂的竞争
[38:28] 非常的激进
[38:29] 所以它也会把价格压得很低
[38:32] 同时编程这件事情
[38:33] 其实它也会跟它的
[38:34] 商业有环境
[38:35] 也很相关
[38:36] 所以编程这个赛道
[38:37] 就跟ChadBot这个赛道一样
[38:39] 新公司碰都没有任何意义
[38:42] ChadBot也很绝望是吗
[38:43] 在你看来
[38:44] 最后是豆包的天下
[38:46] 豆包元宝之类的
[38:47] 对
[38:48] 但坦真讲
[38:49] 我觉得ChadBot
[38:50] 可能不是一个
[38:51] 特别本质的
[38:52] 长期的AI的产品形态
[38:56] 为什么
[38:59] 我觉得它的交互很不自然
[39:01] 就是它是一个
[39:03] ChadBot是一个阶段性的成果
[39:05] 甚至我都觉得
[39:06] 它可能不是
[39:07] 搜索那样级别的东西
[39:09] 它只是模型的一个
[39:11] 如果你要问OpenAI的人
[39:12] 他当年读ChadGPT
[39:13] 可能更多的觉得
[39:14] 它是一个很好的demo
[39:16] 对吧
[39:17] 所以其实
[39:18] 如何用AI的大模型
[39:20] 去取代搜索
[39:21] 这是一个确定性的事情
[39:22] 但是它的产品形态
[39:23] 是什么样子
[39:24] 我觉得现在还并不是很明朗
[39:26] 你觉得不是ChadGPT
[39:28] 我觉得不是
[39:30] 我们说是不是
[39:31] 是说它往后看
[39:33] 比如看五年
[39:34] 它是不是还是
[39:35] 最主线形态
[39:36] 我觉得不是
[39:37] 是什么我也不知道
[39:38] 但只是我觉得
[39:39] 其实不是一个最自然的产品体系
[39:42] 你觉得ChadGPT
[39:43] 今天有足够稳固的护城河了吗
[39:45] ChadGPT本账是个C端的超级应用
[39:48] 它是
[39:49] 你看它的
[39:50] 不管从日活到月活都非常大
[39:52] 它是一个阶段性的产品
[39:53] 还是一个长期的产品
[39:55] 我觉得在境外可能是
[39:58] 但是并不稳固
[40:00] 最近看Gimli的整个的日活
[40:02] 起得非常快
[40:04] 所以
[40:06] 其实我觉得都还在过程中
[40:08] 现在没有谁有特别大壁垒
[40:10] 但你觉得ChadGPT不是一个
[40:12] 中级的产品形态
[40:14] 它是一个过渡性的
[40:15] 对
[40:16] 这里面是从两类
[40:17] 一个是从人机交互的方式
[40:19] 就是它还是
[40:21] 云更自然
[40:22] 对云可能更自然
[40:24] 或者说你在一个对话框里
[40:26] 当你打开一个应用上来是对话框
[40:28] 就是比较举个例的
[40:30] 其实在AIGC
[40:32] 我们其实包括豆包
[40:33] 其实AIGC尝试放了很多AIGC
[40:35] 放到这个聊天的对话框里
[40:37] 从数据看都不是很成功
[40:39] 是因为你觉得你在
[40:41] 在一个对话框里
[40:42] 去把AIGC的这些能力放进去
[40:44] 你会觉得交互上很不自然
[40:46] 所以
[40:47] 我觉得可能产品还在演进吧
[40:49] 但你们不会去follow
[40:51] 这个2C的软件这条线对吧
[40:53] 你们尝试过2C的这些产品
[40:56] 像猫猫鸭
[40:57] 你们未来还会做这个吗
[40:59] 我们不会独立做一个C端的应用
[41:02] 纯软件
[41:03] 如果我们做的这些软件
[41:04] 一定是跟我的硬件做配套
[41:07] 所以你们其实做了战略取舍
[41:09] 现在你们要以硬件为主
[41:11] 我认为是软硬结合
[41:12] 因为最终用户用的肯定都是软件
[41:15] 这个决定是在什么时候做的
[41:18] 我从第一天就这么想
[41:19] 第一天就想软硬结合
[41:21] 因为最终你做商业
[41:23] 其实还是说你的差异化在哪里
[41:25] 因为在AI的领域里面
[41:27] 我们其实过去这十来年
[41:29] 是一直在做软硬结合的产品
[41:32] 然后软硬结合也是我们的兴趣所在
[41:34] 所以我觉得最终核心还是
[41:36] 是做我们想做和能做的东西
[41:39] 所以我觉得可能创业
[41:41] 还是特别在大模型这个体现下
[41:42] 是需要有一些自己的独立判断
[41:45] 对 这个说的是接约这条线
[41:48] 然后你还有千里的这条线
[41:50] 我第一次看到你入主千里的新闻的时候
[41:52] 我在想为什么
[41:53] 这场战争好像你打了很久了
[41:55] 可能都快结束了
[41:56] 你怎么才来
[41:58] 对 我自己其实千里这场仗
[42:01] 是可能我们第一次打后发
[42:03] 原来我们真的都是
[42:05] 先发
[42:06] 先发 对吧
[42:07] 你们都做很快以前 对吧
[42:08] 对 都是从
[42:09] 先发的理念其实是从一个技术出发
[42:12] 然后技术上去
[42:13] 其实是一个推的模式
[42:15] 从技术的原技术创新
[42:17] 再去找场景
[42:18] 就拿着锤子找钉子这个场景
[42:20] 对
[42:21] 这个我觉得可能还是要
[42:23] 是要持续去做一些技术
[42:25] 技术上还是要持续做引领的
[42:27] 但是我觉得其实像支架这个场景
[42:29] 其实经历了可能十多年
[42:31] 快二十年的时间
[42:32] 我觉得其实原来其实反而是
[42:34] 从商业模式到技术路径都不明晰
[42:36] 比如说在技术路径上
[42:38] 但我不知道今天是不是还有人有质疑
[42:40] 但是其实我觉得是很清晰的
[42:42] 其实还是以模型驱动这条路径
[42:44] 就大家所谓的特斯拉路径
[42:46] 在上面当然会叠加一些新的传感器
[42:48] 叠加一些产品的设计
[42:50] 但这条路径已经我觉得比较清晰了
[42:52] 但其实之前其实有很多不同的
[42:54] 赛道
[42:55] 包括原来最早就是微墨
[42:57] 跟特斯拉这两条路线
[42:58] 当然这里面其实是过去
[43:00] 这已经基本比较融合了
[43:01] 就是很多底层还是以模型为驱动
[43:04] 而且这个模型其实跟整个大模型的
[43:06] 圆模型也做了融合
[43:08] 所以AI最后的大脑部分
[43:10] 其实在走向统一的
[43:12] 所以技术上其实我觉得
[43:14] 做了很多轮迭代
[43:15] 所以原来的技术的很多东西
[43:17] 不能说完全没有积累
[43:19] 但是很多会被颠覆掉
[43:20] 就因为它的原来的技术的技术战
[43:22] 包括数据
[43:23] 其实很多东西都是不可用的
[43:25] 第二点其实是涉及到商业模式
[43:27] 因为整个支架支仓
[43:29] Robotexy本质还是在整理
[43:31] 整个新能源车这个行业里
[43:33] 新能源车本身它在OEM主机厂
[43:35] 和它的商业模式上
[43:36] 其实做了很多很多演进
[43:38] 所以我自己感觉这个时候下场
[43:40] 其实是我们看到
[43:42] 还是是一个很好的机会
[43:44] 也可能是一个最后的窗口期
[43:46] 最后的窗口期
[43:47] 对
[43:48] 这场战争还会持续多久
[43:49] 我觉得三年吧
[43:50] 三年
[43:51] 第一次打后发感觉怎么样
[43:52] 感觉挺好的
[43:54] 为啥
[43:55] 因为后发其实
[43:56] 打先发其实很多时候
[43:58] 是更多在一些更宏观
[44:00] 和战略层面
[44:01] 其实你很多时候很难细化
[44:03] 因为你的很多边界条件不明朗
[44:05] 所以更多就是摸着石头过河
[44:07] 可能基于技术的判断力相对好一点
[44:10] 或者在一些商业上的一些取舍
[44:12] 适当或者运气再好一点
[44:14] 可能能够有一些好的结果
[44:16] 但是可控性没有那么强
[44:17] 先发需要快
[44:19] 先发其实我觉得需要快和
[44:22] 对
[44:23] 我觉得可能也还需要大方向正确
[44:25] 就是这个否则沿着错误的方向
[44:27] 快也没用对吧
[44:28] 但后发我觉得可能更比拼
[44:30] 很综合的一些能力
[44:32] 包括组织力
[44:33] 这也很重要
[44:34] 入主千里对你来说是一个困难的选择吗
[44:38] 它是一个就是你思考多长时间的一个选择
[44:41] 我觉得本质上我原来会觉得
[44:43] 矿石会是我一生的事业的
[44:45] 就是所以这个可能是一个重要的选择
[44:49] 但是我觉得其实整个的想法
[44:51] 包括很多的目标
[44:53] 包括团队
[44:54] 其实我觉得还是
[44:55] 大家还是一个大生态
[44:56] 我觉得是有很多延续性的
[44:58] 那到千里
[44:59] 那到千里
[45:00] 我觉得对我来讲并不是个很难的选择
[45:03] 是因为我们其实在1.0时代
[45:05] 一直在找场景
[45:06] 就是相当于刚才说拿着锤子找钉子对吧
[45:09] 那发现有一个最好的钉子
[45:11] 那我觉得
[45:12] 而且又有最好的合作伙伴
[45:13] 我觉得这不是一个很难的选择
[45:17] 但是坦白讲就是进到这个领域
[45:19] 我们也有很大的压力
[45:20] 因为打后发比的是执行力
[45:23] 因为你给你的宣传过去很短
[45:26] 后发怎么来说服你的客户
[45:28] 原来可能已经有很多玩家
[45:30] 为什么你作为最后一个入场的
[45:32] 你可以赢对吧
[45:33] 所以这个我觉得是需要有很强的组织能力
[45:36] 并且要很快拿出结果
[45:38] 但是so far我觉得还是进展的不错的
[45:41] 你怎么看现在支架的行业格局
[45:43] 包括地瓶系列momenta
[45:45] 你觉得最后会有多少家存在
[45:47] 对我觉得肯定会高度头部化
[45:49] 因为第一个这个行业
[45:51] 其实从新的原车的过渡竞争
[45:54] 其实就会往上去传递
[45:56] 就是你在这个
[45:57] 真正在供应商这个角度
[45:59] 零部件角度的话
[46:00] 其实它的利润率也不会很高
[46:01] 至少在阶段性
[46:02] 所以如果利润率不高的情况下
[46:04] 而整个的支架
[46:06] 包括未来的座舱
[46:07] 它其实都是一个非常大模型驱动的一个体系
[46:09] 所以它的研发成本是很高的
[46:11] 所以如果你单台车能够收的空间没有那么大的话
[46:14] 其实你就一定要有规模
[46:16] 所以其实
[46:17] 所以最终一定会形成
[46:19] 我觉得三家左右吧的核心供应商
[46:22] 这三家供应商
[46:23] 我觉得总体上还是有
[46:25] 可能不除有肉吃嘛
[46:27] 至少有汤喝的状态
[46:29] 这三家都会长期存在吗
[46:31] 当车企开始
[46:32] 更多的自己把支架掌握在自己手里
[46:35] 你觉得
[46:36] 我觉得我的判断
[46:37] 支架和支舱不一样
[46:38] 座舱可能最后车企会
[46:40] 资源的比例会很高
[46:41] 因为座舱其实是高度个性化的
[46:44] 它也跟人机交互
[46:45] 体验感很重要
[46:46] 而且它未来会有很多增值服务的空间
[46:49] 支架是一个安全件
[46:51] 所以我反而觉得
[46:52] 支架就像博士当年这些安全件一样
[46:54] 我觉得反而会到TL1的这个手里
[46:56] 嗯
[46:57] 然后这TL1
[46:58] 我为什么觉得有三家呢
[46:59] 就是
[47:00] 实际上华为肯定是一家
[47:02] 那已经是老大哥了对吧
[47:04] 那这里面其实我觉得
[47:05] 这其实跟整个车企未来的OEM的格局相关
[47:09] 所以未来一定会有几家头部的车企
[47:12] 这些头部设计
[47:13] 其实需要有非常综合的供应商
[47:15] 那这里面我觉得这样的供应商
[47:16] 应该有两家
[47:17] 然后同时可能还会有
[47:19] 中型或者中小型车企
[47:21] 其实它也需要有供应商
[47:23] 所以可能也许是一个2加1
[47:25] 或2加2的组合
[47:26] 嗯
[47:27] 需要4家供应商
[47:28] 除了华为还会有谁
[47:30] 你说在大的这里面是吗
[47:32] 嗯
[47:33] 我觉得我们是有机会的
[47:35] 那地平线和蒙温它少了谁
[47:38] 那可以2加2嘛
[47:39] 对
[47:40] 我感觉就是中国商业两座大山
[47:42] 一座是自己
[47:43] 一座是华为
[47:44] 你们好像都会碰到
[47:45] 准备怎么打
[47:46] 怎么竞争
[47:48] 对
[47:49] 我觉得所有的科技公司都会碰到
[47:50] 对
[47:51] 就是
[47:52] 我觉得字节跟华为都非常优秀
[47:53] 就字节
[47:54] 我觉得希望是从互联网
[47:55] 移动互联网应用
[47:56] 下去延伸
[47:57] 而华为是从底层的通讯
[47:58] 和半导体机构
[47:59] 往上去涨
[48:00] 所以我觉得
[48:01] 实际上这两家公司都很伟大
[48:03] 然后我觉得
[48:04] 本质上所有的创业公司面临
[48:06] 都是要找到你自己的
[48:07] 长板和一个你的切口
[48:09] 嗯
[48:10] 核心之前都讲
[48:12] 就是你所竞争的不是整个公司
[48:14] 不是跟整个字节和华为竞争
[48:15] 而是跟它那个局部的
