[00:02] 就在京都在鸭川边上
[42:21] 更符合用户的预期
[42:23] 我怎么能按着用户想办法把这东西给我
[42:26] 这个就变成了最重要的问题
[42:28] 而不是一开始你对这个如果没有预期的话
[42:30] 你先去设计了用户进来会怎么点点点
[42:32] 可能到最后真进到这个环节的时候
[42:35] 他没有给你这个东西
[42:37] 然后你就拿不到预期的效果
[42:39] 所以我觉得就总结起来叫做
[42:41] 从面向流程的产品设计
[42:43] 变成面向context的产品设计
[42:46] 在面向context产品设计的这个框架下面
[42:48] 有什么具体的好的做法吗
[42:50] 我有很多
[42:51] 我就share一个东西
[42:52] 我觉得最起码
[42:53] 或者可能是最重要的一个问题
[42:54] 就是组织需要一些变化
[42:56] 这个问题其实我也想了很久
[42:58] 就AI到底需要什么样的组织形式
[42:59] 或者叫AI的组织到底和
[43:02] 互联网时代有什么不同
[43:03] 如果完全没有不同
[43:05] 其实这是个很危险的事情
[43:07] 就因为
[43:08] 因为这个说明你的延续性非常好
[43:10] 那理论上没有这么多机会留给新的玩家
[43:13] 今天大家去讲打什么大厂难掉头
[43:16] 大厂反应慢
[43:17] 这都是不存在的
[43:18] 这都是幻想
[43:20] 一个在大厂工作过很长时间的人就知道
[43:22] 这是幻想
[43:23] 这是完全是幻想
[43:25] 大厂真的今天没有那么难掉头
[43:26] 没有那么反应慢
[43:29] 但如果你的组织本身有一些代差
[43:31] 或者叫做大家不是完全的一个物种
[43:33] 就会带来一些机会
[43:35] 所以回答你刚才那个问题的话
[43:37] 我觉得今天的组织在进行AI Native的产品的设计的时候
[43:40] 就出现了一些变化
[43:42] 比如说决策的边界在变得模糊
[43:45] 很多人会谈这个问题
[43:46] 也很难定义说产品经理他就只干产品
[43:48] 他不需要碰任何模型
[43:50] 不需要碰任何技术
[43:51] 用线性的工程工作手段
[43:54] 我先干
[43:54] 干完设计师干
[43:55] 工程师干
[43:56] 不是这样
[43:57] 它会变成一种相对更混合的一个方式
[44:00] 因为当你执行这个任务的时候
[44:01] 可能这个任务里面他需要的不光是技术的
[44:04] 对这个技术的了解
[44:05] 那随便举个例子
[44:07] 可能设计师到底什么是美的
[44:08] 什么是好的
[44:09] 他可能是需要理解
[44:11] 产品经理可能对这个任务有一些自己的taste
[44:13] 或者他有一些怎样的预期
[44:15] 确实taste这件事情
[44:16] 就品味这件事情变得非常重要
[44:19] 变得非常重要
[44:20] 到底你期望你这个模型干出来个啥
[44:23] 这个事变得非常重要
[44:25] 而且这个定义往往不是通过一个人能定义的
[44:27] 甚至也不是通过一个单一工种进行定义的
[44:30] 所以如果今天
[44:32] 因为我相信绝大部分的互联网公司
[44:35] 是无法一下子转
[44:37] 变这种工作形式的
[44:38] 是产品经理先出需求
[44:40] 需求完了设计
[44:41] 设计完了开发
[44:42] 是一个基本的管理手段
[44:43] 包括你的sprint的设计等等
[44:44] 都是这样的
[44:46] 因为它不会混乱
[44:47] 它是最不混乱的方式
[44:49] 但今天ainx的产品设计
[44:51] 在一开始摸索模型这个过程当中
[44:53] 就是会存在混乱
[44:55] 它没有那么的规整
[44:56] 所以如果有很多点
[44:58] 但是比如我
[45:00] 我觉得单谈组织的话
[45:01] 我觉得就可以带来这样的变化
[45:03] 从一个线性的组织
[45:05] 线性的工作
[45:07] 变成了两段式的一个状态
[45:09] 对于模型部分的摸索
[45:12] 它其实是一个很合适的
[45:13] 等到大家已经非常清楚
[45:14] OK 模型用来干啥
[45:16] 我需要用户给我啥
[45:18] 需要用户给我什么context
[45:20] 这个时候可能再进行分工
[45:22] 产品经理想
[45:22] OK 我要用一个什么样的流程
[45:24] 想办法把用户的context给拿到
[45:27] 设计师去配合他实现这个流程
[45:29] 再进入一个正式的开发
[45:30] 它是一个两段式的过程
[45:32] 这个两段式的过程
[45:34] 所以你今天觉得
[45:34] 妙鸦是一个互联网时代产品
[45:36] 并不是一个ANAT的产品
[45:38] 对 它是一个在用互联网思维
[45:40] 把当时的AI技术发挥的很好的产品
[45:43] 如果你留在阿里的话
[45:45] 妙鸦后来会怎么样
[45:47] 不知道 坦白说这个不知道
[45:48] 但我只能说说我自己的构想
[45:50] 但也不一定能够做得很好
[45:52] 因为我自己做妙鸦的时候
[45:53] 我对它的理解是
[45:55] 它是个写真生意
[45:57] 它其实不是个图像产品
[45:59] 就我压根跟美图就不在一桌
[46:01] 我是跟海拔体一桌的
[46:03] 它是个新消费品牌
[46:04] 理论上来讲
[46:06] 这就是为什么这个产品在上线的时候
[46:09] 它给用户写了一封信
[46:11] 那个就是我亲笔写的
[46:13] 这个产品的名字
[46:14] 包括当时这个产品里的每一句文案
[46:16] 我都亲自review过
[46:18] 里面没有任何一个地方用到了AI
[46:20] 因为在我眼里
[46:21] 它是个新消费品牌
[46:23] 它是个消费品
[46:24] 它和喜茶什么这些
[46:26] 本质是一回事
[46:27] 包括我们一上线之后
[46:30] 第一时间就想办法找品牌做联名
[46:32] 我们就跟携程做旅拍
[46:34] 跟什么同道大叔做星座
[46:37] 都是这个道理
[46:37] 因为你如果是做新消费的话
[46:40] 你其实一个品牌
[46:41] 去快速建立品牌认知度
[46:43] 反而是更重要的工作
[46:44] 为什么你觉得它不是一个美图修图这样的产品
[46:47] 因为妙鸦解决的是帮你制作一张写真这样的一个任务
[46:53] 制作写真和帮你修图
[46:56] 把你的照片变得更好
[46:58] 是两件事情
[46:59] 它可以从单点任务扩展
[47:00] 它可以泛化到一个做一个所有做图的工具
[47:04] 这两个并不是一个很自然的泛化
[47:07] 这不是一个自然的泛化
[47:08] 自然的泛化
[47:08] 首先大家不能简单粗暴归类叫这叫图像产品
[47:12] 这是做图像的都是一类不是这样的
[47:14] 美图它是一个高频的帮用户把自己的照片
[47:18] 变成他想要的样子的工具
[47:20] 这是一个工具赛道
[47:21] 或者至少你不会觉得海马体和美图是一个赛道的
[47:25] 你不会觉得他们俩是一个赛道
[47:26] 对海马体它是个事
[47:28] 它是个写真生意
[47:29] 妙鸦其实是在写真生意这个范围内
[47:32] 你要站在用户的视角去看这个问题
[47:34] 而不是站在技术
[47:35] OK我用的都是图像技术
[47:36] 所以我们是一桌的不是的
[47:38] 如果你做的好的话
[47:39] 我就不想去线下的拍照的店面了
[47:42] 我就希望AI能帮我生成图像
[47:45] 其实在我在走之前做的最后一件事情就是去找商场聊
[47:48] 做快闪店
[47:49] 因为我觉得要做到线下去
[47:51] 核心当时我就想做两件事情
[47:53] 第一件事情是把9块9变成99
[47:56] 因为如果你把它看成写真生意
[47:59] 写真一定注定是一个低频次高毛利的生意
[48:03] 是不可能做
[48:04] 无论你是什么样的技术
[48:05] 都不可能把写真变成一个高频次低up的生意
[48:09] 因为用户需求不是这样的
[48:11] 所以你如果想把这个事做大
[48:12] 你的下一步一定是怎么才让用户从给你9块9变成给你99
[48:17] 它的解法其实也很简单
[48:19] 你就是把它从全自注式变成带有human in the loop就可以了
[48:23] 给它做自定义
[48:24] 做定制化的模板
[48:25] 做定制化的风格
[48:27] 这个没有多难
[48:28] 今天的技术更简单
[48:30] 这个事情
[48:31] 你就可以找它叫99
[48:33] 因为一旦用户知道说OK你这里面有人在为我服务
[48:37] 99就变得很正常了
[48:38] 因为就算是99
[48:39] 比起海马体的699还是便宜了很多
[48:42] 第二件事就是应该要杀到线下去开店
[48:45] 因为你要节流你的用户
[48:47] 今天你的用户在哪里
[48:49] 你的用户今天是在
[48:50] 比如说所有商店里看到海马体去线下去拍照
[48:53] 对不对
[48:54] 去线下去拍
[48:55] 我当然想法就很简单
[48:56] 这些写真店当季在主推什么风格
[48:59] 我就上什么风格
[49:00] 他卖699我就卖99
[49:02] 这个生意由于他们的特点一定是重资产
[49:05] 慢周转
[49:06] 人力成本产品都非常高
[49:08] 而且它都是需要预付很多东西的
[49:10] 他也不可能明天就把员工全裁了
[49:12] 解散了
[49:13] 所以你可以利用它的高周转周期
[49:15] 然后直接去线下店去挤压这些品牌
[49:18] 然后由于写真这个生意它是一个低品质的生意
[49:22] 它的胜利的核心手段一定是品牌心智
[49:26] 用户一想到写真会想到谁
[49:28] 最后只会留下一个
[49:30] 所以你的
[49:31] 如果想把这个事继续
[49:33] 反正在我的视角里
[49:34] 如果我继续做这件事
[49:35] 我一定是想办法击死别的写真品牌
[49:37] 把它击死也可以
[49:38] 你的增长是一方面
[49:40] 把它击死也很重要
[49:41] 艾力同意你在内部这么做吗
[49:43] 他会说为什么我要做一个写真的生意
[49:45] 我觉得可能都没有那么深入
[49:47] 因为我的离开其实就是有自己未来的规划
[49:50] 所以可能没有到那么深入
[49:52] 在当时还是有比较高的自由度
[49:54] 所以我自己就会去有这样的想法
[49:56] 你有没有想过把这个产品比如spin off出来
[49:58] 有这种可能性吗
[50:01] 我觉得没有这个必要
[50:03] 坦白说如果是自己一个人创业的话
[50:05] 开启一个新的公司的话
[50:07] 我不会选择这样一个生意
[50:08] 最后你发现这个生意并不性感
[50:10] 因为它很重
[50:11] 它一定是很重
[50:12] 这个事在我做之前就知道它肯定很重
[50:14] 它一定会很重的
[50:15] 而且利润率不会特别高
[50:17] 这个产品开发了多长时间
[50:19] 应该在三个多月的时间
[50:21] 其实大部分的时间是花在调效果上
[50:24] 真正最后把它开发上线
[50:25] 这是非常快的
[50:26] 怎么做到真呢
[50:27] 你刚才说一个关键的不同
[50:29] 就是在于它是否真
[50:30] 如果不真的话
[50:31] 天花板会更低
[50:32] 这个其实蛮有意思的
[50:33] 其实当时大家都做不出这个效果来
[50:35] 这个模型不是自己的
[50:36] 对,是对非模型
[50:37] 当然我们肯定做了一些训练
[50:38] 但其实这真的不是最关键的
[50:40] 真的不是最关键的
[50:41] 其实挺简单的一个方法
[50:44] 我们发现你很难同时让模型做到真相美
[50:48] 这三件事情
[50:49] 很难,几乎不可能
[50:50] 在当时技术上是几乎不可能的
[50:52] 所以我们当时选了一个很简单的方法
[50:55] 就是让三个模型去做这件事情
[50:58] 就是一个模型负责真
[50:59] 一个模型负责相
[51:01] 一个模型负责美
[51:02] 所以你那二十张照片生成的那个模型
[51:05] 那个模型负责的是人脸的控制
[51:07] ID的保持
[51:08] 是解决相的问题
[51:10] 它底层的模型
[51:12] 其实我们只是训练它的一个feature
[51:14] 足够真
[51:15] 看起来很真实
[51:16] 所以我们会训练大量那种普通人的照片
[51:19] 普通人照片是没有那么精美的
[51:21] 是没有那么好的油彩的
[51:23] 光照清晰度
[51:24] 甚至会有些糊
[51:25] 让它去看上去足够真
[51:28] 你最后选的那个模板
[51:29] 那又是一个模型
[51:30] 解决美
[51:31] 所以把一个当时的技术力无法实现的事情
[51:35] 用三个小矮人拼在一起实现
[51:37] 这也算专家模型
[51:38] 对 某种MOE了
[51:40] 当然不是MOE那个解法
[51:42] 它其实是个串型的
[51:43] 它是个串型的
[51:44] 对 不是个并行的
[51:45] 它会经过三个模型的生成
[51:47] 来共同控制这个结果
[51:48] 这个挺好玩
[51:49] 这是怎么想到的
[51:50] 也是团队内部讨论的结论
[51:53] 就是这个
[51:54] 因为大家一开始搞了半天
[51:56] 怎么搞都不行
[51:58] 我们从一开始就尝试把它拆成俩
[52:01] 想要让模型解决真和像的问题
[52:04] 再用一个模型解决美的问题
[52:05] 就是解决模板的问题
[52:07] 因为只有这样
[52:08] 你的模板理论生态是无限扩展的
[52:10] 你每做一个模板
[52:11] 其实就是做一个小模型
[52:12] 不然你底下的模型不停的变
[52:14] 这是受不了的
[52:15] 但后来还是不太行
[52:17] 最后我们一看
[52:18] 两个不够
[52:19] 那就三个
[52:20] 都拆开了
[52:21] 多久意识到妙雅火了
[52:23] 也就一两天
[52:24] 对
[52:25] 因为我们每天看收入
[52:26] 肉长得非常快
[52:27] 确实没有
[52:28] 有多少收入
[52:29] 现在这个数字能说吗
[52:30] 我感觉不一定能说
[52:31] 但确实很大
[52:32] 是个什么量级
[52:33] 日百万级
[52:34] 对
[52:35] 所以
[52:36] 因为这也是在阿里做这个事的好处
[52:38] 确实当时集团调用了大量的资源
[52:40] 全国各地的支援我们卡
[52:42] 就把各种卡给我们腾出来
[52:43] 因为我们用的都是比较
[52:45] 实际的技术跟今天是完全不能比的
[52:47] 所以当时我们最多的时候用了
[52:49] 应该是接近2万张推理卡
[52:51] 在线上推理
[52:52] 这个产品对阿里来说意味着什么
[52:54] 我不知道
[52:55] 对
[52:56] 我其实对公司级的战略
[52:57] 并不是那么了解
[52:58] 对
[52:59] 包括公司怎么看待这个产品
[53:00] 这个事情
[53:01] 我也没有特别认真去交流
[53:02] 我其实对这种事关注的都比较少
[53:04] 做一件自己喜欢的事情就好了
[53:06] 你对他们什么反应
[53:07] 也正常
[53:08] 不要再做秒压就好了
[53:09] 这个是会有经验的
[53:11] 这很正常
[53:12] 当然我也没有过这种想法
[53:14] 我觉得这是正常的
[53:15] 对
[53:16] 一个很peaceful的一个状态
[53:18] 因为我自己决定出来这个事
[53:21] 想的还是比较清楚的
[53:22] 一晚上
[53:23] 就是那一个晚上
[53:24] 就已经决定了
[53:25] 对
[53:26] 就已经决定了
[53:27] 对
[53:28] 那一晚上之后
[53:29] 原则的力量就是这样的
[53:30] 如果你定了一个基本原则
[53:32] 其实很多事情都变得不重要了
[53:34] 你都不需要去讨论它了
[53:36] 比如说你给我再升个P10
[53:37] 给我再涨薪
[53:38] 或者什么奖金
[53:39] 这都不在讨论范围内
[53:41] 因为它大概率上无法满足
[53:43] 所谓十年同一群人同一件事的要求了
[53:47] 剩下的所有的附加条件都无了
[53:50] 基本原则的威力
[53:51] 就在于让你做决策的时候
[53:52] 就不用想了
[53:54] 你觉得妙鸦这个产品
[53:55] 应该是你过往十几年的职业生涯里
[53:57] 最能证明你的一款产品吗
[53:59] 如果从结果来看肯定算是的
[54:01] 这个我觉得没有什么太多的悬念
[54:04] 因为其他产品
[54:05] 比如说我在字节的时候
[54:06] 肯定看到的数字更大
[54:08] 比如当时做一个春节的campaign
[54:10] 单日新增
[54:11] 我能实现排行榜上前几名全是字节
[54:13] 就是那个时候开始
[54:15] 但这个事情我就更多坦白说
[54:16] 是平台的力量
[54:17] 不是我个人的力量
[54:19] 比如说后面真正自己
[54:21] 纯粹自己力量做出来的
[54:22] 比如圆音这样的产品
[54:23] 对
[54:24] 坦白说我很喜欢这个产品
[54:25] 那是我第一次自己一个人
[54:27] 从0到1
[54:28] 做出一个作品
[54:29] 我自己的想法
[54:30] 完完全全手搓了自己的想法
[54:32] 也受到了很多人的喜爱
[54:34] 但显然它的结果是不够有影响力的
[54:38] 所以这肯定是没有问题的
[54:40] 就妙鸦肯定是最能证明
[54:41] 我过去的一款产品
[54:44] 当然我觉得
[54:45] 本身妙鸦并没有那么的
[54:48] 它肯定没有那么成功
[54:49] 我觉得就算我留下来继续做它
[54:51] 它也不会那么成功
[54:52] 它注定不是一个
[54:53] 决定AI时代的主航道上
[54:55] 它不再为AI的主航道
[54:56] 它也不是AI native的东西
[54:58] 它是一个fine business
[55:00] 它就是一个还可以的生意
[55:02] 所以肯定算能代表我
[55:04] 这个产品当时火了
[55:05] 给你带来了什么
[55:06] 在哪个时间段
[55:08] 至几月份
[55:09] 7月份火的
[55:10] 差不多10月份假期回来
[55:12] 就提了离职
[55:13] 所以大概其实也就是三个月的时间
[55:15] 就待在那就三个月的时间
[55:17] 带来了什么
[55:18] 我觉得肯定
[55:19] 你会给你带来一些光环
[55:21] 很多人都认识了你
[55:22] 原来没反正
[55:23] 因为我从来不在行业里活跃
[55:26] 我从来不在行业里活跃
[55:27] 基本上没人认识我是谁
[55:29] 很多人认识了你
[55:30] 包括后面就会有更很多的资源
[55:32] 给到你
[55:33] 比如说后来创业融资等各个方面
[55:35] 人才的加入等等
[55:36] 肯定是会让我后面做很多事情
[55:39] 得到很多助力
[55:40] 这是最重要的
[55:43] 第二个它是一个
[55:45] 附现了一个很幸福的时刻
[55:47] 我第一次有这个幸福时刻
[55:48] 是在字节做一个春节项目的时候
[55:50] 发起这么一个项目
[55:51] 大家一起在公司过年
[55:53] 就跟移民吃年夜饭
[55:55] 大家一起守在
[55:57] 在除夕里去做
[55:59] 看红包语样
[56:00] 各种各样的流产品
[56:01] 你看到一天几百万的新增用户
[56:03] 大家非常兴奋
[56:04] 在除夕里一群同龄人在一起
[56:06] 吃喝
[56:07] 做一些非常
[56:08] 你觉得做了也很让人兴奋的事情
[56:10] 非常让人兴奋的事情
[56:12] 就你在
[56:13] 我非常清楚
[56:14] 即使到了我很老
[56:15] 80岁的时候
[56:16] 这也会是我能够记住的一个
[56:18] 很幸福的时刻
[56:19] WI那时候
[56:20] 给我添加了第二次这个时刻
[56:22] 我印象特别深
[56:23] 我当时跟我们团队的一个片
[56:25] 在一个酒吧里喝酒
[56:26] 就在北京
[56:27] 就在亮宝桥那边
[56:28] 酒吧里喝酒
[56:29] 我们俩那天
[56:30] 就看
[56:31] 因为我们俩在看数据板
[56:32] 就看那一天的
[56:33] 那一天的收入破了一百万
[56:35] 那一天破了一百万
[56:36] 就一日收入破一百万
[56:37] 就两个人就喝的喝多了
[56:39] 那天反正喝多了
[56:40] 大家就很开心
[56:41] 当然你说这个
[56:42] 这个数字在今天的产品不算什么
[56:44] 因为很多人收入更大
[56:45] 对
[56:46] 但它又给我藏在
[56:47] 那个很幸福的时刻
[56:48] 就我会清楚的知道
[56:49] 等到我80岁的时候
[56:50] 肯定这个时刻
[56:51] 我也还是会记着
[56:52] 7月到10月一直在思考创业吗
[56:55] 你是什么7月到10月
[56:56] 23年的7月
[56:57] 没有没有
[56:58] 7月到10月那个期间
[56:59] 每天忙的屁滚尿流
[57:00] 它上线火了之后
[57:01] 遇到的问题
[57:02] 比大家想象中的多
[57:03] 什么问题
[57:04] 比如说
[57:05] 第一个问题就是
[57:06] 算力的问题
[57:07] 每天都有扩卡
[57:08] 而且这个产品
[57:09] 一开始开发团队很小
[57:10] 有很多bug
[57:11] 我们有一个服务端的大哥
[57:14] 小哥
[57:15] 对我而言是小哥
[57:16] 对 他真的是
[57:17] 72小时都在连轴转
[57:19] 因为一直在修bug
[57:20] 因为我印象特别深
[57:21] 他太累了
[57:22] 当时也有bug
[57:23] 但是我就跟他说
[57:24] 你要不回去歇歇
[57:25] 我说这没关系
[57:26] 会损失一点点
[57:27] 他当时有一个bug
[57:28] 会损失一点收入
[57:29] 我说这个没事
[57:30] 那个哥们就坚决不肯回家
[57:32] 他说我觉得我这辈子
[57:33] 不一定能再遇到第二次
[57:34] 这样的事情了
[57:35] 我不想给自己留任何遗憾
[57:37] 就每天都在这么拼
[57:39] 再比如说我们当时
[57:40] 因为是在小程序里
[57:42] 一开始只有小程序
[57:43] 很多人都猜我们上小程序
[57:45] 是什么各种各样的判断
[57:46] 其实没有判断
[57:47] 就是因为我们没有人
[57:48] 只能开发一个小程序
[57:50] 小程序里
[57:51] 其实不允许
[57:52] iOS小程序是不能充值的
[57:53] 这个大家都知道
[57:54] 虚拟充值是有问题的
[57:55] 所以当时就面临着
[57:56] 小程序充值下架的问题
[57:58] 所以又三天
[57:59] 就要做一个客户端出来
[58:01] 每天都是在这样的事情
[58:03] 再比如说我们其实当时
[58:04] 应该是遇到了
[58:05] 比较有组织性的黑公关
[58:06] 就是来黑我们
[58:07] 当然我们到最后
[58:08] 也不知道是到底是谁黑的我们
[58:10] 谁有动力干这事
[58:11] 不知道
[58:12] 反正也许是某种竞品
[58:14] 我也不知道是哪种竞品
[58:15] 因为是非常明显有组织
[58:17] 就会网上去传
[58:19] 我们在用用户的数据
[58:21] 把用户的数据的脸
[58:22] 批到黄片里什么之类的
[58:24] 就各种各样的
[58:25] 很搞笑的黑你的方法
[58:27] 包括去
[58:28] 有人去削鞋告状
[58:29] 去说我们的小区
[58:31] 反正就是各种各样的事情
[58:33] 基本上在三位的时间里
[58:34] 是没有任何思考空间的
[58:36] 你就不停的在擦屁股
[58:38] 直到十一才正式休了个假
[58:40] 就辞职了
[58:42] 对
[58:43] 戛然而止
[58:44] 对 是的
[58:45] 你那一刻不会觉得
[58:46] 妙鸦未来的命运
[58:47] 还和我有关系吗
[58:48] 我不能走
[58:49] 因为很多人把自己做的产品
[58:50] 当做自己的小孩
[58:52] 第一
[58:53] 我没有觉得妙鸦是我的产品
[58:54] 这是一个团队的产品
[58:55] 不是我一个人做出来的
[58:57] 虽然有一些原初的动力
[58:59] 但这里面很多重要的事情
[59:00] 都不是我一个人完成的
[59:02] 所以第一点
[59:03] 我没有觉得它是我一个人的产品
[59:05] 包括今天我再去创一个新的公司
[59:08] 如果做了一个什么产品
[59:09] 这也不是我一个人的产品
[59:10] 这不是我的产品
[59:11] 所以我觉得
[59:12] 有真正这个产品灵魂的人
[59:14] 第二点
[59:15] 我觉得你们的小伙伴也很优秀
[59:17] 他们能够继续往后做
[59:19] 如果这个产品最后发展的不好
[59:22] 我觉得我留下来
[59:23] 也未必能让他更好
[59:24] 我没有这么大的
[59:25] 一个
[59:26] 对
[59:27] 反过来说
[59:28] 如果发展的很好
[59:29] 那当然很好了
[59:30] 那我也
[59:31] 我觉得也OK了
[59:32] 所以就
[59:33] 那个时候开始找团队里的成员
[59:35] 或者找投资人了吗
[59:37] 辞职之后
[59:38] 就没有太去找投资人
[59:41] 对
[59:42] 因为其实确实花了蛮长时间
[59:44] 才决定正式创业
[59:45] 我是十月份
[59:46] 双十一那天正式离职
[59:48] 双十一
[59:49] 那天正式离职
[59:50] last day
[59:51] 之后的几个月
[59:52] 一直都在
[59:53] 到底是不是真的要创业
[59:55] 或者给自己一个创业的理由
[59:57] 这个理由是
[59:58] 我觉得这次创业
[59:59] 不管结局如何
[60:00] 我不会再迷茫
[60:01] 就不会出现一个
[60:02] 我为什么要创业
[60:03] 我需要把这个事想得很清楚
[60:05] 你也考虑过加入别人团队
[60:07] 对 都考虑过
[60:08] 因为时间跟同行做同一件事
[60:10] 不一定是我的团队
[60:11] 也可以是别人的团队
[60:12] 所以我花的时间会更多一点
[60:15] 跟各种人聊
[60:16] 看各种公司
[60:17] 包括去硅谷那边看一看什么之类的
[60:19] 聊了谁
[60:20] 这就不展开聊了
[60:22] 举例一两个
[60:24] 反正大模型公司的这些
[60:25] 都聊过一些
[60:26] 我觉得大模型公司
[60:28] 这一点
[60:29] 我觉得一定会有一些结果
[60:31] 今天看几个头部大模型公司
[60:33] 也基本上都在上市的前期了
[60:35] 但很多的
[60:36] 比如说有的要做2B为主
[60:38] 因为我肯定是要做2C的事
[60:40] 我这辈子没有干过2B的事情
[60:41] 有的公司可能注定是
[60:43] 以技术底层为基因的
[60:45] 对 我觉得
[60:46] 我肯定还是一个产品基因的人
[60:48] 各种各样的原因
[60:49] 包括我去美国也看了看
[60:50] 到底有什么好的东西
[60:51] 最后实际上是去年春节
[60:53] 才开始
[60:54] 团队的
[60:55] 组建团队的话
[60:56] 组建团队不要动心
[60:57] 因为
[60:58] 你想如果是按照一个
[61:00] 原初动力
[61:01] 叫做十年同一生做同一件事
[61:03] 这个十年的人
[61:04] 那跳起来还是要
[61:05] 蛮慎重的一件事情
[61:07] 你这个创业的动机
[61:09] 跟你刚才说的这两个动机
[61:11] 都不是
[61:12] 一个是我就想当老板
[61:14] 另外一个是
[61:15] 是这样的
[61:16] 这是离开的动机
[61:17] 这是我未来十年
[61:19] 由于我未来十年
[61:20] 要遵循这个原则
[61:21] 所以我要找到
[61:23] 一个能够做这个
[61:25] 践行这个原则的方法
[61:27] 但这不是创业的动机
[61:28] 这肯定不是创业的动机
[61:29] 如果这个是的话
[61:30] 我就不用思考了
[61:31] 我们出来就立即创业了
[61:32] 创业动机肯定是要
[61:33] 有一件事你想让它实现
[61:35] 你想实现一个什么东西
[61:37] 当在实现这个东西的过程
[61:38] 这就是那十年的事
[61:39] 对
[61:40] 同时你要找那个同一群人
[61:41] 来做这个事
[61:42] 是这么个关系
[61:43] 这是个原则
[61:44] 而不是它
[61:45] 它不是目的
[61:46] 它是遵循的
[61:47] 对
[61:48] 所以你当时想到
[61:50] 你想做一个什么样的事
[61:52] 什么时候就定了
[61:53] 觉得我还是要创业
[61:54] 我就不去别人的团队了
[61:56] 我其实当时
[61:58] 你觉得跟那些公司聊完
[61:59] 你发现并不能支持你
[62:01] 十年干一件事是吗
[62:03] 我觉得有两个点吧
[62:04] 第一个点就是
[62:05] 我当时坦白说
[62:06] 我真正开始创业的时候
[62:07] 是有很模糊的一个愿景
[62:10] 还很模糊的一个愿景
[62:11] 我当时只知道
[62:12] 有些事是我肯定不能做的
[62:14] 但我并没有非常清楚
[62:16] 自己一定要做什么事情
[62:18] 一个相对模糊的愿景
[62:19] 就是当时大家做出来的
[62:20] 所有的AI的产品
[62:22] 有一个特点就是
[62:23] 我觉得它
[62:24] 它就是作为一种某种服务
[62:26] 或者是一种工具的存在
[62:28] 但我的想象里
[62:31] 我觉得AI这一代的AI技术
[62:33] 它应该是一个创造人口的过程
[62:35] 创造AI人口的过程
[62:37] 它是个individual
[62:38] 它是个对象
[62:40] 它不是一个service
[62:41] 我感觉没有一个
[62:42] 当然今天我觉得
[62:43] 也许JBD就是那个individual
[62:45] 我觉得它已经
[62:46] 某种意义上实现了这个东西
[62:48] 但当时我们没有
[62:49] 至少我自己没有
[62:50] 很深刻的一种感觉
[62:52] 所以当时我抱着一个理念
[62:53] 我想要去创造AI的这种
[62:57] 最后我取的slogan
[62:59] 就slogan集的叫做
[63:00] 创造AI朋友
[63:01] 创造AI朋友
[63:02] 我觉得某个时间点的话
[63:04] 这个世界上应该AI的人口比人多
[63:06] 就不管它有没有身体
[63:07] 至少在比如说虚拟的环境里
[63:09] AI的人口应该是比人多
[63:10] 这些人口应该和人一样
[63:12] 拥有自己的获取信息的能力
[63:15] 它也可以去
[63:16] 你想我们在互联网上干什么事情
[63:18] 获取信息
[63:19] 思考
[63:20] 处理信息
[63:21] 发布信息
[63:22] 连接别人
[63:23] 连接信息
[63:24] 这是人能干的事
[63:25] 为什么AI不能AI都可以干
[63:27] 我觉得会出现很多这样的独立的个体
[63:30] 但是怎么去达到这一步
[63:32] 这个其实我不是很清楚
[63:34] 所以当时出发的时候
[63:36] 是有一个很宏大的猜想和愿景
[63:38] 但路线图没有那么清晰
[63:40] 还没说没有那么清晰
[63:42] 就这个事
[63:43] 我还专门去找了一个湖畔的朋友聊
[63:45] 湖畔大学
[63:46] 他们就做过很多创业者的导师
[63:49] 我就聊
[63:50] 我说
[63:51] 使命愿景价值观
[63:52] 我的这个使命也没有很清晰
[63:54] 这样行不行
[63:56] 能不能创业
[63:57] 对
[63:58] 对
[63:59] 当时他跟我说
[64:00] 像马老师这样
[64:01] 第一天就能提出一个让天下没有难做的生意
[64:04] 这样一个又能够长期巨作
[64:06] 其实是范围很大的事情
[64:08] 又一个相对清晰的路线图
[64:10] 因为就从电商开始
[64:12] 这非常的直接
[64:13] 公司是非常罕见的
[64:15] 绝大部分成功的公司都没有使命愿景
[64:20] 一开始
[64:21] 他们看到的三个必要条件里不包含这个东西
[64:23] 很多使命是在做的过程中慢慢被刻画出来
[64:26] 他们的三个必要条件是什么
[64:28] 他们认为必要的三个东西
[64:29] 第一个东西是行业选择
[64:32] 你必须要选一个行业
[64:33] 你比如你今天是卖奶茶的
[64:35] 明天跑去做AI
[64:36] 这个是不太行的
[64:37] 他们没有太看到过这样行业级的迁移
[64:40] 所以你要选定一个正确的
[64:42] 或者你决定要长时间耕耘的行业
[64:45] 第二个就是团队文化
[64:47] 你先要决定你是个什么样的团队
[64:49] 没有绝对正确的团队文化
[64:50] 这个事你要提前决定好
[64:52] 本质就是你创始人是一个
[64:54] 你自己真实的自己是个什么样的人
[64:56] 你要吸引一些跟你一样的人
[64:59] 这个是第二点
[65:00] 第三点商业模式
[65:01] 就一定要回答商业模式这个问题
[65:02] 如果你没有想好一个商业模式的话
[65:05] 其实很危险的
[65:06] 在那个时间点
[65:07] 我会觉得前两个是比较清晰
[65:09] 第三个没那么清晰
