[00:02] 不能称作是AI bubble
[00:06] 更像是AI war
[00:07] AI可能就是得看作
[29:54] 但是GPT是在产品和品牌优势是很强的
[29:57] 但Google有生态优势对吧
[30:00] OpenAI的人才我们感觉还是整体略优于Google的
[30:05] 而且它的产品sense和战略也是更好的
[30:08] 我觉得还有一个有意思的可以对比的
[30:11] 就是说ChatGPT过去三年的增速
[30:14] 是远超微信当年的
[30:17] 微信是三年的时间可能涨到了4.5亿的MAU
[30:22] 而ChatGPT是三年涨到了14个亿的MAU
[30:25] 我觉得这是比较厉害的一个数字了
[30:28] 就是说ChatGPT现在日活比如4.8到5个亿对吧
[30:32] Gemini现在只有9000万
[30:34] 它日活大概还是一个5到6倍的关系
[30:37] 我们不知道最终比例是多少
[30:39] 可能7比3 6比4 5比5还不好说
[30:42] 但还是倾向于判断ChatGPT依然会是长期的第一对吧
[30:47] 最终可能是一个10到21日火的产品
[30:50] 嗯
[30:51] 但Google的崛起王者归来
[30:54] 还是会压制欧派的这个规模或者回报率的
[31:00] 但这里还有一个很关键的判断
[31:02] 就是说最终的最终ChatGPT会不会融合传统搜索
[31:08] 最终也会吃掉传统搜索的广告的份额
[31:11] 但另外一面就是说传统搜索会融合Chatbot对吧
[31:16] 我觉得不排除一种可能就是ChatGPT
[31:19] 它会形成一套自己全新的搜索引擎
[31:22] 而且这个模型更快
[31:23] 更新化也更好对吧
[31:24] 而且这些模型生成的内容还能被反复利用起来
[31:28] 那ChatGPT的终局它就是一个信息分发融合的产品
[31:33] 但我觉得说了这么多
[31:35] 就说不代表Google不好
[31:37] Google也是好的
[31:38] 那个他有很多好的资产对吧
[31:40] Wemo也很好
[31:41] 他还是SpaceX股东对吧
[31:44] 他还有Ansimovic
[31:45] 那个要治愈人类所有疾病
[31:48] 我觉得Google包括英伟达可能还是人类最快接近10个T的公司的候选人吧
[31:55] 就是10年前大家不敢想象有万亿美金公司对吧
[31:59] 就像今天不敢想象有10万亿美金公司
[32:02] 我觉得未来有可能有好几家10万亿美金公司
[32:05] 就是其实今天它从3到5万亿涨到10万亿的难度
[32:09] 是远远小于今天市面上比如说几百亿美金的公司涨到千亿美金的难度的
[32:14] 也小于千亿美金公司涨到万亿美金这个难度
[32:18] 所以大公司有可能确实会变强
[32:21] 这是一个这可能就是一个我们即将面对的一个趋势
[32:29] 但是今天Google是不便宜的
[32:31] 因为刚才说到它那个估值扩张的逻辑
[32:33] 你看Gemini现在有一个Sota模型
[32:35] 那外界都觉得Gemini领先了
[32:37] 据你们了解到实际它的流量是什么样的呀
[32:40] 有变化吗
[32:41] Gemini 3显著在模型上进步
[32:45] 我觉得是好事的
[32:46] 如果不进步
[32:47] 反过来
[32:48] 我们就更担心了
[32:49] 首先Gemini 3我觉得对模型的格局是产生了一些影响的
[32:54] 因为Google第一次成为明显的Sota
[32:56] 但是反映到产品和流量的增速上
[33:00] Gemini 3对DAU的拉动甚至还不如当时的Nano Banana这个产品拉动的更明显
[33:07] 其实ChatGPT在生活助手的心智是非常强的
[33:13] 很多人是把ChatGPT放在手机的手屏上了
[33:16] 我们上一期博客提到
[33:17] 其实Gemini很多的还是在web端的生产力
[33:22] 你看ChatGPT周末是也在用的
[33:25] Gemini很大程度上是周一到周五的工作时间
[33:29] 叫牛马工具
[33:30] 比如做前端开发做PPT
[33:33] 还有数字就是说Gemini的MAU大概是ChatGPT的20到25
[33:43] 但Gemini的DAU比MAU的比例是很大的
[33:47] 只有10%
[33:48] ChatGPT的DAU比MAU的比例大概是25%
[33:52] 这其实是一个更高频打低频的
[33:55] 这就说明单月的绘画的次数ChatGPT是Gemini也是高三四倍的
[34:02] 还有一些角度就是说
[34:05] 移动端ChatGPT的统治力是非常强的
[34:08] 活跃度是比Gemini高非常多的
[34:10] 因为移动端才是叫生活助理的主战场的
[34:14] 而且你从地域上看
[34:16] ChatGPT守住的是最高价值的地区
[34:21] 就是北美 欧洲这些付费能力很强的发达市场都是ChatGPT的主战场
[34:26] 我觉得它的商业化的根基是很稳的
[34:28] Gemini其实是走了农村包围城市的路
[34:33] 就是在巴西 在印度 在越南这些安卓主导的新兴市场
[34:38] 在新兴市场Gemini的渗透率是很高的
[34:43] MAU可能到了ChatGPT的三分之一左右
[34:46] 所以就说从流量的大盘来看
[34:50] ChatGPT比整个Google搜索从年初的95比5
[34:55] 现在变成了85比15这样的比例了
[34:59] 其实ChatGPT已经不再是边缘流量了
[35:02] 已经变成一个主流的流量平台了
[35:04] 你看最近Google的表现不错
[35:06] 你觉得根本的原因是什么呀
[35:08] 你觉得Google今天的危机解除了没有
[35:12] 我觉得Gemini 3肯定是有刷榜的
[35:14] PR上肯定有很多工作的
[35:16] 确实是模型上骚操领先了
[35:19] 大家只是不把Google当AI的loser
[35:23] Nogia这种看了
[35:25] 把它当一个AI winner了
[35:27] 叙事的反转
[35:29] 我觉得长期危机是没有真正解除的
[35:32] 未来Agent对传统搜索和广告怎么影响
[35:36] 这个还不知道
[35:38] 一种情况就是明年ChatGPT真的会吃掉很多传统搜索的份额广告
[35:44] 还有一种情况就是Google自我革新
[35:46] 继承AI
[35:47] 继续做AI时代的王者
[35:49] 我觉得这两种走线
[35:51] 还是要持续的观察思考的
[35:53] 过去三年我们看到两个范式的演进
[35:55] 分别是预训练和强化学习
[35:57] 那在今天这个时间点
[35:59] 你看Elia说scaling结束了
[36:02] 现在进入了研究时代
[36:04] 那之前我们有一期播客
[36:05] 也提前预言了O1的强化学习的范式
[36:08] 今天你有看到第三个范式没有
[36:10] 有新的这种范式级别的跃迁吗
[36:14] Pretraining的scaling确实快结束了
[36:16] 但应该说online learning刚开始
[36:19] 那现有的范式
[36:21] 那第一个就是Pretraining预训练
[36:23] 应该说走到七八十了
[36:25] 还有空间
[36:26] 但投入很大
[36:27] 那第二个就是RO强化学习
[36:30] 走到了30%到50%的阶段
[36:33] 那大家今天都在scale data
[36:35] 这两条范式下
[36:37] 可能格局不会发生翻天覆地的变化
[36:40] 那头上的几家彼此也都比较清楚
[36:43] 加上
[36:44] 人才流动和信息流动
[36:46] 其实都是名牌的竞争了
[36:48] 其实最主要原因还是预训练
[36:50] 搞不出更多数据了
[36:51] 对吧
[36:52] 比如说五六十个T
[36:53] 可能也是很多模型公司的一个极限了
[36:55] 而且今天模型的激活参数
[36:58] 并没有无限变大
[36:59] 反而是在变小的
[37:01] 而是吸收度在变高
[37:03] 今天趋势是走向了一个
[37:05] 很大的MOE的一个架构
[37:08] 我的感受是OPPA也好
[37:10] SSA也好
[37:11] Synchro Machines也好
[37:13] 都看到了下一个范式
[37:14] 都在赌下一个大的范式创新
[37:17] 硅谷现在最热的还是叫continual learning
[37:21] 我们很多人叫online learning
[37:23] 其实就是模型的自主学习
[37:25] 学习效率更高
[37:26] 更少的数据就可以学得更快
[37:29] 编推理和交互的时候也在学习
[37:33] 这个我觉得还是一个最根本性的变革
[37:36] 你看移动互联网就是交互的过程沉淀数据
[37:41] 今天的大模型
[37:42] 比较静态的冰冻的
[37:44] 没有数据费能的产品
[37:45] 它没有办法从每天的交互中
[37:48] 吸取足够的信息
[37:51] 它需要大量的样本数据
[37:53] 才能做预训练
[37:55] 才能学到
[37:56] 为什么移动互联网比PC互联网大10倍
[38:00] 因为每天的交互过程中沉淀了互动
[38:03] 吸收了用户偏好
[38:04] 我觉得online learning work以后
[38:06] AI是会吸收人的智能的
[38:09] 就从人类的经验中学习
[38:12] 但新范式的成熟可能还需要一些
[38:15] 基础设施的成熟
[38:17] 比如说更长的context
[38:20] 包括laura也是重要的东西
[38:23] 比如说多个模型的变形采样
[38:26] 反正我们还是花了不少时间
[38:29] 跟领先的研究员去聊下一个范式
[38:33] 大家都还是比较乐观的
[38:34] 应该在2020年
[38:36] 比如说夏天或者什么时间
[38:38] 能看到突破的一些信号
[38:40] 这些新范式
[38:42] 主要是由哪些公司在主导
[38:44] 谁是其中比较领先的
[38:46] OpenAI还是最遥遥领先的
[38:49] 投入最大
[38:50] 其次还是Illia的SSI
[38:53] Mira的Thinking Machines
[38:56] 这也还是比较看好Thinking Machines的
[38:59] 或者其他的Neo Labs的一个原因
[39:02] 我觉得大家都是有一盘自己的大旗的
[39:06] 其实这比较有意思
[39:08] Anthropic是OpenAI最早的skilling的team
[39:11] Illia是最早的pre-trained的team
[39:14] Thinking Machines其实是原班
[39:16] ChatGPT和Post-trained的team
[39:19] 其实这几个团队都很强
[39:21] OpenAI即便在分崩离析了三四次以后
[39:24] 依然还很强
[39:25] Google其实今天应该还没有整体top-down的
[39:32] 做online learning这些探索
[39:34] 可能还是独立的一些研究员
[39:37] 在个人探索的角度吧
[39:39] 我们什么时候能看到SSI和Thinking Machines Lab的
[39:42] 一些比较主要的产品
[39:45] 我觉得20年应该能看到一些东西吧
[39:47] 为什么你觉得online learning特别重要
[39:50] 我觉得这里有一个暴乱
[39:52] 就是大家提的机器人世界模型甚至多姆泰
[39:57] 其实可能很多是假问题
[39:59] online learning可能才是唯一重要的真问题
[40:03] 就是模型的自主学习
[40:04] 学习效率比较高
[40:06] 只有这个突破了
[40:08] 其他的问题才是本质上的解决
[40:11] 因为这里最重要的还是泛化性
[40:13] 如果不泛化
[40:14] 那后面还是走动驾驶的老路
[40:17] 就是有多少人工就有多少智能
[40:20] 所以有一个很大的概率
[40:22] 就是说未来机器人世界模型的突破
[40:26] 可能不一定是今天在做的这批人
[40:29] 有可能今天在做的这批人是上一代NLP一样的结果
[40:34] 确实是暴龙
[40:36] 就机器人最大问题还是
[40:38] 不泛化
[40:39] 那没泛化你就要像自动驾驶一样
[40:42] 做个十年
[40:43] 一点点的采数据
[40:45] 我觉得下一代泛式对现有格局影响是很大的
[40:49] 所以我觉得理解技术每个季度review之前的观念
[40:52] 还是比较重要的
[40:54] 你能不能更形象的解释一下这三个泛式
[40:57] 从print training到RL再到online learning
[41:00] 我觉得有三种比喻
[41:02] 这个是我们团队内提的
[41:05] print training呢
[41:07] 预训练的数据就像石油化石燃料
[41:10] 量非常大
[41:11] 但总共是有限的
[41:13] 现在已经用了七八成了
[41:15] 那RL强化的专家数据呢
[41:18] 就是蒸馏的人类专家的数据
[41:21] 就像新能源
[41:23] 有用但总量比较小
[41:25] 所以出现了像surge也好
[41:28] 这种专门帮招聘人类专家的外包公司
[41:31] 收入也在快速的爆发
[41:33] 那online learning有一个比喻就是叫
[41:37] 核聚变
[41:38] 这是核能
[41:39] 还没有突破
[41:40] 但如果突破了就是无敌的
[41:42] 人类就进入归基时代了
[41:47] By the way
[41:48] 你觉得一定会出现这个所谓的第三个泛式吗
[41:50] 会不会AI的技术跃迁就此终结了呢
[41:53] 我觉得可以从
[41:54] 基础设施成熟的角度去理解吧
[41:56] 因为技术在向前发展
[41:58] 可能突破就是一个时间问题
[42:00] 因为过去三年
[42:02] GPU的出货量
[42:04] 每个研究员手上拥有的算力
[42:06] 研究员的能力和数量
[42:08] 都是爆发性成长的
[42:10] 这个就很像好莱坞
[42:11] 整个工业化的创作体系形成了
[42:14] 持续做出新的作品
[42:16] 就是时间问题
[42:17] 我觉得是有因果的
[42:19] 所以这个也是
[42:22] 做这个播客很大的一个意义
[42:24] 就是要有passion去鼓动中国的
[42:27] 科技公司多买卡
[42:29] 给年轻的研究员
[42:31] 更多的撮卡的机会
[42:33] 我们想为什么伊利亚诞生在硅谷
[42:36] 因为谷歌这种大厂很早期
[42:38] 就做长期投入
[42:39] 其实没有计算短期的ROI的
[42:41] 如果中国大厂多投入
[42:43] 多买卡
[42:44] 培养人才
[42:45] 那中国的伊利亚
[42:47] 下一代的伊利亚
[42:48] 那大概就是未来三五年
[42:50] 一定会出来的
[42:51] 现在已经有很多年轻的研究员
[42:53] 已经有这个苗头了
[42:54] 而且都好年轻
[42:56] 是
[42:57] 我最近聊下来
[42:58] 我觉得大家对于AGI的故事
[43:00] 似乎都出现了现实性的回归
[43:02] 那你作为一直在鼓吹AGI的人
[43:06] 你今天对于AGI
[43:07] 有了进一步思考
[43:08] 你还相信AGI吗
[43:10] 这是比较重要的一个问题
[43:12] 我们过去半年
[43:14] 认真花时间
[43:16] 研究了给这些frontier model
[43:19] 做数据标注的公司
[43:21] 最大的一个体感就是
[43:23] 如果模型数据分布里面
[43:25] 没有这类数据
[43:26] 这类任务就是不work
[43:28] 只有压缩过这类数据
[43:30] 这个任务才work
[43:32] 所以你就感觉今天的模型
[43:35] 还是一个巨大的压缩器
[43:37] 数据太重要了
[43:38] 是的
[43:39] 它都需要很多冷启动的激活数据
[43:42] 其实今天的模型
[43:44] 它在知识层面已经超过了
[43:46] 巨大多数的人
[43:48] 但是agent却没有见过
[43:50] 人真实工作的环境
[43:52] 所以就是
[43:53] 还要找大量的人类专家
[43:55] 真实工作环境的数据
[43:57] 比如说打一面电源
[43:58] 怎么操作Foodshop
[44:00] 销售人员怎么操作CRM
[44:03] 银行的会员怎么用系统
[44:05] 皮肤科医生怎么看病
[44:07] 其实都要征流人类金牌级别的专家
[44:10] 这些数据
[44:11] 然后在L的training
[44:13] 才让Python才能繁化
[44:15] 你就突然感觉
[44:17] 这很像自动驾驶
[44:19] agent要处理的常委数据量很大
[44:21] 而且解决常委问题
[44:23] 需要的时间很久
[44:25] 之前大家有句话
[44:27] 叫模型级产品
[44:29] 但其实后面还有句话
[44:30] 叫数据级模型
[44:32] 就是模型级产品
[44:33] 数据级模型
[44:34] 我觉得这个是一个
[44:36] 强烈的感受
[44:38] 关于AGI这个问题
[44:40] 我们听过一个rumor
[44:42] Sam最近也在内部说
[44:44] 先忘掉AGI
[44:48] 当你过去一段时间
[44:50] 搞明白了模型公司
[44:52] 怎么弄数据之后
[44:53] 大家都在很大的力气去搞数据
[44:56] 我觉得
[44:58] 这让我对AGI需要的时间
[45:01] 预期肯定是拉长了一些
[45:03] agent的落地
[45:05] 需要的时间更久一些
[45:07] 但是在局部知识工作者
[45:09] 这个群体可能很快的
[45:10] 比如说coding
[45:11] 对吧
[45:12] 所以我觉得现实一点的说
[45:14] 在知识工作者这个群体
[45:16] 局部的实现R3或R4的体验
[45:20] 是能看得到的
[45:21] 比如说chatGPT做信息获取
[45:23] 对吧
[45:24] coding agent
[45:25] office ppt excel agent
[45:27] 对吧
[45:28] 投研的agent
[45:29] 我觉得围绕知识工作者
[45:31] 这个群体是能挖出来
[45:32] 更多像coding一样的金矿的
[45:35] 所以这个结论就是说局部的R3R4
[45:41] 确定性非常高
[45:43] 很难整体的到R4
[45:45] 但即便是现有的两个方式
[45:48] 就是预训练和标数据
[45:50] 做R这些
[45:51] 我觉得有可能也能让AI系统
[45:53] 比绝大多数的白领知识工作者
[45:56] 效率高很多
[45:57] 也是有很高的经济价值的
[45:59] 但能不能真正意义上
[46:00] 吃到那个工资的预算
[46:02] 或者说大规模的解决人类的
[46:05] 高价值
[46:06] 这个我觉得是不好说的
[46:08] 如果这个周期拖得比较久
[46:11] 那就是烧现金流的
[46:13] 现金流之战
[46:15] 那如果这样的话
[46:16] Google自己是很有优势的
[46:18] Meta投入太大了
[46:19] 我觉得不好说
[46:20] 那就说Anthropic
[46:21] 它是一个棋子的价值
[46:23] 我们相信OPEN还是能融到
[46:25] 非常多钱的
[46:26] 因为美国资本比较充裕
[46:28] 那是不是这些frontier lab
[46:30] 都要走向垂直走向分化
[46:32] 我觉得分化会更加明显
[46:34] 在自己的战略beta之下
[46:36] 会做到更机智
[46:38] 所以所谓的通用的chabot
[46:40] 通用的agent
[46:41] 它可能是一个伪命题
[46:42] 我觉得要在通用的能力基础之上
[46:45] 做自己的分化
[46:46] 在垂直场景里找价值
[46:48] 在某一类场景里找价值
[46:51] 你比如说ChatGPT做朋友
[46:54] Anthropic做coworker
[46:56] coding agent对吧
[46:58] Gemini做多模态的助理
[47:00] 大家都要向下优化各自的数据
[47:03] 那我们来聊聊投资啊
[47:04] 你的主业
[47:05] 其实你现在认知
[47:06] 你的投资策略有没有变化
[47:09] 如果简单的说就是说
[47:11] AI的投资就是bytown
[47:14] 技术成长最陡峭的地方
[47:16] 围绕主线嘛
[47:18] 如果简单的几句话就是说
[47:21] 你应该投全球最领先的
[47:23] 两三家模型
[47:24] 这个就很像当年投电商平台
[47:27] 其实不存在小而美的垂直电商
[47:29] 第二就是投最领先模型需要的算力
[47:33] 和归基的infra
[47:35] 就像宁德时代和英伟达
[47:38] 都是一类公司
[47:39] 大家总还是低估这个趋势的大小吧
[47:42] 然后第三就是
[47:43] 投最领先模型技术溢出的红利
[47:46] 那肯定还会有更多的
[47:48] Property Cursor对吧
[47:50] 这种从技术溢出的
[47:53] 夹缝中快速冲到几百亿美金的公司
[47:56] 那往大了说可能还有
[47:58] 拼多多和TikTok这种级别的机会对吧
[48:01] 因为拼多多的本质还是说
[48:02] 中国的电商的技术设施非常好了
[48:04] 物流交通
[48:05] 微信的流量
[48:06] 供应链对吧
[48:07] 支付这些都成熟了
[48:09] 我觉得AI的技术设施
[48:10] 今天正是在走向成熟的这个阶段
[48:13] 然后我觉得今天的投资策略里面
[48:17] 一定要关注几个大的平台
[48:19] 一个是ChatGPT
[48:21] 一个是Google Gemini
[48:22] 还有一个字节对吧
[48:23] 还是要理解平台眼睛的逻辑的
[48:26] 平台能做好啥
[48:27] 平台做不好啥
[48:28] 我觉得这几个大的公司
[48:30] 再涨个三五百多
[48:31] 再涨个三五倍概率是更大的
[48:33] 而且是简单体
[48:34] 但是平台又没做好的
[48:37] 有漏洞的一些地方对吧
[48:39] 我觉得这个是比较重要的
[48:41] 今天这个时间点
[48:42] 我觉得是比较关键的
[48:44] 就是说站在今天
[48:46] 未来三年的BET到底是啥
[48:49] 所以我觉得通过深度的研究
[48:53] 是可以找到爆发性的机会的
[48:55] 研究真的可以做得很深
[48:57] 当核心策略的吧
[48:59] 我觉得其实很多
[49:00] 很多人并没有真的做好top-down的
[49:04] 深入的focus的研究
[49:06] 你是研究型驱动的投资
[49:09] 不是人脉型驱动的投资
[49:11] 都重要的
[49:12] 我觉得都重要
[49:13] 所以回到AGI的投资策略
[49:17] 你只拜挡一家是风险也很大的
[49:20] 最好是投多家
[49:21] 因为大家是交替以前
[49:23] 技术变化太快
[49:24] 最好的还是有一个篮子
[49:26] 我觉得是比较好的
[49:27] 因为确实比较难
[49:29] 最终判断哪一家是温暖
[49:32] 阶段性我们觉得AnswerPick非常好
[49:34] 今天我们觉得OpenAI非常好
[49:36] 中间有一段时间觉得Google非常好
[49:38] 最好是有一个组合吧
[49:43] 你现在理想中的AGI的index有变化没有
[49:46] 上一期播客应该是
[49:48] 40%的OpenAI加40%的字节
[49:52] 10%的Google 10%的AnswerPick
[49:54] 我觉得现在是25%的OpenAI 25%的字节
[49:59] 10%的Google 10%的AnswerPick
[50:02] 再加10%的英伟达和台积电
[50:04] 每家都放一些
[50:05] 就是多了英伟达和台积电
[50:07] 我觉得
[50:09] 你觉得英伟达还没建立
[50:11] 不能当做投资的
[50:14] 这个不作为投资建议
[50:16] 我觉得英伟达今天是被低估的
[50:19] 因为Google起来了
[50:21] Google起来了
[50:23] 你觉得英伟达会跟OpenAI
[50:24] 我觉得会交替领先
[50:26] 另外我觉得还有一个点
[50:29] 就是说你看ChassisGPT今天
[50:31] 发布刚过了三周年
[50:34] 那今天要想未来三年
[50:37] 重要的范式和winner
[50:39] 到底会是什么样的
[50:41] 所以我觉得这些New Labs
[50:43] 不管是SSI
[50:45] 也是应该好好考虑的
[50:49] 我们马上就要迈入2026年了
[50:52] 作为投资人你最期待的是什么
[50:54] 你接下来一年愿意投哪些主题
[50:58] 我觉得最重要的还是
[51:00] 2026年希望看到下一个
[51:04] 核弹级别的范式突破
[51:06] 比如说online learning
[51:08] 如果这个突破了
[51:10] 可能能带来更加主动的agent
[51:14] 产品形态也会发生变化
[51:17] 我觉得还有一个比较重要的
[51:20] 就是看到了豆包手机这个例子
[51:23] 不知道豆包手机最后会怎么样
[51:25] 但我觉得给了很大的启发
[51:27] 思考就是
[51:29] 叫agentic web
[51:32] 我觉得这才是真正的web3
[51:34] 终于有了这样一个power
[51:36] 让创业公司或者新公司
[51:38] 有掀桌子的机会
[51:40] 之前几年是很难的
[51:42] 这是一个流量短路
[51:45] 和极强颠覆性的一个东西
[51:48] 我觉得26年围绕知识工作者
[51:52] 可能是有挺大的
[51:54] 尤其是coding吧
[51:56] 包括多摩泰进步也会很快
[51:58] 有可能是一个多摩泰的大年
[52:00] 多摩泰对整个的技术架构
[52:02] 也会有很大的影响
[52:05] 你刚刚提到agentic web
[52:07] 能不能展开讲讲
[52:09] 对 agent如果成为流量入口了
[52:12] 对今天的super app
[52:15] google search也好
[52:16] 手机厂商也好
[52:17] 我觉得影响还是很大的
[52:19] 其实是一个流量的终局之战
[52:22] 其实本质是抢的流量的分配权
[52:25] 如果agent真的像做到助理一样
[52:28] 不限量的运转
[52:30] 那你比如说对uber
[52:31] 对携程公司影响是很大的
[52:33] 其实我觉得是一个颠覆性很强的
[52:35] 这个掀桌子的技术点吧
[52:39] 你花时间在硅谷比较多
[52:41] 能不能给我们讲讲
[52:42] 最近湾区的一些重要的趋势
[52:44] 我觉得有几个感受吧
[52:46] 第一就是刚才说的
[52:48] 模型及产品
[52:50] 数据及模型
[52:52] 第二个感受就是
[52:54] 一横一纵
[52:55] 就是横向的在征流人类专家的知识
[52:59] 纵向的又在搞下一代饭食
[53:01] 然后硅谷也出现了很多new labs
[53:04] 新的实验室
[53:05] 包括硅谷的机器人
[53:07] 过去半年进步也不错吧
[53:10] 待会我们也可以聊聊
[53:13] 硅谷这些主要的AI公司
[53:16] 从上到下的AR
[53:18] 这个年化营收的增长的情况
[53:20] 模型及产品
[53:21] 数据及模型
[53:22] 有什么可以展开的吗
[53:25] 其实你看过去几年
[53:27] 最大的体验的升级
[53:29] 还是来自模型的升级
[53:31] 模型升级呢
[53:32] 本质都是数据的升级
[53:34] 就是
[53:35] Google之所以多么太强
[53:37] 其实还是弄了很多
[53:38] 真实的多么太的数据
[53:39] 对吧
[53:40] 图像各种
[53:41] Anthropic的coding墙
[53:42] 本质还是有最高质量的一个code的数据
[53:45] 那OPEN还更注重的是
[53:47] 模型的性格
[53:48] 或者拟人化朋友这些
[53:50] 那你看Sora
[53:52] 其实她更重视
[53:53] 秘密和传播性
[53:55] C端很强
[53:56] Google的view呢
[53:57] 很注重的是
[53:59] 创作者的体验
[54:01] 生产力量
[54:02] 其实这些呢
[54:03] 都是在模型训练最初
[54:05] 它的数据分布决定的
[54:07] 我觉得这里面
[54:09] 对创业最大的一个建议就是说
[54:11] 除了你要的通用能力
[54:13] 你想做好AI产品
[54:14] 或模型产品
[54:15] 一定要向下的做好数据
[54:17] 你到底有哪些差异化的数据的bytes
[54:20] 我觉得这个是最关键的
[54:22] 搞数据有没有看到什么新的好的方法
[54:25] 有多少人工
[54:28] 有多少智能
[54:29] 有多少最高质量的专家
[54:32] 金牌级别的标注员
[54:35] 采集这些数据
[54:37] 我觉得这是最关键的
[54:39] 你刚才还说了一个观点
[54:41] 叫一横一纵
[54:42] 我就想到
[54:43] 以前大家会担心
[54:44] OPEN还成为一个大一统的入口中心
[54:46] 流量中心
[54:47] AGI时代的
[54:48] 唯一的一个大的入口
[54:50] 今天看应该不可能了
[54:52] 这个
[54:53] 是不现实的
[54:54] 我觉得还有这种概率
[54:55] 只是过起来
[54:56] 大家觉得
[54:58] 它的容量性不会那么强了
[55:00] 而且似乎是有很多级的入口
[55:03] 之前杨顺宇那个观点
[55:05] 世界不是单级的
[55:06] 对
[55:07] 而且手机厂商明年
[55:08] 可能也是一个重要的主题
[55:10] 一横一纵能不能展开讲讲
[55:12] 横向就是
[55:14] 征流人类专家的知识
[55:16] 横向拓宽更多的行业领域
[55:20] 其实这样做
[55:22] 有可能AI的上限也挺高的
[55:24] 那个
[55:25] 就觉得这样做就能到AGI了
[55:27] 超过绝大多数的知识工作者
[55:30] 纵向就是下一代范式
[55:31] 刚才聊的
[55:32] 对吧
[55:34] 纵向突破了记忆的问题
[55:36] 这个问题解决了
[55:37] 边推理边学习
[55:38] 对吧
[55:39] 有交互
[55:40] 甚至有新的硬件
[55:41] 尤其是AI产品更主动
[55:43] 可以always on
[55:44] 对吧
[55:45] 后台帮你准备联想很多东西
[55:49] 包括交互形态
[55:50] 对吧
[55:51] 然后
[55:55] 有个 chainshift
[55:57] 今天是必须promise之后才会回答
[55:59] 不会主动思考
[56:00] 每次提问他都要从头推理一遍
[56:02] 推理过程中其实还没法学习
[56:04] 最近open海的mark
[56:05] 成再有一次访谈中说到
[56:06] 他心中的下一代产品
[56:08] 应该是memory记忆能力大幅提升
[56:11] 用户
[56:12] AI会从用户的提问中
[56:15] 学到用户
[56:18] 深层次的问题
[56:19] 用户的一些经验
[56:20] 那个下次用户提问的时候
[56:21] 他已经做了很多反思
[56:23] 甚至准备联想了很多东西
[56:26] 越用会越聪明
[56:28] 那在这种情况下呢
[56:30] 更聪明更主动的 agent
[56:31] 那有可能他也需要他的一个
[56:34] 适配的硬件的交互方式
[56:36] 硅谷最近出现很多 new labs
[56:38] 其实不止我们知道的 ssi 和
[56:40] think machines lab
[56:42] 能不能给大家展开
[56:43] 讲讲这些 lab 的分布
[56:45] 对最领先的肯定还是 ssi 对吧
[56:49] 伊利安
[56:50] 在做的然后做模型的自主学习
[56:53] 这个现有的范式都是预测
[56:56] 下一个 token 的吧
[56:57] 他可能想预测
[56:58] 一个更长的逻辑
[57:00] 那 think machines 刚才也提了
[57:01] 可能有一盘大气
[57:04] 然后
[57:06] 还有一个 opa 的 post train 的 lead
[57:08] lamb 出来做的
[57:10] periodic labs
[57:12] 他是做
[57:13] 材料的模型应该说是叫室温超导
[57:17] 那个 lamb 呢
[57:19] 他是 opa 之前
[57:20] post train 的 lead
[57:21] 是 mira
[57:23] 这个 barrett 他们走了之后
[57:25] 这个 lamb 一度做 post post train 的负责人
[57:29] 然后
[57:30] 他另外一个连创是那个 deepman 的
[57:33] 化学模型的负责人
[57:35] 材料大模型其实比医药大模型相比呢
[57:38] 就是说材料的实验反馈周期更短
[57:41] 然后模型做
[57:43] hour 的整个周期是更短的
[57:46] 但但这个呢什么时候出结果
[57:49] 其实也看不到
[57:50] 嗯还有比如说做 multi agent 方向的
[57:54] isara 啊创始人也是opena 出来的
[57:58] edie 爱迪章
[58:00] 嗯他是做一个
[58:02] 相相当于群体智能
[58:04] 就是训练 multi agent 各种需要的环境
[58:09] 嗯
[58:10] 还有还有 mass and
[58:13] 啊这个是 xa 出来的
[58:14] 然后这个更想是做一个有同理心的模型
[58:20] 这个
[58:20] 呃比较像最早有个公司叫 inflexion
[58:23] 那个方向做的吧
[58:25] 还有比如说
[58:26] 啊 general intuition
[58:28] 就是这个是一个
[58:30] 世界模型方向比较有意思的一家吧
[58:32] 他以前是一个
[58:34] 游戏集锦那种高光的录制平台
[58:37] 说是有38亿的游戏片段
[58:41] 这个积累的一些数据
[58:43] 然后那那他跟 youtube 这些数据最大区别
[58:46] 就是说
[58:47] 他这些记录的全都是这个用户在
[58:50] 游戏过程中的高光时刻
[58:51] 所以天然的获得了用户
[58:54] 嗯标注的这种高质量和操作的反应数据
[58:57] 嗯还有一个比较有意思的就是
[59:00] 英伟达最近投的 reflection
[59:02] 就是这个像是一个美国版的 deep seek
[59:06] 因为现在是中国的开源模型
[59:08] 充斥了这个美国的各种企业
[59:10] 嗯这个很多一一批人认为
[59:13] 这个不能过度依赖中国的开模型
[59:15] 所以要扶持一个美国的开源模型
[59:18] 填补这个空白吧
[59:20] 那你从机器人你有什么动产的
[59:22] 嗯
[59:24] 一个是从时间上
[59:26] 过去一段时间都发了很多东西
[59:29] 因为欧巴的 chp 火了之后
[59:32] 很多人
[59:34] 出去创业对吧
[59:35] 都想做机器人领域的欧盘啊
[59:38] 比如说派啊
[59:40] sandy
[59:41] generalist 呃
