[00:04] 我应该是公司第一个离职的人
[47:34] 它就是一份来自于CHATGBT的内生数据
[47:38] 嗯
[47:39] 对
[47:39] 所以啊
[47:40] 我们会认为说CHATGBT它是对于所有去做应用的公司来讲
[47:45] 都是一个非常好的这个参考的样本啊
[47:48] 就什么意思呢
[47:49] 呃
[47:49] 它通过去创造一份之前不存在的数据啊
[47:53] 来去进行解决这个问题的过程里面呢
[47:53] 呃
[47:53] 来去建立起来了自己的呃
[47:57] 自己的产品价值啊
[47:59] 以及所谓的壁垒啊
[48:01] 只是只是因为它原本是做模型的
[48:03] 所以它天然就有自己的模型
[48:06] 对啊
[48:06] 就是它是在呃
[48:08] 做产品的第一天就把模型的那个工作环节给补上了啊
[48:12] 而已
[48:12] 那对于呃
[48:14] 未来要去做应用的公司
[48:16] 其实大家也是可要去要去参考这样的一个路径的啊
[48:20] 是什么呢
[48:20] 是说在去做产品的这个过程中呢
[48:22] 是说在去做产品的这个过程中呢
[48:22] 是说在去做产品的这个过程中呢
[48:22] 是说在去做产品的这个过程中呢
[48:23] 是说在去做产品的这个过程中呢
[48:24] 可能要从第一天开始啊
[48:26] 就要去设计出一份之前这个世界上不存在的数据啊
[48:31] 它是通过你设计了这样的产品形态啊
[48:34] 才产生的
[48:35] 并且未来这份新的数据
[48:37] 它是会和你自己的模型能够呃
[48:41] 就是能够被迅回去啊
[48:43] 那这样的话呃
[48:45] 就是刚才讲的那个问题
[48:46] 就是你做的这个事情到底和就是最底层的那个越来越通用的这个模型
[48:51] 它的关系
[48:52] 如何去保持
[48:53] 一个安全距离
[48:55] 嗯
[48:55] 的一种解法
[48:56] 对
[48:57] XGBT有数据飞轮吗
[48:58] 它的把数据迅回去对它的产品价值是什么
[49:02] 嗯
[49:03] 有一段时间
[49:04] 有一段时间模型的能力是变化非常快的
[49:08] 就是从XGBT刚出到GBT4那段时间啊
[49:12] 它的那个模型能力的变化是是非常非常快的
[49:15] 嗯
[49:15] 对
[49:16] 但是再往后
[49:17] 你会发现说
[49:19] 哎
[49:19] 这个模型能力好像
[49:20] 就是它的那个进展没有那么快了
[49:22] 甚至有一段时间
[49:23] 它的模型能力是出现出现下降的啊
[49:27] 就是所谓降质
[49:28] 就大家直观的感受是降质
[49:29] 这降质里面
[49:31] 呃
[49:31] 当然有来自于比如说它要去做成本的优化啊
[49:36] 它去
[49:36] may比它换了更小的这个模型
[49:38] 当然有这种可能啊
[49:39] 嗯
[49:40] 呃
[49:40] 但是它其实也存在另外一种呃
[49:44] 另外一种可能
[49:45] 就是如果你不经筛选的去把所有的用户数据都训练回模型的话
[49:50] 那我们刚才讲过
[49:52] 其实数据它是绝对不可能的啊
[49:53] 它是决定了模型的智能的
[49:55] 对
[49:55] 那也就那也就意味着说
[49:57] 你的
[49:58] 就是你的这个模型的能力就会趋同于所有用户使用所代表的那个
[50:04] 就是就是那个用户的平均平均智能水平
[50:07] 对啊
[50:09] 对
[50:09] 所以就回到你的回到你的这个问题
[50:11] 就是嗯
[50:13] 其实数据飞轮这个词可能它不太准确了
[50:16] 因为数据飞轮它往往代表的是呃
[50:20] 大家可能直观理解就是这些数据它都是有用的
[50:22] 但是实际上并不是所有的数据都是有用的
[50:25] 嗯
[50:25] 呃
[50:26] 有一个很重要的工作
[50:27] 我们刚才讲到模型产品经理
[50:28] 他有一期的工作内容
[50:29] 对吧
[50:29] 其中有一个很重要的内容
[50:31] 他如何去决定sysmone
[50:32] 他的这个能力啊
[50:34] 那一种方法就是说你其实要从数据里面应该有某种机制能够找到代表着更高智慧的那些数据
[50:42] 嗯
[50:43] 啊
[50:43] 而不是一股脑的把所有的这个数据都都训回去
[50:46] 对
[50:46] 那对司机数据应该是取优质司机的百分之三十
[50:49] 百分之五
[50:50] 我忘了的数据
[50:51] 然后再做训练
[50:52] 训练
[50:53] 他不能拿所有司机的数据
[50:54] 是的
[50:54] 是的
[50:55] 是的
[50:55] 就比如说sf
[50:56] 呃
[50:56] fst
[50:57] 他今天能够用于去训练的数据可能已经不足千分之一了
[51:02] 但一开始肯定不是这样啊
[51:03] 对
[51:04] 他是不断的去提高他对于数据筛选的一个标准啊
[51:08] 那这里面不同的不同的行业啊
[51:11] 然后不同的产品形态
[51:13] 那其实他就会有不同的筛选的方法和逻辑
[51:16] 嗯
[51:16] 对
[51:17] 但是大的原则都是说
[51:19] 呃
[51:19] 你要从已有的这些数据里面
[51:21] 去
[51:22] 找到对智慧有增量的那个部分
[51:25] 嗯
[51:25] 这有效数据需要是高质量数据
[51:26] 不能是所有的数据
[51:28] 是是高于模型当前水平的数据
[51:30] 就是你得让给一个更聪明的人学才行
[51:33] 呃
[51:33] 是的是的
[51:33] 嗯
[51:34] 嗯
[51:34] 其实聊到这里就回答了前面的那个问题
[51:38] 就是为什么为什么会出来
[51:40] 是因为
[51:42] 你推演出了未来有一个属于AI应用的那个阶段
[51:48] 并且这些AI应用是不用
[51:51] 像
[51:52] 这个ChatDVD刚出来的时候
[51:54] 大家去担心说
[51:55] 哎
[51:55] 我我做一个产品
[51:56] 然后第二天我就会被机座模型给吃掉
[52:00] 呃
[52:00] 就是你你是没有没有这个顾虑的
[52:03] 啊
[52:03] 因为你可以通过去构造自己新的产品形态
[52:06] 去产生一份内生数据
[52:07] 啊
[52:07] 未来长期的和机座模型去保持一个共同存在
[52:11] 啊
[52:12] 的这样一个状态
[52:13] 嗯
[52:13] 对
[52:14] 那
[52:14] 所以就是想办这些之后
[52:17] 就出来了
[52:17] 对
[52:18] 你说你在月去月日安眠之前经常做产品
[52:21] 就发现
[52:22] 就是做在了OpenAI的延长线上
[52:24] 就是他会被模型公司碾压
[52:26] 你现在怎么避开他的延长线呢
[52:28] 这这其实是一个竞争的问题啊
[52:30] 这其实是个竞争问题
[52:31] 就首先不会存在说你能做其他人做不了的事情
[52:36] 啊
[52:37] 就永远不存在
[52:37] 就不要说OpenAI了
[52:39] 就是任何任何一个公司
[52:41] 你都不能说他做不了你做的事情
[52:44] 嗯
[52:44] 啊
[52:45] 所以这里面我们会我们会去看这么几个维度
[52:49] 第一个维度是
[52:51] 呃
[52:52] 大家的目标的问题
[52:54] 就是你做这件事情到底是为什么
[52:56] 啊
[52:57] 对
[52:57] 这个目标
[52:58] 每一个公司他即使是可能看那个产品现在非常像
[53:02] 但其实大家目标一定是不同的
[53:04] 这个目标他会影响什么
[53:05] 他会影响说你最终在发展过程中去走的那个路径
[53:10] 以及说这些路径
[53:11] 他其实也会反向去影响你的目标
[53:13] 就是他会他会导致你可能走走出一条跟别人不一样的路
[53:17] 到达一个不一样的终点
[53:18] 嗯
[53:18] 然后第二点是说
[53:20] 啊
[53:21] 第二点是说
[53:22] 呃
[53:23] 你的这个叫位置的这个问题啊
[53:26] 就是你是从一个什么样的出发点啊
[53:30] 来去来去做这件事情啊
[53:33] 什么意思呢
[53:33] 就是比如我们刚才讲说
[53:36] 你要去做呃一个应用层
[53:39] 其实第一步是要想清楚你读的数据是什么
[53:43] 那往下去延伸说那这份数据
[53:46] 因为他之前不存在啊
[53:48] 因为他之前不存在
[53:49] 所以他是需要你去设计的
[53:51] 啊
[53:51] 那所以你看
[53:53] 如果你是从第一天开始
[53:56] 以设计一个新的数据来作为起点和我从一个就是要去解决某一个某一个很很特定的有商业价值的问题
[54:06] 我去设计他的那个软件功能的形态为出发点
[54:10] 那这个位置他就是不一样的啊
[54:13] 那目标和位置他又会影响什么呢
[54:17] 他会影响说大家未来呃发展过程中的质量呢
[54:20] 呃发展过程中的质量呢
[54:20] 呃发展过程中的质量呢
[54:20] 呃发展过程中的质量呢
[54:20] 呃发展过程中的质量呢
[54:20] 呃发展过程中的质量呢
[54:20] 呃发展过程中的质量呢
[54:21] 呃发展过程中的质量呢
[54:21] 呃发展过程中的质量呢
[54:21] 这个速度
[54:21] 嗯
[54:23] 嗯
[54:24] 对他会影响他会影响速度
[54:26] 哈哈
[54:26] 对那当然这个速度他本身也带有组织的属性啊
[54:31] 那一定是呃就是团队越小团队人才密度越高越早期
[54:38] 他的速度他大概率是快的啊
[54:41] 就是包括他的行动的自由度可能也是更高的
[54:44] 对所以回回到你的问题
[54:46] 就是我们并不认为说今天
[54:49] 我们在做的事情或者任何一家公司在做的事情
[54:53] 呃大厂不会做
[54:54] OpenAI不会做
[54:56] 呃如果他们压根都不思考这个问题
[54:59] 那大概率说明说你想的这个方向可能是有可能是错的
[55:03] 嗯
[55:04] 没有价值
[55:05] 对
[55:06] 呃所以不存在不存在这个可能性
[55:08] 那呃唯一的差别在于说你去做这件事情
[55:15] 你的出发点
[55:16] 然后你的这个前进速度
[55:17] 然后以及你设定的那个目标的不同
[55:19] 最终会导致你和其他人做这件事情
[55:24] 呃你的这个路径和最终达到那个终点
[55:27] 嗯
[55:28] 一定是不一样的
[55:29] 啊
[55:29] 就是今天可能
[55:32] 可能很多方向上面呃大家这个产品形态会会非常像啊
[55:37] 比如之前做chat的时候
[55:39] 大家都是chatbot
[55:40] 啊
[55:41] 对
[55:41] 然后可能接下来做coding啊
[55:44] 大家都是这个就是cursor的那个那个形态
[55:48] 对呃
[55:49] 这些都是这些都是今天这个时间点在产品非常早期的时候
[55:54] 呃我们去看到的一些
[55:57] 就是方法的收敛啊
[55:59] 他他在这个方法的收敛
[56:01] 就做这件事情方法
[56:02] 大家是收敛的
[56:03] 比如说产品形态
[56:04] 这个软件就该长这样
[56:05] 对吧
[56:05] 大家都应该有一个chat框
[56:06] 然后大家都应该有一个ide
[56:08] 啊
[56:08] 这个东西已经收敛了
[56:09] 嗯
[56:10] 对
[56:10] 但是你底层的做法
[56:12] 然后以及你做这件事情的目标
[56:15] 啊
[56:15] 会导致说接下来的这个时间
[56:17] 大家的分化会越来越大
[56:19] 嗯
[56:19] 所以就是我不知道这么的能不能就是回答你的这个问题啊
[56:24] 就是首先我们也不会去担心或者是呃或者是焦虑
[56:31] 就是其他人他是不是在做同样的事情
[56:34] 其他人会不会去做这个同样的事情
[56:36] 那我们要去关心的就是说自己是从一个什么样的起点去出发的
[56:41] 那我们的目标是什么
[56:42] 然后不断的去找到说达到那个目标
[56:45] 中间的这个路径
[56:46] 怎么让他速度最快就可以了
[56:48] 嗯
[56:48] 嗯
[56:49] ,你刚才你说了三份数据
[56:51] 第一份数据是公寓数据
[56:52] 第二份是领域数据
[56:55] 第三份是这种新产品带来的新的内生数据
[56:59] 第一份数据
[56:59] 第二份数据我们都很清楚
[57:01] 第三份你觉得哪些产品实现了
[57:03] 那你看来你觉得满足你说的这个条件
[57:06] 就是能够在产品内产生新的数据
[57:08] 今天来看
[57:10] 嗯
[57:12] 其实不那么多
[57:13] 为什么
[57:14] 因为
[57:16] 我也觉得不那么多
[57:17] 对
[57:17] 因为因为这个阶段他就是
[57:19] 就是相对靠后的啊
[57:21] 他就是相对靠后的
[57:23] 嗯
[57:24] 因为这个东西就是这个东西
[57:26] 他是隐藏在产品背后的
[57:27] 就是你看他的这些产品界面
[57:29] 你可能是没有办法去
[57:32] 去猜测说他背后到底有没有去涉及自己的这个数据
[57:36] 嗯
[57:36] 你是看不出来的
[57:37] 所以我可能就回答你这个问题
[57:39] 我可能只能从我们自己的这个例子来去说
[57:42] 对
[57:43] 比如我们现在在做的这个产品是跟我们来称称叫视频生产相关的
[57:49] 对
[57:50] 那我们去做这个产品的第一步其实并不是直接去设计一个视频编辑器的形态
[57:59] 软件形态
[58:00] 啊
[58:00] 而是什么呢
[58:01] 而是从设计一个如何去表达视频和制作方法的语言体系开始的
[58:09] 嗯
[58:10] 对
[58:10] 就是一个视频
[58:11] 他为什么是这样
[58:13] 你如何用一种很清晰的结构化的语言能够去描述出来
[58:19] 然后一个视频
[58:21] 他为什么被做出来是这样
[58:23] 他的这个制作过程也应该是可以用一种非常结构化
[58:28] 非常清晰
[58:28] 明确的这个语言去表达出来的
[58:30] 对
[58:31] 所以这个其实是我们工作的出发点
[58:34] 啊
[58:34] 叫一个视频
[58:35] 他长什么样
[58:37] 以及他的制作过程应该是可以用一种语言去描述的
[58:42] 啊
[58:43] 那这份语言至少在我们的这个视野里面
[58:48] 他之前并不存在
[58:49] 嗯
[58:50] 他是我们他是我们设计的一个DSL
[58:53] 就是一个特定领域语言
[58:54] 嗯
[58:55] 然后第二步才是说从这样一个语言再往下去走
[58:59] 那我前面应该有一套什么样的这个技术的这个架构
[59:03] 从数据的存储开始啊
[59:05] 然后包括到呃
[59:08] 今天可能叫agent框架
[59:10] 对吧
[59:11] 或者是workflowanyway各种各样的东西
[59:14] 呃
[59:14] 再到前面的软件的这个界面
[59:18] 其实我们会把软件界面称为是一个environment
[59:21] 是一个环境
[59:22] 啊
[59:23] 对
[59:24] 就是你应该了解就是强化里面的概念
[59:27] 是你要去搭建
[59:27] 你要为智能体活动去搭建一个环境
[59:30] 呃
[59:31] 为什么
[59:31] 为什么要去这么去做
[59:32] 呃
[59:33] 因为只有完成了从语言的设计
[59:38] 其实也就是数据的这个定义
[59:40] 他有和这套语言所匹配的整个工程的这个实现
[59:45] 我们来讲说从数据存储到前面的这个设计的这个设计的这个实现
[59:46] 我们来讲说从数据存储到前面的这个设计的这个实现
[59:46] 我们来讲说从数据存储到前面的
[59:48] 呃
[59:49] 比如说整个软件概念设计啊
[59:51] 这个概念建模
[59:53] 然后再到前面
[59:54] environment里面的各种功能
[59:56] 每一个按钮
[59:57] 然后用户的每一个指令
[60:00] 你都能够用语言的方式把它连起来
[60:03] 嗯
[60:03] 啊
[60:04] 那这件事情他才是
[60:07] 呃
[60:07] 他才是一个足够
[60:09] 我们认为他是未来具备智能化
[60:12] 呃
[60:13] 智能化的一个一个系统
[60:14] 智能化可能的一个系统
[60:16] 啊
[60:17] 怎么样
[60:17] 这种话可能就是
[60:18] 整个这个系统他运行的过程中
[60:23] 人和智能体啊
[60:27] 他都是在这个环境里面去做活动的
[60:29] 嗯
[60:30] 啊
[60:30] 然后这些活动他会去产生数据
[60:33] 然后这个数据
[60:34] 他未来是可以去训练一个模型
[60:37] 嗯
[60:37] 然后并且你能够有足够的方法去筛选
[60:40] 从数据中去筛选出啊
[60:42] 所谓的有效数据啊
[60:44] 那这一切
[60:45] 其实
[60:46] 都是
[60:47] 都其实是从数据
[60:48] 就是从那个我们说的那个设计一份新的数据
[60:51] 设计一种新的语言为出发点
[60:54] 嗯
[60:54] 来去做的
[60:55] 嗯
[60:55] 嗯
[60:56] 呃
[60:57] 这其实只是我们自己的一个实践
[60:59] 就是就像刚才说的
[61:00] 我其实并也我们也不知道就是其他的这个产品
[61:03] 他们呃
[61:04] 是用什么样的这个思路和路径去做
[61:07] 但是呃
[61:08] 只是说
[61:09] 这个是和我们刚才讲的那一套
[61:12] 呃
[61:12] 那套逻辑
[61:13] 呃
[61:13] 在我们产品的实践过程中
[61:15] 他是能够匹配上来的呢
[61:16] 嗯
[61:16] 嗯
[61:19] 嗯
[61:19] 你们现在获得了新的数据吗
[61:20] 对
[61:21] 当然啊
[61:22] 怎么获得的呢
[61:23] 你可以想象成为我们在做的产品
[61:27] 它其实很像一个标注平台
[61:30] 就是这个软件界面
[61:32] 我们来讲它是一个environment啊
[61:34] 这个environment它里面有两种活动的主体
[61:38] 一种活动主体是人
[61:39] 然后另外一种活动的主体是AI啊
[61:42] 叫智能体也好
[61:43] 或者叫其他的名字也好
[61:44] 嗯
[61:45] 对
[61:46] 那
[61:47] 这两种活动的主体是人
[61:47] 对那这两种活动的主体是人
[61:47] 那这两种活动的主体它在活动过程中
[61:51] 是会产生数据的
[61:54] 智能体能产生人也能产生
[61:56] 当然啊
[61:57] 嗯
[61:57] 比如他们做什么
[61:59] 就是一个视频该怎么去做出来
[62:00] 比如这几个镜头的顺序
[62:03] 为什么是A而不是B
[62:05] 就是它的组合为什么是A而不是B
[62:08] 嗯
[62:08] 这个可能是人
[62:09] 就人在生产视频的时候自动
[62:11] 它的工作流就被你记录了
[62:13] 然后这个是你对你来说是一个数据标注
[62:15] 嗯
[62:16] 对啊
[62:17] 你可以这么理解啊
[62:19] 就是为什么叫它环境呢
[62:20] 就是因为
[62:21] 呃
[62:22] 这个环境它代表的是
[62:24] 主体
[62:26] 就是人和AI
[62:27] 它能够去行动的范围
[62:30] 嗯
[62:31] 就这个环境里面你得有一个功能
[62:33] 有一个能力
[62:34] 这个人或者是AI
[62:36] 它才能够按照这个能力去行动
[62:38] 才能产生相关的数据
[62:40] 啊
[62:41] 对吧
[62:41] 嗯
[62:42] 那
[62:42] 呃
[62:43] 再往下一步
[62:44] 这份数据它得能够被学习
[62:46] 嗯
[62:47] 就产生了数据
[62:49] 就这些软件也也在不断的产生数据
[62:51] 嗯
[62:52] 啊
[62:52] 对吧
[62:52] 就是这个所有SaaS的这个产品
[62:55] 因为它都是在线的
[62:56] 所以它都会产生呃这个数据
[62:58] 就人在一直使用
[62:59] 它一直会产生数据
[63:00] 那这个数据是不是一份可被学习的
[63:03] 啊
[63:04] 这点是更更关键的一件事情
[63:07] 嗯
[63:08] 对
[63:08] 那呃什么叫什么叫标注呢
[63:11] 就是其实我们并不会去把用户的这个使用
[63:16] 来去作为来去作为呃
[63:20] 就是未来这个系统要去迭代的迭代的这个这个参考
[63:24] 为什么呢
[63:24] 因为就回到刚才那个点
[63:26] 就是你要去找到所谓叫有效数据
[63:28] 嗯
[63:28] 嗯
[63:29] 呃
[63:30] 所以这件事情它在很长一段时间
[63:33] 这个标注它是由我们自己的专家来去完成的
[63:38] 就我说了它是个标注平台
[63:40] 所以我们其实是会有
[63:43] 你可以认为叫
[63:44] 知道怎么去做出更好视频的
[63:46] 这样的一个角色
[63:49] 嗯
[63:50] 他们来去用这个产品
[63:51] 都好比以前说Deep Seek他们内部有那种
[63:54] 啊
[63:55] 是的是学中文的那种标注
[63:57] 是的是的是的
[63:58] 就是呃欧派做完GBT-4之后
[64:01] 就开始招各种什么Stanford的PhD
[64:05] 然后甚至招一些大学的老师
[64:08] 来去标一些领域的数据
[64:11] 嗯
[64:11] 对
[64:12] 你可以想象成为在自然语言的问答这件事情上
[64:16] ChatGBT
[64:16] 就是一个环境
[64:18] 嗯
[64:18] 啊
[64:19] 只不过这个环境它可以对外系使用
[64:20] 也可以对内系使用
[64:22] 嗯
[64:22] 啊
[64:23] 对于我们来说其实也是一样
[64:25] 所以它会实现的是什么
[64:26] 就是
[64:27] 呃
[64:28] 你其实可以不用在软件层面去做任何的迭代和优化
[64:37] 你通过标注产生数据
[64:39] 然后重新把它内化到你的这套系统里面
[64:42] 你就可以实现让前面的这个用户
[64:45] 它可能昨天做的这个视频和今天做的这个视频
[64:47] 它会感觉到质量不一样了
[64:50] 嗯
[64:51] 那我觉得我自己工作就很希望有一个AI能够记录下来我的工作理由
[64:55] 然后它能帮我以后就是完成
[64:56] 因为我觉得它其实是一个固定的工作流
[64:59] 我很希望AI能取代
[65:01] 嗯
[65:01] 对
[65:02] 因为这其实就是刚才讲到
[65:04] 讲到那个第三个数据的一个非常非常典型的表现
[65:08] 嗯
[65:09] 就是你的工作流
[65:11] 你的know-how
[65:12] 它其实是没有被信息化的
[65:13] 嗯
[65:14] 啊
[65:15] I don't know
[65:16] 就是为什么你们的文章比其他的号的文章可能写的更好
[65:21] 这里面一定是有代表的某种方法的
[65:24] 嗯
[65:24] 对吧
[65:25] 但是这个方法它并没有被信息化
[65:28] 这其实就是一份我们刚才去讲的尚未呃尚未形成的这个数据
[65:34] 嗯
[65:34] 嗯
[65:35] 嗯
[65:36] 哎
[65:37] 那你我当时为什么在众多的呃第三份数据中选择现在这个方向
[65:41] 这个方向是怎么做的选择
[65:43] 嗯
[65:43] 你是24年
[65:44] 对
[65:44] 底开始创业的对吧
[65:46] 是的是的
[65:47] 这个是想了多久啊
[65:48] 哦不
[65:48] 我我们是
[65:51] 24年年初啊
[65:52] 我是24年年初
[65:54] 对出来出来开始创业
[65:55] 嗯
[65:56] 对啊
[65:57] 只是过公司我们成立的那个过程比较坎坷
[66:00] 只是说到24年年中的时候我们才把公司成立起来
[66:03] 哦
[66:04] 对
[66:04] 你是23年年初加入的moonshot
[66:06] 然后23年底离的职
[66:08] 哦
[66:08] 24年年初离的职
[66:10] 24年年初离的职
[66:11] 然后24年年初开始创业的
[66:14] 对啊
[66:14] 对啊
[66:15] 24年Q2才把公司建起来
[66:17] 哈哈哈
[66:18] 怎么坎坷了
[66:19] 啊
[66:19] 是是很坎坷啊
[66:20] 对
[66:20] 这这其实另外一个故事
[66:22] 我们先说前面这个视频这个事情吧
[66:24] 哈哈
[66:24] 好
[66:25] 对
[66:26] 就首先我们当时刚出来的时候
[66:28] 视频这个模态是不成熟的
[66:31] 对
[66:31] 多模态还当时还不是一个主流的声音
[66:34] 嗯
[66:34] 是的是的
[66:35] 就是最成熟的是文字
[66:36] 然后图片也还不错
[66:38] 然后再往下可能是跟声音相关的
[66:41] 对
[66:41] 比如说音乐
[66:42] 呃
[66:42] 视频其实在当时的状态是
[66:44] 呃
[66:45] 是比较早期的一个状态
[66:46] 嗯
[66:47] 对
[66:47] 那为什么去选择这个方向
[66:50] 其实有几点有几点考虑
[66:52] 第一点是从商业层面来去考虑的
[66:56] 嗯
[66:56] 呃
[66:57] 就刚才讲了我们是一个
[66:59] 起于微末的团队
[67:01] 就是我们一开始呃
[67:03] 就很坎坷
[67:04] 没有没有没有什么钱啊
[67:05] 所以我们要想的第一个问题
[67:07] 一定是怎么能够赚到钱
[67:09] 开始去养活自己
[67:11] 对
[67:12] 那呃
[67:13] 视频显然是一个
[67:14] 价值更高的一种模态
[67:16] 对
[67:17] 那视频赛道上面你去研究会发现
[67:20] 比如在呃
[67:21] 比如说在美美国市场上面
[67:23] 呃
[67:23] 虽然这个开卡子
[67:25] 他的这个营收是这个一技绝尘的啊
[67:28] 但是你会发现可能有
[67:32] 20到30家
[67:33] 做所谓视频处理的这种软件产品
[67:38] 萨斯的这种产品
[67:39] 嗯
[67:39] 他的AR都能做到几千万美金啊
[67:41] 他是一个非常典型的这个蚂蚁工具市场
[67:44] 嗯
[67:45] 这意味着什么呢
[67:45] 这意味着说呃
[67:47] 你在任何单点能力上面
[67:49] 如果能做到
[67:51] 足够的好用啊
[67:54] 那你就能够产生不错的收入
[67:56] 因为视频他的这个价值是更高的
[67:58] 嗯
[67:59] 对
[67:59] 然后第二点是从呃技术层面去考虑
[68:03] 因为我们刚才讲了
[68:04] 我们要去做的未来这个产品
[68:06] 他是
[68:07] 他是要从设计一个一个数据出发的设计
[68:11] 设计一门语言出发的
[68:12] 那要去设计一门语言
[68:14] 那这一门语言的前提是这件事情
[68:17] 他能够被设计成为一个所谓的封闭域
[68:21] 嗯
[68:21] 就像围棋一样啊
[68:22] 围棋他有规则
[68:24] 然后他有固定的这个棋盘的位置
[68:27] 啊
[68:27] 就是封闭域代表的说
[68:30] 你你的行动你的下一步的这个行动是可被计算的
[68:34] 嗯
[68:35] 啊
[68:35] 对
[68:35] 所以这这点很重要
[68:36] 那你会发现说视频处理这件事情
[68:39] 对视频处理这件事情
[68:41] 呃
[68:41] 他是可以被设计成一个封闭域的啊
[68:43] 为什么
[68:44] 因为视频的处理过程
[68:47] 你可以把它
[68:49] 其实你就可以把它看成是一系列的
[68:52] 我们打成这样原子能力
[68:55] 比如说视频的某种特效
[68:56] 他就是用原子能力
[68:58] 嗯
[68:58] 啊
[68:58] 一个花字
[68:59] 他就叫一种原子能力
[69:00] 对吧
[69:00] 啊
[69:01] 对
[69:01] 就是视频处理
[69:02] 他的这种原子能力的数量是有限的
[69:06] 啊
[69:06] 你可以用一个最小化的原子能力的集合
[69:09] 就能够做出某种视频
[69:11] 视频的制制作过程
[69:13] 本质上
[69:13] 就是这些原子能力
[69:15] 按照时间关系的一个
[69:17] 这个排序或者是组合
[69:20] 对
[69:20] 所以它是可以被设计成一个封
[69:22] 啊
[69:22] 也意味着说
[69:23] 它符合我们要从设计一个语言
[69:26] 设计一个封闭的任务
[69:28] 出发来去做一个产品的这样的一个呃
[69:31] 技术的一个特点
[69:32] 嗯
[69:32] 什么叫设计能语言啊
[69:34] 就刚才讲的
[69:35] 就是一个视频
[69:36] 它是什么样
[69:37] 然后它是被如何制作出来的
[69:39] 你应该有一套清晰的语言体系
[69:41] 能够去表达它
[69:43] 它是一个学科
[69:45] 你可以这么认为
[69:47] 它是一个高度能够被明练和评判的一个学科
[69:52] 对
[69:53] 就是你可以把它抽象成为一系列的对象
[69:58] 然后每个对象有对应的属性和值
[70:00] 然后这些对象和属性值
[70:02] 它是可以用一种语
[70:03] 就是依托于某种语法
[70:06] 来去表达说
[70:07] 这个视频是这么被做出来的
[70:09] 这个视频它是长成这样的
[70:11] 它并不是说单独给它开了一门语言
[70:13] 它并不是说单独给它开了一门语言
[70:13] 对吧
[70:14] 它其实是一个可描述的状态
[70:15] 但是我们还是用大语言来描述它
[70:17] 它是一种介于自然语言和代码中间的一种形式
[70:22] 就是你人
[70:24] maybe是能够看懂的
[70:25] 但是它有特定的格式
[70:29] 有特定的格式
[70:30] 对
[70:31] 所以刚才讲的是第二个维度
[70:32] 就是从技术上面来说
[70:33] 它是符合我们
[70:35] 就是做这个产品的一个出发点
[70:38] 然后第三
[70:39] 其实还有一个对未来的考虑
[70:42] 这一点其实是
[70:43] 我觉得是有点抽象
[70:46] 并且它未必是对的
[70:48] 只是我们自己会这么想
[70:50] 我们认为说
[70:52] 之前互联网时代
[70:54] 它的模态
[70:55] 不管是PC互联网还是移动互联网
[70:58] 它都是从文字图片
[71:01] 然后再到声音
[71:02] 最后再到视频
[71:03] 是这么发展过来的
[71:05] 对吧
[71:05] 我们去回想PC互联网
[71:07] 然后移动互联网的发展历史
[71:09] 它其实好
[71:11] 那些大的产品都是用
[71:13] 以这样的方式去做互联网的发展历史
[71:13] 这样的一个模态顺序
[71:14] 它发展过来的
[71:15] 是
[71:16] 为什么呢
[71:16] 核心原因在于说
[71:20] 一方面是有所谓
[71:23] 这个硬件和技术的一个约束
[71:25] 比如说流量很贵
[71:27] 对吧
[71:27] 然后其实更主要的是
[71:29] 模态越高
[71:31] 它对人来讲生产的难度也就越大
[71:34] 就是写文字比做视频
[71:37] 一定是要更简单的
[71:40] 就对你来说可能不这么认为
[71:42] 但是
[71:43] 但是你要能写出一篇文字
[71:44] 我不是说这个文字的好坏
[71:46] 就是你能够写一篇文字
[71:47] 作为一个文字的创作者
[71:49] 和你要能做出一个视频
[71:51] 成为一个视频的创作者
[71:52] 它的门槛一定是不一样的
[71:54] 所以它就一定会有这样一个发展顺序
[71:58] 因为门槛更低的
[71:59] 它的产量就会越大
[72:01] 它就会更多的人能够加入到生产
[72:04] 就是写文字的人
[72:05] 他天然就会比做视频的人多
[72:06] 你看这是互联网的特点
[72:08] 因为它并不解决生产问题
[72:10] 对吧
[72:11] 互联网并不解决生产问题
[72:12] 它解决的是连接问题
[72:15] 它解决的是分配问题
[72:16] 分配问题
[72:16] 还有消费的问题
[72:17] 就如何去消费这样一个内容
[72:19] 所以它的生产都是在人这里
[72:22] 今天有了各种各样的生产能力
[72:24] 尤其是这些生产能力
[72:25] 未来越来越成熟之后
[72:27] 其实不同模态的生产能力
[72:31] 它会被拉得很平
[72:33] 就是你要用AI去写出一个好文章
[72:35] 和你要用AI去做出一个好视频
[72:38] 它的门槛可能并不会差异很大
[72:40] 对
[72:41] 那代表了什么
[72:42] 那代表了什么
[72:42] 对那代表了什么
[72:42] 如果说一定是价值更高的模态
[72:47] 它在这个市场上
[72:49] 它就会越来越占据更统治的地位
[72:52] 大家一定更愿意去看视频
[72:55] 对于广大的人民群众来说
[72:57] 大家一定会更愿意去看视频
[72:59] 你就可以从抖音TikTok这种可以看
[73:02] 嗯
[73:02] 是的
[73:03] 对
[73:04] 是的
[73:04] 如果说不同模态
[73:07] 它未来的生产的门槛都被拉到很平了
[73:11] 意味着一件事情
