[00:03] 我思考所有的人类的经济史的时候
[26:55] 其实05年到10年
[26:57] 尽管流量的这个
[26:59] 大的流量被这些巨头把持了
[27:00] 其实创新是不断的
[27:02] 就包括很多很多这个
[27:04] 下面的这个社区类的创新
[27:06] 对吧
[27:07] 然后更
[27:07] 就这是不断的
[27:08] 但是呢他们就抢不到主要的流量
[27:11] 这样呢等到这个10年
[27:13] 移动互联网慢慢崛起之后
[27:16] 新的这个流量形式
[27:18] 新的流量入口的形式产生了
[27:20] 那相当于是新的一波公司
[27:22] 又重新洗牌
[27:24] 又等于说
[27:25] 因为新的入口有了嘛
[27:27] 原有的老的入口
[27:29] 一定程度上
[27:30] 这个让出了大量的市场分
[27:31] 所以大家都在这时候开始做
[27:34] 我们15年一个周期看
[27:35] 到15年
[27:36] 什么发生变化了呢
[27:37] 到15年发生变化的是
[27:40] 整个
[27:41] 短视频
[27:42] 短视频作为主要形态的这个崛起
[27:44] 但在中间我觉得
[27:46] 有一家公司我觉得我特别要提起
[27:49] 就是Pinterest
[27:52] 因为Pinterest在
[27:53] 他应该是2010年吧
[27:55] 如果记错了的话就要这个抱歉
[27:57] 我记得他应该在2010年
[27:59] 成立
[28:00] 我认为他是一次泛式的革命
[28:03] 这个Pinterest就非常
[28:05] 适合
[28:06] 在这个
[28:07] 这种扑克流的形式非常适合在手机上展示
[28:10] 因为之前反正之前我印象里我是没有看到
[28:12] 所以本质上
[28:13] 2010年Pinterest出来之后
[28:15] 我当时也花了比较多的时间去
[28:18] 在中国
[28:19] 去找这些
[28:20] Pinterest的这个公司
[28:22] 我包括当时也跟
[28:23] 像小红书啊
[28:24] 蘑菇街啊
[28:25] 就这些其实都
[28:26] 有过比较深入的
[28:28] 接触
[28:29] 所以
[28:29] 我是认为Pinterest的泛式实际上直接影响到了后来的
[28:33] 内容平台
[28:34] 抖音TikTok
[28:35] 小红书
[28:36] 快手
[28:37] 其实我认为他是一个
[28:39] 我个人认为他可能是一个始作俑者
[28:42] 他把它做成这样
[28:44] 所以
[28:45] 到了15年的时候我是认为
[28:47] 这种类Pinterest的公司
[28:49] 开始崛起
[28:51] 当然他们是以短视频的方式崛起的
[28:52] 并不是以Pinterest的那个
[28:54] 当年的这个样子崛起的
[28:56] 当然今天我们看
[28:57] 图文混排
[28:58] 还是有一个非常重要的意义
[29:00] 今天我们去刷小红书的时候
[29:02] 其实图文混排
[29:03] 还是有它的非常辩解性的地方
[29:06] 所以我就说
[29:07] 这一系列的脉络
[29:08] 到15年爆发出来
[29:09] 所以整个15年
[29:11] 到20年我认为就是短视频大放异彩的这个时代
[29:15] 当然整个这个过程当中始终
[29:17] 这个O2O是在进行当中
[29:18] 对吧
[29:19] 美团 滴滴
[29:20] 就是说包括
[29:21] 摩曼 现象
[29:23] 这个过程也在进行
[29:25] 但是呢我是觉得在20年以前
[29:27] 大概率可能比如18年左右
[29:29] 那新一波的流量
[29:31] 又被刮分完毕了
[29:33] 所以说
[29:33] 当时整个2C的这个投资就进入到了一个相对
[29:36] 很沉寂的一个状态
[29:39] 你怎么看
[29:39] 这其中的这个内容平台的演变
[29:42] 可能从图文到
[29:43] 视频再到短视频
[29:45] 就每一家平台
[29:46] 背后的诞生繁荣
[29:48] 或者是隐落
[29:48] 它背后都是什么原因
[29:51] 其实我们站在历史后面
[29:53] 其实总结总是容易的
[29:55] 我们可以把总结成很简单的原因
[29:56] 但当时你就是想不到
[29:58] 就是我自己
[29:58] 这是我自己的观点
[29:59] 就为什么呢
[30:00] 就说首先
[30:01] 我们可以看到
[30:02] 其实文字是一种很高级形态的知识产品
[30:06] 因为一个人掌握文字要花很长时间
[30:10] 对吧
[30:10] 所以说
[30:11] 全世界各国才要扫盲
[30:13] 因为它很难
[30:14] 所以你得教会一个人
[30:15] 一个非常抽象的这个字
[30:17] 尤其中文也很抽象
[30:19] 我们已经学会了
[30:20] 所以我们习以为常
[30:21] 但图片是比它简单得多的方式
[30:24] 首先所以说所有的这个图文混排
[30:27] 它就是会
[30:28] 倾向于覆盖到
[30:29] 文字
[30:30] 就跟今天你读一本书
[30:32] 认真的读完一本书
[30:34] 实际上是一定的奢侈
[30:36] 奢侈的这个
[30:37] 这个消费
[30:38] 对吧
[30:38] 那到后来短视频
[30:40] 到长视频时代
[30:41] 到长视频时代呢
[30:43] 其实长视频因为人类是很熟悉的
[30:45] 无论是在古代你演一个戏
[30:47] 还是近代你去电影院看电影
[30:48] 看电视
[30:49] 到最后
[30:50] 到长视频平台上的这个
[30:53] 来看
[30:54] 我们对这个内容形式非常熟悉
[30:56] 不过就是换了个界面对吧
[30:58] 所以当时对长视频
[31:00] 我个人一开始也是有很大的期望的
[31:02] 因为长视频天然的时长很长
[31:05] 对吧你可以
[31:06] 想象这个商业模式
[31:07] 应该是比较多
[31:09] 当时我们觉得短视频可能就是
[31:11] 视频那种形态跟长视频一样
[31:14] 所以当时我还会想短视频和长视频
[31:16] 应该怎么比较
[31:17] 但后来我们今天站在这个位置上看
[31:20] 短视频它根本就
[31:22] 不应该跟长视频去比较
[31:25] 短视频根本就是
[31:26] 人类认识世界的基础方式
[31:29] 它根本
[31:29] 形成了人类认识世界的基础方式
[31:31] 当然
[31:34] 我记得
[31:36] 有一次我跟另外一位投资人聊天
[31:40] 他当时
[31:41] 最开始的那个点
[31:42] 我想那个点是
[31:44] 他当时
[31:45] 点醒了我一点
[31:46] 其实
[31:47] 的确是你去
[31:50] 在原始
[31:50] 原始会
[31:51] 一个原始人花很长时间他节省计时他学文字
[31:54] 花很长时间
[31:55] 但是
[31:56] 比如我说那边出了个热闹
[31:59] 那边今天晚上月亮特别大
[32:01] OK特别圆
[32:03] 那我就可以
[32:04] 写段文字告诉另外一个人
[32:06] 但实际上这是一个很高级的做法
[32:08] 写首诗是更高级的做法
[32:10] 但最简单的方式我应该把它拉到那看
[32:12] 我说你看这个月亮
[32:14] 是不是很大是不是很圆
[32:15] 这个过程实际上是个短视频的过程
[32:17] 你仔细想一想
[32:18] 我把它拉到了那个场景里
[32:20] 和我拍给他是接近的
[32:21] 他们就有相似的这个信息丰富程度
[32:24] 所以最后短视频
[32:26] 我是认为短视频的这种
[32:28] 方式它已经不是挑战
[32:30] 竞争公司不是挑战其他的媒体形式
[32:33] 它挑战的是文字本身
[32:35] 所以
[32:36] 今天我把短视频实际上一定程度看作文字的一个
[32:40] 对等产品
[32:41] 所以我从来不认为一个人
[32:43] 一年不看一本书
[32:45] 是什么可耻的事情
[32:47] 你只要一年读同等量的信息密度和你认为应该读的
[32:51] 但不是说随便去杀时间的
[32:53] 那我认为是没问题的
[32:55] 人类本来通过短视频认识世界这是非常正常的事情
[32:59] 所以最后我认为
[33:01] 我们的这种认知方式
[33:03] 终结在短视频
[33:05] 我觉得这是非常正常的
[33:07] 因为人类本身就应该是
[33:09] 应该是这样的
[33:11] 我不认字难道我就
[33:12] 不应该知道信息了吗
[33:14] 所以这是合理化了抖音的出现是吗
[33:15] 对 我认为这一定是
[33:17] 所以我就说这几个产品我也可以跟你分享我一开始用的场景
[33:21] 就最开始
[33:22] 我记得我05年还是06年用这个推特
[33:25] 我第一次
[33:26] 看见推特这个形式
[33:27] 当然后来我也是Fanfo的用户
[33:29] 我也是微博的用户
[33:31] 我当时不知道这东西是干嘛的
[33:33] 我想为什么是140个字
[33:35] 为什么不是更多或更少
[33:38] 我要写什么
[33:39] 然后我就每天在上面写我看了什么书
[33:41] 今天我去了哪
[33:42] 后来我觉得太无聊了
[33:44] 谁会看我这个东西呢
[33:45] 所以我根本无法想象它是怎么备用的
[33:48] 所以当一种产品现在写
[33:50] 出来的时候实际上是
[33:51] 产品的这个研发者
[33:53] 和使用它的者一起创造的
[33:55] 使用者
[33:56] 我可以写观点对吧
[33:57] 然后我可以不停add给别人
[33:59] 然后它慢慢慢慢就出来了
[34:02] 我很早也是musically出来之后
[34:04] 我当时是11
[34:05] 我应该是15年
[34:07] 我出来之后我就开始用musically
[34:10] 我用它就是拍景色配段音乐
[34:12] 拍景色配段音乐
[34:13] 我也想象不到它能怎么玩
[34:16] 通过跳舞伙
[34:18] 对 但后来我们就
[34:20] 这些平台
[34:21] 通过用户
[34:22] 和这个创作者之间的这个互动
[34:24] 用户与用户之间随它起来了
[34:26] 所以
[34:27] 如果你一定
[34:28] 咱们回到刚才那个问题就说
[34:30] 因为你说这些不同形式的这个演进嘛
[34:33] 所以我大概是
[34:34] 这么认为的
[34:35] 其实我认为
[34:35] 人类天然是会
[34:37] 进化到
[34:38] 跟自己
[34:39] 本来不需要学习
[34:40] 不需要很长时间成本投入
[34:42] 就能够认知这个世界的方式
[34:44] 它天然就会回到这点
[34:46] 所以说AI是不是也回到这点
[34:49] AI回到这点的原因是
[34:51] 我最想要的是结果
[34:53] 对吧
[34:54] 对于那些杀时间的应用
[34:56] 我希望要过程
[34:57] 因为这个过程帮我杀时间
[35:00] 但凡是任何效率类的
[35:02] 结果导向的我都想要的是结果
[35:04] 你不用告诉我过程
[35:05] 我越想参与过程越好
[35:07] 工具产品是结果
[35:08] 娱乐产品是过程
[35:10] 对
[35:11] 就kill time save time
[35:13] 你说这些那种平台背后
[35:14] 你觉得有发现什么样的人类行为模式的变化吗
[35:17] 一个是从主动到被动
[35:19] 对
[35:20] 中规8.0开始
[35:21] 其实它就往这个方向转
[35:22] 对吧
[35:22] 不停我可以推荐新东西给你
[35:25] 除了这一点
[35:26] 像碎片化的消费
[35:28] 这肯定是点更容易的
[35:29] 更碎片化的这个消费
[35:31] 你觉得为什么有抖音了小红书案的崛起
[35:34] 小红书是在抖音的延长期间
[35:35] 线上还是
[35:36] 我觉得可能在一个播客节目里很难穷尽他们的不同
[35:40] 但我原来曾经跟别人说过
[35:41] 我觉得它俩最大的不同是这样的
[35:43] 是我认为抖音的内容本身
[35:46] 是非常非常重要的
[35:47] 主要我看抖音是看抖音的内容
[35:50] 但是呢
[35:50] 小红书除了我看内容之外
[35:52] 我也会看评论
[35:54] 看评论是非常
[35:55] 所以它俩的形态我认为是不完全一样的
[35:58] 而且比如你看就是如果在
[36:01] 抖音上如果是一个
[36:03] 这个百万粉丝的这个
[36:05] 这个百万粉丝的这个
[36:05] KOL
[36:06] 当你发帖子的时候你的百万粉丝大概率是你的
[36:10] 这个点击的
[36:11] 这个基本盘对吧
[36:12] 它可以点赞点什么这个量会比较大
[36:14] 但是小红书上你同样是一个百万
[36:16] 你可以尝试一下你同样是个百万
[36:18] 你发一个新帖的时候
[36:19] 你的百万粉丝不一定是你的基本盘
[36:21] 因为它被推荐
[36:22] 它是基于这个帖子的精彩程度被推荐到了更多的地方
[36:26] 这个不一定完全
[36:27] 代表抖音和小红书的意思
[36:28] 这是我的观感
[36:30] 我们只站在一个优惠的层面上
[36:32] 所以我认为他们的整个新组织形式是不一致的
[36:35] 尽管他们都有短视频
[36:37] 然后小红书可能图文混盘会更多一点
[36:39] 但是他们实际上这个新组织形式是不一样的
[36:42] 这就是移动互联网时代
[36:44] 我认为创业的一个有趣的地方
[36:46] 就是你通过改变一些规则
[36:48] 一些玩法
[36:49] 你的用户也变了
[36:50] 这个内容也变了
[36:52] 它最后能变得很多
[36:53] 它这些东西更产品向
[36:55] 而不是更技术向
[36:57] 还有B站
[36:58] 评价一下B站
[36:59] 我觉得B站是
[37:01] 都是个人评价
[37:03] 不代表我们团队
[37:05] 不代表红杉
[37:06] B站我感觉是
[37:07] 它一开始是从一个小的人群
[37:10] 一个垂直的人群切入
[37:12] 然后最后扩展到全人群
[37:14] 扩展到某种
[37:15] 形态的全人群
[37:17] 比如说
[37:18] 它实际上有很好的纪录片
[37:19] 然后有很优质的内容
[37:22] 但是我觉得它跟抖音和小红书就不一样
[37:25] 我觉得抖音小红书一开始
[37:26] 它可能就是
[37:27] 它就是想着一个更开放的
[37:30] 一个产品结构
[37:32] 用这个结构和用户一起互动来定义
[37:35] 而我感觉B站就是进入到一个
[37:37] 社群
[37:38] 对就进入到一个有影响力的
[37:40] 垂直的市场
[37:41] 通过这个市场慢慢
[37:43] 泛化出去
[37:44] 所以我觉得这都挺有意思
[37:46] 他们的成功都是
[37:48] 都是挺有意思
[37:50] 那你觉得这几家公司和他们的Founder之间的关系是什么样的
[37:52] 他们怎么投射他们的Founder
[37:55] 的内心
[37:57] 这是我的感觉
[37:58] 我的感觉可能是不是
[38:00] 像我觉得B站的这个Founder是更
[38:03] 属于这个产品跟UP一样
[38:05] 对就是产品跟Founder这个
[38:08] 特点比较一致
[38:10] 因为短视频的崛起我觉得对于字节来说
[38:14] 因为字节已经有精神头条的产品了
[38:16] 所以它已经有很多战略和理性的选择
[38:20] 最后进入到短视频的这个领域
[38:23] 通过和Music合并也好
[38:26] 所以我觉得这个可能的确是
[38:28] 不完全一样
[38:30] 它更像是拿着
[38:32] 推荐引擎的这个
[38:34] 大厦器
[38:35] 有一个人是匹配的形态
[38:37] 做出来抖音
[38:37] 对它已经站在了一个高度
[38:39] 就换句话说它这个已经是
[38:41] 有这个整体战略布局的这个高度
[38:43] 但这些我觉得并没有
[38:45] 优劣之分啊
[38:46] 我觉得这是不同的特点
[38:47] 那些就更是创始人是跟那个产品
[38:50] 小红书呢
[38:51] 然后发现说
[38:52] 小红书我觉得是一个特别特别开放的产品结构
[38:55] 甚至我认为可能到目前为止
[38:57] 小红书是我见过
[38:58] 这个在一种互联网时代
[39:00] 这个
[39:01] 应该是最开放的产品结构
[39:03] 什么叫开放
[39:04] 就它
[39:05] 就是它发一个
[39:08] 你可以发一个这个
[39:10] 图片
[39:11] 你可以发一段话
[39:12] 然后你可以发一个攻略
[39:14] 它几乎包含了
[39:16] 你可以发一个问题
[39:17] 它几乎包含了移动互联网时代
[39:19] 前面的这些
[39:20] UGC产品
[39:21] 这个社交媒体的大部分的形态
[39:23] 它都通过
[39:24] 你发一个帖子
[39:26] 大家评论
[39:27] 来实现
[39:28] 所以我是觉得在这种开放价格的后面
[39:30] 所以小红书一直我觉得是
[39:32] 时间的朋友吧
[39:34] 就是它一直在这种开放的
[39:35] 架构后面
[39:36] 和用户
[39:37] 一起创造了它的调性
[39:39] 我觉得这是
[39:41] 这是很有意思的一点
[39:42] 因为到后来
[39:43] 我觉得它已经慢慢涨
[39:45] 就每个阶段可能都
[39:47] 超出我的
[39:48] 这个意料
[39:49] 它居然有这样的功能
[39:51] 一直繁华
[39:52] 从女性有物也繁华去了男性
[39:54] 对
[39:55] 而且从线上到线下
[39:57] 它有City Walk
[39:58] 对
[39:59] 所以这是很有意思
[40:00] 它这个是一个非常开放的一个产品结构
[40:02] 所以我觉得这几个成功的产品的
[40:04] 都是
[40:04] 有这个
[40:06] 不同的逻辑和不同的这个历史的
[40:08] 怎么说呢
[40:09] 就说
[40:10] 这个时事吧
[40:11] 时事造英雄
[40:12] 而且好像很难归类
[40:13] 它们好像并不
[40:14] 成功来自于某一个
[40:15] 对
[40:16] 因为我觉得产品
[40:17] 成功的确很难
[40:19] 很难去做这种归类
[40:21] 研究学习了这么多产品以后
[40:23] 对于投AI的产品
[40:24] 你从中能够得到什么样的know-how呢
[40:26] 就是
[40:27] 你能获得什么样的经验和总结呢
[40:30] 因为看上去它们每个都非常不一样
[40:32] 对 可能总结
[40:33] 可能就是没有总结
[40:35] 我觉得总结至少有一点是这样的
[40:38] 就是说
[40:39] 首先呢人类的
[40:41] 人类潜意识
[40:42] 无论它是潜意识还是
[40:44] 怎么样的新的行为模式
[40:46] 总体上是不可预期的
[40:49] 所以这一点
[40:50] 我觉得
[40:51] 总体是不可预期的
[40:52] 它是不可预期的
[40:53] 对吧 就我们想象不到短视频最后会
[40:56] 挑战到文字
[40:57] 它挑战了自己所有的公司
[40:58] 自己的竞争队也挑战了
[41:00] 所有的竞争形态最后挑战到文字
[41:02] 这件事情我们是不知道的
[41:03] 原来我们是把短视频作为一个小类看
[41:06] 就是说你看什么
[41:07] 我看长视频
[41:08] 我看短视频
[41:09] 然后我看这个
[41:10] 偶头
[41:11] 都是这么说的
[41:12] 对吧
[41:13] 但最后你会发现短视频的形态
[41:15] 因为它的流量属于太强
[41:16] 它可以
[41:17] 它可以去
[41:19] 向很多公司去挑战
[41:21] 那么所以说
[41:24] 每次投资人会被问到一句话
[41:25] 说最近你在
[41:26] 你觉得什么样的产品形态好 对吧
[41:29] 其实我们都很难回答
[41:30] 这实际上所有都是探索
[41:33] 但是呢
[41:33] 比如我就好像一个
[41:35] 产品评论员或者哪怕就很像原来这个文学评论员
[41:38] 我不会写小说
[41:39] 但如果你写出小说
[41:41] 我的直觉会告诉我 大概率
[41:43] 这可能是个名著
[41:45] 有可能对吧
[41:45] 如果我做出版那就是
[41:47] 这可能我应该
[41:48] 跟他在深入谈一谈
[41:49] 所以你可能
[41:51] 今天AI也是这样
[41:52] 因为AI有它的新的
[41:54] 特点新的形态
[41:55] 所以你今天
[41:56] 肯定是有人在挑战
[41:57] 最前沿的
[41:59] 流量最大的那个产品形态
[42:00] 你就要去把这个东西把握住
[42:03] 它的不可预测性好像也超出了Founder本身的预测
[42:07] 就是这些
[42:08] 创始人们他们在创立第一天其实也不知道这个产品形态能涨多大
[42:12] 对 但是我觉得
[42:13] Founder应该这样说
[42:15] 他不能够提供一个理性预测和这个理性预测的依据
[42:19] 但是
[42:20] 他有他的直觉
[42:22] 这个直觉也可能上乘成信念
[42:24] 他相信这个方向一定是OK的
[42:27] 历史上很多的Founder他做了
[42:29] 一个
[42:29] 石破天惊的产品
[42:31] 其实跟他的直觉和相信有关
[42:33] 但是呢这个直觉和相信
[42:35] 放在这个
[42:37] 这个
[42:38] 历史的这个潮流里的看他最后肯定是一个幸存者的片场
[42:42] 他是一个历史的选择
[42:43] 是成功成功者
[42:45] 最后讲述了他的信仰
[42:47] 那些失败者从历史的这个
[42:49] 讲述当中消失了
[42:51] 你觉得你什么时候开始
[42:53] 找到了自己的投资的方法Taste和直觉
[42:56] 你Bat什么呢
[42:58] 我觉得我能回到
[43:00] 历史上
[43:03] 我做的比较好的地方和有些完全我的盲区
[43:07] 历史上我做的比较好就是在web2.0产生之后我认为我对产品的这样一个
[43:12] 感觉和
[43:14] 这个方法论就慢慢就开始有了
[43:17] 在web2.0的时代开始
[43:18] 就是在
[43:19] 点评豆瓣那个时代开始
[43:21] 然后什么时候是我反思自己的方法论呢
[43:25] 应该说后面我看了一系列的这个线上线下结合的公司就他们的这些
[43:30] 崛起变化就特别是我没投的这些
[43:33] 比如说像滴滴呀
[43:35] 像我个人没投啊就是像滴滴呀比如像这个
[43:38] 拼多多啊就像他们的崛起
[43:40] 我突然发现
[43:42] 其实我对
[43:43] 线下
[43:44] 我对中国
[43:46] 最基础的最广大的那部分人群
[43:49] 可能我的认识还不够
[43:50] 因为之前投的这种UGC的产品
[43:53] 这是用户创造内容你用户要有能力创造内容
[43:56] 这部分用户
[43:57] 实际上在所有的人群里面分布呢
[44:00] 他还是有点
[44:01] 偏执性的
[44:03] 而不是最广大的人群
[44:05] 所以我后来就一直
[44:06] 也试图去了解就是
[44:09] 什么样的产品可以
[44:11] 触达
[44:12] 这个最广大人群而不是从我原来的这种
[44:15] 比较熟悉的区域
[44:16] 无论是
[44:17] 点评多半小红书
[44:19] 像这个music
[44:20] 这些他们都是先触动一部分
[44:22] 就是偏知识型的
[44:23] 一线城市
[44:24] 然后再慢慢扩散
[44:26] 到全人群
[44:27] 我原来习惯的是这样
[44:28] 比如说我比如看到这个滴滴
[44:30] 看到拼多多他们这种
[44:33] 我觉得这很有意思
[44:34] 这个不是在我一开始的认识范围
[44:36] 所以这个我就会去
[44:38] 尽量去矫正我原来的一些
[44:40] 一些想法
[44:41] 原来我的确
[44:42] 我是有一个slogan
[44:45] 就当时我们是
[44:46] 给自己的一个定义
[44:48] 就是现在叫投资于
[44:49] 这个先进人群的先进的生活方式
[44:52] 然后就说我们这个也会演进到全人群
[44:55] 但后来发现
[44:56] 并不完全是这样
[44:57] 有的时候你看最基础的模式
[44:59] 他也可以就直接扩散
[45:02] 他不需要
[45:03] 经过这样一个
[45:04] 演进的过程
[45:05] 你矫正了以后做了什么改变
[45:07] 就应该我觉得比较反应就是反应在当时共产单车
[45:10] 共产经济这方面的思考
[45:13] 当然
[45:14] 当然其实当时我对共产经济有一个更大的期望吧
[45:17] 但是我也就看这个期望
[45:19] 就怎么说呢
[45:20] 就是说
[45:20] 因为当时
[45:22] 膜拜之后
[45:23] 这个共产经济也发展到比如说有充电宝
[45:26] 甚至有空间
[45:27] 当时有各种各样的空间
[45:28] 就这一块呢
[45:30] 的确就有的
[45:31] 有的时候就是
[45:32] 一个逻辑可能也很难演化的机制
[45:35] 他可能有一个现实的一个
[45:37] 天花板
[45:38] 但是的确共产经济最后也是
[45:41] 特别是改变了这个中国的这个基层的生活
[45:43] 我觉得你好像特别喜欢这种产品驱动的公司
[45:46] 不管是膜拜还是豆瓣还是点心
[45:48] 其实我并没有更喜欢产品类的公司
[45:51] 因为
[45:51] 在PC互联网和移动互联网时代呢
[45:54] 我就说因为技术作为
[45:56] infra作为底层
[45:58] 它相对是完善的
[45:59] 所以说
[46:00] 它技术带来的
[46:01] 你投资它的理由是
[46:02] 实际上是不会那么
[46:05] 怎么说呢
[46:06] 那么充分
[46:07] 所以你一定要是更关注产品
[46:09] 但是今天AI这个时代
[46:10] 我认为
[46:11] 这是一个很大的变化
[46:13] 因为在原来的这些时代都是技术先行
[46:16] 技术已经把底子打好了
[46:17] 大家再过几年大家往上堆应用
[46:20] 现在是相当于是应用和技术同时并行
[46:24] 技术不停的迭代
[46:25] 对吧然后应用也不停的升级
[46:27] 所以这是
[46:28] 我觉得是不太一样的两次这个周期的特点
[46:31] 其实我是觉得很多都是产品
[46:32] 不能认为
[46:34] 不能认为只是线上的这部分是产品
[46:37] 而线下的运营
[46:39] 你线下怎么组织你的运营团队
[46:42] 你认为这个不是产品
[46:43] 这个也不对
[46:45] 这个反而就是我刚才说的
[46:46] 后来我慢慢
[46:47] 矫正的那一部分
[46:50] 其实我觉得比方
[46:51] 像客路
[46:52] 就是在亚洲做这个
[46:55] 旅游和这个兴趣点的这样一个平台
[46:58] 其实我认为它就是
[47:00] 就是线上产品和
[47:01] 这个线下的这个
[47:02] 功夫都做得比较好的
[47:04] 因为它
[47:06] 通过线上
[47:07] 集合这么多的这个
[47:09] 购买的需求
[47:10] 然后从而比较好的控制了线下产品的供应链
[47:14] 控制了很多亚洲这个
[47:16] 无论是景点的门票
[47:18] 甚至是地铁票
[47:19] 然后甚至是各种各样这个
[47:21] 特色活动的这样一个一些供给
[47:23] 它就属于线上
[47:25] 这个通过
[47:26] 无论是UGC还是Review
[47:29] 这个和平道的这个流量之后
[47:31] 然后倒过来
[47:32] 通过这么大的一个采购量
[47:34] 去倒过来
[47:35] 更好的控制供应链
[47:36] 所以我认为它就是线上线下结合的是比较好的
[47:39] 就回到刚才
[47:40] 我们讲的线上线下的问题
[47:42] 我听你讲我有一个感受就是说
[47:44] 因为以前可能最早的时候大家觉得产品就是产品
[47:48] 但是当线上线下开始结合的时候
[47:50] 其实一个产品
[47:51] 它是一个整个的体系
[47:52] 不能够只做那个比较薄的产品的部分
[47:55] 它还要做很重的运营
[47:56] 其实抖音的
[47:57] 成功也跟运营有很大的关系
[47:59] 是的
[48:00] 但是
[48:00] 就是实际开始我觉得
[48:02] 就是
[48:03] 因为这是很好理解
[48:05] 因为一开始是
[48:07] 就是线上化
[48:09] 你能做到线上化其实就是一个比较好的创业
[48:12] 你看门户我只要搬上去就可以了
[48:14] 对
[48:14] 那第二步呢就是我
[48:15] 比如这个
[48:16] 我把人与人间交流
[48:18] 我换成这个
[48:19] 社交软件就可以了
[48:21] 然后搜索我也升级
[48:23] 那第二步我会线上再找一些有意思的玩法
[48:27] 所以它很容易是这样
[48:28] 后来找了玩法还不够
[48:30] 我必须人工干预
[48:31] 我必须要线下
[48:32] 对吧
[48:33] 我必须要管理这个care up
[48:36] 所以它慢慢慢慢
[48:37] 就
[48:38] 我觉得它就是
[48:40] 它就是一个更深化的过程
[48:41] 所以认识上更深化
[48:43] 这个产品上也是更深化
[48:45] 要做得更重
[48:47] 对
[48:47] 我还想到一个公司就是
[48:49] 当我们觉得好像C端流量都差不多了
[48:51] 那种平台已经崛起差不多了
[48:52] 为什么这两年小宇宙不叫火
[48:54] 这也是
[48:56] 就回到我刚才说
[48:57] 人类不停的发现自己的行为模式
[49:00] 因为
[49:01] 因为在这个收音机上
[49:02] 收音机
[49:03] 就收音机火的时代离现在已经很远了
[49:05] 但收音机当时的渗透率是非常高的
[49:07] 对吧
[49:08] 但声音跟图文
[49:10] 跟短视频又有一个重要的一个特点
[49:12] 就它可能作为
[49:13] 高密度的信息接收
[49:15] 是不太行的
[49:16] 但是它是几乎是
[49:18] 感官里面唯一可以
[49:20] 多线程并用的这样一个
[49:22] 感官
[49:23] 就当你听一个东西的时候你还可以看东西
[49:25] 你还可以干自己的事
[49:28] 对它其实我认为就是发挥了
[49:30] 发挥了这样一个
[49:31] 一个
[49:32] 优势
[49:33] 这个优势其实挺早
[49:35] 我也意识到这个优势
[49:36] 就当时
[49:37] 因为我们
[49:39] 之前投过这个在行分担
[49:41] 其实最早的时候它是
[49:42] 通过语音
[49:43] 的方式去回答问题
[49:45] 当时我就觉得
[49:47] 听就是整个通过听这个市场
[49:49] 我觉得感觉是
[49:50] 挺有意思的
[49:51] 当然
[49:52] 像这个后来这个
[49:53] 像罗基斯韦也做了听书
[49:55] 还有喜马拉雅
[49:56] 就说我是觉得这个听是
[49:58] 很有意思
[49:58] 但是只是这个层面形态一直没有
[50:01] 收敛到一个比较偏
[50:02] 的一个状态
[50:04] 那么随着就这一波我觉得
[50:06] 也挺有意思
[50:07] 就每一代人都会有一波新的这个媒体
[50:10] 崛起
[50:10] 对吧
[50:11] 咱们现在说短视频之外
[50:12] 那么播客也成为越来越多的成为
[50:15] 这个大家选择
[50:16] 选择这样一个信息输入
[50:17] 它要成为一个更深度的方式
[50:19] 到你习惯短视频的时候你怎么可能想要把一个内容做到两个小时三个小时四个小时
[50:24] 对但这正是因为
[50:25] 它可以用陪伴的形式存在
[50:28] 它才能有这么长
[50:29] 如果你不是用陪伴的形式存在的话你就很难
[50:32] 你就很难这么长
[50:33] 这还是挺反直觉的
[50:35] 就是人类行为是不可预测的
[50:37] 对就是人类行为它就在那
[50:39] 它就在那然后
[50:40] 但是你突然有一天你要归纳它就发现
[50:43] 原来还有这么一个
[50:44] 前后一致性的
[50:46] 一个东西我可以把它产品化我可以把它PMF
[50:49] 把它的这个行为给承接下来
[50:51] 为什么是这几年你觉得
[50:53] 这几年发生什么变化呢
[50:55] 就是播客的崛起
[50:56] 我是觉得只有可能是
[50:59] 只有可能是比如我们的
[51:01] 视觉已经被占
[51:02] 占的太满了
[51:03] 所有的创新它都会像水一样这样溢出来
[51:05] 当你视觉被占满的时候
[51:06] 其实大家
[51:07] 还是会
[51:08] 找新的这个信息输入
[51:10] 视觉占满还不够我还得再
[51:12] 我还得再找一些这个新的这个
[51:14] 输入方式
[51:15] 这很有意思
[51:16] 那下一部分我们聊一聊
[51:18] 当你意识到移动互联网C端的故事结束以后
[51:21] 你这几年的一些想法和探索吧
[51:23] 对其实移动互联网C端
[51:26] 我觉得一定程度终结于这个各种各样的短视频
[51:29] 形态之后呢
[51:31] 其实有
[51:32] 有很长一段时间就是C端是缺乏大的创新的
[51:36] 尤其从这个
[51:37] 因为在1819年开始一直到这个
[51:40] AI的崛起这中间其实整个2C的创新
[51:44] 2C的这个投资都相对沉寂一些
[51:47] 我后来反思就那段时间进入到可能是一段折腹
[51:52] 你看今天
[51:53] 所有的这个AI生都是跑在云上的
[51:56] 对吧那他都是
[51:58] 在商业模上他都是SaaS化的
[52:01] 然后包括整个AI的
[52:02] 这个技术也都是在那几年
