[00:05] Hello 大家好,我是小骏
[00:07] AI 业界有两个尧舜宇
[00:09] 一个从OpenAI跳槽到了腾讯
[55:21] AI的
[55:22] 研究员来说研究机构来说也是一个机会
[55:26] 然后
[55:29] 我觉得一个很真实的事就是
[55:32] 中国确实在
[55:33] 实际的算力资源上
[55:35] 来说是
[55:36] 占很大劣势
[55:38] 但是这个很大的劣势
[55:40] 可能反而逼出了一些有趣的事
[55:43] 比如说中国的模型公司其实对
[55:45] distillation
[55:46] 征流别人
[55:47] 很在行
[55:49] 最近达瑞不是点名了三家公司征流他
[55:54] 我觉得其实可能是一个
[55:56] 征流这个事存在是一个
[55:59] 一个
[56:00] 心照不宣的事实
[56:02] 但是
[56:03] 我觉得征流它也有不同的方式
[56:05] 就是
[56:07] 也有硬征和
[56:08] 和聪明的征
[56:10] 两种不一样的
[56:11] 选择
[56:14] 什么叫硬征
[56:16] 硬征就是
[56:18] 最简单的例子就是
[56:20] 我从cloud里面
[56:22] 取出一堆它生成的
[56:24] token
[56:25] 然后强行在上面做
[56:28] 训练
[56:30] 这个如果干这样的事我就觉得
[56:33] 首先商业商业不是很道德
[56:36] 然后
[56:38] 治理上来说也比较愚蠢
[56:41] 因为
[56:42] 干这个事的公司其实
[56:45] 本质上来说他体现出来的一件事就是他其实都不知道自己想干嘛
[56:50] 他能干的唯一一件事就是抄别人
[56:52] 然后让自己的模型数据上能看好看一点
[56:55] 对
[56:55] 但本身就说明他自己都不知道该干嘛
[56:58] 这是硬征
[56:59] 但是
[57:00] 其实
[57:01] 征流也有些很有趣的
[57:03] 科学问题
[57:04] 就是比如说我
[57:06] 是不是
[57:07] 有种可能就随便举个例子
[57:09] 就是有没有可能是我生成我自己生成数据的这个链条当中
[57:13] 用到了别的模型作为辅助
[57:16] 或者说
[57:17] 我自己模型生成的答案
[57:19] 用别的模型作为他的评价者
[57:23] 这个其实是一个我觉得
[57:26] 商业上来说比较灰色的地带
[57:28] 但是从技术上来说其实很有意思
[57:31] 因为你想其实
[57:33] 从某种意义上来说
[57:35] 可能中国的实验室成为了做multi agent训练的先驱
[57:41] 而且是真正的multi agent
[57:43] 因为他如果从不同家的模型里
[57:46] 用这种比较聪明的方案把它们融会到一个训练系统里的话
[57:51] 每家模型他可能是
[57:53] 是分布很不一样
[57:54] 他的语言的分布很不一样
[57:57] 这个
[57:58] 是
[57:59] 就是是真正的multi agent
[58:00] 他可能
[58:01] 比起
[58:02] 比如说我用了好几个gemini一块做
[58:05] 是一个技术上更有趣的事
[58:07] 所以说
[58:08] 我觉得
[58:10] 对我来说
[58:11] 聪明的真
[58:12] 我不知道这个商业上最后会不会变成一个很明确错或者很明确对的事
[58:17] 但技术上其实很有意思
[58:19] 你这两种真分别说的是谁
[58:23] 能不能后期把名字逼掉
[58:27] 我首先没有在中国的lab干过
[58:29] 所以我不知道确切的事实
[58:31] 但是我的感觉就是
[58:33] 应该是印证了
[58:36] 然后
[58:37] 可能曾经印证过
[58:40] 但是后来可能慢慢也在努力向软正的方向
[58:43] 转化
[58:44] 我觉得
[58:45] 比较明显可能
[58:47] 蒸馏比较少的是字节
[58:49] 我觉得字节是我感觉到这个模型还是比较有特点
[58:54] 特点
[58:55] 体现在哪里啊
[58:56] 比如这个模型
[58:57] 你说他有多聪明呢
[58:59] 我觉得
[59:00] 豆包是
[59:02] 肯定没有gemini
[59:04] 和cloud聪明
[59:05] 但是豆包
[59:06] 首先
[59:07] 比如说豆包的语音生成非常非常强
[59:10] 这个很难吗在技术上
[59:12] 确实豆包是做最好的因为我发现我生活上的问题我只想问豆包用得很快
[59:17] 但其他模型为什么不优化这个产品功能呢
[59:20] 我觉得还是跟他的用户群体有关系
[59:24] 在美国我觉得大家的
[59:27] 这个想法
[59:29] 更专注于
[59:30] 怎么能够提高
[59:31] 工作效率
[59:35] 有没有一些困惑吗
[59:37] 我生活中
[59:39] 首先我个人确实是一个生活上比较无聊的人所以我生活中没有很多有趣的困惑可以去问豆包
[59:45] 我生活中更多的困惑都是技术上的困惑
[59:47] 问gemini这种聪明的模型就是最好的
[59:51] 我没有什么
[59:53] 什么半夜去打豆包情感电台的需求
[59:56] 不只是情感就是很多比如说你做饭
[59:58] 你可能会遇到一个什么问题你可能及时需要一个
[60:03] 需要有人告诉你
[60:04] 但是你又没有
[60:06] 不知道没有这样的人
[60:07] 那些我觉得可能更多是数据上的问题
[60:09] 然后可能更多只是说美国的
[60:12] 公司现在主要的
[60:14] 主要的优先级是在
[60:16] 智能或者工作效率上
[60:18] 未来有天
[60:19] 有天会不会变成
[60:20] 这些日常的事情我觉得是
[60:22] 是有可能的
[60:23] 事实情况是
[60:25] 你如果去问这种日常话题其实
[60:27] 你能发现詹姆纳每一代
[60:29] 一代到另外一代会做的也越来越好
[60:31] 其实我身边很多
[60:34] 朋友包括我自己
[60:34] 以前也是就是我
[60:36] 以前在探讨的时候可能写code会去问cloud
[60:38] 但我可能
[60:39] 日常查个什么东西我就会去问詹姆纳
[60:42] 你用过豆包没有
[60:44] 我其实
[60:46] 只用过一两次
[60:47] 我发现你们都不怎么用
[60:50] 是不是有鄙视链
[60:51] 有智力的鄙视链
[60:54] 没有没有不至于
[60:56] 我觉得首先就是
[60:57] 就跟
[60:58] 在中国人试图用
[61:00] 美国的模型会有一些
[61:02] 复杂的事一样
[61:04] 我在美国用中国的模型其实也是挺复杂的
[61:08] 第二呢就是
[61:09] 确实也没这个动机
[61:11] 尤其我觉得我可能
[61:14] 生活中
[61:17] 工作是工作
[61:18] 休闲的时候就是
[61:19] 找不一样的工作
[61:21] 其实对我来说我的最好伙伴就是cloud和詹姆纳
[61:24] 但是
[61:27] 可能对别人来说并不是这样
[61:28] 所以可能也只是我个人的问题
[61:30] 我自己用豆包的那一两次
[61:33] 是因为有人给我展示豆包手机
[61:37] 你怎么看豆包手机
[61:40] 我觉得是一个很
[61:44] 很好的想法我个人觉得效果上来说其实做的
[61:47] 也不错
[61:48] 当然我不知道的是
[61:51] 技术上来说他的优化做的有多好
[61:53] 就说他他我觉得他实现一些
[61:56] 任务的实施从效果上来说是没什么问题
[61:59] 但我不知道他会有多大消耗
[62:02] 如果这个消耗非常非常大
[62:04] 那可能是一个基本上需要解决的问题
[62:06] 因为你并不希望
[62:08] 什么
[62:08] 让你的模型去
[62:10] 给你订了一张高铁票
[62:11] 结果花的钱比高铁票还贵
[62:14] 这个肯定是一个不可以接受的事
[62:16] 对所以说
[62:18] 可能技术上来说
[62:19] 我个人不清楚他有
[62:21] 他有多成熟
[62:23] 然后我觉得
[62:24] 长平常常说
[62:25] 对大家来说还是一个挺
[62:27] 不能说惊讶吧但是让大家觉得挺兴奋的事
[62:29] 然后我觉得可能
[62:31] 苹果以前也想干这样的事
[62:32] 其实苹果可能自己
[62:34] 自家的模型一直不太行
[62:35] 苹果好像不是在意他的AI战略
[62:38] 现在
[62:40] 我觉得呢苹果一定是在意AI战略的
[62:44] 因为
[62:45] 曾经
[62:46] Siri
[62:47] 手机助手
[62:48] 是
[62:49] 苹果发布会里一个非常非常重要的闪光点
[62:52] 但是
[62:53] 自己的模型没赶上趟
[62:56] 现在
[62:57] 可能要
[62:58] 和通过和
[62:59] 咱们俩合作
[63:00] 来试图做这样的事
[63:02] 至于现在他是不是
[63:04] 重视首先我也不知道
[63:05] 你要让我猜我肯定觉得是重视
[63:07] 但你要让我解释他为什么从外界来看没那么重视
[63:10] 我的唯一猜测就是如果你外界来看就显得很重视还做不成那就显得很蠢
[63:17] 晚尊
[63:18] 对
[63:21] 我们说一下豆包模型你刚说豆包模型比较有特色
[63:25] 你们具体一点
[63:27] 一个是他语音做得很好这是第一点
[63:28] 我觉得语音做得很好是我能感觉到最有特色的事
[63:32] 就是
[63:32] 我觉得
[63:33] 语音这个
[63:35] 效果
[63:36] 可能是
[63:39] 客气的说可能是全世界最好的之一
[63:41] 不客气的说我觉得就是全世界最好的
[63:44] 这个很难吗
[63:47] 我自己没
[63:48] 做到那个地步过所以我也不知道是不是难
[63:50] 但是我觉得可能是一个很费功夫的事
[63:53] 不管从数据上还是各种优化上来说
[63:54] 是个产品的事还是个模型的事
[63:56] 他一定会是模型的事
[63:57] 他有可能也包含一些产品的部分但一定是一个模型的事
[64:02] 然后
[64:03] 我觉得这是一方面然后
[64:05] 另一方面
[64:05] 另一方面我自己感受就不多了因为我其实用的机会没那么多
[64:09] 那可能就是更多的是来自于就是亲朋好友的反馈也就是说这个
[64:12] 豆包这个模型就是
[64:14] fun to talk
[64:15] 就是聊起来很有趣
[64:17] 但我觉得那个那个更多的是一些主观的反馈
[64:22] 我觉得他的那个
[64:24] 一个是语音然后一个是他
[64:26] 生成的很快也是一个很重要的因为我很多模型他都在给你展示思维链但是我就说那个生活上的
[64:32] 琐事我不想看他的思维链
[64:35] 对这个事我觉得技术上并不难只是可能大家目前还没有花更多时间在这上面
[64:40] 然后事实情况是如果你去
[64:42] 尝试
[64:44] 摘卖3.1和摘卖3的话
[64:46] 你会发现摘卖3.1在完成同样一个
[64:49] 一个问题的时候已经会比以前快很多
[64:52] 然后废话少很多了
[64:54] 所以说
[64:54] 我觉得
[64:55] 这个
[64:56] 不是一个
[64:57] 在我看来不是一个技术上的难点
[64:59] 他更多只是
[65:00] 什么时候去重视去去做这个事
[65:02] 我觉得可能就是现在
[65:06] 现在美国的这几家还都处于在努力把
[65:10] 智能的
[65:11] 上限
[65:12] 往前不断推进
[65:13] 二字节呢
[65:15] 当然他也肯定是在推进上限的
[65:17] 但是我觉得他可能就是在用户的优化上也做得很不错
[65:22] 最近还有一个话题就是中国的机器人很火在春晚上
[65:27] 我不知道你对这个有没有什么观察
[65:31] 看过一些表演
[65:33] 也在亚马逊上搜过一些价格
[65:35] 确实很惊讶他居然这么便宜
[65:38] 买了吗
[65:39] 没买
[65:40] 我买了也没什么用但是
[65:42] 确实
[65:42] 我以前会我不知道我以前脑海里觉得这种人性机器人然后
[65:47] 当然就软件上面其实没什么但主要是硬件我觉得硬件做的这么成熟
[65:51] 可能
[65:52] 怎么也得是个什么大几百万美金这样的
[65:56] 好像我去看了一下价格比这要便宜很多
[65:59] 我觉得这还是
[66:00] 体现出中国在硬件这个产业
[66:02] 链上还是很有优势
[66:04] 但是我
[66:06] 并不知道他作为一个
[66:09] 他作为一个机器人硬件来说我觉得确实是非常非常强
[66:12] 然后
[66:13] 从软件上来说
[66:15] 没太看明白
[66:16] 我觉得机器人的
[66:18] 模型
[66:19] 也是一个目前非共识比较大的
[66:22] 事情
[66:23] 怎么说
[66:24] 就说他
[66:26] 我觉得机器人的模型可能更多的处于
[66:31] Future engineering的时代
[66:32] 就是你让你有一个给定的环境
[66:35] 给定的场景
[66:36] 你去优化这个场景
[66:38] 大家是知道怎么做的
[66:40] 但是做RL吗
[66:41] 做强化学习
[66:42] 做强化学习构建合适的虚拟环境还是虚拟的这种
[66:46] 这种数据然后你去做训练
[66:48] 是可以提高的
[66:49] 但是他没有很强的泛化性
[66:52] 我觉得
[66:53] 这个是
[66:55] 就是
[66:56] 有没有泛化性其实很多AI方向他的一个分水岭
[67:00] 就是
[67:02] 一个确定的场景一个很单一的场景能不能做好
[67:06] 这个事不是最近这几年才解决的
[67:09] 十几年前就能干
[67:11] 就是
[67:12] 像语言也是
[67:13] 语言在
[67:15] 这个基于transformer这种类似架构之前的
[67:18] 时代里并不是说完全做不了
[67:20] 那时候你也可以训练一个很强的模型去做
[67:23] 翻译
[67:24] 你可以训练一个很强的模型去做语义分析
[67:27] 但是你不能做的事是我可以水平的提高所有能力
[67:31] 嗯
[67:32] 这个我觉得是一个分水岭
[67:34] 然后我觉得language mode在
[67:36] 在transformer和GBT之后
[67:39] 跨入了那样一个阶段
[67:41] 跨入了一个就是可以水平的提高所有能力
[67:44] 然后你可能在
[67:45] 一个点上的训练
[67:46] 他会把这样能力抽象的泛化到所有相关的事情上
[67:50] 但是
[67:52] 机械人我觉得没到那个阶段
[67:54] 更多的还是在
[67:55] 那个阶段之前就是我有一个单一的场景单一的
[68:00] 事情
[68:01] 然后我能够为这个事情
[68:03] 去做优化
[68:05] 所以你怎么看硅谷的这些机器人团队啊
[68:07] 包括Gemina内部也有很多机器人的人
[68:10] 嗯
[68:11] 你会怎么看那个方向
[68:13] 有点
[68:14] 这算什么
[68:15] 这是你们子方向还是你们的
[68:17] 平行方向还是什么
[68:18] 我觉得过去是一个挺平行的方向
[68:21] 但是现在
[68:23] 机械人
[68:24] 我觉得大家也在尝试就是能不能利用
[68:27] 语言模型作为一个基底模型然后在那个上面去训练这种类似比如像VLA这种类似的
[68:33] 对对对然后
[68:37] 所以现在来说就是和变成了和语言模型这个
[68:40] 这条线比较相关的一条线
[68:43] 然后
[68:44] 我觉得
[68:46] 我个人的感觉是他们未来会变得很重要
[68:49] 但是
[68:50] 目前还没有
[68:52] 找到自己的路
[68:55] 但是他们做的事真的很有意思
[68:57] 我非常推荐大家去看看机器人的实验室
[69:00] 比做语言模型的实验室
[69:02] 要有趣得多
[69:03] 所有语言模型的实验室感觉就是正常的办公室
[69:06] 但机器人
[69:07] 他们是真的就是
[69:08] 会有人去
[69:09] 操控这个机器人采集各种数据然后去
[69:12] 看这个机器人在
[69:13] 在什么在货架里去
[69:14] 取不原谅的货品之类干这种事情
[69:16] 这个是很有意思的一件事
[69:18] 你去的是哪家
[69:19] 我去我在
[69:21] 詹玛尔自己的实验室
[69:22] 不是詹玛尔
[69:23] 就是那个
[69:23] Google Demand自己的实验室去看过
[69:25] 然后
[69:26] 还有那个Dyna
[69:27] 我一起看过
[69:29] 他们是个叠衣服的机器人
[69:30] 对他们就是可能
[69:32] 场景更单一一点
[69:33] 就是我叠衣服是一个机器人
[69:35] 可能
[69:36] 做一些别的事情比如倒水之类的这样
[69:38] 对
[69:39] 你直观感觉机器人进展相当于大约模型的一年
[69:44] 还没有到GPT-1的时刻对不对
[69:45] 一定没到
[69:46] 我觉得一定是没到
[69:47] 对
[69:49] 就是相当于大家还没有
[69:51] 没有
[69:52] 想明白怎么去skill up
[69:54] 我觉得对我来说
[69:55] 不管机器人还是多模态生成
[69:58] 都
[69:59] 没到这个点
[70:00] 那接下来进入今天的主题啊
[70:03] 我们还是
[70:03] 对你非常的感兴趣
[70:05] 然后聊一聊你是怎么从一个
[70:07] 学物理的人
[70:08] 进入AI的世界的
[70:11] 你从小在哪长大
[70:13] 你是怎么长大的
[70:14] 我
[70:15] 我出生在宁夏
[70:16] 然后一个
[70:18] 很小很小的城市
[70:19] 叫那个大屋口
[70:22] 看就是你这困惑的表情
[70:23] 说明了这个城市有多小
[70:25] 这个城市过去的存在是因为一个煤矿
[70:28] 因为石滩井一个煤矿
[70:29] 然后有了这样一个城市
[70:30] 所以我在那出生但是我
[70:33] 小学时候
[70:34] 跟我父母一块去了上海
[70:36] 然后所以我小学的后半段和初中高中是在上海
[70:39] 然后
[70:40] 我上本科就去了北京
[70:42] 就是刚才所说的那些
[70:43] 本科在北京然后
[70:45] 我是在美国
[70:46] 你想你从小就成绩很好是吗
[70:48] 你是物理竞赛保送
[70:50] 然后在清华和斯坦福读的是理论物理
[70:53] 对我不是物理竞赛保送的
[70:57] 我觉得我小时候挺菜的
[70:59] 首先
[71:01] 我
[71:02] 读的
[71:04] 初中和小学都是
[71:06] 无名之辈
[71:09] 我
[71:09] 我觉得我当时读的初中好像
[71:13] 就是竞赛
[71:16] 不是一个你该考虑的事就处于这样一种
[71:18] 这么一个初中里那个叫上南中学东校又是一个大家听了很困惑一脸一头雾水的学校
[71:24] 既然都说到这那小学是哪个小学啊
[71:27] 小学叫啥来着
[71:29] 我的contact manager们能力太强了我已经不记得叫什么了
[71:32] 其实
[71:36] 对然后对就是就是那个初中
[71:39] 就是
[71:39] 一个班里面一个小的环境是
[71:42] 还是有一些想要好好
[71:44] 干事的
[71:45] 同学的但是
[71:46] 总体来说那个初中我觉得是
[71:48] 比较躺平的状态
[71:49] 对然后
[71:52] 我觉得就是可能
[71:54] 还
[71:55] 学习还可以
[71:56] 还可以还可以就是
[71:59] 当时的状态就是上海高中有所谓的那时候有所谓的
[72:03] 四校
[72:03] 有什么上海中学然后华尔
[72:06] 焦大和复旦的附属中学
[72:07] 对然后我当时的状态就是
[72:10] 能上这四个学校但上不了这个四个学校里最好的班
[72:14] 但是我当时特别想搞竞赛
[72:16] 因为以前都没搞过竞赛
[72:17] 你初中开始搞竞赛我初中没搞
[72:19] 我初中没搞过竞赛你没搞过竞赛为什么想搞竞赛
[72:22] 因为没搞过所以想搞怎么植入这概念我这个人我这个人的个性就是
[72:28] 总是爱干一些自己不太会的事
[72:32] 对然后
[72:35] 当时
[72:36] 没搞过竞赛
[72:37] 但是知道有这么回事
[72:39] 所以觉得
[72:40] 义不教育不是义不教育就是上大学之前
[72:44] 得干一把
[72:46] 所以但是呢那个成绩也没好到那个份上所以
[72:49] 去四校就是最好那四个学校是进不了搞竞赛那个班的
[72:54] 我当时就发现有一个稍微差点的学校
[72:57] 隔织中学
[72:58] 稍微差一点的学校但是那个学校有一个竞赛班
[73:02] 然后
[73:03] 我感觉这个
[73:05] 这个竞赛班按照现在的话说就是
[73:08] underdog
[73:14] 用当时的话说我感觉就是光脚的不怕穿鞋的
[73:19] 我觉得
[73:21] 可以一搞
[73:23] 所以就
[73:24] 就其实当时那个那时候就是那时候上海还有这所谓的退优生的制度
[73:29] 你可以在考中考试前就去和某一学校签约
[73:32] 然后
[73:33] 你就提前现在预定那个学校的名额
[73:35] 然后就直接去他们那
[73:36] 然后就很自然去了
[73:38] 然后去搞了竞赛
[73:39] 高中
[73:40] 对然后所以你其实是在上海四校的普通班里面和这个
[73:44] 隔织中学的竞赛班里面
[73:46] 义无反顾的选了隔织中学的竞赛班
[73:48] 当然
[73:49] 我也不能我不能说我做选择的时候这个上了最好的四个高中是那么摆上顶尖的事虽然后来的分确实是够了
[73:56] 但是还没有中考
[73:57] 但是还没中考
[73:58] 但是当时就觉得
[74:00] 就算能上
[74:01] 我也应该
[74:02] 去一个
[74:04] Underdog的地方赌一把
[74:05] 为什么
[74:07] 因为想干这个事啊
[74:08] 你想干竞赛的目的是什么
[74:10] 我觉得
[74:11] 当时最主要的事
[74:12] 是想体验
[74:14] 我觉得没干过一定要
[74:15] 找机会干一下
[74:16] 为什么一定要干一下这个
[74:20] 第一就是觉得他确实难吧
[74:22] 就是确实有一种对男的兴奋感
[74:25] 就是确实至少当时
[74:28] 没搞的时候大家
[74:30] 给我的印象就是感觉这个事
[74:32] 比你
[74:34] 不搞竞赛学的那些东西要
[74:36] 有挑战性的多了
[74:38] 感觉
[74:38] 干这个事
[74:39] 确实强
[74:40] 不干
[74:41] 你也就只是这个平庸石头里最光滑的那一个
[74:45] 所以我当时觉得要干
[74:47] 所以就去干了
[74:48] 当然干了之后
[74:49] 也实际上带来一些好处
[74:51] 就是我后来回想起来如果当时没去搞竞赛看来就进不了清华了
[74:55] 你是有加分还是什么
[74:57] 当时其实那个竞赛的
[75:00] 保送生制度已经
[75:02] 比较
[75:03] 就只有进国家集训队才能保送
[75:05] 我那高中反正我觉得我当时没进国家集训队这个水平的所以就别说了但是呢就是
[75:11] 我在考高三竞赛之前
[75:14] 阴差阳错的去
[75:16] 清华参加了一个夏令营
[75:18] 然后
[75:19] 阴差阳错的在夏令营的最后一天听说了他们
[75:22] 在
[75:23] 搞自主招生
[75:25] 但是主要是面向北京的学生
[75:28] 我就
[75:29] 疯狂给招生办的老师发短信
[75:31] 说我要跟他们一块考
[75:33] 他答应了
[75:35] 然后他就答应了我们去考
[75:37] 你们还是你
[75:38] 答应了我们
[75:40] 高中一块去的那几个人去考
[75:42] 上海去夏令营的那几个高中同学去考
[75:46] 你有什么理由说服他你给他发短信
[75:49] 我已经忘了短信具体怎么说了但这个短信大概说的意思就是
[75:52] 你给北京的同学考为什么不给上海的考
[75:56] 理直气壮
[75:58] 你当时觉得他们开后门是吗
[76:01] 我也不是觉得他们开后门
[76:02] 就是觉得
[76:03] 人家有这个机会凭什么不给我们
[76:04] 大家都在一条线上
[76:06] 竞争吧
[76:07] 就是你们当时的同学
[76:08] 然后所以就发了这个
[76:10] 信息然后人家就真让我们去考了
[76:13] 几个人
[76:15] 我记不太清楚可能
[76:16] 有上海
[76:18] 去那个考场里可能有
[76:19] 七八个人的样子
[76:20] 是你发的那个短信
[76:22] 可能别的高中也有别的同学
[76:24] 但我们高中是我发的
[76:28] 就是都是上海高中去北京
[76:31] 参加那个夏令营的同学
[76:32] 参加夏令营的同学
[76:33] 对
[76:33] 然后
[76:35] 就这么一考
[76:36] 然后
[76:37] 就签了
[76:38] 这么好说话
[76:40] 对所以
[76:41] 我从那件事得到的
[76:43] 人生最重要的道理就是
[76:46] 胆子要大
[76:49] 你不争取
[76:50] 是永远得不到的
[76:51] 争取了也有可能得不到
[76:52] 但不争取就绝对得不到
[76:54] 你当时发那个短信的时候忐忑吗你当时
[76:57] 高中
[76:59] 我已经不记得了
[77:01] 当然觉得自己是
[77:02] 自己这是个很大胆的事吗
[77:04] 没有我当时满脑子想的都是
[77:07] 现在就得争取
[77:08] 再不争取明天就争取不到
[77:10] 就当天就发了
[77:11] 就是我在听说的那天就赶紧去疯狂发短信
[77:15] 疯狂发给谁发
[77:16] 发给招生办的那个清华招生办的老师
[77:18] 就发给了一个人还是多个人
[77:20] 不记得了应该是一个老师
[77:22] 他很快回来吗
[77:25] 我觉得清华
[77:25] 就say yes了
[77:27] 我不知道他们自己有没有讨论了
[77:29] 但是反正最后就说了
[77:31] 是
[77:32] 同意
[77:33] 那就一起考试了
[77:34] 所以我为什么我感觉我一直对清华还是挺有感情的
[77:38] 我感觉这个学校
[77:40] 是
[77:42] 是愿意给大家提供机会
[77:43] 给大家提供评论机会
[77:46] 那个考试考得怎么样
[77:48] 我当时出来的时候觉得
[77:51] 考挺崩的因为有半道题没做出来
[77:54] 但是我后来发现别人没做出来更多
[77:57] 就果然就着了
[78:00] 对
[78:01] 对
[78:01] 你们那一拨上海同学
[78:03] 进了几个
[78:04] 好像两个
[78:06] 自我招生是减分还是什么
[78:08] 是降到一本线
[78:09] 降到一本线
[78:12] 然后你高考考得好吗
[78:13] 后来高考
[78:15] 果然没考到清华的分
[78:16] 但是
[78:17] 就是除了清北之外的
[78:19] 学校都能上
[78:21] 哦
[78:22] 所以为什么
[78:24] 网上都嫌你是保送的
[78:27] 我觉得就是大家
[78:29] 不在那个没在那几年上过学校
[78:31] 我觉得人很难理解清楚那几年到底发生了什么
[78:33] 因为在我的
[78:35] 两届之前还是拿了省一等奖就能保送了
[78:39] 拿了省一等奖就能保送
[78:41] 就能保送了
[78:42] 你们那时候呢
[78:43] 我们那时候就是
[78:44] 拿了省一等奖进了省队然后
[78:46] 在代表省队去考国家的比赛
[78:48] 然后进了国家集训队
[78:50] 才能保送
[78:51] 我是进了省队去考的国家比赛
[78:53] 但我没考进国家集训队
[78:55] 所以说我那届我是没有保送省名额的
[79:00] 你搞金再搞了好吗
[79:01] 我就挺菜的
[79:04] 难道不是没有干到最好就是很菜吗
[79:08] 然后我显然没有干到最好所以就是很菜
[79:13] 你家里人
[79:14] 对你搞金再这个事情是什么态度
[79:18] 我觉得我爸妈
[79:20] 最好的一点就是他们不太管我
[79:22] 他们可能曾经也是都管过我后来发现管不住
[79:25] 怎么管不住
[79:26] 就是我也不听他们的
[79:29] 我觉得
[79:31] 可能
[79:33] 大多数中国家庭都是
[79:34] 孩子和父母商量已经算是很好的了
[79:38] 我一般都是通知
[79:40] 你通知了啥
[79:41] 通知我去
[79:43] 自主招生了
[79:46] 然后
[79:47] 包括中高考填志愿也是
[79:50] 我爸妈甚至可能都没见过我志愿单
[79:54] 他们比较服务是吗
[79:56] 他们
[79:58] 我觉得就是
[80:00] 当你没有办法理解别人在干什么的时候
[80:04] 别指手画脚就是最好
[80:06] 我觉得我爸妈这个道理懂得很好
[80:12] 那你是比较叛逆是吗
[80:15] 我觉得我是
[80:18] 比较
[80:19] 因为我觉得我个性是
[80:22] 我很care我想做的事
[80:24] 如果这件事是我自己想明白了要去做
[80:27] 就是
[80:28] 别拦我
[80:29] 然后我也
[80:30] 一定会
[80:31] 尽最大能力做到最好
[80:32] 但如果这个事我不想干
[80:34] 比我干也没用
[80:35] 我也不会干
[80:37] 你的胜负欲强吗
[80:39] 挺强
[80:41] 但我觉得
[80:42] 我更多的是在跟跟自己跟自己较劲吧
[80:46] 不是不太不太愿意和别人较劲
[80:49] 当然就是如果还问就是如果正好是我觉得这事很重要你也觉得这事很重要
[80:55] 那我肯定是干的比你好
[80:59] 好那你到了清华就更省了
[81:01] 去学了量子物理为啥呀
[81:04] 对我当时做那个尼泰理论
[81:06] 然后
[81:08] 为什么选这个专业
[81:11] 阴差阳错
[81:12] 现在回过头来说当然能
[81:16] 能编造出一些听起来很合理的理由
[81:19] 但是摸着良心回到当初我觉得就是阴差阳错
[81:23] 就是当时
[81:24] 我们在极客班然后极客班有一个非常好的传统就是
[81:28] 首先极客班他虽然在物理系
[81:30] 但他不限制学生干什么
[81:32] 所以极客班
[81:33] 在物理系上三分之二的学生都不会做物理
[81:35] 然后对于你为什么会进这个班
[81:39] 当时清华的物理系全都是极客班
[81:41] 现在可能不是了
[81:42] 但是当时是
[81:43] 然后他另外一个好的传统是他鼓励学生在
[81:46] 在实践中学习
[81:47] 所以他鼓励学生尽早的去进到科研的实验室里去
[81:52] 然后
[81:52] 去和在科研中学习
[81:55] 然后
[81:56] 我当时想很想做理论
[81:59] 然后
[82:01] 你觉得这个难吗
[82:03] 感觉就是你对难有一种着迷
[82:07] 可能也是一种病
[82:08] 之后可以再讲讲这个病带来的不良后果是什么
[82:12] 然后然后那个
[82:15] 对然后我想搞理论
[82:17] 然后
[82:17] 当然极客班
[82:19] 或者我们学堂班
[82:20] 有一个更小一点班
[82:21] 然后那个
[82:22] 老师就推荐说高等研究院是个很好的地方
[82:25] 清华高等研究院就是杨振宁先生
[82:27] 创立的研究院是个很好的地方
[82:29] 然后我就去那找老师
[82:31] 然后
[82:33] 正好有一个那时候还很年轻的老师叫王忠是我本科的老师
[82:37] 那时候他也没几个学生
[82:39] 然后
[82:41] 我俩就聊我当然啥也不懂
[82:43] 但他也挺耐心
[82:44] 还给了我一些paper让我去读
[82:47] 然后读了我就跟他讨论
[82:49] 后来又发现
[82:50] 虐待理论
[82:51] 尤其当时做那个方案就是跟透部绝缘体然后
[82:55] 这些比较相关的方向
[82:58] 其实
[82:58] 是一个
[83:00] 很适合本科上手的方向
[83:02] 就是他
[83:02] 他需要的背景知识不太多
[83:04] 他只需要你可能懂
[83:07] 最最基本的
[83:08] 就是你得会量子力学会统计力学会过去物理
[83:11] 就是
[83:12] 其实非常非常容易学的基础
[83:14] 基础知识但是他可能很考验你对这些知识理解的深度
[83:19] 所以对本科上手来说其实是一个
[83:21] 特别特别好的方向
[83:22] 就是你能够
[83:23] 很快的上手
[83:24] 去做一些实际的项目
[83:26] 然后我们就一块做了一些
[83:28] 工作其中有可能在开放量子体系里面的那个工作
[83:32] 现在看来还是一个挺重要的工作
[83:35] 对
[83:36] 然后
[83:38] 从某种意义上来说我觉得
[83:41] 现在回头来看做那个工作
[83:43] 做那段时间的科研其实和现在做的特别特别像
[83:47] 其实他更多的是
[83:49] 你有一个想法你有一个理解
[83:51] 然后你可以
[83:52] 在那个阶段就是你可以做一个数值的实验
[83:54] 去验证你这个想法和理解是不是对的
[83:57] 你发现AI其实也是这样
[83:59] AI也是你有一个想法你有一个理解
[84:01] 你去设计这些实验
[84:02] 验证你的理解是不是对的
[84:04] 然后你
[84:05] 设计一些
[84:07] 模型上的训练的这个plan plan来把你的
[84:10] 你的想法实施出来
[84:11] 所以其实这两个是很像
[84:15] 你能不能讲一下你这个
[84:16] 非鳄米系统的研究
